date,open,high,low,close,volume,oi
2025-04-23,28.28,28.35,28.07,28.27,54084,0
2025-04-24,28.26,28.3,28.11,28.16,58693,0
2025-04-25,28.16,28.29,28.05,28.16,69931,0
2025-04-28,28.16,28.29,28.04,28.18,63471,0
2025-04-29,28.34,28.34,28.11,28.16,170974,0
2025-04-30,28.29,28.29,28.15,28.18,92762,0
2025-05-02,28.28,28.46,28.05,28.22,88341,0
2025-05-05,28.21,28.32,28.05,28.23,138906,0
2025-05-06,28.15,28.29,28.15,28.2,71943,0
2025-05-07,28.24,28.28,28.08,28.23,73549,0
2025-05-08,28.25,28.25,28.16,28.19,279446,0
2025-05-09,28.29,28.4,27.96,28.06,173562,0
2025-05-12,28.2,28.37,28.1,28.19,35739,0
2025-05-13,28.29,28.3,27.85,28.18,30985,0
2025-05-14,28.22,28.37,28.11,28.35,275390,0
2025-05-15,28.47,28.47,28.16,28.33,72705,0
2025-05-16,28.46,28.46,28.22,28.35,111031,0
2025-05-19,28.47,28.47,28.33,28.36,32656,0
2025-05-20,28.48,28.48,28.16,28.34,63634,0
2025-05-21,28.34,28.54,28.21,28.35,44839,0
2025-05-22,28.35,28.44,28.26,28.4,45180,0
2025-05-23,28.46,28.46,28.26,28.4,71890,0
2025-05-26,28.46,28.46,28.34,28.42,82744,0
2025-05-27,28.48,28.57,28.42,28.48,100192,0
2025-05-28,30.0,30.0,28.42,28.62,61278,0
2025-05-29,28.64,28.64,28.45,28.5,115466,0
2025-05-30,28.51,28.61,28.5,28.5,22107,0
2025-06-02,28.49,28.62,28.38,28.42,133472,0
2025-06-03,28.56,28.58,28.42,28.46,198323,0
2025-06-04,28.44,28.57,28.44,28.52,75977,0
2025-06-05,28.57,28.57,28.48,28.53,33209,0
2025-06-06,28.9,28.9,28.49,28.51,95244,0
2025-06-09,28.44,28.45,28.36,28.39,149087,0
2025-06-10,29.09,29.09,28.17,28.37,46812,0
2025-06-11,28.22,28.38,28.22,28.36,61186,0
2025-06-12,28.35,28.39,28.16,28.31,58081,0
2025-06-13,28.45,28.48,28.26,28.29,56313,0
2025-06-16,27.58,28.43,27.58,28.32,89382,0
2025-06-17,28.39,28.4,28.25,28.37,34363,0
2025-06-18,28.37,28.42,28.27,28.38,22958,0
2025-06-19,28.53,28.53,28.26,28.35,14985,0
2025-06-20,28.35,28.48,28.27,28.33,79425,0
2025-06-23,27.62,28.54,27.62,28.35,92972,0
2025-06-24,28.48,28.48,28.21,28.38,74650,0
2025-06-25,28.49,28.49,28.36,28.36,49215,0
2025-06-26,29.06,29.06,28.35,28.36,15329,0
2025-06-27,28.49,28.49,28.22,28.4,73984,0
2025-06-30,28.44,28.45,28.29,28.35,127877,0
2025-07-01,29.05,29.05,27.64,28.34,77794,0
2025-07-02,29.04,29.04,28.22,28.4,21733,0
2025-07-03,28.32,28.43,28.31,28.41,9259,0
2025-07-04,28.54,28.54,28.33,28.41,76913,0
2025-07-07,28.3,28.53,28.3,28.42,39375,0
2025-07-08,28.51,28.53,28.31,28.42,140547,0
2025-07-09,27.7,28.52,27.7,28.45,26258,0
2025-07-10,28.5,28.51,28.32,28.43,30754,0
2025-07-11,28.52,28.52,28.35,28.4,27878,0
2025-07-14,29.11,29.11,28.41,28.45,52074,0
2025-07-15,28.57,28.57,28.33,28.45,27265,0
2025-07-16,28.88,28.88,28.36,28.41,27601,0
2025-07-17,28.54,28.54,28.4,28.47,39477,0
2025-07-18,27.75,28.58,27.75,28.47,25875,0
2025-07-21,28.57,28.58,28.43,28.5,24823,0
2025-07-22,28.5,28.58,28.4,28.51,35237,0
2025-07-23,28.46,28.57,28.45,28.53,48153,0
2025-07-24,29.24,29.24,28.41,28.51,10635,0
2025-07-25,28.42,28.57,28.37,28.5,13982,0
2025-07-28,28.37,28.58,28.36,28.4,69823,0
2025-07-29,28.51,28.51,28.36,28.4,19583,0
2025-07-30,28.5,28.5,28.4,28.42,27059,0
2025-07-31,28.55,28.55,28.32,28.44,23069,0
2025-08-01,28.55,28.57,28.31,28.42,32914,0
2025-08-04,28.31,28.54,28.31,28.44,38943,0
2025-08-05,28.46,28.53,28.36,28.48,53316,0
2025-08-06,28.48,28.56,28.42,28.47,19606,0
2025-08-07,29.18,29.18,28.3,28.37,36816,0
2025-08-08,28.38,28.54,28.33,28.37,63976,0
2025-08-11,28.49,28.49,28.28,28.3,22977,0
2025-08-12,28.3,28.47,28.28,28.32,11885,0
2025-08-13,27.61,28.4,27.61,28.25,18470,0
2025-08-14,27.54,28.3,27.54,28.28,3903,0
2025-08-18,28.66,28.66,28.25,28.34,296418,0
2025-08-19,28.39,28.39,28.13,28.19,19942,0
2025-08-20,28.7,28.7,28.03,28.22,22877,0
2025-08-21,28.11,28.38,28.11,28.19,95794,0
2025-08-22,28.21,28.24,28.13,28.14,26356,0
2025-08-25,28.14,28.33,28.1,28.14,3109,0
2025-08-26,28.28,28.28,28.03,28.03,25077,0
2025-08-28,27.94,28.23,27.93,28.13,32836,0
2025-08-29,27.42,28.31,27.42,28.13,48578,0
2025-09-01,28.23,28.23,28.03,28.06,32786,0
2025-09-02,28.08,28.19,28.06,28.11,32501,0
2025-09-03,28.28,28.28,28.07,28.12,4472,0
2025-09-04,28.3,28.32,28.1,28.21,17227,0
2025-09-05,28.21,28.32,28.21,28.28,21975,0
2025-09-08,28.42,28.42,28.03,28.36,100902,0
2025-09-09,28.53,28.53,28.17,28.33,24385,0
2025-09-10,28.22,28.47,28.21,28.3,39697,0
2025-09-11,29.0,29.0,28.23,28.28,20556,0
2025-09-12,28.43,28.44,28.28,28.37,17726,0
2025-09-15,28.23,28.46,28.22,28.32,4213,0
2025-09-16,29.02,29.02,28.2,28.39,53474,0
2025-09-17,28.4,28.57,28.23,28.43,13388,0
2025-09-18,28.54,28.54,28.34,28.35,86878,0
2025-09-19,28.47,28.47,28.26,28.34,65859,0
2025-09-22,28.26,28.43,28.26,28.37,21906,0
2025-09-23,28.46,28.47,28.38,28.44,32830,0
2025-09-24,28.55,28.55,28.4,28.41,17926,0
2025-09-25,28.54,28.54,28.4,28.41,36503,0
2025-09-26,28.54,28.54,28.33,28.39,26111,0
2025-09-29,28.48,28.48,28.29,28.35,7245,0
2025-09-30,28.35,28.46,28.23,28.3,5280,0
2025-10-01,27.59,29.15,27.59,28.32,7503,0
2025-10-03,28.33,28.49,28.32,28.37,66816,0
2025-10-06,28.3,28.5,28.3,28.46,108863,0
2025-10-07,28.5,28.5,28.41,28.42,19475,0
2025-10-08,28.5,28.57,28.42,28.49,82769,0
2025-10-09,28.36,28.57,28.36,28.52,45289,0
2025-10-10,28.45,28.59,28.44,28.58,17897,0
2025-10-13,28.58,28.58,28.42,28.57,32400,0
2025-10-14,28.67,28.74,28.51,28.68,50667,0
2025-10-15,28.68,28.68,28.51,28.57,70511,0
2025-10-16,28.55,28.69,28.52,28.59,17040,0
2025-10-17,28.6,28.68,28.49,28.57,37610,0
2025-10-20,28.68,28.69,28.5,28.53,24338,0
2025-10-21,28.78,28.78,28.49,28.51,7647,0
2025-10-23,28.68,29.95,28.41,28.8,146528,0
2025-10-24,28.79,28.9,28.5,28.56,75509,0
