date,open,high,low,close,volume,oi
2025-04-23,885.99,888.3,883.66,887.78,110,0
2025-04-24,884.63,891.0,884.62,887.99,21,0
2025-04-25,891.0,891.0,873.4,878.08,383,0
2025-04-28,879.97,891.0,879.97,888.92,239,0
2025-04-29,892.14,899.0,888.45,891.0,215,0
2025-04-30,889.21,902.2,889.21,902.2,52,0
2025-05-02,902.2,910.34,898.8,902.11,338,0
2025-05-05,906.62,908.51,894.68,907.01,159,0
2025-05-06,907.01,907.01,894.01,894.01,315,0
2025-05-07,898.48,900.1,894.2,894.48,43,0
2025-05-08,898.0,898.0,891.04,891.04,14,0
2025-05-09,891.04,891.04,880.71,881.41,65,0
2025-05-12,881.41,916.0,881.41,911.0,248,0
2025-05-13,910.99,910.99,903.35,903.35,98,0
2025-05-14,900.29,989.0,899.61,907.59,800,0
2025-05-15,906.26,910.13,906.26,910.13,4,0
2025-05-16,912.3,912.4,912.3,912.4,10,0
2025-05-19,911.18,923.6,911.01,922.38,220,0
2025-05-20,912.3,920.31,899.82,900.81,159,0
2025-05-21,915.63,938.72,903.5,921.12,11,0
2025-05-22,908.35,921.12,901.5,921.12,61,0
2025-05-23,915.65,916.56,905.13,907.75,34,0
2025-05-26,919.06,919.06,912.99,912.99,17,0
2025-05-27,912.99,912.99,908.0,912.99,22,0
2025-05-28,908.43,914.11,904.8,914.11,171,0
2025-05-30,913.9,913.9,905.19,913.9,11,0
2025-06-02,897.91,917.56,897.91,917.56,145,0
2025-06-03,907.77,917.56,899.21,910.54,144,0
2025-06-04,909.76,911.52,909.4,911.52,31,0
2025-06-05,911.52,926.68,909.01,913.91,61,0
2025-06-06,913.2,913.2,910.65,911.72,202,0
2025-06-09,911.72,928.78,906.22,917.19,2361,0
2025-06-10,915.84,916.0,915.84,916.0,17,0
2025-06-11,916.0,916.0,916.0,916.0,15,0
2025-06-12,916.0,922.12,908.62,917.75,87,0
2025-06-13,911.94,913.17,905.0,913.17,20,0
2025-06-16,896.53,915.41,895.0,903.71,89,0
2025-06-17,902.38,918.72,902.38,909.07,88,0
2025-06-18,908.13,916.1,902.2,904.81,38,0
2025-06-19,904.25,904.27,902.89,903.28,20,0
2025-06-20,911.09,911.15,909.8,909.91,45,0
2025-06-23,916.02,916.02,912.0,912.0,16,0
2025-06-24,918.26,923.55,917.29,923.55,193,0
2025-06-25,926.78,928.16,915.86,920.08,399,0
2025-06-26,897.07,929.23,897.07,929.23,477,0
2025-06-27,930.0,940.33,930.0,938.89,25,0
2025-06-30,934.56,939.82,934.19,936.92,193,0
2025-07-01,933.87,935.0,931.8,932.29,39,0
2025-07-02,934.54,938.87,929.5,929.5,107,0
2025-07-03,930.52,936.66,929.5,929.89,84,0
2025-07-04,933.15,933.15,926.9,928.49,72,0
2025-07-07,928.49,934.15,928.34,934.15,9,0
2025-07-08,934.15,935.9,930.37,935.9,42,0
2025-07-09,940.57,940.57,932.58,933.12,34,0
2025-07-10,935.12,935.51,932.97,932.97,102,0
2025-07-11,928.76,928.76,920.11,924.2,100,0
2025-07-14,922.82,922.82,915.41,921.77,65,0
2025-07-15,921.77,921.77,921.77,921.77,40,0
2025-07-17,925.83,926.66,919.46,920.28,131,0
2025-07-18,919.29,919.29,912.08,912.55,112,0
2025-07-21,913.23,927.49,913.23,917.64,77,0
2025-07-22,917.94,922.1,917.64,917.64,7,0
2025-07-23,922.22,922.96,918.66,922.95,137,0
2025-07-24,924.62,924.62,916.51,921.09,36,0
2025-07-25,914.4,914.4,914.0,914.0,25,0
2025-07-28,912.21,914.77,902.43,905.91,105,0
2025-07-29,905.59,907.9,904.49,907.9,63,0
2025-07-30,910.7,910.7,908.59,908.59,2,0
2025-07-31,908.59,912.52,905.91,910.19,60,0
2025-08-01,904.37,908.5,901.03,901.06,94,0
2025-08-04,903.29,904.0,903.29,904.0,22,0
2025-08-05,901.03,901.03,899.0,899.0,3008,0
2025-08-06,899.0,901.03,899.0,901.03,37,0
2025-08-07,898.14,898.32,892.14,896.51,149,0
2025-08-08,896.51,898.67,896.51,897.59,32,0
2025-08-11,894.85,898.67,894.85,898.29,86,0
