date,open,high,low,close,volume,oi
2025-04-23,1046.55,1046.57,1046.55,1046.56,1283074,0
2025-04-24,1046.73,1046.74,1046.72,1046.72,321431,0
2025-04-25,1047.19,1047.21,1047.19,1047.2,377728,0
2025-04-28,1047.2,1047.41,1047.2,1047.37,374657,0
2025-04-29,1047.52,1047.53,1047.51,1047.52,404068,0
2025-04-30,1047.86,1047.86,1047.84,1047.85,301753,0
2025-05-02,1048.32,1048.34,1048.32,1048.33,278989,0
2025-05-05,1048.48,1048.5,1048.48,1048.49,292464,0
2025-05-06,1048.52,1048.66,1048.52,1048.65,118982,0
2025-05-07,1048.63,1048.82,1048.63,1048.81,265066,0
2025-05-08,1048.96,1048.98,1048.96,1048.97,317501,0
2025-05-09,1049.59,1049.61,1049.59,1049.59,134254,0
2025-05-12,1049.61,1049.61,1049.59,1049.6,338165,0
2025-05-13,1049.74,1049.77,1049.74,1049.75,180371,0
2025-05-14,1049.92,1049.93,1049.91,1049.91,200288,0
2025-05-15,1050.07,1050.09,1050.07,1050.07,325366,0
2025-05-16,1050.56,1050.57,1050.55,1050.56,248057,0
2025-05-19,1050.71,1050.73,1050.71,1050.72,179134,0
2025-05-20,1050.86,1050.88,1050.86,1050.87,331849,0
2025-05-21,1046.0,1051.04,1045.62,1051.03,285594,0
2025-05-22,1051.18,1051.2,1051.18,1051.19,201458,0
2025-05-23,1051.68,1051.68,1051.66,1051.66,298150,0
2025-05-26,1051.82,1051.84,1051.82,1051.82,327699,0
2025-05-27,1051.98,1052.0,1051.98,1051.99,463930,0
2025-05-28,1052.16,1052.16,1052.14,1052.14,395181,0
2025-05-29,1052.14,1052.32,1052.14,1052.31,234225,0
2025-05-30,1052.0,1052.8,1052.0,1052.78,737325,0
2025-06-02,1052.96,1052.96,1052.94,1052.95,349583,0
2025-06-03,1052.95,1053.11,1052.95,1053.1,134810,0
2025-06-04,1053.27,1053.27,1053.25,1053.26,143598,0
2025-06-05,1053.43,1053.43,1053.41,1053.42,218390,0
2025-06-06,1053.89,1053.89,1053.87,1053.88,504510,0
2025-06-09,1054.02,1054.04,1054.02,1054.02,538935,0
2025-06-10,1054.16,1054.18,1054.16,1054.16,202743,0
2025-06-11,1054.3,1054.32,1054.3,1054.3,834934,0
2025-06-12,1054.47,1054.47,1054.45,1054.46,217291,0
2025-06-13,1054.89,1054.91,1054.89,1054.9,358229,0
2025-06-16,1054.91,1055.11,1054.9,1055.04,211098,0
2025-06-17,1055.2,1055.2,1055.18,1055.18,93775,0
2025-06-18,1055.35,1055.35,1055.33,1055.33,184640,0
2025-06-19,1055.47,1055.49,1055.47,1055.47,188604,0
2025-06-20,1055.0,1055.92,1055.0,1055.9,1714464,0
2025-06-23,1056.05,1056.07,1056.05,1056.05,385773,0
2025-06-24,1070.0,1072.0,1056.2,1056.21,159559,0
2025-06-25,1056.2,1056.42,1056.2,1056.34,178673,0
2025-06-26,1056.5,1056.51,1040.52,1056.49,271631,0
