date,open,high,low,close,volume,oi
2025-04-23,1000.0,1000.01,999.99,999.99,3114054,0
2025-04-24,1000.0,1000.01,999.99,1000.0,5673334,0
2025-04-25,1000.0,1000.01,999.99,1000.0,3866076,0
2025-04-28,1001.55,1001.55,999.66,999.99,3628016,0
2025-04-29,1000.01,1000.66,999.99,999.99,2678698,0
2025-04-30,999.99,1000.01,999.99,1000.0,3737677,0
2025-05-02,1000.01,1000.01,999.45,1000.0,3348534,0
2025-05-05,1000.0,1000.01,999.45,999.99,4058729,0
2025-05-06,999.99,1000.01,999.99,1000.0,3888844,0
2025-05-07,1000.66,1000.66,999.99,999.99,3746057,0
2025-05-08,1000.44,1000.44,999.99,1000.0,4214413,0
2025-05-09,999.99,1000.01,999.11,1000.0,2914237,0
2025-05-12,1000.88,1000.88,999.99,999.99,6504982,0
2025-05-13,999.6,1000.01,999.6,999.99,2490154,0
2025-05-14,1000.66,1001.55,999.99,999.99,2660864,0
2025-05-15,1000.0,1000.01,999.99,1000.0,2588090,0
2025-05-16,1000.0,1000.01,999.99,1000.0,3098335,0
2025-05-19,999.99,1000.96,999.99,1000.0,4518552,0
2025-05-20,1000.0,1000.66,999.99,999.99,3620619,0
2025-05-21,1000.01,1000.01,999.99,1000.0,2793052,0
2025-05-22,1000.0,1000.01,999.99,1000.0,2666477,0
2025-05-23,1000.01,1000.01,999.99,999.99,3092411,0
2025-05-26,1000.0,1000.01,999.99,1000.0,3655300,0
2025-05-27,1000.88,1000.88,999.99,999.99,3945218,0
2025-05-28,999.99,1000.01,999.99,999.99,1770583,0
2025-05-29,1000.0,1000.2,999.99,1000.0,5230750,0
2025-05-30,1001.55,1001.55,999.99,1000.0,3045107,0
2025-06-02,1000.0,1000.01,999.99,999.99,4186099,0
2025-06-03,997.5,1001.55,997.5,999.99,3486196,0
2025-06-04,1000.1,1000.1,999.99,999.99,1604054,0
2025-06-05,999.99,1000.01,999.99,1000.0,2138788,0
2025-06-06,1000.0,1000.01,999.99,1000.0,3412668,0
2025-06-09,1000.0,1000.1,999.99,1000.0,2257366,0
2025-06-10,1000.0,1000.01,999.11,1000.0,2517360,0
2025-06-11,999.99,1000.01,999.99,1000.0,2186349,0
2025-06-12,999.99,1000.01,999.22,1000.0,3613767,0
2025-06-13,999.22,1000.01,999.22,1000.0,8161078,0
2025-06-16,999.99,1000.01,999.99,999.99,1802281,0
2025-06-17,999.99,1000.01,999.22,1000.0,2016257,0
2025-06-18,999.99,1000.01,999.99,999.99,1744417,0
2025-06-19,999.33,1000.01,999.33,1000.0,2821123,0
2025-06-20,1000.0,1000.01,970.0,999.99,4146243,0
2025-06-23,995.3,1000.5,995.3,999.99,3603645,0
2025-06-24,999.99,1000.01,999.99,999.99,2091285,0
2025-06-25,1000.0,1000.01,999.99,1000.0,2058465,0
2025-06-26,999.99,1000.01,999.99,999.99,6810573,0
2025-06-27,1000.0,1000.01,997.35,1000.0,4233463,0
2025-06-30,1000.0,1001.55,999.99,999.99,3654645,0
2025-07-01,1000.0,1000.01,999.99,1000.0,2538487,0
2025-07-02,1000.5,1000.5,997.5,999.99,4654085,0
2025-07-03,1000.0,1000.01,999.99,1000.0,5320239,0
2025-07-04,1000.0,1000.5,999.99,1000.0,13514627,0
2025-07-07,1000.0,1000.0,999.22,999.99,9610167,0
2025-07-08,1000.0,1000.0,999.45,999.99,3436931,0
2025-07-09,1000.0,1000.0,999.66,999.99,2593059,0
2025-07-10,999.72,1000.01,999.72,1000.0,2332340,0
2025-07-11,1000.01,1000.01,999.99,1000.0,3607325,0
2025-07-14,999.36,1000.01,999.36,999.99,3408645,0
2025-07-15,1000.0,1000.01,999.99,999.99,2498951,0
2025-07-16,1000.0,1000.01,999.99,1000.0,2068046,0
2025-07-17,999.99,1000.01,999.51,999.99,2413011,0
2025-07-18,999.99,1001.55,999.99,1000.0,1629206,0
2025-07-21,999.99,1000.01,999.99,999.99,1794214,0
2025-07-22,1000.0,1000.01,999.99,1000.0,2940228,0
2025-07-23,1001.55,1001.55,999.99,999.99,1729881,0
2025-07-24,999.99,1000.01,999.45,1000.0,1773644,0
2025-07-25,1000.0,1000.01,999.45,1000.0,4470074,0
2025-07-28,1000.0,1000.01,999.52,999.99,1984476,0
2025-07-29,1000.0,1000.01,999.99,999.99,5296033,0
2025-07-30,1000.0,1000.01,999.99,1000.0,3305094,0
2025-07-31,1000.0,1000.01,999.99,1000.0,6094319,0
2025-08-01,999.99,1000.01,999.99,999.99,3336184,0
2025-08-04,1000.96,1000.96,999.99,999.99,4250654,0
2025-08-05,1001.55,1001.55,999.45,1000.0,3118805,0
2025-08-06,999.99,1000.1,999.99,999.99,3103421,0
2025-08-07,999.99,1000.01,999.99,999.99,3634966,0
2025-08-08,1000.0,1000.88,999.99,1000.0,2064005,0
2025-08-11,1000.0,1000.01,999.99,999.99,3263191,0
2025-08-12,1000.0,1000.01,999.99,1000.0,1885517,0
2025-08-13,999.45,1000.01,999.45,999.99,1558738,0
2025-08-14,999.99,1000.01,999.99,1000.0,3184379,0
2025-08-18,1000.0,1000.01,998.0,999.99,2549396,0
2025-08-19,1000.93,1000.93,999.99,999.99,1862542,0
2025-08-20,1000.0,1000.01,999.99,1000.0,2600595,0
2025-08-21,1000.0,1001.55,999.45,1000.0,4060410,0
2025-08-22,1000.0,1000.01,999.75,1000.0,2485974,0
2025-08-25,999.11,1000.96,999.11,999.99,1833682,0
2025-08-26,1000.0,1000.88,999.99,999.99,2704602,0
2025-08-28,999.45,1000.01,999.45,999.99,5506871,0
2025-08-29,999.99,1000.01,999.45,1000.0,3507471,0
2025-09-01,1000.0,1000.01,999.99,999.99,3661711,0
2025-09-02,1000.0,1000.01,999.99,999.99,2693635,0
2025-09-03,999.99,1000.01,999.51,999.99,3057207,0
2025-09-04,999.99,1000.01,999.99,1000.0,2045966,0
2025-09-05,1000.0,1000.01,999.99,999.99,1699291,0
2025-09-08,999.56,1000.3,999.56,999.99,3076631,0
2025-09-09,999.99,1000.01,999.99,999.99,2002121,0
2025-09-10,1000.0,1000.01,999.99,999.99,2978663,0
2025-09-11,999.99,1000.01,999.66,999.99,1789593,0
2025-09-12,999.99,1000.77,999.52,1000.0,2900482,0
2025-09-15,999.56,1000.01,999.56,999.99,3595653,0
2025-09-16,1000.0,1000.01,999.99,999.99,1788073,0
2025-09-17,1000.01,1000.01,999.99,1000.0,1754139,0
2025-09-18,1000.0,1000.01,999.99,1000.0,1938983,0
2025-09-19,1000.0,1000.01,999.99,1000.0,975685,0
2025-09-22,999.99,1000.01,999.51,999.99,2264642,0
2025-09-23,999.99,1000.01,999.56,1000.0,1942511,0
2025-09-24,1000.25,1000.25,999.99,1000.0,1654535,0
2025-09-25,1000.0,1000.01,999.99,1000.0,1673135,0
2025-09-26,1000.0,1000.01,999.99,1000.0,4151519,0
2025-09-29,1000.0,1000.77,999.56,999.99,3804834,0
2025-09-30,1000.0,1000.01,999.99,1000.0,6345930,0
2025-10-01,1000.0,1000.99,999.99,1000.0,8177933,0
2025-10-03,1000.0,1000.01,999.99,1000.0,13839374,0
2025-10-06,999.99,1000.01,998.61,999.99,10941036,0
2025-10-07,999.99,1000.01,999.99,1000.0,3938239,0
2025-10-08,1000.0,1000.01,999.99,1000.0,2506646,0
2025-10-09,999.99,1000.01,999.99,999.99,2340913,0
2025-10-10,1000.0,1000.01,999.99,1000.0,2494471,0
2025-10-13,1000.0,1000.97,999.99,999.99,2818015,0
2025-10-14,999.99,1000.01,999.56,999.99,2550786,0
2025-10-15,999.99,1000.01,999.99,999.99,2228759,0
2025-10-16,1000.0,1000.01,999.99,1000.0,2441386,0
2025-10-17,999.99,1000.01,999.99,1000.0,4699425,0
2025-10-20,1000.0,1000.01,999.56,1000.0,2604692,0
2025-10-21,999.99,1000.01,999.56,1000.0,705053,0
2025-10-23,999.99,1000.01,999.99,999.99,3419475,0
2025-10-24,1000.77,1000.77,999.63,1000.0,3906006,0
2025-10-27,999.99,1000.85,999.99,1000.0,2226874,0
2025-10-28,999.98,1000.01,999.98,999.99,4140634,0
2025-10-29,1029.99,1029.99,999.99,999.99,5983125,0
2025-10-30,999.99,1000.01,999.99,999.99,2987518,0
2025-10-31,1000.0,1000.01,999.99,1000.0,1880440,0
2025-11-03,1000.0,1000.01,999.63,999.99,1999307,0
2025-11-04,1000.01,1000.01,999.99,1000.0,1989262,0
2025-11-06,999.99,1000.5,999.99,1000.0,2712119,0
2025-11-07,1000.0,1000.01,999.99,1000.0,2335610,0
2025-11-10,999.99,1000.01,999.99,1000.0,1780130,0
2025-11-11,999.99,1000.01,999.99,999.99,1774276,0
2025-11-12,1000.0,1000.01,999.99,999.99,2080643,0
2025-11-13,999.99,1000.01,999.99,999.99,1618273,0
2025-11-14,999.0,1000.01,999.0,1000.0,2589261,0
2025-11-17,1000.01,1000.01,999.99,999.99,2223597,0
2025-11-18,999.99,1000.01,999.99,1000.0,2433150,0
2025-11-19,999.99,1000.01,999.99,1000.0,2664301,0
2025-11-20,1000.0,1000.01,999.99,1000.0,2464407,0
2025-11-21,1000.0,1000.01,999.99,1000.0,3600701,0
2025-11-24,999.11,1000.01,999.11,999.99,3025072,0
2025-11-25,1000.0,1000.01,999.99,1000.0,5954978,0
2025-11-26,1000.0,1000.01,999.99,999.99,1977815,0
2025-11-27,1000.0,1000.01,999.99,999.99,3168144,0
2025-11-28,999.99,1000.01,999.99,999.99,1918006,0
2025-12-01,999.9,1000.01,999.9,1000.0,2220101,0
2025-12-02,1000.0,1000.01,999.99,999.99,1977553,0
2025-12-03,1000.0,1000.01,999.99,999.99,2487047,0
2025-12-04,1000.0,1000.01,999.99,999.99,2916573,0
2025-12-05,1000.0,1000.01,999.99,1000.0,2835394,0
2025-12-08,1000.0,1000.01,999.0,1000.0,2432399,0
2025-12-09,1000.0,1000.01,999.99,999.99,4335018,0
2025-12-10,1000.5,1000.5,999.99,999.99,3421543,0
2025-12-11,1000.0,1000.01,999.99,999.99,3018481,0
2025-12-12,999.99,1000.01,999.99,1000.0,2266391,0
2025-12-15,1000.0,1000.01,999.99,999.99,1969593,0
2025-12-16,1000.0,1000.01,999.99,1000.0,2052773,0
2025-12-17,999.99,1000.01,999.99,1000.0,3031875,0
2025-12-18,1000.99,1000.99,999.09,1000.0,2343912,0
2025-12-19,1000.0,1000.01,999.99,1000.0,2772261,0
2025-12-22,1000.0,1000.5,999.99,1000.0,2161879,0
2025-12-23,1000.0,1000.01,999.99,1000.0,2351254,0
2025-12-24,1000.0,1000.01,999.99,1000.0,2653141,0
2025-12-26,999.99,1000.01,999.99,999.99,3502041,0
2025-12-29,1000.0,1000.01,997.15,1000.0,3645339,0
2025-12-30,1000.0,1000.01,999.9,1000.0,3575253,0
2025-12-31,999.99,1000.01,999.99,999.99,4074677,0
2026-01-01,999.99,1000.5,999.99,1000.0,4785423,0
2026-01-02,1025.0,1025.0,999.99,1000.0,12254248,0
2026-01-05,1000.0,1000.01,999.09,999.99,11095430,0
2026-01-06,999.99,1000.01,999.9,999.99,3167175,0
2026-01-07,1000.0,1000.01,999.99,1000.0,2871904,0
2026-01-08,999.09,1000.01,999.09,1000.0,2768683,0
2026-01-09,999.99,1000.01,999.99,1000.0,2384434,0
2026-01-12,999.99,1000.01,999.09,999.99,4216883,0
2026-01-13,999.09,1000.01,999.09,1000.0,3393622,0
2026-01-14,1000.0,1000.01,999.99,1000.0,1891317,0
2026-01-16,995.0,1002.0,995.0,1000.0,1919904,0
2026-01-19,1000.0,1000.01,999.4,1000.0,3196301,0
2026-01-20,970.0,1000.01,970.0,1000.0,2930886,0
2026-01-21,999.99,1000.01,999.99,999.99,5225931,0
2026-01-22,999.99,1000.01,999.99,999.99,3704766,0
2026-01-23,1000.99,1000.99,999.99,1000.0,5134105,0
2026-01-27,999.99,1000.01,999.99,1000.0,5632428,0
2026-01-28,999.99,1000.01,999.99,999.99,5932859,0
2026-01-29,999.99,1000.01,998.0,999.99,3547635,0
2026-01-30,1000.85,1000.85,999.99,1000.0,4198968,0
2026-02-01,999.95,1000.01,999.09,1000.0,2788955,0
2026-02-02,1000.0,1000.01,998.09,999.99,4127700,0
2026-02-03,999.99,1000.01,998.09,999.99,3564022,0
2026-02-04,1000.0,1000.01,999.99,999.99,3148815,0
2026-02-05,999.99,1000.01,999.99,1000.0,2194126,0
2026-02-06,1001.88,1001.88,999.99,1000.0,4456795,0
2026-02-09,1000.0,1000.01,999.99,999.99,2536418,0
2026-02-10,999.99,1000.01,999.99,1000.0,3055840,0
2026-02-11,1000.0,1000.01,999.99,999.99,2412576,0
2026-02-12,1000.0,1000.01,999.99,1000.0,2669409,0
2026-02-13,1000.0,1000.01,999.99,1000.0,4447046,0
2026-02-16,999.99,1000.01,999.99,999.99,4751501,0
2026-02-17,1000.0,1000.01,999.99,999.99,2290610,0
