date,open,high,low,close,volume,oi
2025-04-23,1026.96,1026.98,1026.96,1026.98,24893,0
2025-04-24,1027.12,1027.12,1027.1,1027.1,557421,0
2025-04-25,1027.57,1027.59,1027.57,1027.59,96529,0
2025-04-28,1027.72,1027.72,1027.7,1027.72,102995,0
2025-04-29,1027.84,1027.87,1027.84,1027.87,114015,0
2025-04-30,1028.16,1028.2,1028.16,1028.19,108250,0
2025-05-02,1028.65,1028.67,1028.65,1028.67,526033,0
2025-05-05,1028.79,1028.81,1028.79,1028.81,60858,0
2025-05-06,1028.92,1028.95,1028.92,1028.93,57364,0
2025-05-07,1029.08,1029.11,1029.08,1029.09,43086,0
2025-05-08,1029.26,1029.26,1029.24,1029.25,788699,0
2025-05-09,1029.91,1029.91,1029.87,1029.9,172100,0
2025-05-12,1050.0,1050.0,1029.87,1029.89,324908,0
2025-05-13,1030.02,1030.02,1030.0,1030.0,478305,0
2025-05-14,1030.14,1030.17,1030.14,1030.16,359559,0
2025-05-15,1030.28,1030.31,1030.28,1030.29,238209,0
2025-05-16,1030.75,1030.77,1030.75,1030.76,564618,0
2025-05-19,1030.88,1030.91,1030.81,1030.9,429764,0
2025-05-20,1031.03,1031.05,1031.03,1031.03,245305,0
2025-05-21,1031.2,1031.2,1031.18,1031.18,168714,0
2025-05-22,1031.36,1031.36,1031.32,1031.33,28888,0
2025-05-23,1031.8,1031.82,1031.8,1031.81,885649,0
2025-05-26,1031.95,1031.97,1031.95,1031.96,89934,0
2025-05-27,1032.11,1032.11,1032.09,1032.09,111710,0
2025-05-28,1032.24,1032.26,1032.24,1032.25,61182,0
2025-05-29,1032.39,1032.41,1032.39,1032.4,712799,0
2025-05-30,1032.87,1032.89,1032.87,1032.88,329086,0
2025-06-02,1033.0,1033.04,1033.0,1033.01,190888,0
2025-06-03,1033.16,1033.18,1033.16,1033.16,223641,0
2025-06-04,1002.17,1207.5,1002.17,1033.32,64080,0
2025-06-05,1033.45,1033.48,1033.45,1033.46,81458,0
2025-06-06,1033.9,1033.92,1033.9,1033.91,114387,0
2025-06-09,1034.07,1034.07,1034.03,1034.04,146367,0
2025-06-10,1034.17,1034.2,1034.17,1034.19,446202,0
2025-06-11,1034.31,1034.34,1034.31,1034.33,152846,0
2025-06-12,1034.45,1034.47,1034.45,1034.46,212178,0
2025-06-13,1034.87,1034.9,1034.87,1034.89,32145,0
2025-06-16,1034.99,1035.02,1034.99,1035.0,168234,0
2025-06-17,1035.18,1035.18,1035.15,1035.15,156258,0
2025-06-18,1035.3,1035.3,1035.28,1035.29,85112,0
2025-06-19,1035.41,1035.44,1035.41,1035.42,737434,0
2025-06-20,1035.84,1035.88,1035.84,1035.86,739593,0
2025-06-23,1035.97,1035.99,1035.97,1035.98,158944,0
2025-06-24,1036.09,1036.13,1036.09,1036.11,306642,0
2025-06-25,1036.23,1036.25,1036.23,1036.24,139293,0
2025-06-26,1036.37,1036.39,1036.37,1036.38,930297,0
2025-06-27,1036.84,1036.84,1036.81,1036.82,570210,0
2025-06-30,1036.92,1036.95,1036.92,1036.93,297713,0
2025-07-01,1037.06,1037.09,1037.06,1037.08,679771,0
2025-07-02,1037.19,1037.23,1037.19,1037.2,129079,0
2025-07-03,1037.35,1037.35,1037.33,1037.34,118309,0
2025-07-04,1050.0,1084.02,1037.75,1037.81,1605464,0
2025-07-07,1037.88,1037.91,1037.88,1037.89,135943,0
2025-07-08,1047.0,1047.0,1038.01,1038.02,283612,0
2025-07-09,1038.14,1038.17,1038.14,1038.16,586836,0
2025-07-10,1038.31,1038.31,1038.29,1038.3,340993,0
2025-07-11,1038.71,1038.75,1038.71,1038.73,103370,0
2025-07-14,1038.84,1038.87,1038.84,1038.86,427526,0
2025-07-15,1038.99,1039.01,1038.99,1039.0,44370,0
2025-07-16,1039.14,1039.15,1039.13,1039.14,313131,0
2025-07-17,1039.26,1039.3,1039.26,1039.27,58938,0
2025-07-18,1039.71,1039.73,1039.71,1039.72,220965,0
2025-07-21,1065.71,1065.71,1039.84,1039.86,195384,0
2025-07-22,1033.27,1040.02,1033.12,1040.01,88662,0
2025-07-23,1040.18,1040.19,1040.15,1040.16,405045,0
2025-07-24,1032.0,1040.34,1030.0,1040.31,151141,0
2025-07-25,1040.75,1040.78,1040.75,1040.76,477640,0
2025-07-28,1040.91,1040.91,1040.89,1040.9,263554,0
2025-07-29,1041.05,1041.05,1041.01,1041.03,265962,0
2025-07-30,1041.15,1041.19,1041.15,1041.17,743161,0
2025-07-31,1041.34,1041.34,1041.3,1041.31,217306,0
2025-08-01,1041.75,1041.76,1041.74,1041.75,254658,0
