date,open,high,low,close,volume,oi
2025-04-23,1000.0,1000.01,999.99,999.99,1117531,0
2025-04-24,1000.0,1000.01,999.99,999.99,1180157,0
2025-04-25,1000.0,1000.01,999.99,999.99,947622,0
2025-04-28,1000.0,1000.01,999.99,999.99,567358,0
2025-04-29,1000.0,1000.01,999.99,999.99,543745,0
2025-04-30,1000.0,1000.01,999.99,999.99,687112,0
2025-05-02,1000.0,1000.01,999.99,999.99,593761,0
2025-05-05,1000.0,1000.01,999.99,999.99,801210,0
2025-05-06,999.99,1000.01,999.99,999.99,2022647,0
2025-05-07,999.99,1000.01,999.99,999.99,766456,0
2025-05-08,1000.0,1000.01,999.99,999.99,666164,0
2025-05-09,1000.0,1000.01,999.98,999.99,1040787,0
2025-05-12,999.99,1000.01,999.99,999.99,974190,0
2025-05-13,999.99,1000.01,999.99,999.99,851016,0
2025-05-14,1000.0,1000.01,999.99,999.99,788452,0
2025-05-15,999.99,1000.01,996.51,999.99,499492,0
2025-05-16,1000.0,1000.01,999.99,999.99,575055,0
2025-05-19,999.99,1002.0,999.99,999.99,801889,0
2025-05-20,999.99,1000.01,999.99,999.99,575339,0
2025-05-21,1000.0,1000.01,999.99,1000.0,641605,0
2025-05-22,1000.0,1000.01,999.99,1000.0,708402,0
2025-05-23,1000.0,1000.01,999.99,999.99,734907,0
2025-05-26,1000.0,1000.01,999.99,999.99,675891,0
2025-05-27,1029.99,1029.99,999.0,999.99,567023,0
2025-05-28,999.99,1000.01,999.99,999.99,741698,0
2025-05-29,1000.0,1000.01,999.99,999.99,714150,0
2025-05-30,1000.0,1000.01,999.05,999.99,860748,0
2025-06-02,1000.0,1000.01,999.99,1000.0,753415,0
2025-06-03,1000.0,1000.01,999.99,999.99,3994251,0
2025-06-04,1002.0,1002.0,999.99,999.99,804890,0
2025-06-05,999.99,1000.01,999.99,999.99,510531,0
2025-06-06,1000.0,1000.01,999.99,999.99,659502,0
2025-06-09,1000.0,1000.01,999.99,999.99,1490730,0
2025-06-10,1000.0,1000.01,999.99,999.99,779957,0
2025-06-11,1000.0,1000.01,999.99,999.99,777536,0
2025-06-12,1000.0,1000.01,999.99,999.99,1914422,0
2025-06-13,999.99,1000.01,999.99,999.99,932559,0
2025-06-16,1000.0,1000.01,999.99,999.99,626300,0
2025-06-17,1000.0,1000.01,999.99,999.99,612489,0
2025-06-18,999.99,1000.01,999.99,999.99,331823,0
2025-06-19,1000.0,1000.01,999.99,999.99,974789,0
2025-06-20,1000.0,1000.01,999.99,999.99,1282931,0
2025-06-23,999.99,1000.01,999.99,999.99,498105,0
2025-06-24,1000.0,1000.01,999.99,999.99,612279,0
2025-06-25,1000.0,1000.01,999.99,999.99,850692,0
2025-06-26,1000.0,1000.01,999.99,999.99,1772250,0
2025-06-27,1000.01,1000.01,999.99,999.99,1123362,0
2025-06-30,1000.0,1000.01,999.99,999.99,919088,0
2025-07-01,1000.0,1000.01,999.99,999.99,803452,0
2025-07-02,1000.0,1000.01,999.99,999.99,662083,0
2025-07-03,1000.0,1000.01,999.99,999.99,721431,0
2025-07-04,1000.0,1000.01,999.99,999.99,1405362,0
2025-07-07,999.99,1000.01,999.99,1000.0,715018,0
2025-07-08,1000.0,1000.01,999.98,999.99,892182,0
2025-07-09,1000.0,1000.01,999.99,999.99,529284,0
2025-07-10,999.99,1000.01,999.99,999.99,399150,0
2025-07-11,999.99,1000.01,999.99,999.99,871750,0
2025-07-14,999.99,1000.01,999.99,999.99,1314648,0
2025-07-15,1000.0,1000.01,999.99,999.99,615310,0
2025-07-16,999.99,1000.01,999.99,999.99,690597,0
2025-07-17,1000.0,1000.01,999.99,999.99,880237,0
2025-07-18,1000.0,1000.01,999.99,999.99,457948,0
2025-07-21,999.99,1000.01,999.99,999.99,546261,0
2025-07-22,999.99,1000.01,999.99,999.99,736414,0
2025-07-23,1000.0,1000.01,999.99,999.99,901529,0
2025-07-24,1000.01,1000.01,999.99,999.99,447467,0
2025-07-25,999.99,1000.01,999.99,999.99,462451,0
2025-07-28,999.99,1000.01,999.99,999.99,819026,0
2025-07-29,1000.0,1000.01,999.99,999.99,850487,0
2025-07-30,999.99,1000.01,999.99,999.99,128392,0
2025-07-31,999.99,1000.01,999.98,999.99,1425816,0
2025-08-01,1000.0,1000.01,999.99,999.99,1387150,0
2025-08-04,999.99,1000.01,999.99,999.99,743345,0
2025-08-05,999.99,1000.01,999.99,999.99,290906,0
2025-08-06,999.99,1000.01,998.0,999.99,636581,0
2025-08-07,1000.0,1000.01,999.99,999.99,1314341,0
2025-08-08,1000.0,1000.01,999.99,999.99,255416,0
2025-08-11,1000.0,1000.01,999.99,999.99,705466,0
2025-08-12,999.99,1000.01,999.99,999.99,485859,0
2025-08-13,999.99,1000.01,999.99,999.99,511733,0
2025-08-14,1000.0,1000.01,999.99,999.99,469851,0
2025-08-18,1000.0,1000.01,999.99,999.99,760342,0
2025-08-19,999.99,1000.01,999.99,999.99,383826,0
2025-08-20,1000.0,1000.01,999.99,999.99,297383,0
2025-08-21,1000.0,1000.01,999.99,999.99,643902,0
2025-08-22,1000.0,1000.01,999.99,999.99,915027,0
2025-08-25,999.99,1000.01,999.99,999.99,1694477,0
2025-08-26,1000.0,1000.01,999.99,999.99,694738,0
2025-08-28,999.99,1000.01,999.99,999.99,656425,0
2025-08-29,1000.0,1000.01,999.99,999.99,403324,0
2025-09-01,1000.0,1000.01,999.99,999.99,220572,0
2025-09-02,999.99,1000.01,999.99,999.99,326789,0
2025-09-03,999.0,1000.01,999.0,999.99,228745,0
2025-09-04,999.99,1000.01,999.99,999.99,819924,0
2025-09-05,1000.0,1000.01,999.99,999.99,491055,0
2025-09-08,1000.0,1000.01,999.99,999.99,304888,0
2025-09-09,1000.0,1000.01,999.99,999.99,378544,0
2025-09-10,999.99,1000.01,999.99,999.99,301822,0
2025-09-11,1000.0,1000.01,999.99,999.99,315518,0
2025-09-12,1000.0,1000.01,999.99,999.99,707234,0
2025-09-15,1000.01,1000.01,999.99,999.99,220910,0
2025-09-16,999.0,1000.01,969.99,999.99,491325,0
2025-09-17,1000.0,1000.01,999.99,999.99,336216,0
2025-09-18,999.99,1000.01,999.99,999.99,305338,0
2025-09-19,999.0,1000.01,999.0,999.99,548730,0
2025-09-22,1000.0,1000.01,999.99,999.99,267209,0
2025-09-23,1000.0,1000.01,999.99,999.99,332074,0
2025-09-24,1000.0,1000.01,999.99,999.99,461128,0
2025-09-25,1000.0,1000.01,999.99,999.99,200834,0
2025-09-26,999.99,1000.01,999.99,999.99,180314,0
2025-09-29,999.99,1000.01,999.99,999.99,183900,0
2025-09-30,999.99,1000.01,999.99,999.99,558144,0
2025-10-01,1000.0,1000.01,999.99,999.99,929075,0
2025-10-03,1000.0,1000.01,999.99,999.99,911467,0
2025-10-06,999.99,1000.02,999.99,1000.0,630862,0
2025-10-07,999.99,1000.01,999.99,999.99,432471,0
2025-10-08,1000.0,1000.01,999.99,999.99,620287,0
2025-10-09,999.99,1000.01,999.99,999.99,527758,0
2025-10-10,999.99,1000.01,999.99,999.99,739192,0
2025-10-13,1000.0,1000.01,999.99,999.99,378093,0
2025-10-14,999.99,1000.01,999.99,999.99,973991,0
2025-10-15,1000.0,1000.01,999.99,999.99,623112,0
2025-10-16,1000.0,1000.01,999.99,999.99,410861,0
2025-10-17,999.99,1000.01,999.99,999.99,281416,0
2025-10-20,999.99,1000.01,999.99,999.99,105167,0
2025-10-21,999.99,1000.01,999.99,999.99,289806,0
2025-10-23,1000.0,1000.01,999.99,999.99,462917,0
2025-10-24,999.99,1000.01,999.99,999.99,231565,0
2025-10-27,999.99,1000.01,999.99,999.99,454182,0
2025-10-28,999.99,1000.01,999.99,999.99,742559,0
2025-10-29,999.99,1000.01,999.99,999.99,220621,0
2025-10-30,999.99,1000.01,999.99,999.99,403593,0
2025-10-31,1000.0,1000.01,999.99,999.99,332875,0
2025-11-03,999.99,1000.01,999.99,999.99,537277,0
2025-11-04,1000.0,1000.01,999.99,999.99,222884,0
2025-11-06,999.99,1000.01,999.99,999.99,472603,0
2025-11-07,999.99,1000.01,999.99,999.99,371473,0
2025-11-10,999.99,1000.01,999.99,999.99,575255,0
2025-11-11,1000.0,1000.01,999.99,999.99,303034,0
2025-11-12,999.99,1000.01,999.99,999.99,336785,0
2025-11-13,1000.0,1000.01,999.99,999.99,220655,0
2025-11-14,999.99,1000.01,999.99,999.99,767967,0
2025-11-17,999.99,1000.01,999.99,999.99,521300,0
2025-11-18,1000.0,1000.01,999.99,999.99,660302,0
2025-11-19,1000.0,1000.01,999.99,999.99,368604,0
2025-11-20,1000.0,1000.01,999.99,999.99,515661,0
2025-11-21,999.99,1000.01,999.99,999.99,514463,0
2025-11-24,1000.0,1000.01,999.99,999.99,778687,0
2025-11-25,1000.0,1000.01,999.99,999.99,369675,0
2025-11-26,1000.0,1000.01,999.99,999.99,687042,0
2025-11-27,1000.01,1000.01,999.99,999.99,524515,0
2025-11-28,1000.0,1000.01,999.99,999.99,477433,0
2025-12-01,1000.0,1000.01,999.99,999.99,256415,0
2025-12-02,999.99,1000.01,999.99,999.99,323271,0
2025-12-03,1000.0,1000.01,999.6,999.99,410110,0
2025-12-04,999.99,1000.01,999.99,999.99,388612,0
2025-12-05,1000.0,1000.01,999.99,999.99,909480,0
2025-12-08,1000.01,1000.01,999.99,999.99,318070,0
2025-12-09,999.99,1000.01,999.99,999.99,383068,0
2025-12-10,1000.0,1000.01,999.99,999.99,208443,0
2025-12-11,997.15,1000.01,969.99,999.99,168696,0
2025-12-12,1000.0,1000.01,999.0,999.91,449918,0
2025-12-15,1000.0,1000.01,999.99,999.99,164398,0
2025-12-16,1000.0,1000.01,999.99,999.99,304305,0
2025-12-17,1000.0,1000.01,999.99,999.99,232780,0
2025-12-18,1000.0,1000.01,999.99,999.99,240802,0
2025-12-19,999.99,1000.01,999.99,999.99,316499,0
2025-12-22,1000.0,1000.01,999.99,999.99,368398,0
2025-12-23,999.99,1000.01,999.99,999.99,257285,0
2025-12-24,1000.0,1000.01,999.99,999.99,452460,0
2025-12-26,1000.0,1000.01,970.0,999.99,435785,0
2025-12-29,1000.0,1000.01,999.99,999.99,215150,0
2025-12-30,999.99,1000.01,999.98,999.99,768456,0
2025-12-31,999.99,1000.01,999.99,999.99,517289,0
2026-01-01,1000.0,1000.01,999.99,999.99,826125,0
2026-01-02,1000.0,1000.01,999.99,999.99,1341754,0
2026-01-05,999.99,1000.01,999.99,1000.0,527552,0
2026-01-06,1000.0,1000.01,999.99,999.99,604263,0
2026-01-07,999.99,1000.01,999.99,999.99,452273,0
2026-01-08,999.99,1000.01,999.99,999.99,1514016,0
2026-01-09,999.99,1000.01,998.48,999.99,736606,0
2026-01-12,999.9,1000.01,999.9,999.99,484827,0
2026-01-13,1000.0,1000.01,999.99,999.99,280507,0
2026-01-14,999.99,1000.01,993.01,999.99,483697,0
2026-01-16,1000.0,1000.01,999.99,999.99,473361,0
2026-01-19,1000.0,1000.01,999.99,999.99,487382,0
2026-01-20,1000.0,1000.01,999.99,999.99,978336,0
2026-01-21,1000.0,1000.01,999.99,999.99,518920,0
2026-01-22,999.99,1000.01,999.5,999.99,850211,0
2026-01-23,1000.0,1000.01,999.99,999.99,1090737,0
2026-01-27,1000.01,1000.01,999.6,999.99,478516,0
2026-01-28,999.99,1000.01,999.99,999.99,373965,0
2026-01-29,1000.0,1000.01,999.95,999.99,977222,0
2026-01-30,1000.0,1000.01,999.99,999.99,505551,0
2026-02-01,1000.0,1000.01,999.99,999.99,220345,0
2026-02-02,1000.0,1000.01,999.99,999.99,844489,0
2026-02-03,1000.0,1000.01,999.99,999.99,1045747,0
2026-02-04,1000.0,1000.01,999.95,999.99,1547096,0
2026-02-05,999.99,1000.01,999.99,999.99,240026,0
2026-02-06,999.99,1000.01,999.99,999.99,701166,0
2026-02-09,1000.01,1000.1,999.99,999.99,936191,0
2026-02-10,1000.0,1000.01,999.99,999.99,248361,0
2026-02-11,1000.0,1000.01,999.99,999.99,258965,0
2026-02-12,1000.0,1000.01,999.99,999.99,918180,0
2026-02-13,1000.0,1000.01,999.99,999.99,433881,0
2026-02-16,1000.0,1000.01,999.99,999.99,429782,0
2026-02-17,1000.0,1000.01,996.52,999.99,465407,0
