date,open,high,low,close,volume,oi
2025-04-23,1028.73,1028.75,1028.73,1028.73,75704,0
2025-04-24,1028.91,1028.91,1028.89,1028.9,22174,0
2025-04-25,1029.36,1029.38,1029.36,1029.37,22703,0
2025-04-28,1029.52,1029.54,1029.52,1029.52,15005,0
2025-04-29,1029.67,1029.69,1029.67,1029.69,39011,0
2025-04-30,1029.99,1030.01,1029.99,1029.99,40507,0
2025-05-02,1030.47,1030.49,1030.47,1030.48,62794,0
2025-05-05,1030.63,1030.64,1030.63,1030.64,44355,0
2025-05-06,1030.78,1030.8,1030.78,1030.79,3623,0
2025-05-07,1030.93,1030.95,1030.93,1030.94,123803,0
2025-05-08,1031.11,1031.11,1031.09,1031.1,56599,0
2025-05-09,1031.74,1031.74,1031.72,1031.72,142288,0
2025-05-12,1031.74,1031.74,1031.72,1031.72,36816,0
2025-05-13,1031.87,1031.89,1031.87,1031.87,389817,0
2025-05-14,1032.05,1032.05,1032.03,1032.04,37936,0
2025-05-15,1032.21,1032.21,1032.19,1032.19,37516,0
2025-05-16,1032.65,1032.67,1032.65,1032.67,37135,0
2025-05-19,1032.83,1032.83,1032.81,1032.82,102531,0
2025-05-20,1032.96,1032.97,1032.96,1032.96,85002,0
2025-05-21,1033.11,1033.13,1033.11,1033.12,20019,0
2025-05-22,1033.27,1033.29,1033.27,1033.27,129656,0
2025-05-23,1033.75,1033.77,1033.75,1033.75,13748,0
2025-05-26,1033.9,1033.92,1033.9,1033.92,10160,0
2025-05-27,1034.08,1034.08,1034.06,1034.07,36894,0
2025-05-28,1034.21,1034.23,1034.21,1034.23,12592,0
2025-05-29,1029.06,1240.88,1029.06,1034.38,29677,0
2025-05-30,1034.85,1034.87,1034.85,1034.86,15517,0
2025-06-02,1035.0,1035.02,1035.0,1035.01,123141,0
2025-06-03,1035.15,1035.17,1035.15,1035.16,55730,0
2025-06-04,1035.33,1035.33,1035.31,1035.32,20732,0
2025-06-05,1035.48,1035.48,1035.46,1035.47,20651,0
2025-06-06,1035.94,1035.94,1035.89,1035.89,52438,0
2025-06-09,1035.95,1036.07,1035.95,1036.06,32861,0
2025-06-10,1036.19,1036.21,1036.19,1036.2,23096,0
2025-06-11,1036.35,1036.35,1036.33,1036.34,17688,0
2025-06-12,1036.47,1036.49,1036.47,1036.48,26642,0
2025-06-13,1036.9,1036.92,1036.9,1036.9,23488,0
2025-06-16,1037.04,1037.06,1037.04,1037.06,84079,0
2025-06-17,1037.18,1037.2,1037.18,1037.19,10402,0
2025-06-18,1037.31,1037.33,1037.31,1037.32,155727,0
2025-06-19,1037.45,1037.47,1037.45,1037.46,21450,0
2025-06-20,1037.88,1037.9,1037.88,1037.89,10699,0
2025-06-23,1038.06,1038.06,1038.04,1038.05,14154,0
2025-06-24,1038.18,1038.2,1038.18,1038.19,28757,0
2025-06-25,1038.35,1038.35,1038.33,1038.34,78017,0
2025-06-26,1038.47,1038.49,1038.47,1038.47,16405,0
2025-06-27,1038.91,1038.93,1038.91,1038.92,24705,0
2025-06-30,1039.08,1039.08,1039.06,1039.07,41148,0
2025-07-01,1039.22,1039.22,1039.2,1039.21,25753,0
2025-07-02,1039.34,1039.36,1039.34,1039.35,48620,0
2025-07-03,1039.48,1039.5,1039.48,1039.49,87140,0
2025-07-04,1039.97,1039.99,1039.97,1039.98,92382,0
2025-07-07,1039.98,1040.12,1039.98,1040.1,37697,0
2025-07-08,1040.24,1040.26,1040.24,1040.24,425320,0
2025-07-09,1040.39,1040.41,1040.39,1040.39,47297,0
2025-07-10,1040.52,1040.54,1040.52,1040.53,107876,0
2025-07-11,1040.99,1040.99,1040.97,1040.97,52213,0
2025-07-14,1041.1,1041.12,1041.1,1041.11,11764,0
2025-07-15,1041.24,1041.26,1041.24,1041.25,36490,0
2025-07-16,1041.39,1041.41,1041.39,1041.4,284392,0
2025-07-17,1041.53,1041.55,1041.53,1041.54,6287,0
2025-07-18,1041.97,1041.99,1041.97,1041.98,63435,0
2025-07-21,1068.02,1068.02,1042.12,1042.13,22053,0
2025-07-22,1042.13,1042.3,1042.13,1042.28,272858,0
2025-07-23,1042.46,1042.46,1042.44,1042.45,5372,0
2025-07-24,1042.58,1042.6,1042.58,1042.58,43579,0
2025-07-25,1043.03,1043.05,1043.03,1043.04,56798,0
2025-07-28,1043.17,1043.19,1043.17,1043.17,65916,0
2025-07-29,1043.32,1043.34,1043.32,1043.32,157391,0
2025-07-30,1043.46,1043.48,1043.46,1043.46,260984,0
2025-07-31,1043.61,1043.63,1043.61,1043.61,71667,0
2025-08-01,1044.07,1044.07,1044.05,1044.06,24356,0
2025-08-04,1044.2,1044.22,1044.2,1044.21,38815,0
2025-08-05,1044.35,1044.36,1044.34,1044.35,130555,0
2025-08-06,1018.24,1044.5,1018.24,1044.49,20511,0
2025-08-07,1044.62,1044.64,1044.62,1044.62,206965,0
2025-08-08,1040.0,1045.1,1040.0,1045.09,144334,0
2025-08-11,1045.25,1045.25,1045.23,1045.23,72806,0
2025-08-12,1045.37,1045.39,1045.37,1045.37,171461,0
2025-08-13,1045.52,1045.54,1045.52,1045.52,348891,0
2025-08-14,1046.12,1046.14,1046.12,1046.12,37960,0
2025-08-18,1046.26,1046.28,1046.26,1046.27,137390,0
2025-08-19,1046.41,1046.43,1046.41,1046.41,14392,0
2025-08-20,1046.58,1046.58,1046.56,1046.56,50521,0
2025-08-21,1046.71,1046.73,1046.71,1046.72,161734,0
2025-08-22,1047.17,1047.19,1047.17,1047.17,66334,0
2025-08-25,1047.32,1047.34,1047.32,1047.33,374292,0
2025-08-26,1047.63,1047.63,1047.61,1047.61,54496,0
2025-08-28,1047.76,1047.78,1047.76,1047.76,23534,0
2025-08-29,1047.76,1048.23,1047.76,1048.22,33697,0
2025-09-01,1048.35,1048.37,1048.35,1048.36,30968,0
2025-09-02,1048.52,1048.52,1048.5,1048.5,18227,0
2025-09-03,1052.48,1052.48,1048.64,1048.65,97501,0
2025-09-04,1049.23,1049.25,1049.23,1049.24,12043,0
2025-09-05,1049.38,1049.4,1049.38,1049.4,213633,0
2025-09-08,1049.39,1049.55,1049.38,1049.53,39709,0
2025-09-09,1049.53,1049.55,1049.53,1049.53,16314,0
2025-09-10,1049.69,1049.69,1049.67,1049.68,63576,0
2025-09-11,1049.84,1049.84,1049.82,1049.84,25036,0
2025-09-12,1050.27,1050.29,1050.27,1050.28,291652,0
2025-09-15,1050.41,1050.43,1050.41,1050.42,29529,0
2025-09-16,1053.74,1053.74,1050.56,1050.57,166459,0
2025-09-17,1050.72,1050.72,1050.7,1050.71,17366,0
2025-09-18,1046.56,1050.88,1046.56,1050.86,24020,0
2025-09-19,1051.34,1051.34,1051.32,1051.33,181835,0
2025-09-22,1051.46,1051.48,1051.46,1051.46,24253,0
2025-09-23,1051.63,1051.63,1051.61,1051.62,83275,0
2025-09-24,1051.78,1051.78,1051.76,1051.77,62798,0
2025-09-25,1051.93,1051.93,1051.91,1051.92,59389,0
2025-09-26,1052.4,1052.4,1052.38,1052.38,254445,0
2025-09-29,1052.36,1052.54,1052.36,1052.52,53908,0
2025-09-30,1052.67,1052.69,1052.67,1052.68,120687,0
2025-10-01,1052.96,1052.98,1052.96,1052.96,69111,0
2025-10-03,1053.4,1053.42,1053.4,1053.41,244506,0
2025-10-06,1053.59,1053.61,1053.59,1053.6,164158,0
2025-10-07,1053.5,1053.75,1053.5,1053.74,263151,0
2025-10-08,1053.9,1053.9,1053.88,1053.88,119639,0
2025-10-09,1054.04,1054.04,1054.02,1054.02,56289,0
2025-10-10,1054.48,1054.5,1054.48,1054.49,59093,0
2025-10-13,1054.63,1054.65,1054.63,1054.63,62293,0
2025-10-14,1054.77,1054.79,1054.77,1054.78,82524,0
2025-10-15,1054.92,1054.94,1054.92,1054.93,188879,0
2025-10-16,1055.07,1055.09,1055.07,1055.08,310116,0
2025-10-17,1055.52,1055.54,1055.52,1055.52,48203,0
2025-10-20,1056.01,1056.01,1055.99,1055.99,67492,0
2025-10-21,1055.99,1056.01,1055.99,1055.99,18599,0
2025-10-23,1056.13,1056.15,1056.13,1056.14,73113,0
2025-10-24,1056.58,1056.6,1056.58,1056.59,120077,0
2025-10-27,1056.75,1056.77,1056.75,1056.76,56444,0
2025-10-28,1056.92,1056.92,1056.9,1056.9,46831,0
2025-10-29,1057.05,1057.07,1057.05,1057.06,68352,0
2025-10-30,1057.2,1057.22,1057.2,1057.21,24157,0
2025-10-31,1061.5,1061.5,1057.66,1057.67,112986,0
2025-11-03,1057.83,1057.83,1057.81,1057.82,60487,0
2025-11-04,1058.1,1058.12,1058.1,1058.11,39643,0
2025-11-06,1058.26,1058.26,1058.24,1058.25,31432,0
2025-11-07,1058.67,1058.69,1058.67,1058.68,285631,0
2025-11-10,1058.82,1058.84,1058.82,1058.83,42951,0
2025-11-11,1058.96,1058.98,1058.96,1058.96,59283,0
2025-11-12,1059.12,1059.12,1059.1,1059.11,40050,0
2025-11-13,1059.26,1059.26,1059.24,1059.25,52517,0
2025-11-14,1059.7,1059.72,1059.7,1059.71,65790,0
2025-11-17,1059.84,1059.86,1059.84,1059.84,41651,0
2025-11-18,1059.99,1060.01,1059.99,1059.99,205012,0
2025-11-19,1060.13,1060.15,1060.13,1060.14,62110,0
2025-11-20,1060.28,1060.3,1060.28,1060.29,50850,0
2025-11-21,1060.75,1060.75,1060.73,1060.74,73420,0
2025-11-24,1060.88,1060.9,1060.88,1060.89,38219,0
2025-11-25,1061.02,1061.04,1061.02,1061.03,42317,0
2025-11-26,1061.17,1061.19,1061.17,1061.17,125142,0
2025-11-27,1061.33,1061.33,1061.31,1061.31,98643,0
2025-11-28,1061.79,1061.79,1061.77,1061.78,368413,0
2025-12-01,1061.79,1061.94,1061.79,1061.92,101634,0
2025-12-02,1062.06,1062.08,1062.06,1062.07,58432,0
