date,open,high,low,close,volume,oi
2025-04-23,20.0,20.19,19.92,20.07,125683,0
2025-04-24,20.19,20.2,20.01,20.03,78267,0
2025-04-25,20.43,20.43,19.8,19.89,597640,0
2025-04-28,19.69,20.2,19.4,20.18,684603,0
2025-04-29,20.09,20.21,19.67,20.16,163619,0
2025-04-30,20.15,20.19,20.07,20.13,27204,0
2025-05-02,20.13,20.25,19.91,20.0,679784,0
2025-05-05,20.58,21.49,19.73,20.18,703800,0
2025-05-06,20.19,20.2,19.96,20.09,771583,0
2025-05-07,20.19,20.19,19.89,20.01,187498,0
2025-05-08,20.01,20.46,19.91,20.17,247397,0
2025-05-09,20.17,20.76,18.81,19.84,636909,0
2025-05-12,19.84,20.39,19.84,20.34,50895,0
2025-05-13,20.34,20.45,20.17,20.17,112713,0
2025-05-14,20.51,20.51,20.0,20.29,220531,0
2025-05-15,20.28,20.77,20.09,20.56,104699,0
2025-05-16,20.37,20.72,20.37,20.54,163733,0
2025-05-19,21.16,21.16,20.26,20.57,26951,0
2025-05-20,20.68,20.68,20.25,20.34,24427,0
2025-05-21,20.35,20.92,20.29,20.48,1691726,0
2025-05-22,20.48,20.53,20.16,20.3,255895,0
2025-05-23,20.71,20.71,20.21,20.39,15307,0
2025-05-26,20.28,20.62,20.0,20.56,108258,0
2025-05-27,20.66,20.66,20.2,20.45,17155,0
2025-05-28,20.45,20.55,20.33,20.45,37614,0
2025-05-29,20.54,20.54,20.33,20.4,23449,0
2025-05-30,20.81,20.81,20.3,20.33,44442,0
2025-06-02,20.32,20.39,20.23,20.37,1125398,0
2025-06-03,20.37,21.27,19.45,20.25,203080,0
2025-06-04,20.75,20.75,20.21,20.34,292442,0
2025-06-05,19.83,20.97,19.83,20.32,69733,0
2025-06-06,20.42,20.56,20.25,20.43,138717,0
2025-06-09,20.43,20.6,20.14,20.45,163384,0
2025-06-10,20.45,20.97,20.45,20.57,339699,0
2025-06-11,20.67,20.75,20.49,20.62,105561,0
2025-06-12,20.72,20.74,20.44,20.56,157452,0
2025-06-13,20.56,20.56,20.29,20.38,39978,0
2025-06-16,19.88,20.66,19.88,20.59,212464,0
