date,open,high,low,close,volume,oi
2025-04-23,21.39,21.39,20.85,21.28,2278828,0
2025-04-24,20.81,21.34,20.64,21.24,1059483,0
2025-04-25,21.2,21.4,20.88,21.05,2187122,0
2025-04-28,21.46,21.46,20.92,21.27,1283445,0
2025-04-29,21.6,21.6,21.16,21.18,3026124,0
2025-04-30,21.39,21.39,21.0,21.23,297282,0
2025-05-02,21.44,21.44,21.0,21.13,2209036,0
2025-05-05,21.4,21.4,21.06,21.27,2433184,0
2025-05-06,21.91,21.91,20.63,21.24,4081121,0
2025-05-07,21.4,21.4,20.92,21.19,595349,0
2025-05-08,21.7,21.7,20.83,20.96,4756830,0
2025-05-09,21.17,21.17,20.62,20.91,1174794,0
2025-05-12,21.54,21.56,20.66,21.53,517801,0
2025-05-13,21.85,22.0,21.34,21.52,4214855,0
2025-05-14,21.85,21.85,21.33,21.43,1072913,0
2025-05-15,21.49,21.73,21.3,21.7,1276244,0
2025-05-16,21.05,21.78,21.05,21.75,1601164,0
2025-05-19,22.4,22.4,21.62,21.72,765367,0
2025-05-20,21.84,21.84,21.42,21.44,661737,0
2025-05-21,22.08,22.08,21.44,21.5,14051741,0
2025-05-22,21.82,21.82,20.95,21.37,738975,0
2025-05-23,22.01,22.01,21.2,21.54,3117076,0
2025-05-26,22.15,22.15,21.37,21.71,1623668,0
2025-05-27,22.0,22.0,21.54,21.65,687317,0
2025-05-28,21.92,21.92,21.45,21.47,2718563,0
2025-05-29,21.8,21.8,21.43,21.52,2224648,0
2025-05-30,21.84,21.84,21.22,21.45,2880448,0
2025-06-02,21.77,21.94,21.33,21.41,4321217,0
2025-06-03,21.73,21.73,21.3,21.34,1640600,0
2025-06-04,21.87,21.87,21.31,21.37,995013,0
2025-06-05,21.69,21.69,21.31,21.45,590135,0
2025-06-06,22.09,22.09,21.39,21.59,645332,0
2025-06-09,22.18,22.18,21.3,21.63,2000797,0
2025-06-10,21.77,21.79,21.47,21.75,3903804,0
2025-06-11,21.86,21.86,21.71,21.74,1333408,0
2025-06-12,21.98,21.98,21.57,21.64,1397896,0
2025-06-13,21.64,21.64,21.24,21.54,668571,0
2025-06-16,21.16,21.75,21.16,21.71,1255041,0
2025-06-17,21.82,21.82,21.57,21.6,1588561,0
2025-06-18,21.67,21.7,21.51,21.58,896119,0
2025-06-19,21.6,21.6,21.46,21.51,1353955,0
2025-06-20,21.75,21.77,21.34,21.72,1608996,0
2025-06-23,21.72,21.96,21.43,21.6,5279854,0
2025-06-24,21.92,21.92,21.5,21.63,3948340,0
2025-06-25,21.87,21.87,21.55,21.81,6422025,0
2025-06-26,21.67,22.05,21.64,21.96,807230,0
2025-06-27,22.0,22.1,21.88,22.08,878474,0
2025-06-30,22.74,22.74,21.9,22.06,1234485,0
2025-07-01,22.15,22.17,21.99,22.03,2238867,0
2025-07-02,22.12,22.13,21.97,22.02,688878,0
2025-07-03,22.11,22.23,21.98,22.08,4418967,0
2025-07-04,22.31,22.31,21.91,22.19,601309,0
2025-07-07,22.52,22.52,21.0,22.26,1150338,0
2025-07-08,22.5,22.5,22.06,22.19,4215591,0
2025-07-09,22.86,22.86,22.12,22.19,9742319,0
2025-07-10,22.29,22.29,21.32,22.12,2474768,0
2025-07-11,22.32,22.32,22.0,22.03,2674266,0
2025-07-14,22.25,22.25,21.88,22.01,880934,0
2025-07-15,22.05,22.14,21.97,22.09,3427387,0
2025-07-16,22.33,22.33,21.91,22.13,319738,0
2025-07-17,22.37,22.37,22.05,22.09,297344,0
2025-07-18,22.18,22.18,21.96,22.06,1313198,0
2025-07-21,22.12,22.14,21.81,22.05,360765,0
2025-07-22,22.33,22.33,21.89,21.92,1396503,0
2025-07-23,22.58,22.58,21.82,22.03,815372,0
2025-07-24,22.13,22.13,21.89,21.92,1848611,0
2025-07-25,22.58,22.58,21.77,21.85,473182,0
2025-07-28,22.08,22.08,21.66,21.73,2076174,0
2025-07-29,22.38,22.38,21.56,21.89,1511644,0
2025-07-30,21.99,21.99,21.84,21.91,6191883,0
2025-07-31,21.98,22.02,21.74,21.89,1873794,0
2025-08-01,22.55,22.55,21.5,21.63,3650947,0
2025-08-04,21.88,21.92,21.48,21.88,5335126,0
2025-08-05,22.0,22.0,21.72,21.85,578088,0
2025-08-06,21.93,21.93,21.62,21.66,258625,0
