date,open,high,low,close,volume,oi
2025-04-23,28.64,28.65,28.57,28.6,5387002,0
2025-04-24,28.6,28.68,28.56,28.57,5393023,0
2025-04-25,28.63,28.63,28.57,28.61,5079042,0
2025-04-28,28.73,28.73,28.53,28.55,7269486,0
2025-04-29,28.53,28.69,28.53,28.6,4223899,0
2025-04-30,28.65,28.66,28.6,28.62,4570332,0
2025-05-02,28.69,28.69,28.56,28.67,4670099,0
2025-05-05,28.65,28.72,28.62,28.69,6192495,0
2025-05-06,28.7,28.7,28.64,28.66,6098450,0
2025-05-07,28.7,28.71,28.64,28.66,2444014,0
2025-05-08,28.69,28.72,28.56,28.59,4261887,0
2025-05-09,28.59,28.67,28.49,28.59,4677133,0
2025-05-12,28.59,28.69,28.58,28.65,3680733,0
2025-05-13,28.66,28.68,28.62,28.65,3878674,0
2025-05-14,28.7,28.74,28.67,28.72,3879353,0
2025-05-15,29.1,29.1,28.7,28.77,5269595,0
2025-05-16,28.78,28.95,28.78,28.88,4268214,0
2025-05-19,28.9,28.9,28.84,28.85,4985776,0
2025-05-20,28.87,29.72,28.84,28.88,3456340,0
2025-05-21,28.92,28.93,28.86,28.92,3979424,0
2025-05-22,28.87,28.95,28.87,28.92,10847184,0
2025-05-23,28.96,28.97,28.9,28.94,5083672,0
2025-05-26,29.02,29.02,28.91,28.94,3634361,0
2025-05-27,28.92,29.0,28.91,28.93,2466628,0
2025-05-28,28.94,28.98,28.91,28.96,2951820,0
2025-05-29,29.05,29.05,28.94,28.95,3782008,0
2025-05-30,29.0,29.0,28.08,28.98,5416631,0
2025-06-02,29.0,29.08,28.91,28.91,13969572,0
2025-06-03,28.96,28.96,28.9,28.94,4195301,0
2025-06-04,29.66,29.66,28.92,28.94,5931800,0
2025-06-05,29.25,29.43,28.94,28.97,3068242,0
2025-06-06,29.0,29.09,28.94,28.97,7708045,0
2025-06-09,29.05,29.05,28.84,28.85,20007539,0
2025-06-10,29.05,29.05,28.82,28.82,10988448,0
2025-06-11,28.86,28.86,28.79,28.8,4569811,0
2025-06-12,28.84,28.87,28.79,28.81,3886315,0
2025-06-13,29.05,29.05,28.72,28.75,6117359,0
2025-06-16,28.77,28.88,28.73,28.85,3115237,0
2025-06-17,28.91,28.98,28.84,28.87,2240393,0
2025-06-18,28.89,28.9,28.84,28.89,2206910,0
2025-06-19,29.76,29.76,28.78,28.8,4002645,0
2025-06-20,28.81,28.87,28.76,28.78,3520987,0
2025-06-23,28.78,28.8,28.74,28.77,3679470,0
2025-06-24,28.81,28.89,28.8,28.81,4036708,0
2025-06-25,28.89,28.89,28.83,28.85,13219672,0
2025-06-26,29.05,29.05,28.84,28.85,2897160,0
2025-06-27,28.92,28.92,28.83,28.86,4280867,0
2025-06-30,28.95,28.95,28.81,28.84,3970080,0
2025-07-01,28.84,28.89,28.83,28.86,2484366,0
2025-07-02,28.98,28.98,28.86,28.89,1965591,0
2025-07-03,28.91,28.94,28.75,28.91,3754626,0
2025-07-04,28.94,28.97,28.89,28.96,3394382,0
2025-07-07,28.85,28.96,28.85,28.92,3156464,0
2025-07-08,28.97,28.97,28.9,28.91,1906167,0
2025-07-09,28.94,28.95,28.88,28.9,1669123,0
2025-07-10,28.95,28.95,28.88,28.88,2067649,0
2025-07-11,28.01,29.0,28.01,28.89,2370421,0
2025-07-14,28.92,28.93,28.88,28.89,2620311,0
2025-07-15,28.8,28.94,28.8,28.89,1892353,0
2025-07-16,28.95,28.95,28.89,28.89,1496423,0
2025-07-17,28.93,28.94,28.89,28.92,2450147,0
2025-07-18,29.0,29.0,28.93,28.94,4466140,0
2025-07-21,29.0,29.0,28.82,28.96,2567309,0
2025-07-22,28.98,28.99,28.95,28.96,2119380,0
2025-07-23,29.0,29.0,28.94,28.94,3123419,0
2025-07-24,28.8,29.04,28.8,28.93,3306348,0
2025-07-25,28.94,29.0,28.92,28.92,1797301,0
2025-07-28,29.2,29.2,28.8,28.89,2304371,0
2025-07-29,28.95,28.95,28.86,28.86,2345719,0
2025-07-30,29.73,29.73,27.99,28.88,2467497,0
2025-07-31,28.15,28.97,28.15,28.87,2362105,0
2025-08-01,28.88,28.9,28.87,28.88,3217085,0
2025-08-04,28.95,28.97,28.91,28.95,6782071,0
2025-08-05,29.0,29.04,28.96,28.98,3153041,0
2025-08-06,28.99,29.01,28.87,28.88,3452249,0
2025-08-07,28.15,28.87,28.15,28.84,3833853,0
2025-08-08,28.88,28.92,28.83,28.88,1891375,0
2025-08-11,29.09,29.09,28.77,28.79,4527168,0
2025-08-12,28.8,28.81,28.72,28.73,3628438,0
2025-08-13,28.79,28.8,28.63,28.69,4422289,0
2025-08-14,28.78,28.84,28.67,28.8,2679334,0
2025-08-18,29.1,29.1,28.11,28.75,2096629,0
2025-08-19,28.73,28.73,28.63,28.68,3581727,0
2025-08-20,28.71,28.74,28.65,28.69,3184319,0
2025-08-21,28.7,28.71,28.62,28.63,3031078,0
2025-08-22,28.84,28.84,28.6,28.6,7398874,0
2025-08-25,28.75,28.75,28.55,28.57,1995588,0
2025-08-26,28.63,28.63,28.48,28.49,2907094,0
2025-08-28,28.9,28.9,28.5,28.65,7092121,0
2025-08-29,27.93,28.75,27.93,28.59,5028749,0
2025-09-01,28.75,28.75,28.5,28.55,4745649,0
2025-09-02,28.8,28.8,28.51,28.58,2155966,0
2025-09-03,28.69,28.69,28.6,28.61,2367248,0
2025-09-04,28.71,28.78,28.65,28.72,2741252,0
2025-09-05,28.78,28.84,28.25,28.81,2621492,0
2025-09-08,29.05,29.05,28.48,28.86,1803587,0
2025-09-09,28.76,28.89,28.76,28.84,2056989,0
2025-09-10,29.33,29.71,28.73,28.78,15035188,0
2025-09-11,28.87,28.87,28.79,28.81,7006874,0
2025-09-12,28.83,28.89,28.8,28.84,13760490,0
2025-09-15,28.9,28.9,28.82,28.85,4960432,0
2025-09-16,28.9,28.9,28.81,28.85,6516215,0
2025-09-17,28.8,28.89,28.7,28.86,8007368,0
2025-09-18,28.88,28.88,28.8,28.82,10834247,0
2025-09-19,28.86,28.88,28.8,28.84,7696602,0
2025-09-22,28.8,28.88,28.8,28.83,12117171,0
2025-09-23,28.88,28.89,28.8,28.87,2090117,0
2025-09-24,28.89,28.93,28.87,28.9,4002256,0
2025-09-25,28.87,28.94,28.84,28.89,3602774,0
2025-09-26,28.92,28.95,28.86,28.88,2870256,0
2025-09-29,28.83,28.9,28.79,28.8,3366050,0
2025-09-30,28.89,28.9,28.8,28.86,1792319,0
2025-10-01,28.13,28.94,28.13,28.86,3085270,0
2025-10-03,28.9,28.97,28.89,28.95,4105433,0
2025-10-06,28.95,28.99,28.92,28.96,3453328,0
2025-10-07,29.0,29.03,28.93,28.95,1372434,0
2025-10-08,29.0,29.0,28.93,28.96,2620803,0
2025-10-09,29.05,29.05,28.93,28.95,1932087,0
2025-10-10,29.16,29.25,28.93,28.96,1470051,0
2025-10-13,28.94,28.99,28.93,28.96,1392880,0
2025-10-14,29.23,29.45,28.94,28.97,2938504,0
2025-10-15,28.99,29.06,28.99,29.04,2181730,0
2025-10-16,29.09,29.09,29.01,29.04,1122027,0
2025-10-17,29.09,29.11,29.04,29.06,3907898,0
2025-10-20,29.12,29.12,28.99,29.03,1715864,0
2025-10-21,29.52,29.52,28.3,29.04,771815,0
2025-10-23,29.04,29.12,28.95,29.0,3013758,0
2025-10-24,29.06,29.06,28.95,28.99,1687133,0
2025-10-27,28.79,29.06,28.79,29.03,2131396,0
2025-10-28,29.05,29.05,28.97,29.02,1355217,0
2025-10-29,29.02,29.09,29.01,29.04,1848168,0
2025-10-30,29.07,29.07,28.96,28.99,2332766,0
2025-10-31,29.07,29.07,28.96,29.01,1680105,0
2025-11-03,29.1,29.1,28.99,29.04,2737933,0
2025-11-04,29.1,29.1,29.01,29.07,3587243,0
2025-11-06,29.1,29.16,29.08,29.15,2957351,0
