date,open,high,low,close,volume,oi
2025-04-23,109.29,109.29,109.29,109.29,232239,0
2025-04-24,112.21,112.21,112.21,112.21,182549,0
2025-04-25,114.15,116.54,114.15,116.54,454130,0
2025-04-28,122.0,122.59,116.01,118.5,1571558,0
2025-04-29,120.0,121.43,118.28,120.11,681736,0
2025-04-30,121.18,122.0,119.51,121.59,846022,0
2025-05-02,123.87,124.54,122.19,123.49,1063922,0
2025-05-05,123.9,124.29,123.5,124.29,370083,0
2025-05-06,124.3,126.48,123.5,123.95,780437,0
2025-05-07,124.06,125.88,121.15,123.51,504424,0
2025-05-08,124.47,125.1,118.5,122.05,1034401,0
2025-05-09,121.45,124.2,120.27,123.38,544149,0
2025-05-12,126.48,127.9,123.51,127.85,1053015,0
2025-05-13,127.9,128.38,127.88,128.38,432970,0
2025-05-14,132.0,134.05,130.11,134.0,858789,0
2025-05-15,134.7,135.97,134.1,135.97,475626,0
2025-05-16,137.31,137.56,136.02,137.56,312546,0
2025-05-19,137.56,137.56,132.2,134.8,1124569,0
2025-05-20,136.15,137.6,135.0,137.11,695709,0
2025-05-21,137.97,138.01,135.11,136.26,549939,0
2025-05-22,136.0,136.48,134.02,134.77,493523,0
2025-05-23,134.1,136.38,134.1,136.31,449625,0
2025-05-26,136.38,137.18,135.0,135.55,560306,0
2025-05-27,135.99,136.22,135.01,136.21,302861,0
2025-05-28,136.51,139.09,136.06,136.97,579128,0
2025-05-29,138.0,139.0,136.6,137.42,540535,0
2025-05-30,137.41,137.57,135.81,136.24,401228,0
2025-06-02,137.0,137.94,133.11,135.68,557964,0
2025-06-03,139.07,139.07,134.01,136.02,404125,0
2025-06-04,137.5,137.5,136.0,136.96,321688,0
2025-06-05,137.5,137.94,135.41,136.35,446865,0
2025-06-06,139.75,139.75,134.55,135.62,510668,0
2025-06-09,139.01,139.69,135.02,135.68,493472,0
2025-06-10,138.44,138.44,135.5,135.76,489513,0
2025-06-11,138.34,138.34,133.15,136.14,299474,0
2025-06-12,137.5,137.99,135.1,135.46,335905,0
2025-06-13,132.07,135.0,132.01,133.24,514622,0
2025-06-16,134.57,136.57,129.58,134.81,379283,0
2025-06-17,137.8,137.8,131.43,133.86,474205,0
2025-06-18,135.2,135.47,133.13,135.15,339796,0
2025-06-19,138.52,138.52,131.77,134.33,303763,0
2025-06-20,135.67,136.43,134.15,135.42,231797,0
2025-06-23,136.77,138.8,132.03,134.54,342679,0
2025-06-24,135.88,137.74,133.19,135.31,434320,0
2025-06-25,138.44,138.44,135.51,136.27,348683,0
2025-06-26,132.86,137.8,132.86,136.88,322236,0
2025-06-27,138.4,138.75,135.14,138.44,598686,0
2025-06-30,141.9,143.54,138.51,140.96,754038,0
2025-07-01,144.8,145.0,137.43,143.2,921775,0
2025-07-02,146.44,146.44,141.11,144.27,589360,0
2025-07-03,146.34,148.99,144.2,148.57,1059075,0
2025-07-04,150.18,150.18,149.1,150.18,308802,0
2025-07-07,152.28,152.28,150.18,152.28,246622,0
2025-07-08,153.8,158.49,150.0,156.71,1739539,0
2025-07-09,151.63,151.63,151.63,151.63,326830,0
2025-07-10,150.76,150.76,150.76,150.76,288238,0
2025-07-11,152.67,152.67,150.5,152.67,491775,0
2025-07-14,150.37,150.37,150.37,150.37,316937,0
2025-07-15,150.28,150.28,150.28,150.28,185239,0
2025-07-16,151.0,151.0,151.0,151.0,67531,0
2025-07-17,151.0,151.48,150.25,151.48,295869,0
2025-07-18,151.23,151.23,151.23,151.23,74868,0
2025-07-21,151.23,152.31,147.44,152.31,274776,0
2025-07-22,152.41,152.41,148.5,152.41,71523,0
2025-07-23,153.93,153.93,152.51,153.93,319792,0
2025-07-24,152.01,152.01,152.01,152.01,93797,0
2025-07-25,152.49,152.49,152.49,152.49,87988,0
2025-07-28,152.49,154.23,148.67,154.23,175166,0
2025-07-29,154.5,154.5,154.5,154.5,75177,0
2025-07-30,155.53,155.53,154.5,155.44,404365,0
2025-07-31,155.5,155.5,155.44,155.5,82808,0
2025-08-01,156.61,156.61,155.5,156.61,205070,0
2025-08-04,157.44,157.44,154.02,156.82,862950,0
2025-08-05,152.95,152.95,152.95,152.95,116298,0
2025-08-06,154.48,156.18,153.25,156.18,418060,0
2025-08-07,154.86,154.86,154.86,154.86,170454,0
2025-08-08,150.98,157.68,150.98,157.68,444698,0
2025-08-11,156.85,156.85,156.85,156.85,187219,0
2025-08-12,158.6,158.6,157.0,158.6,435936,0
2025-08-13,157.93,157.93,157.93,157.93,51557,0
2025-08-14,160.2,160.2,158.8,160.2,321601,0
2025-08-18,159.52,159.52,159.52,159.52,104359,0
2025-08-19,159.81,159.81,159.81,159.81,184360,0
2025-08-20,159.63,159.63,159.0,159.63,238519,0
2025-08-21,156.25,156.25,156.25,156.25,315809,0
2025-08-22,154.89,154.89,154.89,154.89,191030,0
2025-08-25,153.73,153.73,153.73,153.73,105129,0
2025-08-26,154.5,157.06,154.5,157.06,284946,0
2025-08-28,157.21,157.21,157.21,157.21,98156,0
2025-08-29,158.1,158.1,158.1,158.1,78576,0
2025-09-01,161.13,161.13,159.25,161.13,738884,0
2025-09-02,158.76,158.76,158.76,158.76,148148,0
2025-09-03,162.72,165.0,158.01,159.22,1262731,0
2025-09-04,157.74,157.74,157.74,157.74,137301,0
2025-09-05,160.75,160.75,160.75,160.75,79355,0
2025-09-08,162.46,162.46,162.46,162.46,114363,0
2025-09-09,163.88,163.88,163.88,163.88,231109,0
2025-09-10,165.48,165.48,159.78,165.48,585862,0
2025-09-11,165.51,165.51,165.51,165.51,67234,0
2025-09-12,166.42,166.42,165.51,166.42,330545,0
2025-09-15,166.34,166.34,166.34,166.34,97626,0
2025-09-16,166.8,166.8,166.8,166.8,91486,0
2025-09-17,169.4,169.41,168.3,169.41,409950,0
2025-09-18,168.56,168.56,168.56,168.56,140927,0
2025-09-19,167.06,167.06,167.06,167.06,61648,0
2025-09-22,169.89,169.89,169.89,169.89,206144,0
2025-09-23,171.78,171.78,171.01,171.78,440774,0
2025-09-24,171.2,171.2,170.0,171.2,164649,0
2025-09-25,169.98,169.98,169.98,169.98,138537,0
2025-09-26,169.14,169.14,169.14,169.14,109711,0
2025-09-29,168.27,168.27,168.27,168.27,123210,0
2025-09-30,169.11,169.11,169.11,169.11,74353,0
2025-10-01,169.52,169.52,169.52,169.52,423991,0
2025-10-03,169.44,169.44,169.44,169.44,149620,0
2025-10-06,169.23,169.23,169.23,169.23,278962,0
2025-10-07,168.98,168.98,168.98,168.98,160521,0
2025-10-08,169.84,169.84,169.44,169.84,279927,0
2025-10-09,169.06,169.06,169.06,169.06,96758,0
2025-10-10,171.9,171.9,171.9,171.9,171185,0
2025-10-13,172.41,172.41,166.51,172.4,1298302,0
2025-10-14,166.28,166.28,166.28,166.28,678347,0
2025-10-15,167.94,170.96,167.94,169.72,1102530,0
2025-10-16,168.19,168.19,168.19,168.19,110146,0
2025-10-17,167.86,167.86,167.86,167.86,212507,0
2025-10-20,166.42,166.42,166.42,166.42,180802,0
2025-10-21,167.34,167.34,167.34,167.34,52651,0
2025-10-23,170.11,170.11,167.2,169.39,714973,0
2025-10-24,170.11,170.11,170.11,170.11,220986,0
2025-10-27,169.57,169.57,169.57,169.57,235388,0
2025-10-28,170.86,170.86,170.27,170.86,1202699,0
2025-10-29,174.6,174.6,171.47,174.6,522890,0
2025-10-30,177.55,177.55,176.35,177.55,164485,0
2025-10-31,178.48,178.78,176.35,178.78,1114118,0
2025-11-03,176.23,176.23,176.23,176.23,218781,0
2025-11-04,177.2,177.2,177.2,177.2,297834,0
2025-11-06,177.2,177.93,173.15,175.13,1098997,0
2025-11-07,174.04,174.04,168.24,174.03,1062379,0
