date,open,high,low,close,volume,oi
2025-04-23,47.95,48.24,47.71,48.24,227190,0
2025-04-24,48.27,49.46,48.27,49.46,492565,0
2025-04-25,50.66,50.66,49.9,50.65,581342,0
2025-04-28,51.01,51.84,50.51,51.72,487353,0
2025-04-29,51.98,52.5,51.0,52.02,411970,0
2025-04-30,52.02,52.26,50.5,51.06,500707,0
2025-05-02,51.29,52.05,50.26,50.85,577971,0
2025-05-05,52.34,52.34,50.1,50.78,712041,0
2025-05-06,51.5,51.5,50.11,50.64,301519,0
2025-05-07,51.45,51.45,50.11,50.89,157174,0
2025-05-08,50.89,51.5,50.61,50.91,209993,0
2025-05-09,51.3,51.89,50.7,51.52,297570,0
2025-05-12,52.47,53.17,51.51,53.17,494621,0
2025-05-13,53.64,53.64,53.02,53.64,261544,0
2025-05-14,54.71,55.48,53.75,54.93,541524,0
2025-05-15,54.96,55.76,54.11,54.73,653265,0
2025-05-16,54.67,56.1,54.66,55.76,384778,0
2025-05-19,56.35,56.53,54.54,55.31,441722,0
2025-05-20,55.99,56.5,53.71,54.53,422999,0
2025-05-21,54.53,55.2,54.07,54.67,216996,0
2025-05-22,54.27,54.98,54.0,54.19,232367,0
2025-05-23,54.42,54.99,53.51,54.39,173132,0
2025-05-26,54.94,54.96,53.25,54.21,714033,0
2025-05-27,54.02,54.85,54.02,54.67,142571,0
2025-05-28,55.03,55.34,53.55,54.11,653261,0
2025-05-29,54.11,54.83,54.06,54.51,298491,0
2025-05-30,54.68,54.78,53.56,54.09,228047,0
2025-06-02,54.86,54.86,52.52,53.94,437800,0
2025-06-03,55.28,55.28,53.94,54.24,165331,0
2025-06-04,54.79,54.99,53.16,53.67,483831,0
2025-06-05,53.12,54.36,53.12,53.97,260292,0
2025-06-06,53.16,54.45,53.16,54.14,313803,0
2025-06-09,55.49,55.49,53.22,54.48,264843,0
2025-06-10,54.85,54.86,54.25,54.67,209969,0
2025-06-11,55.39,55.39,54.51,55.07,229146,0
2025-06-12,55.6,55.6,54.8,55.02,267347,0
2025-06-13,54.0,54.89,52.52,54.26,250003,0
2025-06-16,55.19,55.19,53.8,54.81,195170,0
2025-06-17,56.18,56.18,54.32,54.58,171338,0
2025-06-18,54.58,55.94,54.33,54.54,60932,0
2025-06-19,53.17,54.89,53.17,54.14,128169,0
2025-06-20,53.43,54.94,53.43,54.26,102525,0
2025-06-23,55.29,55.29,52.9,53.91,325139,0
2025-06-24,53.21,54.94,53.21,54.4,124310,0
2025-06-25,55.48,55.48,54.3,54.5,127749,0
2025-06-26,53.26,55.84,53.26,54.67,130008,0
2025-06-27,54.68,55.08,53.93,54.61,423466,0
2025-06-30,55.94,56.3,54.02,55.15,724997,0
2025-07-01,54.16,55.75,54.16,55.55,354401,0
2025-07-02,56.44,56.44,55.21,55.33,239273,0
2025-07-03,53.94,55.78,53.94,55.58,171433,0
2025-07-04,56.96,56.96,55.65,56.15,407112,0
2025-07-07,57.55,58.0,56.15,57.85,493217,0
2025-07-08,56.4,59.15,56.4,58.8,593068,0
2025-07-09,59.89,60.26,58.8,60.26,839268,0
2025-07-10,60.07,60.07,55.82,57.2,1909772,0
2025-07-11,58.63,58.63,56.3,57.04,643833,0
2025-07-14,57.5,57.5,55.52,56.09,869492,0
2025-07-15,57.49,57.49,56.3,57.19,262741,0
2025-07-16,56.22,58.61,56.22,57.71,460333,0
2025-07-17,59.15,59.15,57.22,58.39,252635,0
2025-07-18,59.84,59.84,58.41,59.18,287150,0
2025-07-21,60.65,60.65,57.6,58.77,585460,0
2025-07-22,59.49,59.49,58.9,59.25,255373,0
2025-07-23,59.25,59.77,59.01,59.23,203128,0
2025-07-24,57.74,61.01,57.74,59.39,262351,0
2025-07-25,61.17,61.17,57.06,57.82,529487,0
2025-07-28,59.26,59.9,57.83,59.53,429003,0
2025-07-29,61.01,61.01,58.04,60.38,434539,0
2025-07-30,61.44,61.79,60.3,61.03,378969,0
2025-07-31,59.61,62.82,59.61,62.77,636105,0
2025-08-01,62.1,63.2,62.05,63.15,352287,0
2025-08-04,63.44,63.44,60.8,61.98,900888,0
2025-08-05,62.06,62.06,61.56,61.88,383458,0
2025-08-06,60.33,62.98,60.33,62.52,234067,0
2025-08-07,60.95,63.06,60.95,62.55,262499,0
2025-08-08,63.75,63.75,62.0,62.21,363800,0
2025-08-11,63.5,63.5,62.4,63.33,351496,0
2025-08-12,64.36,64.36,63.01,63.98,476928,0
2025-08-13,64.15,64.15,62.53,63.42,514510,0
2025-08-14,64.9,64.9,63.42,64.85,531845,0
2025-08-18,63.22,64.88,63.22,64.88,241734,0
2025-08-19,64.95,64.95,64.92,64.95,84265,0
2025-08-20,64.77,64.77,63.55,64.72,272462,0
2025-08-21,63.82,63.82,63.36,63.69,283027,0
2025-08-22,63.48,63.48,62.42,62.86,330793,0
2025-08-25,63.14,63.14,63.14,63.14,52382,0
2025-08-26,64.42,64.42,63.5,64.27,281989,0
2025-08-28,64.3,64.3,63.02,64.3,85686,0
2025-08-29,62.69,64.86,62.69,64.85,337778,0
2025-09-01,63.22,65.25,63.22,65.04,377212,0
2025-09-02,64.82,64.82,64.5,64.82,137518,0
2025-09-03,66.44,66.99,63.19,65.62,250724,0
2025-09-04,64.5,64.5,64.5,64.5,221469,0
2025-09-05,64.5,65.23,64.5,65.23,70769,0
2025-09-08,65.85,65.85,65.23,65.84,297737,0
2025-09-09,65.71,65.71,65.71,65.71,253682,0
2025-09-10,65.91,65.91,65.5,65.91,95130,0
2025-09-11,66.14,66.14,66.14,66.14,109259,0
2025-09-12,66.51,66.51,66.51,66.51,81153,0
2025-09-15,66.92,66.92,66.92,66.92,73677,0
2025-09-16,67.21,67.21,67.21,67.21,75176,0
2025-09-17,67.77,67.77,67.54,67.77,369108,0
2025-09-18,67.58,67.58,67.58,67.58,98826,0
2025-09-19,67.2,67.2,67.2,67.2,41368,0
2025-09-22,67.64,67.64,67.64,67.64,188641,0
2025-09-23,68.36,68.36,68.36,68.36,93403,0
2025-09-24,68.66,68.66,68.4,68.66,475305,0
2025-09-25,68.47,68.47,67.9,68.44,214791,0
2025-09-26,68.3,68.3,68.3,68.3,58511,0
2025-09-29,67.95,67.95,67.95,67.95,43629,0
2025-09-30,68.23,68.23,68.23,68.23,127979,0
2025-10-01,66.52,68.38,66.52,68.38,115388,0
2025-10-03,68.73,68.73,68.73,68.73,90304,0
2025-10-06,67.01,68.89,67.01,68.89,362499,0
2025-10-07,68.83,68.83,68.83,68.83,221817,0
2025-10-08,69.24,69.24,68.5,69.06,451050,0
2025-10-09,68.97,68.97,68.97,68.97,106607,0
2025-10-10,69.51,69.51,69.51,69.51,94235,0
2025-10-13,69.55,69.55,68.02,68.8,590678,0
2025-10-14,67.41,67.41,67.35,67.4,609888,0
2025-10-15,68.72,68.72,67.86,68.02,530071,0
2025-10-16,68.26,68.26,67.85,68.26,230112,0
2025-10-17,68.25,68.25,65.6,68.04,198372,0
2025-10-20,67.68,67.68,67.68,67.68,97838,0
2025-10-21,68.06,68.06,68.06,68.06,23183,0
2025-10-23,68.72,68.72,67.1,68.64,436168,0
2025-10-24,68.72,68.72,67.22,68.71,144521,0
2025-10-27,68.68,68.68,68.68,68.68,321678,0
2025-10-28,69.21,69.21,69.21,69.21,216164,0
2025-10-29,70.58,70.59,69.31,70.59,267730,0
2025-10-30,71.42,71.42,70.69,71.42,225706,0
2025-10-31,71.75,71.8,70.34,71.28,493128,0
2025-11-03,71.12,71.12,71.12,71.12,78126,0
2025-11-04,69.34,71.44,69.34,71.39,302952,0
2025-11-06,71.77,71.77,70.66,71.25,433234,0
2025-11-07,70.66,70.66,69.0,69.81,689059,0
2025-11-10,69.81,69.81,69.01,69.53,245657,0
2025-11-11,69.7,69.7,69.7,69.7,157649,0
2025-11-12,71.13,71.13,70.25,71.13,387989,0
2025-11-13,71.22,71.22,71.0,71.22,123062,0
2025-11-14,71.1,71.12,69.86,71.06,182755,0
2025-11-17,69.86,69.87,69.86,69.87,69870,0
2025-11-18,69.94,69.94,68.0,68.88,569397,0
2025-11-19,69.24,69.24,66.85,67.46,622799,0
2025-11-20,68.48,68.54,68.28,68.54,169558,0
2025-11-21,68.83,68.83,65.88,67.12,564592,0
2025-11-24,67.94,67.94,66.52,67.17,511227,0
2025-11-25,68.31,68.31,67.8,68.3,342542,0
2025-11-26,69.46,70.16,68.76,69.47,308807,0
2025-11-27,69.57,70.66,69.57,70.66,293095,0
2025-11-28,70.66,71.16,69.9,70.31,322677,0
2025-12-01,70.31,71.16,70.06,71.15,245854,0
2025-12-02,71.64,71.64,70.56,71.47,312201,0
2025-12-03,71.59,71.59,71.5,71.59,158794,0
2025-12-04,71.89,71.89,71.59,71.89,113332,0
2025-12-05,70.09,72.2,70.09,72.2,170761,0
2025-12-08,72.24,72.24,72.24,72.24,71159,0
2025-12-09,72.21,72.21,71.22,72.21,291042,0
2025-12-10,70.4,72.24,70.4,72.24,76806,0
