date,open,high,low,close,volume,oi
2025-04-23,8.71,8.76,8.59,8.72,718779,0
2025-04-24,8.75,8.79,8.7,8.76,12379875,0
2025-04-25,8.8,8.84,8.48,8.55,846862,0
2025-04-28,8.6,8.73,8.56,8.7,592772,0
2025-04-29,8.74,8.76,8.61,8.62,358058,0
2025-04-30,8.63,8.69,8.53,8.58,292069,0
2025-05-02,8.6,8.73,8.46,8.53,738920,0
2025-05-05,8.55,8.65,8.52,8.61,355942,0
2025-05-06,8.65,8.67,8.51,8.53,536893,0
2025-05-07,8.5,8.65,8.33,8.44,350121,0
2025-05-08,8.45,8.68,8.38,8.44,300367,0
2025-05-09,8.3,8.5,8.24,8.44,367574,0
2025-05-12,8.54,9.39,8.51,8.94,1114423,0
2025-05-13,8.99,9.05,8.82,8.87,468655,0
2025-05-14,8.9,9.11,8.8,9.06,1372628,0
2025-05-15,9.1,9.24,9.06,9.2,1077406,0
2025-05-16,9.25,9.36,9.18,9.21,697000,0
2025-05-19,9.24,9.3,9.18,9.21,411656,0
2025-05-20,9.21,9.35,9.12,9.15,612878,0
2025-05-21,9.19,9.25,9.14,9.2,364509,0
2025-05-22,9.2,9.33,9.1,9.21,346254,0
2025-05-23,9.16,9.27,9.16,9.24,449596,0
2025-05-26,9.27,9.41,9.21,9.34,1414119,0
2025-05-27,9.39,9.44,9.27,9.29,332176,0
2025-05-28,9.33,9.33,9.23,9.24,226648,0
2025-05-29,9.29,9.39,9.29,9.34,520087,0
2025-05-30,9.38,9.4,9.19,9.23,916644,0
2025-06-02,9.24,9.24,9.06,9.14,676633,0
2025-06-03,9.18,9.22,9.12,9.12,483462,0
2025-06-04,9.19,9.2,9.1,9.17,498717,0
2025-06-05,9.39,9.39,9.17,9.23,294037,0
2025-06-06,9.24,9.43,9.24,9.4,741821,0
2025-06-09,9.45,9.53,9.41,9.48,579087,0
2025-06-10,9.53,9.59,9.48,9.52,536136,0
2025-06-11,9.53,9.59,9.46,9.5,409220,0
2025-06-12,9.5,9.52,9.29,9.35,874101,0
2025-06-13,9.39,9.39,9.17,9.25,824288,0
2025-06-16,9.21,9.38,9.17,9.36,273823,0
2025-06-17,9.3,9.39,9.21,9.22,324257,0
2025-06-18,9.24,9.25,9.13,9.16,277636,0
2025-06-19,9.16,9.3,9.01,9.06,424034,0
2025-06-20,9.01,9.2,8.96,9.15,293151,0
2025-06-23,9.19,9.26,9.07,9.21,383122,0
2025-06-24,9.39,9.41,9.27,9.29,266856,0
2025-06-25,9.36,9.38,9.33,9.35,205213,0
2025-06-26,9.44,9.59,9.38,9.56,778555,0
2025-06-27,9.79,9.79,9.56,9.61,2371936,0
2025-06-30,9.65,9.85,9.43,9.57,990590,0
2025-07-01,9.8,9.8,9.48,9.6,1985826,0
2025-07-02,9.84,9.85,9.58,9.73,2330995,0
2025-07-03,9.8,9.81,9.64,9.65,2551322,0
2025-07-04,9.8,9.89,9.55,9.6,1307431,0
2025-07-07,9.64,9.84,9.52,9.55,719558,0
2025-07-08,9.7,9.7,9.51,9.54,704484,0
2025-07-09,9.59,9.64,9.32,9.42,1211616,0
2025-07-10,9.54,9.55,9.38,9.45,346782,0
2025-07-11,9.49,9.53,9.4,9.41,445705,0
2025-07-14,9.49,9.5,9.38,9.42,638561,0
2025-07-15,9.57,9.57,9.38,9.43,367526,0
2025-07-16,9.19,9.74,9.19,9.38,474968,0
2025-07-17,9.61,9.61,9.2,9.44,457821,0
2025-07-18,9.48,9.54,9.43,9.49,222544,0
2025-07-21,9.72,9.72,9.51,9.58,605685,0
2025-07-22,9.81,9.81,9.55,9.56,350588,0
2025-07-23,9.59,9.62,9.54,9.61,489460,0
2025-07-24,9.64,9.67,9.57,9.6,1524751,0
