date,open,high,low,close,volume,oi
2025-04-23,8.85,8.85,8.61,8.74,4454349,0
2025-04-24,8.73,8.82,8.7,8.77,3057027,0
2025-04-25,8.79,8.83,8.5,8.58,8665520,0
2025-04-28,8.62,8.72,8.52,8.69,2892409,0
2025-04-29,8.74,8.77,8.61,8.62,3074505,0
2025-04-30,8.65,8.68,8.55,8.57,5930523,0
2025-05-02,8.64,8.72,8.47,8.53,10750465,0
2025-05-05,8.7,8.7,8.52,8.6,5625900,0
2025-05-06,8.66,8.66,8.51,8.52,4003835,0
2025-05-07,8.5,8.64,8.44,8.61,4506873,0
2025-05-08,8.62,8.66,8.41,8.44,6101476,0
2025-05-09,8.41,8.46,8.29,8.43,4762652,0
2025-05-12,8.52,8.92,8.52,8.9,15086512,0
2025-05-13,8.9,8.94,8.8,8.82,4838336,0
2025-05-14,8.84,9.08,8.82,9.04,16694004,0
2025-05-15,9.07,9.21,9.03,9.19,10114371,0
2025-05-16,9.19,9.28,9.12,9.18,3888844,0
2025-05-19,9.17,9.24,9.13,9.19,4637269,0
2025-05-20,9.3,9.55,9.13,9.14,3010076,0
2025-05-21,9.18,9.23,9.11,9.18,3716870,0
2025-05-22,9.16,9.23,9.11,9.18,3239176,0
2025-05-23,9.05,9.27,9.05,9.23,2296463,0
2025-05-26,9.25,9.38,9.25,9.34,3974327,0
2025-05-27,9.31,9.38,9.25,9.28,3993457,0
2025-05-28,9.32,9.36,9.21,9.22,2594464,0
2025-05-29,9.34,9.37,9.26,9.33,4056191,0
2025-05-30,9.35,9.38,9.17,9.2,5502674,0
2025-06-02,9.17,9.17,9.06,9.11,4399768,0
2025-06-03,9.11,9.19,8.88,9.1,2650437,0
2025-06-04,9.32,9.32,9.05,9.15,9389590,0
2025-06-05,9.41,9.41,9.11,9.21,2552408,0
2025-06-06,9.24,9.4,9.21,9.39,5808353,0
2025-06-09,9.41,9.51,9.33,9.46,3584018,0
2025-06-10,9.52,9.58,9.46,9.49,3897984,0
2025-06-11,9.48,9.56,9.46,9.46,3781748,0
2025-06-12,9.51,9.54,9.31,9.33,3764358,0
2025-06-13,9.3,9.3,9.13,9.25,3428306,0
2025-06-16,9.48,9.49,9.15,9.35,3082105,0
2025-06-17,9.11,9.4,9.11,9.21,3111624,0
2025-06-18,9.49,9.49,9.13,9.16,1696950,0
2025-06-19,9.22,9.22,9.01,9.05,2982993,0
2025-06-20,9.03,9.19,9.03,9.15,2446518,0
2025-06-23,9.15,9.24,9.07,9.19,2757969,0
2025-06-24,9.24,9.4,9.24,9.3,2945422,0
2025-06-25,9.41,9.47,9.32,9.33,1419940,0
2025-06-26,9.56,9.56,9.33,9.54,5227893,0
2025-06-27,9.77,9.77,9.49,9.58,4011314,0
2025-06-30,9.34,9.69,9.34,9.56,5733019,0
2025-07-01,9.6,9.62,9.48,9.58,3085497,0
2025-07-02,9.81,9.81,9.57,9.71,7573618,0
2025-07-03,9.8,9.8,9.63,9.64,5293945,0
2025-07-04,9.88,9.88,9.55,9.6,5872270,0
2025-07-07,9.5,9.68,9.36,9.53,2144350,0
2025-07-08,9.61,9.61,9.5,9.52,3843383,0
2025-07-09,9.59,9.59,9.28,9.4,5417713,0
2025-07-10,9.63,9.63,9.38,9.44,2390301,0
2025-07-11,9.58,9.58,9.39,9.4,1829452,0
2025-07-14,9.39,9.49,9.38,9.44,1752244,0
2025-07-15,9.49,9.6,9.37,9.43,2746941,0
2025-07-16,9.19,9.45,9.19,9.39,1933220,0
2025-07-17,9.62,9.62,9.39,9.44,1934819,0
2025-07-18,9.54,9.54,9.42,9.48,3424688,0
2025-07-21,9.7,9.7,9.44,9.57,2277646,0
2025-07-22,9.7,9.7,9.53,9.54,1651823,0
2025-07-23,9.77,9.77,9.52,9.58,2179621,0
2025-07-24,9.41,9.7,9.41,9.58,2904765,0
2025-07-25,9.58,9.62,9.41,9.43,2956289,0
2025-07-28,9.43,9.48,9.3,9.31,2524172,0
2025-07-29,9.07,9.45,9.07,9.42,1245735,0
2025-07-30,9.41,9.49,9.39,9.41,1467961,0
2025-07-31,9.35,9.41,9.24,9.29,1333530,0
2025-08-01,9.3,9.34,9.1,9.11,2079933,0
2025-08-04,9.33,9.38,9.11,9.32,3568341,0
2025-08-05,9.39,9.39,9.3,9.33,4170345,0
2025-08-06,9.37,9.38,9.26,9.3,855298,0
2025-08-07,9.3,9.35,9.17,9.31,2783801,0
2025-08-08,9.37,9.37,9.16,9.18,2107838,0
2025-08-11,9.19,9.25,9.15,9.23,613446,0
2025-08-12,9.46,9.46,9.16,9.24,1822802,0
2025-08-13,9.29,9.44,9.29,9.38,1758746,0
2025-08-14,9.14,9.42,9.14,9.26,1321307,0
2025-08-18,9.42,9.43,9.31,9.41,1478024,0
2025-08-19,9.6,9.6,8.98,9.48,2666335,0
2025-08-20,9.6,9.6,9.43,9.51,1753969,0
