date,open,high,low,close,volume,oi
2025-01-20,211.97,211.97,206.55,209.32,445406,0
2025-01-21,210.97,210.97,205.05,205.33,442550,0
2025-01-22,208.99,208.99,199.86,202.69,772962,0
2025-01-23,204.97,206.83,200.69,206.26,444632,0
2025-01-24,208.25,208.99,202.28,202.87,434611,0
2025-01-27,201.99,203.3,196.53,197.12,990307,0
2025-01-28,200.12,203.05,193.12,195.58,893325,0
2025-01-29,199.99,200.58,195.0,200.45,391080,0
2025-01-30,205.65,205.65,197.01,200.65,396711,0
2025-01-31,203.99,204.8,200.31,204.38,2200072,0
2025-02-01,205.0,206.4,200.87,203.62,722697,0
2025-02-03,203.99,203.99,200.0,201.44,485882,0
2025-02-04,204.99,204.99,201.53,203.59,2234000,0
2025-02-05,204.99,206.83,203.13,205.38,2333873,0
2025-02-06,202.01,207.97,202.01,203.04,2078469,0
2025-02-07,206.99,206.99,201.01,203.4,617141,0
2025-02-10,206.99,206.99,199.01,199.43,555614,0
2025-02-11,201.45,201.9,192.8,193.36,1211470,0
2025-02-12,195.29,196.99,188.29,193.28,1024885,0
2025-02-13,196.99,196.99,192.61,193.59,1663176,0
2025-02-14,196.99,196.99,187.1,189.38,1274421,0
2025-02-17,194.2,194.2,185.0,189.65,991481,0
2025-02-18,186.1,191.6,186.1,189.27,754444,0
2025-02-19,192.99,192.99,187.09,192.15,1445655,0
2025-02-20,188.01,194.5,188.01,193.34,1258550,0
2025-02-21,196.8,196.99,191.0,191.7,3499455,0
2025-02-24,193.99,193.99,188.0,189.97,739821,0
2025-02-25,192.0,192.0,188.7,189.25,528453,0
2025-02-27,192.99,192.99,184.95,187.05,546711,0
2025-02-28,187.99,187.99,180.68,183.02,1995252,0
2025-03-03,187.4,187.4,179.0,183.03,1169294,0
2025-03-04,183.47,184.32,179.1,183.0,936016,0
2025-03-05,186.8,187.89,182.33,187.82,781216,0
2025-03-06,191.4,191.49,188.02,189.01,724523,0
2025-03-07,191.96,191.96,188.01,188.61,382854,0
2025-03-10,191.0,191.5,185.4,185.8,546716,0
2025-03-11,191.35,191.35,181.11,185.92,897768,0
2025-03-12,188.7,188.7,183.37,185.63,371599,0
2025-03-13,188.8,188.8,183.94,184.08,428181,0
2025-03-17,188.99,188.99,183.16,185.81,514052,0
2025-03-18,190.4,190.4,185.02,189.73,762123,0
2025-03-19,189.73,200.5,189.02,194.4,863986,0
2025-03-20,197.2,197.2,192.84,194.55,883083,0
2025-03-21,195.55,197.94,194.39,197.71,836973,0
2025-03-24,198.42,200.96,198.02,200.01,1080086,0
2025-03-25,200.05,204.6,196.93,197.99,804282,0
2025-03-26,194.01,201.06,194.01,196.84,551287,0
2025-03-27,199.99,199.99,194.02,197.57,548694,0
2025-03-28,201.4,201.4,196.11,197.3,511707,0
2025-04-01,201.6,201.6,193.1,195.02,732757,0
2025-04-02,198.87,198.87,193.02,197.59,517675,0
2025-04-03,198.6,201.25,195.03,197.36,876415,0
2025-04-04,200.6,200.6,191.15,192.58,1450582,0
2025-04-07,196.0,196.8,180.39,187.6,2498882,0
2025-04-08,192.2,192.2,186.94,189.3,777943,0
