date,open,high,low,close,volume,oi
2025-04-23,10.0,10.08,9.36,9.99,1363331,0
2025-04-24,10.09,10.09,9.97,10.01,841508,0
2025-04-25,10.31,10.31,9.7,9.8,2140748,0
2025-04-28,9.9,9.92,9.65,9.89,1135804,0
2025-04-29,9.9,10.02,9.89,9.91,853959,0
2025-04-30,10.0,10.0,9.8,9.85,996218,0
2025-05-02,10.15,10.27,9.65,9.82,989830,0
2025-05-05,10.11,10.11,9.8,9.91,929280,0
2025-05-06,10.21,10.21,9.7,9.75,958997,0
2025-05-07,10.04,10.04,9.52,9.85,1130563,0
2025-05-08,9.88,10.05,9.71,9.73,886596,0
2025-05-09,9.93,9.95,9.4,9.73,969806,0
2025-05-12,9.71,10.09,9.71,10.04,1740213,0
2025-05-13,10.34,10.34,9.97,10.14,805801,0
2025-05-14,10.19,10.35,10.03,10.23,961144,0
2025-05-15,10.54,10.54,10.05,10.3,1341116,0
2025-05-16,10.3,10.45,10.29,10.42,1100385,0
2025-05-19,10.55,10.58,10.35,10.43,1248747,0
2025-05-20,10.74,10.74,10.22,10.25,1629426,0
2025-05-21,10.5,10.5,10.12,10.31,1493687,0
2025-05-22,10.41,10.41,10.25,10.32,1161171,0
2025-05-23,10.63,10.63,10.3,10.37,714255,0
2025-05-26,10.5,10.5,10.31,10.44,1098990,0
2025-05-27,10.75,10.75,10.34,10.46,718909,0
2025-05-28,10.77,10.88,10.42,10.46,912082,0
2025-05-29,10.77,10.77,10.36,10.52,727028,0
2025-05-30,10.84,10.84,10.48,10.51,873534,0
2025-06-02,10.83,10.83,10.46,10.57,1411301,0
2025-06-03,10.89,10.89,10.51,10.52,951632,0
2025-06-04,10.84,10.84,10.43,10.59,653783,0
2025-06-05,10.91,10.91,10.61,10.63,1184457,0
2025-06-06,10.95,10.95,10.63,10.76,1358535,0
2025-06-09,11.08,11.08,10.44,10.89,1321703,0
2025-06-10,11.16,11.16,10.88,10.89,1005000,0
2025-06-11,11.16,12.0,10.61,10.82,1345293,0
2025-06-12,11.14,11.14,10.69,10.7,1040939,0
2025-06-13,10.96,10.96,10.45,10.67,953588,0
2025-06-16,10.99,11.0,10.5,10.75,1284465,0
2025-06-17,11.01,11.06,10.65,10.68,859145,0
2025-06-18,11.0,11.0,10.6,10.63,829031,0
