date,open,high,low,close,volume,oi
2025-04-23,15.7,15.8,15.51,15.73,1008500,0
2025-04-24,15.73,16.1,15.65,15.78,574830,0
2025-04-25,15.7,15.87,15.28,15.44,747130,0
2025-04-28,15.35,15.68,15.35,15.63,384870,0
2025-04-29,15.84,15.84,15.63,15.71,506190,0
2025-04-30,15.64,15.75,15.43,15.54,252100,0
2025-05-02,15.78,15.8,15.38,15.62,922000,0
2025-05-05,15.8,15.8,15.48,15.67,324350,0
2025-05-06,15.9,15.9,15.32,15.41,325670,0
2025-05-07,15.6,15.65,15.2,15.61,542890,0
2025-05-08,15.7,15.75,15.26,15.32,900120,0
2025-05-09,15.07,15.35,15.02,15.25,1527860,0
2025-05-12,15.64,16.04,15.6,15.99,1119150,0
2025-05-13,16.02,16.08,15.94,16.01,503810,0
2025-05-14,16.24,16.24,15.98,16.07,427350,0
2025-05-15,16.15,16.23,16.07,16.15,1201520,0
2025-05-16,16.23,16.34,16.18,16.32,687980,0
2025-05-19,16.4,16.4,16.19,16.28,404220,0
2025-05-20,16.4,16.42,16.05,16.09,604510,0
2025-05-21,16.17,16.3,16.0,16.13,347920,0
2025-05-22,16.29,16.29,15.95,16.04,405820,0
2025-05-23,16.2,16.2,16.04,16.11,404900,0
2025-05-26,16.17,16.28,16.1,16.25,161740,0
2025-05-27,16.33,16.43,15.92,16.22,240100,0
2025-05-28,16.22,16.32,16.18,16.21,321290,0
2025-05-29,16.21,16.37,16.18,16.25,345200,0
2025-05-30,16.3,16.34,16.18,16.2,214340,0
2025-06-02,16.3,16.42,16.2,16.33,319070,0
2025-06-03,16.45,16.45,16.21,16.25,314900,0
2025-06-04,16.65,16.65,16.24,16.41,236220,0
2025-06-05,16.41,16.59,16.41,16.55,513880,0
2025-06-06,16.55,17.0,16.54,16.83,1089560,0
2025-06-09,17.0,17.5,16.92,17.06,529560,0
2025-06-10,17.3,17.3,16.96,17.01,469850,0
2025-06-11,17.16,17.16,16.9,16.97,252670,0
2025-06-12,17.06,17.07,16.7,16.74,410720,0
2025-06-13,16.72,16.72,16.24,16.66,432090,0
2025-06-16,17.2,18.1,16.52,16.86,1245410,0
2025-06-17,16.95,16.95,16.73,16.76,431450,0
2025-06-18,16.85,16.85,16.6,16.63,450120,0
2025-06-19,16.7,16.7,16.3,16.38,327550,0
2025-06-20,16.46,16.7,16.4,16.67,487110,0
2025-06-23,16.5,16.8,16.33,16.68,379710,0
