date,open,high,low,close,volume,oi
2025-04-23,201.4,203.49,199.96,203.0,14120,0
2025-04-24,204.99,204.99,202.11,202.82,445,0
2025-04-25,203.84,203.84,196.21,198.62,10352,0
2025-04-28,202.6,202.6,197.51,200.69,1476,0
2025-04-29,204.71,204.71,200.49,200.64,825,0
2025-04-30,200.65,202.0,198.39,198.53,873,0
2025-05-02,198.55,201.4,198.01,198.83,6801,0
2025-05-05,203.06,203.06,199.68,201.75,546,0
2025-05-06,201.48,201.49,197.56,197.74,1020,0
2025-05-07,199.37,200.2,196.89,199.9,1574,0
2025-05-08,199.9,201.76,196.04,197.01,1123,0
2025-05-09,188.14,199.37,188.14,197.39,3447,0
2025-05-12,202.11,204.62,202.11,203.83,5840,0
2025-05-13,205.37,205.55,203.64,204.21,742,0
2025-05-14,206.95,208.74,206.29,207.09,1418,0
2025-05-15,208.12,209.11,207.02,208.38,7898,0
2025-05-16,213.7,213.7,206.39,211.53,2552,0
2025-05-19,209.38,212.36,209.38,210.68,5594,0
2025-05-20,211.73,211.73,207.06,207.19,2338,0
2025-05-21,207.08,209.35,207.03,208.55,1086,0
2025-05-22,208.55,211.88,208.0,210.66,670,0
2025-05-23,209.04,213.18,207.27,211.93,1803,0
2025-05-26,214.7,218.9,208.1,210.77,4652,0
2025-05-27,210.83,211.86,210.29,211.47,1491,0
2025-05-28,212.41,212.52,211.23,211.69,600,0
2025-05-29,212.01,212.53,211.17,212.04,327,0
2025-05-30,213.1,213.1,211.3,212.3,1111,0
2025-06-02,213.36,213.58,208.05,213.1,2142,0
2025-06-03,213.58,213.81,213.0,213.17,1077,0
2025-06-04,212.11,214.64,210.1,213.8,1933,0
2025-06-05,215.29,216.52,214.86,215.61,1118,0
2025-06-06,216.69,217.95,215.61,217.39,2722,0
2025-06-09,217.39,219.94,217.39,219.66,3003,0
2025-06-10,220.75,221.17,219.25,219.77,2363,0
2025-06-11,220.86,221.19,218.38,219.62,1236,0
2025-06-12,218.53,219.77,216.0,216.35,2846,0
2025-06-13,217.43,219.86,213.99,215.52,754,0
2025-06-16,215.52,217.77,213.01,217.17,934,0
2025-06-17,218.25,218.25,215.55,216.17,1778,0
2025-06-18,215.86,216.62,214.62,215.2,659,0
2025-06-19,214.75,214.75,210.89,211.5,1073,0
2025-06-20,213.4,215.05,212.74,214.35,823,0
2025-06-23,209.3,216.76,209.3,214.26,1768,0
2025-06-24,215.61,217.79,215.12,216.21,3446,0
2025-06-25,219.96,219.97,216.26,217.0,1765,0
2025-06-26,217.0,218.4,217.0,218.17,1543,0
2025-06-27,219.45,220.94,217.5,219.37,748,0
2025-06-30,219.37,221.99,219.34,220.65,1452,0
2025-07-01,224.43,224.43,219.38,220.67,2868,0
2025-07-02,220.67,222.67,219.5,220.66,1479,0
2025-07-03,221.0,221.77,220.27,220.56,1652,0
2025-07-04,217.1,223.73,217.1,221.05,1793,0
2025-07-07,222.15,222.15,219.71,220.62,1476,0
2025-07-08,220.02,220.47,218.5,220.01,1695,0
2025-07-09,219.91,220.71,219.82,220.43,661,0
2025-07-10,220.01,220.41,218.44,219.86,362,0
2025-07-11,218.77,219.8,216.83,217.18,2601,0
2025-07-14,217.19,220.0,217.18,219.74,1216,0
2025-07-15,219.73,221.0,219.73,220.48,641,0
2025-07-16,220.48,221.79,220.48,221.03,1826,0
2025-07-17,221.03,222.2,221.03,221.82,618,0
2025-07-18,222.39,222.39,219.42,220.33,1994,0
2025-07-21,220.12,222.69,218.9,220.99,960,0
2025-07-22,221.0,221.24,220.26,220.48,223,0
2025-07-23,220.02,220.47,219.65,220.32,773,0
2025-07-24,219.7,220.47,219.38,219.49,677,0
2025-07-25,219.48,219.49,216.5,216.64,2139,0
2025-07-28,220.04,220.04,214.62,214.62,964,0
2025-07-29,214.61,216.6,214.57,215.87,1260,0
2025-07-30,216.94,217.15,215.77,216.92,3209,0
2025-07-31,215.9,216.93,214.39,215.21,1675,0
2025-08-01,216.05,216.6,212.64,212.74,1170,0
2025-08-04,216.95,216.95,212.22,214.9,923,0
2025-08-05,215.24,215.24,214.0,214.8,338,0
2025-08-06,214.0,214.0,212.11,212.79,1257,0
