date,open,high,low,close,volume,oi
2025-04-23,20.79,20.8,20.44,20.78,884056,0
2025-04-24,20.88,20.89,20.7,20.76,482000,0
2025-04-25,20.76,20.86,20.08,20.27,1117984,0
2025-04-28,20.3,20.59,20.06,20.48,939108,0
2025-04-29,20.75,20.75,20.3,20.53,668842,0
2025-04-30,20.53,20.68,20.32,20.41,613827,0
2025-05-02,20.5,20.58,20.22,20.31,1347933,0
2025-05-05,20.59,20.61,20.21,20.59,1668269,0
2025-05-06,20.59,20.84,20.17,20.2,664129,0
2025-05-07,20.18,20.53,19.83,20.51,1087974,0
2025-05-08,20.31,20.7,19.99,20.09,904437,0
2025-05-09,20.05,20.14,19.66,20.11,1029321,0
2025-05-12,20.33,20.91,20.33,20.9,1467149,0
2025-05-13,20.99,21.05,20.83,20.96,1052310,0
2025-05-14,21.1,21.26,20.92,21.22,1216142,0
2025-05-15,21.22,21.44,21.17,21.37,630542,0
2025-05-16,21.36,21.94,21.36,21.57,1520633,0
2025-05-19,21.85,21.85,21.47,21.59,1190131,0
2025-05-20,21.58,21.8,21.17,21.22,1177555,0
2025-05-21,21.23,21.47,21.21,21.42,688426,0
2025-05-22,21.55,21.56,21.22,21.34,701072,0
2025-05-23,21.44,21.5,21.24,21.48,821980,0
2025-05-26,21.48,21.72,21.48,21.54,962448,0
2025-05-27,21.71,21.71,21.43,21.61,525547,0
2025-05-28,21.62,21.78,21.61,21.65,396264,0
2025-05-29,21.75,21.82,21.62,21.76,335675,0
2025-05-30,21.77,21.88,21.64,21.7,1094395,0
2025-06-02,21.8,22.0,21.61,21.88,1297784,0
2025-06-03,22.42,22.42,21.75,21.78,939885,0
2025-06-04,21.88,21.93,21.71,21.89,3699281,0
2025-06-05,21.9,22.12,21.9,22.06,652669,0
2025-06-06,22.05,22.29,22.0,22.27,870598,0
2025-06-09,22.33,22.57,22.3,22.54,1312428,0
2025-06-10,22.73,22.73,22.48,22.55,1323980,0
2025-06-11,23.11,23.11,22.35,22.48,995308,0
2025-06-12,22.41,22.58,22.06,22.16,1476919,0
2025-06-13,22.0,22.1,21.51,22.07,969184,0
2025-06-16,22.18,22.24,21.78,22.22,832579,0
2025-06-17,22.38,22.38,22.01,22.11,1076821,0
2025-06-18,22.13,22.15,21.93,21.99,602676,0
2025-06-19,21.86,22.02,21.5,21.65,949662,0
2025-06-20,22.19,22.19,21.55,21.88,712518,0
2025-06-23,21.88,22.03,21.6,21.95,952384,0
2025-06-24,22.29,22.3,22.1,22.15,845178,0
2025-06-25,22.7,22.7,21.59,22.29,811695,0
2025-06-26,22.13,22.47,22.13,22.39,503942,0
2025-06-27,22.94,22.94,22.37,22.46,837103,0
2025-06-30,23.02,23.02,22.33,22.64,1068854,0
2025-07-01,22.64,22.76,22.5,22.6,4208300,0
2025-07-02,22.69,22.8,22.47,22.61,1186254,0
2025-07-03,22.6,22.74,22.52,22.64,451227,0
2025-07-04,23.2,23.2,22.48,22.61,447129,0
2025-07-07,22.72,22.73,22.5,22.54,638288,0
2025-07-08,22.64,22.65,22.34,22.54,743327,0
2025-07-09,22.53,22.63,22.45,22.53,373546,0
2025-07-10,22.52,22.64,22.38,22.47,606550,0
2025-07-11,21.9,22.59,21.9,22.3,580772,0
2025-07-14,22.85,22.85,22.19,22.37,1452382,0
2025-07-15,22.3,22.67,22.3,22.63,538689,0
2025-07-16,23.19,23.19,22.56,22.67,478294,0
2025-07-17,22.78,22.78,22.6,22.67,2678538,0
2025-07-18,22.97,22.97,22.44,22.46,881012,0
