date,open,high,low,close,volume,oi
2025-04-23,16.5,16.72,16.46,16.69,420323,0
2025-04-24,16.8,16.8,16.43,16.65,227146,0
2025-04-25,16.64,16.82,16.13,16.33,485820,0
2025-04-28,16.4,16.55,16.17,16.51,218047,0
2025-04-29,17.01,17.01,16.21,16.58,255674,0
2025-04-30,16.5,16.65,16.34,16.38,383991,0
2025-05-02,16.87,16.87,16.31,16.39,399084,0
2025-05-05,16.48,16.65,16.38,16.62,319493,0
2025-05-06,16.9,16.9,16.2,16.24,533204,0
2025-05-07,16.25,16.46,15.89,16.43,432544,0
2025-05-08,16.62,16.62,15.97,16.11,148239,0
2025-05-09,16.11,16.27,15.83,16.12,679096,0
2025-05-12,16.6,18.0,16.44,16.96,559248,0
2025-05-13,16.89,16.99,16.81,16.89,301871,0
2025-05-14,16.96,17.0,16.8,16.97,504225,0
2025-05-15,17.05,17.17,16.81,17.14,368485,0
2025-05-16,17.33,17.68,16.93,17.2,817170,0
2025-05-19,17.19,17.33,16.96,17.18,336801,0
2025-05-20,17.32,17.32,16.88,16.91,482644,0
2025-05-21,16.97,17.13,16.7,17.04,278891,0
2025-05-22,17.55,17.55,16.87,16.96,227485,0
2025-05-23,17.14,17.25,16.91,17.09,171596,0
2025-05-26,17.17,17.21,16.84,17.15,210044,0
2025-05-27,16.88,17.25,16.88,17.19,191528,0
2025-05-28,17.19,17.28,17.12,17.15,202110,0
2025-05-29,17.15,17.26,17.12,17.19,138699,0
2025-05-30,17.71,17.71,17.18,17.25,226572,0
2025-06-02,17.22,17.4,17.11,17.37,829863,0
2025-06-03,16.93,17.89,16.93,17.2,288509,0
2025-06-04,16.77,17.72,16.77,17.29,495145,0
2025-06-05,17.72,17.72,17.09,17.33,230327,0
2025-06-06,17.85,17.85,17.3,17.52,396306,0
2025-06-09,17.82,17.82,17.1,17.7,528748,0
2025-06-10,17.7,17.86,17.59,17.79,303362,0
2025-06-11,17.94,17.94,17.66,17.68,337705,0
2025-06-12,18.12,18.12,17.43,17.46,273744,0
2025-06-13,17.43,19.0,16.99,17.47,413518,0
2025-06-16,17.9,17.9,17.16,17.67,265916,0
2025-06-17,17.22,17.79,17.22,17.59,160333,0
2025-06-18,17.58,17.63,17.44,17.46,225875,0
2025-06-19,17.02,17.58,17.02,17.35,221080,0
2025-06-20,17.2,17.5,16.91,17.43,270054,0
2025-06-23,17.95,17.95,17.02,17.43,163797,0
2025-06-24,17.95,17.95,17.45,17.56,149377,0
2025-06-25,18.09,18.09,17.57,17.63,257939,0
2025-06-26,17.76,17.76,17.58,17.71,556176,0
2025-06-27,17.26,17.92,17.26,17.83,165030,0
2025-06-30,17.38,18.38,17.38,17.93,182219,0
2025-07-01,18.47,18.47,17.84,17.98,173638,0
2025-07-02,18.2,18.2,17.79,17.86,362864,0
2025-07-03,17.97,18.04,17.87,17.93,339500,0
2025-07-04,18.37,18.37,17.4,17.96,171137,0
2025-07-07,17.51,18.12,17.51,17.94,363133,0
2025-07-08,18.09,18.09,17.6,17.94,148099,0
2025-07-09,18.48,18.48,17.65,17.89,206954,0
2025-07-10,18.43,18.43,17.72,17.8,121020,0
2025-07-11,18.24,18.24,17.35,17.62,159565,0
2025-07-14,18.06,18.06,17.52,17.7,152102,0
2025-07-15,18.14,18.14,17.57,17.81,143232,0
2025-07-16,17.36,17.91,17.36,17.89,269590,0
2025-07-17,18.43,18.43,17.79,17.81,77717,0
2025-07-18,17.36,17.92,17.28,17.7,77198,0
2025-07-21,17.43,18.23,17.22,17.86,264576,0
2025-07-22,17.86,17.89,17.7,17.72,176395,0
