date,open,high,low,close,volume,oi
2025-04-23,27.84,27.84,27.36,27.7,88469,0
2025-04-24,27.75,27.99,27.49,27.7,87111,0
2025-04-25,27.7,27.74,27.0,27.32,80064,0
2025-04-28,27.31,28.0,27.16,27.63,117899,0
2025-04-29,27.76,27.88,27.24,27.51,111191,0
2025-04-30,27.53,27.6,27.24,27.51,56546,0
2025-05-02,27.64,27.64,27.24,27.4,43835,0
2025-05-05,27.0,27.84,27.0,27.61,65190,0
2025-05-06,27.74,27.74,27.34,27.46,33119,0
2025-05-07,27.37,27.63,27.0,27.6,27337,0
2025-05-08,27.86,27.86,27.15,27.29,38774,0
2025-05-09,26.7,27.35,26.7,27.26,25841,0
2025-05-12,27.46,27.99,27.45,27.91,105231,0
2025-05-13,26.82,28.13,26.82,27.98,378240,0
2025-05-14,28.17,28.2,27.87,28.1,90296,0
2025-05-15,28.16,28.4,27.99,28.33,142593,0
2025-05-16,28.33,28.62,28.33,28.55,232311,0
2025-05-19,28.6,29.24,28.39,28.77,405284,0
2025-05-20,28.78,28.78,28.16,28.42,89467,0
2025-05-21,28.42,28.71,28.31,28.58,106314,0
2025-05-22,28.61,28.61,28.11,28.41,62976,0
2025-05-23,28.44,28.65,28.09,28.51,57160,0
2025-05-26,28.5,28.76,28.31,28.68,77091,0
2025-05-27,28.77,28.77,28.51,28.67,33518,0
2025-05-28,28.78,28.78,28.53,28.6,56949,0
2025-05-29,28.73,28.76,28.57,28.71,66090,0
2025-05-30,28.76,28.76,28.5,28.56,37645,0
2025-06-02,28.71,28.71,28.45,28.67,28927,0
2025-06-03,28.67,28.72,28.53,28.57,33912,0
2025-06-04,28.58,28.89,28.22,28.64,43613,0
2025-06-05,28.82,28.85,28.66,28.76,83432,0
2025-06-06,28.77,28.95,28.7,28.86,68989,0
2025-06-09,28.85,29.19,28.72,29.14,100516,0
2025-06-10,29.28,29.32,29.12,29.22,144446,0
2025-06-11,29.36,29.36,29.09,29.11,56593,0
2025-06-12,29.12,29.12,28.72,28.84,82434,0
