date,open,high,low,close,volume,oi
2025-04-23,61.0,61.63,60.46,61.37,32939,0
2025-04-24,60.77,61.0,60.77,60.98,28186,0
2025-04-25,60.72,61.5,60.72,61.02,2849,0
2025-04-28,61.03,61.49,60.44,61.11,53219,0
2025-04-29,60.82,61.46,60.71,60.88,2621,0
2025-04-30,61.41,61.41,60.78,60.78,1861,0
2025-05-02,61.08,61.38,60.72,61.28,1599,0
2025-05-05,60.7,61.79,60.67,61.39,122070,0
2025-05-06,62.0,63.7,60.72,62.61,6032,0
2025-05-07,63.5,63.91,61.03,61.47,35296,0
2025-05-08,61.01,61.89,61.01,61.41,7438,0
2025-05-09,61.67,61.67,60.02,60.48,5631,0
2025-05-12,59.5,61.99,59.5,61.38,826,0
2025-05-13,60.8,62.5,60.8,61.64,10869,0
2025-05-14,61.29,63.5,61.0,63.21,3841,0
2025-05-15,63.14,63.14,61.3,61.47,182224,0
2025-05-16,61.31,62.8,61.15,61.54,9203,0
2025-05-19,61.85,62.25,61.17,61.52,3996,0
2025-05-20,61.82,61.82,61.5,61.67,5707,0
2025-05-21,61.41,61.99,61.41,61.74,512,0
2025-05-22,62.05,62.05,61.7,61.81,2132,0
2025-05-23,62.12,62.12,61.57,61.86,10818,0
2025-05-26,61.47,62.29,61.47,61.6,2394,0
2025-05-27,61.9,63.15,61.66,61.75,2075,0
2025-05-28,62.05,62.05,61.55,61.92,82021,0
2025-05-29,61.86,63.14,61.86,61.88,9705,0
2025-05-30,63.74,63.74,61.88,62.08,1085,0
2025-06-02,62.11,62.3,61.51,61.88,18503,0
2025-06-03,62.18,63.97,61.56,62.14,156904,0
2025-06-04,63.69,63.69,61.88,61.88,5930,0
2025-06-05,62.43,62.43,61.82,62.05,1345,0
2025-06-06,62.36,62.75,61.82,62.0,3337,0
2025-06-09,63.55,63.55,61.78,62.25,14239,0
2025-06-10,62.16,62.25,61.85,62.15,15974,0
2025-06-11,61.91,62.5,61.76,62.07,2500,0
2025-06-12,63.62,63.62,61.81,62.01,1941,0
2025-06-13,62.01,62.75,61.89,62.72,2851,0
2025-06-16,63.97,64.2,61.8,61.89,10308,0
2025-06-17,61.9,62.56,61.58,61.92,4417,0
2025-06-18,63.78,63.78,61.78,61.8,10617,0
2025-06-19,62.6,62.6,61.64,61.84,2924,0
2025-06-20,63.38,63.38,61.6,61.61,3133,0
2025-06-23,61.96,61.96,61.37,61.82,108556,0
2025-06-24,61.82,61.99,61.68,61.9,7289,0
2025-06-25,61.99,62.0,61.56,61.59,692,0
2025-06-26,63.12,63.12,61.59,61.6,16252,0
2025-06-27,63.12,63.12,61.6,61.63,25119,0
2025-06-30,61.65,62.82,61.64,61.7,4150,0
2025-07-01,61.47,62.14,61.47,61.93,143853,0
2025-07-02,64.2,65.8,61.66,61.89,11984,0
2025-07-03,62.5,62.5,61.85,61.89,6936,0
2025-07-04,63.43,64.2,61.61,62.93,12826,0
2025-07-07,62.9,62.9,61.64,62.33,13625,0
2025-07-08,63.88,63.88,61.91,62.07,13587,0
2025-07-09,62.08,62.49,61.86,62.12,2523,0
2025-07-10,62.59,62.9,61.94,62.04,9322,0
2025-07-11,62.35,62.35,62.0,62.26,3894,0
2025-07-14,62.9,62.9,62.01,62.26,6938,0
2025-07-15,62.25,62.29,61.96,62.27,5485,0
2025-07-16,62.39,62.44,62.01,62.29,11456,0
2025-07-17,62.0,62.29,61.97,62.12,4712,0
2025-07-18,62.15,62.34,62.11,62.28,11063,0
2025-07-21,63.83,63.83,62.01,62.32,3887,0
2025-07-22,62.12,62.44,62.02,62.3,741502,0
2025-07-23,62.33,62.4,62.14,62.32,1526,0
2025-07-24,63.87,63.87,62.12,62.16,3274,0
2025-07-25,62.16,62.34,61.97,62.28,6541,0
2025-07-28,63.83,63.83,62.0,62.24,182706,0
2025-07-29,62.3,62.3,62.05,62.18,3237,0
2025-07-30,62.29,63.95,62.07,62.71,231875,0
2025-07-31,62.29,62.4,61.71,62.1,66358,0
2025-08-01,62.1,62.34,61.93,62.1,2049,0
2025-08-04,62.01,63.0,61.76,62.14,37181,0
2025-08-05,62.34,62.64,62.16,62.44,3143,0
2025-08-06,62.44,62.44,62.13,62.39,1548,0
2025-08-07,62.39,62.48,62.11,62.4,560,0
2025-08-08,62.4,62.42,62.1,62.12,723,0
2025-08-11,63.98,63.98,62.02,62.07,4533,0
2025-08-12,62.18,62.5,62.04,62.41,4321,0
2025-08-13,60.84,62.41,60.84,61.88,27683,0
2025-08-14,62.34,62.34,61.66,62.16,7515,0
2025-08-18,61.74,62.09,61.73,61.93,20217,0
2025-08-19,62.03,62.29,61.84,61.85,2050,0
2025-08-20,63.39,63.39,61.96,62.18,1262,0
2025-08-21,62.49,62.49,61.8,61.84,4273,0
2025-08-22,60.29,62.36,60.29,62.22,687,0
2025-08-25,62.44,62.45,61.52,61.76,3710,0
2025-08-26,62.02,62.03,61.52,61.76,995,0
2025-08-28,62.11,62.11,61.74,62.04,1743,0
2025-08-29,62.03,62.04,61.7,61.97,11573,0
2025-09-01,61.96,61.97,61.62,61.73,1379,0
2025-09-02,60.18,62.11,60.18,61.98,22894,0
2025-09-03,61.99,62.06,61.66,61.88,3981,0
2025-09-04,61.88,62.04,61.66,61.99,1622,0
2025-09-05,62.01,62.07,61.71,61.95,2935,0
2025-09-08,63.81,63.81,60.91,61.81,6687,0
2025-09-09,61.81,62.01,61.69,61.99,10418,0
2025-09-10,61.79,62.03,61.68,61.92,35385,0
2025-09-11,62.49,62.49,61.75,61.91,6634,0
2025-09-12,62.21,62.21,61.72,61.87,1721,0
