date,open,high,low,close,volume,oi
2025-04-23,42.99,43.19,42.6,43.06,60426,0
2025-04-24,43.29,43.6,42.67,43.27,81235,0
2025-04-25,43.49,43.65,41.93,42.31,91641,0
2025-04-28,42.1,43.5,41.47,43.04,93006,0
2025-04-29,43.79,43.79,42.5,42.69,30966,0
2025-04-30,43.09,43.14,42.08,42.62,31112,0
2025-05-02,42.84,42.99,42.25,42.39,33998,0
2025-05-05,42.94,43.25,42.42,42.74,50418,0
2025-05-06,42.75,43.44,42.04,42.51,46572,0
2025-05-07,42.28,42.66,41.79,42.44,31224,0
2025-05-08,42.88,42.89,41.61,41.8,20401,0
2025-05-09,41.61,41.8,41.04,41.68,26248,0
2025-05-12,41.68,42.97,41.52,42.18,57970,0
2025-05-13,42.07,42.78,42.01,42.37,53168,0
2025-05-14,42.38,42.91,42.27,42.63,33580,0
2025-05-15,42.42,43.05,42.28,42.94,73445,0
2025-05-16,43.39,43.39,42.62,42.94,67995,0
2025-05-19,43.01,43.44,42.86,43.14,54496,0
2025-05-20,43.14,43.33,42.6,42.69,29685,0
2025-05-21,41.84,43.25,41.84,43.13,31108,0
2025-05-22,43.34,43.52,42.51,42.92,37360,0
2025-05-23,43.13,43.13,42.66,42.9,40959,0
2025-05-26,43.11,43.43,42.88,43.14,38033,0
2025-05-27,43.35,43.64,42.72,43.05,34288,0
2025-05-28,43.05,43.37,42.86,42.97,28561,0
2025-05-29,43.18,43.31,42.95,43.19,21648,0
2025-05-30,43.26,43.44,42.87,43.0,23087,0
2025-06-02,43.44,43.44,42.63,43.12,57845,0
2025-06-03,43.45,43.45,42.83,43.01,37289,0
2025-06-04,44.08,44.08,42.8,43.11,46889,0
2025-06-05,44.18,44.18,43.01,43.45,38666,0
2025-06-06,44.53,44.53,42.36,43.55,49277,0
2025-06-09,44.63,44.63,43.38,43.78,53775,0
2025-06-10,44.47,44.47,43.67,44.03,31599,0
2025-06-11,42.92,44.5,42.92,44.28,53364,0
2025-06-12,44.28,44.96,43.83,44.32,127553,0
2025-06-13,44.55,44.61,43.13,44.38,69191,0
2025-06-16,43.66,44.74,43.66,44.53,64364,0
2025-06-17,45.64,45.64,43.75,43.86,92649,0
2025-06-18,44.25,44.49,43.5,43.65,18403,0
2025-06-19,44.45,44.45,43.15,43.31,28539,0
2025-06-20,44.39,44.39,43.13,43.61,37559,0
2025-06-23,44.7,44.7,42.51,43.38,50088,0
2025-06-24,44.46,44.46,43.36,43.6,28238,0
2025-06-25,43.81,44.0,43.01,43.93,18104,0
2025-06-26,44.39,44.4,43.7,44.06,41513,0
2025-06-27,42.95,44.53,42.95,44.46,32963,0
2025-06-30,43.34,44.95,43.34,44.62,94296,0
