date,open,high,low,close,volume,oi
2025-04-23,59.95,59.95,57.88,58.9,695461,0
2025-04-24,59.24,59.28,58.53,58.8,454752,0
2025-04-25,59.3,59.3,56.83,57.32,840854,0
2025-04-28,59.06,59.06,56.62,58.3,581217,0
2025-04-29,58.3,58.94,58.1,58.47,362577,0
2025-04-30,57.89,58.84,57.71,57.82,738321,0
2025-05-02,58.19,58.8,57.3,57.5,642369,0
2025-05-05,58.68,58.68,57.12,58.54,636217,0
2025-05-06,58.54,59.05,57.08,57.17,600053,0
2025-05-07,57.8,58.13,55.5,58.07,532444,0
2025-05-08,58.79,58.79,56.64,56.87,531097,0
2025-05-09,56.59,57.04,55.0,56.89,563271,0
2025-05-12,58.6,59.35,56.91,59.3,847564,0
2025-05-13,59.9,59.98,58.7,59.4,949786,0
2025-05-14,60.44,60.44,59.13,60.05,596751,0
2025-05-15,60.89,60.89,60.0,60.49,384224,0
2025-05-16,58.68,61.48,58.68,61.05,496078,0
2025-05-19,61.95,61.95,60.81,61.13,481912,0
2025-05-20,61.13,61.69,60.06,60.19,581521,0
2025-05-21,60.3,60.75,59.94,60.66,419505,0
2025-05-22,60.74,60.92,60.0,60.36,517296,0
2025-05-23,60.35,60.85,60.06,60.76,316240,0
2025-05-26,61.44,61.44,60.77,61.2,429387,0
2025-05-27,61.93,61.93,60.9,61.25,382902,0
2025-05-28,61.65,61.69,61.0,61.27,268033,0
2025-05-29,61.47,61.84,61.23,61.65,467941,0
2025-05-30,61.95,62.09,61.36,61.61,345736,0
2025-06-02,61.87,62.07,61.23,62.0,454454,0
2025-06-03,61.34,62.95,61.34,61.73,404613,0
2025-06-04,60.18,62.56,60.18,62.16,390434,0
2025-06-05,64.02,64.02,61.96,62.55,416110,0
2025-06-06,60.98,63.4,60.98,63.32,511285,0
2025-06-09,61.73,64.1,61.73,64.05,630734,0
2025-06-10,65.03,65.03,63.91,64.09,795841,0
2025-06-11,65.69,66.01,63.46,63.76,547138,0
2025-06-12,65.35,65.35,62.61,62.75,997202,0
2025-06-13,62.49,62.63,61.01,62.52,786727,0
2025-06-16,62.63,63.18,61.81,63.13,1013592,0
2025-06-17,61.55,64.2,61.55,62.74,594213,0
2025-06-18,62.76,62.97,62.25,62.4,433214,0
2025-06-19,64.1,64.1,61.26,61.45,732985,0
2025-06-20,61.44,62.39,61.39,62.28,540440,0
2025-06-23,63.83,63.83,60.72,62.24,435637,0
2025-06-24,63.29,63.29,62.3,62.98,805484,0
2025-06-25,61.4,64.55,61.4,63.24,315248,0
2025-06-26,65.14,65.14,63.02,63.61,360595,0
2025-06-27,62.01,64.1,62.01,63.77,609888,0
2025-06-30,62.17,65.36,62.01,64.13,488611,0
2025-07-01,65.5,65.5,63.46,64.14,374455,0
2025-07-02,64.49,64.49,63.78,64.04,384331,0
2025-07-03,63.5,64.6,63.5,64.07,234128,0
2025-07-04,64.4,64.44,63.74,64.12,416157,0
2025-07-07,62.51,64.32,62.51,63.92,250575,0
2025-07-08,65.2,65.2,63.41,63.87,280269,0
2025-07-09,64.4,64.4,63.05,63.72,203326,0
2025-07-10,64.9,64.9,63.31,63.56,181650,0
2025-07-11,63.69,63.7,62.81,62.98,398790,0
2025-07-14,64.2,64.2,62.54,63.46,206462,0
2025-07-15,63.7,64.1,63.46,64.07,351633,0
2025-07-16,65.1,65.1,63.76,64.04,525832,0
2025-07-17,64.25,64.3,63.76,63.95,188322,0
2025-07-18,64.1,64.19,63.4,63.52,281034,0
2025-07-21,64.3,64.3,63.27,63.94,294342,0
2025-07-22,63.8,64.3,63.47,63.55,304725,0
2025-07-23,62.7,63.85,62.7,63.76,237904,0
2025-07-24,62.8,63.99,62.16,63.37,384679,0
2025-07-25,63.23,63.62,62.27,62.38,761111,0
2025-07-28,62.45,62.9,61.7,61.86,413291,0
2025-07-29,61.1,62.43,61.1,62.35,307782,0
2025-07-30,61.6,63.1,61.6,62.31,169418,0
2025-07-31,62.6,62.6,61.11,61.67,472521,0
2025-08-01,62.4,62.4,60.8,60.93,374718,0
2025-08-04,61.5,62.72,60.76,61.76,380367,0
2025-08-05,60.8,62.0,60.8,61.5,396912,0
2025-08-06,61.5,61.85,60.75,61.06,313213,0
2025-08-07,61.9,61.9,60.2,61.18,498609,0
