date,open,high,low,close,volume,oi
2025-04-23,59.0,59.58,58.65,59.45,79746,0
2025-04-24,59.44,59.97,59.0,59.62,80948,0
2025-04-25,59.61,60.1,58.02,58.51,212228,0
2025-04-28,58.98,59.25,58.03,59.1,133495,0
2025-04-29,59.88,59.88,59.22,59.62,73816,0
2025-04-30,59.88,59.88,59.08,59.41,75011,0
2025-05-02,59.69,60.15,59.0,59.29,146212,0
2025-05-05,59.77,60.17,59.29,60.09,83317,0
2025-05-06,61.29,61.29,59.0,59.14,78915,0
2025-05-07,59.15,60.2,58.43,59.81,94132,0
2025-05-08,60.65,60.65,57.78,58.49,172667,0
2025-05-09,58.48,58.77,57.3,58.48,123418,0
2025-05-12,58.71,61.18,58.7,60.97,236178,0
2025-05-13,61.01,61.47,60.7,60.91,128398,0
2025-05-14,61.22,61.75,60.93,61.42,106216,0
2025-05-15,61.76,62.26,60.92,62.04,150916,0
2025-05-16,62.35,62.48,61.91,62.29,85844,0
2025-05-19,62.49,62.98,62.0,62.13,122096,0
2025-05-20,62.87,62.87,61.07,61.25,121634,0
2025-05-21,61.25,61.95,60.91,61.73,62890,0
2025-05-22,61.72,61.72,60.63,61.22,115111,0
2025-05-23,61.18,62.27,60.0,61.72,69272,0
2025-05-26,62.28,62.28,61.23,62.0,91338,0
2025-05-27,61.69,62.37,61.5,61.7,73336,0
2025-05-28,61.71,62.02,61.28,61.45,60799,0
2025-05-29,62.98,62.98,61.52,61.97,62068,0
2025-05-30,61.97,62.37,61.61,62.01,92237,0
2025-06-02,62.32,62.32,61.4,61.91,78125,0
2025-06-03,62.29,62.63,61.82,61.88,133308,0
2025-06-04,63.42,63.42,61.74,62.33,59941,0
2025-06-05,63.88,63.88,62.01,63.0,158512,0
2025-06-06,63.79,63.79,62.85,63.43,175334,0
2025-06-09,63.21,64.05,63.21,63.89,145719,0
2025-06-10,64.19,64.58,63.8,64.24,113786,0
2025-06-11,64.78,64.78,63.85,64.3,109121,0
2025-06-12,64.3,64.37,63.2,63.32,185559,0
2025-06-13,62.98,63.24,61.95,62.93,172455,0
2025-06-16,63.25,63.79,62.3,63.61,122289,0
2025-06-17,63.94,63.96,63.25,63.5,78462,0
2025-06-18,63.5,63.78,63.07,63.42,110036,0
2025-06-19,63.74,63.74,62.66,62.85,164436,0
2025-06-20,62.85,64.01,62.76,63.8,141127,0
2025-06-23,65.71,65.71,63.23,63.88,105224,0
2025-06-24,64.51,64.79,63.9,64.24,99300,0
2025-06-25,64.25,64.8,64.25,64.54,75402,0
2025-06-26,63.89,65.06,62.92,64.67,116449,0
2025-06-27,66.28,66.28,64.45,64.78,120673,0
2025-06-30,65.8,65.8,64.35,64.58,115866,0
2025-07-01,64.75,64.78,64.31,64.64,96859,0
2025-07-02,64.97,66.37,63.89,64.18,266194,0
2025-07-03,62.57,64.51,62.57,63.89,68740,0
2025-07-04,64.2,64.27,63.58,63.83,98930,0
2025-07-07,65.74,65.74,63.5,63.69,91606,0
2025-07-08,64.81,65.6,63.36,63.72,49521,0
2025-07-09,64.03,64.17,63.39,63.63,35922,0
2025-07-10,64.19,64.19,63.14,63.41,55326,0
2025-07-11,64.99,64.99,62.65,62.75,150371,0
2025-07-14,63.06,63.18,62.21,62.82,119692,0
2025-07-15,61.24,63.83,61.24,63.19,71378,0
2025-07-16,63.19,63.32,63.0,63.17,69686,0
2025-07-17,63.34,63.34,62.33,62.59,127844,0
2025-07-18,62.49,63.3,62.0,62.31,120807,0
2025-07-21,62.31,62.9,61.78,62.7,75852,0
2025-07-22,62.31,63.3,62.31,62.93,59046,0
2025-07-23,63.29,63.39,62.67,63.29,35970,0
2025-07-24,63.3,63.79,62.71,62.79,50945,0
2025-07-25,62.79,62.99,61.93,62.12,94328,0
2025-07-28,62.0,62.74,61.27,61.46,85939,0
2025-07-29,61.31,61.73,61.13,61.51,72202,0
2025-07-30,61.6,61.76,61.26,61.36,61049,0
2025-07-31,61.28,61.69,60.75,61.27,234647,0
2025-08-01,61.57,61.58,60.5,60.76,96683,0
2025-08-04,62.58,62.58,60.53,61.19,77013,0
2025-08-05,62.29,62.29,60.81,61.17,56916,0
2025-08-06,61.17,61.73,60.75,60.98,53998,0
2025-08-07,60.8,61.38,60.4,61.06,109949,0
2025-08-08,61.65,61.66,60.24,60.38,69333,0
2025-08-11,60.15,60.94,59.51,60.77,125216,0
2025-08-12,60.41,61.27,60.27,60.34,90448,0
2025-08-13,60.33,61.36,60.0,61.29,36207,0
2025-08-14,61.3,61.53,61.11,61.41,51076,0
2025-08-18,61.5,62.85,61.5,62.35,124320,0
2025-08-19,62.66,62.66,61.8,62.14,76734,0
2025-08-20,62.45,62.78,62.04,62.16,76106,0
2025-08-21,62.15,62.58,61.83,62.22,98500,0
2025-08-22,62.79,62.79,61.5,62.23,65417,0
2025-08-25,62.3,62.96,62.08,62.29,76601,0
2025-08-26,62.06,62.49,60.97,61.2,120205,0
2025-08-28,61.5,61.5,60.22,60.48,97691,0
2025-08-29,60.78,61.15,60.0,60.42,80600,0
2025-09-01,60.74,61.78,59.83,60.93,144944,0
2025-09-02,61.23,61.57,60.72,60.99,68397,0
2025-09-03,61.49,61.58,60.62,61.2,83023,0
2025-09-04,63.04,63.04,60.99,61.06,48952,0
2025-09-05,61.18,61.59,60.89,61.16,52550,0
2025-09-08,61.89,61.89,61.0,61.42,63428,0
2025-09-09,61.72,61.99,61.07,61.38,58545,0
2025-09-10,61.73,62.19,61.63,62.05,79781,0
2025-09-11,62.05,62.68,61.61,61.79,47964,0
2025-09-12,61.8,62.5,61.8,62.3,71090,0
2025-09-15,62.29,62.95,61.63,62.61,144785,0
2025-09-16,62.79,62.87,62.32,62.79,163220,0
2025-09-17,62.79,63.36,62.5,62.9,111901,0
2025-09-18,63.58,63.58,62.73,63.13,106142,0
2025-09-19,63.13,63.58,62.71,62.9,69996,0
2025-09-22,63.21,63.29,61.68,62.8,71167,0
2025-09-23,63.11,63.37,62.13,62.32,62613,0
2025-09-24,62.32,62.35,61.78,61.84,95754,0
2025-09-25,62.14,62.47,61.5,61.67,52039,0
2025-09-26,61.99,61.99,60.4,60.59,199313,0
2025-09-29,60.93,61.13,60.26,60.73,85657,0
2025-09-30,61.37,61.48,60.14,60.58,150187,0
2025-10-01,60.59,66.05,60.35,61.04,218670,0
2025-10-03,60.05,61.78,60.05,61.38,70766,0
2025-10-06,59.84,62.38,59.84,62.16,119393,0
2025-10-07,62.47,62.77,61.83,62.44,82641,0
2025-10-08,62.97,62.97,62.13,62.18,86225,0
2025-10-09,62.71,63.0,62.0,62.79,71942,0
2025-10-10,62.84,63.36,62.84,63.21,48844,0
2025-10-13,63.49,63.49,62.82,63.22,99953,0
2025-10-14,63.22,63.6,62.63,62.98,119332,0
2025-10-15,62.99,64.23,62.99,63.97,152261,0
2025-10-16,64.28,64.63,63.67,64.33,143196,0
2025-10-17,64.34,64.85,64.09,64.41,153176,0
2025-10-20,64.41,65.0,64.4,64.72,100382,0
2025-10-21,63.88,65.05,63.88,64.73,56887,0
2025-10-23,65.5,66.0,64.35,64.47,130652,0
2025-10-24,64.46,64.73,63.94,64.13,126906,0
2025-10-27,64.93,64.93,64.14,64.6,73342,0
2025-10-28,64.92,64.92,63.88,64.21,96157,0
2025-10-29,64.53,64.98,64.09,64.41,125408,0
2025-10-30,64.4,64.5,63.99,64.04,61778,0
2025-10-31,64.3,64.38,63.79,63.9,74978,0
2025-11-03,64.21,64.46,63.43,63.97,91983,0
2025-11-04,64.2,64.67,63.7,63.81,41373,0
2025-11-06,64.0,64.0,63.3,63.43,45351,0
2025-11-07,63.45,63.95,62.63,63.84,61696,0
2025-11-10,64.15,64.47,62.62,63.9,364012,0
2025-11-11,64.21,64.3,63.36,63.91,93577,0
2025-11-12,64.26,64.69,64.26,64.6,126212,0
2025-11-13,64.92,64.99,63.94,64.43,195094,0
2025-11-14,64.75,64.85,64.22,64.74,66861,0
2025-11-17,65.06,65.06,64.7,64.93,61091,0
2025-11-18,65.0,65.06,64.4,64.52,32095,0
2025-11-19,65.2,65.2,64.22,64.74,200642,0
2025-11-20,64.98,65.49,64.78,65.2,100156,0
2025-11-21,65.19,65.25,64.21,64.55,76763,0
2025-11-24,64.56,64.96,64.0,64.14,178163,0
2025-11-25,64.46,64.46,64.11,64.16,133473,0
2025-11-26,64.35,65.25,64.19,65.1,136155,0
2025-11-27,65.29,65.59,64.61,65.37,37794,0
2025-11-28,65.69,65.69,64.37,65.14,57029,0
2025-12-01,66.0,66.0,64.71,65.14,73376,0
2025-12-02,65.49,65.49,64.61,64.8,49745,0
2025-12-03,65.12,65.48,63.98,64.1,58384,0
2025-12-04,63.5,64.49,63.5,64.18,59228,0
2025-12-05,64.7,65.6,64.01,64.74,176438,0
2025-12-08,65.98,65.98,63.5,63.84,114265,0
2025-12-09,65.43,65.43,62.73,63.4,110354,0
2025-12-10,63.59,63.8,62.72,62.89,40906,0
2025-12-11,64.78,64.78,62.74,63.42,27532,0
2025-12-12,63.73,63.8,63.08,63.53,78760,0
2025-12-15,65.44,65.44,63.27,63.64,75753,0
2025-12-16,63.64,64.0,63.04,63.33,61093,0
2025-12-17,63.65,63.73,62.5,62.74,71905,0
2025-12-18,63.06,63.1,62.45,62.88,79412,0
2025-12-19,62.88,63.52,62.77,63.36,46305,0
