date,open,high,low,close,volume,oi
2025-04-23,182.21,184.48,181.95,184.16,3180,0
2025-04-24,184.32,184.83,183.34,183.57,1111,0
2025-04-25,183.48,183.48,179.27,180.46,2106,0
2025-04-28,181.36,182.99,181.36,182.59,1095,0
2025-04-29,183.33,184.98,183.05,184.23,1087,0
2025-04-30,183.44,185.09,182.39,182.91,940,0
2025-05-02,182.92,184.07,181.09,181.61,551,0
2025-05-05,183.0,185.0,183.0,183.48,1257,0
2025-05-06,183.47,183.71,179.59,181.25,842,0
2025-05-07,182.11,183.13,181.04,181.87,404,0
2025-05-08,182.78,182.85,179.48,180.47,466,0
2025-05-09,179.75,180.32,178.23,179.58,689,0
2025-05-12,183.55,186.91,183.26,186.37,1115,0
2025-05-13,186.38,187.69,185.98,186.14,1627,0
2025-05-14,187.54,187.99,186.88,187.56,3638,0
2025-05-15,185.68,191.0,185.03,190.59,3935,0
2025-05-16,190.79,193.71,190.59,193.08,3316,0
2025-05-19,193.7,194.39,193.1,193.41,2753,0
2025-05-20,193.41,193.92,190.46,190.93,1650,0
2025-05-21,191.25,193.15,190.4,192.61,787,0
2025-05-22,192.62,192.62,190.1,191.07,1115,0
2025-05-23,191.05,192.33,190.8,191.45,990,0
2025-05-26,191.96,193.6,191.95,193.33,2141,0
2025-05-27,194.3,194.3,192.0,193.32,3084,0
2025-05-28,194.28,194.28,192.07,192.66,3825,0
2025-05-29,196.51,196.51,192.57,193.36,1216,0
2025-05-30,194.32,194.32,191.39,191.89,1175,0
2025-06-02,191.89,192.25,190.99,191.64,363,0
2025-06-03,192.19,192.22,191.09,191.47,824,0
2025-06-04,191.47,192.14,190.73,191.74,820,0
2025-06-05,192.69,193.68,191.74,192.85,1926,0
2025-06-06,193.81,194.0,192.29,193.74,2795,0
2025-06-09,195.25,196.2,195.0,195.61,2881,0
2025-06-10,196.3,197.19,196.15,196.64,2818,0
2025-06-11,196.65,197.97,196.12,196.35,2547,0
2025-06-12,197.33,197.33,194.15,194.47,947,0
2025-06-13,194.47,194.47,191.24,193.38,1517,0
2025-06-16,194.21,195.42,192.24,195.0,1729,0
2025-06-17,195.97,196.2,194.29,194.33,26167,0
2025-06-18,194.34,195.0,193.22,194.13,1289,0
2025-06-19,194.13,194.13,191.0,192.25,425,0
2025-06-20,192.25,194.91,192.0,193.72,17635,0
2025-06-23,197.6,197.6,193.2,194.39,1693,0
2025-06-24,194.39,196.71,193.42,195.35,1320,0
2025-06-25,196.0,196.87,195.65,196.23,190,0
2025-06-26,196.23,197.48,195.24,196.85,291,0
2025-06-27,197.55,199.59,197.55,198.19,4001,0
2025-06-30,202.15,202.15,198.64,199.9,3019,0
2025-07-01,200.89,201.49,198.88,199.02,1466,0
2025-07-02,199.73,199.73,198.0,198.38,1083,0
2025-07-03,198.75,199.5,198.56,199.22,847,0
2025-07-04,199.22,199.24,197.82,198.32,1836,0
2025-07-07,198.32,198.88,197.26,198.26,1735,0
2025-07-08,198.27,199.43,196.88,198.02,1024,0
2025-07-09,198.02,198.73,197.5,198.0,834,0
2025-07-10,198.37,198.51,196.66,197.4,1276,0
2025-07-11,197.4,197.4,195.0,195.08,1494,0
2025-07-14,195.08,195.37,194.16,194.74,891,0
2025-07-15,195.43,196.0,194.74,195.58,207,0
2025-07-16,196.55,196.55,195.51,195.94,111,0
2025-07-17,197.04,197.04,195.5,195.66,538,0
2025-07-18,196.05,196.05,194.32,194.87,2112,0
2025-07-21,194.87,195.87,194.05,195.63,3171,0
2025-07-22,195.63,195.65,194.44,194.8,1686,0
2025-07-23,195.42,195.64,194.47,195.54,1755,0
2025-07-24,195.54,195.54,193.34,193.55,2179,0
2025-07-25,193.72,193.72,190.6,190.73,2437,0
2025-07-28,190.61,191.52,188.45,188.71,892,0
2025-07-29,188.65,190.05,188.1,189.8,600,0
2025-07-30,190.0,190.58,189.96,190.34,1164,0
2025-07-31,190.35,191.11,188.97,190.11,914,0
2025-08-01,191.06,191.06,189.08,189.59,416,0
2025-08-04,190.54,191.15,189.39,191.1,1370,0
2025-08-05,191.11,191.11,188.93,190.18,1615,0
2025-08-06,190.18,190.18,188.41,188.46,1962,0
2025-08-07,188.9,188.9,187.0,188.32,1387,0
2025-08-08,188.32,188.33,186.48,186.67,880,0
2025-08-11,187.61,187.61,185.65,187.4,1636,0
2025-08-12,190.65,193.02,186.14,186.58,510,0
2025-08-13,182.9,188.06,182.85,187.97,1505,0
2025-08-14,187.98,187.98,186.39,187.63,1272,0
2025-08-18,189.41,191.3,189.41,190.51,798,0
2025-08-19,190.51,191.99,189.88,191.7,502,0
2025-08-20,191.71,193.38,191.71,193.26,2916,0
2025-08-21,193.37,193.75,192.59,193.0,442,0
2025-08-22,193.01,193.01,191.47,191.97,676,0
2025-08-25,192.71,193.38,192.01,192.07,1140,0
2025-08-26,192.07,192.53,191.0,191.44,793,0
2025-08-28,191.45,191.45,188.78,188.95,635,0
2025-08-29,190.0,190.81,188.88,189.17,1421,0
2025-09-01,189.7,192.43,189.69,192.4,266,0
2025-09-02,192.49,193.79,192.36,192.93,2889,0
2025-09-03,193.12,194.0,193.0,193.35,1209,0
2025-09-04,197.22,197.22,193.48,193.55,2128,0
2025-09-05,194.4,194.56,192.41,193.17,2235,0
2025-09-08,193.53,194.13,193.0,193.1,179,0
2025-09-09,193.44,193.94,192.82,193.77,85,0
2025-09-10,194.42,195.59,194.42,195.51,1157,0
2025-09-11,196.24,196.24,195.33,196.1,457,0
2025-09-12,196.57,197.19,196.2,196.52,399,0
2025-09-15,196.75,196.75,196.1,196.72,300,0
2025-09-16,197.19,198.11,196.96,197.93,1055,0
2025-09-17,198.65,198.96,198.1,198.86,1436,0
2025-09-18,199.56,199.56,198.28,198.28,1121,0
2025-09-19,198.29,199.07,196.85,198.72,2787,0
2025-09-22,199.99,199.99,196.2,196.32,1518,0
2025-09-23,197.12,197.19,195.26,195.46,516,0
2025-09-24,195.11,195.29,194.0,194.59,940,0
2025-09-25,195.28,195.29,193.63,193.72,2314,0
2025-09-26,193.72,193.72,190.63,190.76,894,0
2025-09-29,190.77,192.38,190.52,190.82,1203,0
2025-09-30,190.83,196.54,189.5,190.84,20730,0
2025-10-01,192.1,192.33,190.85,191.5,496,0
2025-10-03,191.8,193.76,191.8,193.38,455,0
2025-10-06,194.35,194.38,193.07,194.25,1182,0
2025-10-07,193.99,194.34,193.15,194.11,1018,0
2025-10-08,194.25,194.34,192.62,192.91,1315,0
2025-10-09,193.0,194.5,193.0,194.4,914,0
2025-10-10,194.51,195.42,193.52,194.97,472,0
2025-10-13,194.9,194.9,193.49,193.81,614,0
2025-10-14,193.81,194.83,192.7,192.8,1419,0
2025-10-15,194.08,194.34,193.07,194.02,1942,0
2025-10-16,197.91,197.91,194.56,195.69,1611,0
2025-10-17,196.11,197.19,195.97,196.87,547,0
2025-10-20,196.87,197.19,196.37,196.41,1993,0
2025-10-21,196.41,197.73,196.31,197.25,647,0
2025-10-23,197.26,199.2,197.26,197.4,327,0
2025-10-24,198.39,198.39,197.0,197.57,1730,0
2025-10-27,198.39,198.39,197.33,197.86,670,0
2025-10-28,197.86,197.86,196.2,196.98,651,0
2025-10-29,196.99,197.75,196.66,197.48,770,0
2025-10-30,196.2,196.84,195.76,196.49,366,0
2025-10-31,197.02,197.19,196.2,196.38,279,0
2025-11-03,196.38,196.58,195.26,196.01,758,0
2025-11-04,196.01,196.01,194.15,195.01,2675,0
2025-11-06,195.02,195.18,193.48,193.99,839,0
2025-11-07,194.0,194.0,192.41,194.0,561,0
2025-11-10,195.12,196.55,195.12,196.54,1068,0
2025-11-11,196.54,197.0,195.56,197.0,1106,0
2025-11-12,197.89,199.1,197.8,198.32,1028,0
2025-11-13,198.17,199.19,198.16,198.24,954,0
2025-11-14,197.87,198.07,196.21,196.3,4731,0
2025-11-17,196.31,199.7,196.2,198.24,3608,0
2025-11-18,197.95,198.05,197.16,197.58,162,0
2025-11-19,197.58,198.66,197.32,198.62,938,0
2025-11-20,199.1,199.5,198.12,199.5,1210,0
2025-11-21,199.5,199.5,197.0,197.42,467,0
2025-11-24,197.42,197.86,196.08,196.28,354,0
2025-11-25,194.58,196.28,194.58,195.89,231,0
2025-11-26,195.9,198.14,195.82,197.98,353,0
2025-11-27,197.47,197.7,196.79,197.54,218,0
2025-11-28,196.79,198.13,196.2,197.52,572,0
2025-12-01,198.15,198.28,197.2,198.18,735,0
2025-12-02,198.0,198.0,196.54,197.16,609,0
2025-12-03,197.65,197.65,196.2,196.35,231,0
2025-12-04,197.99,198.15,196.55,196.84,2728,0
2025-12-05,198.15,198.95,197.16,197.87,594,0
2025-12-08,198.19,199.27,195.82,196.33,1155,0
2025-12-09,195.69,196.24,194.0,196.0,689,0
2025-12-10,196.48,197.19,195.26,196.21,600,0
2025-12-11,196.21,196.95,196.2,196.67,1363,0
2025-12-12,197.83,198.12,197.28,197.75,865,0
2025-12-15,197.75,198.38,196.84,198.14,973,0
2025-12-16,197.44,198.38,197.18,197.25,477,0
2025-12-17,197.89,197.89,196.1,196.92,490,0
2025-12-18,196.92,197.02,196.21,196.6,3162,0
2025-12-19,197.19,197.79,196.76,197.35,772,0
2025-12-22,202.28,202.28,197.35,199.81,3165,0
2025-12-23,200.8,200.99,200.0,200.39,3068,0
2025-12-24,201.0,201.8,200.4,200.4,988,0
2025-12-26,201.41,201.55,199.99,200.13,1358,0
2025-12-29,201.92,201.92,199.55,199.57,3833,0
2025-12-30,200.56,200.56,198.0,198.8,3561,0
2025-12-31,199.79,200.0,198.49,199.41,177,0
2026-01-01,199.41,199.41,198.6,199.41,792,0
2026-01-02,199.8,200.21,199.21,200.02,734,0
2026-01-05,195.01,200.77,195.01,200.37,577,0
2026-01-06,200.58,200.99,199.56,200.2,1782,0
2026-01-07,200.36,201.9,200.36,201.57,2290,0
2026-01-08,201.57,201.57,198.0,198.11,1079,0
2026-01-09,197.85,199.19,196.72,197.35,1938,0
2026-01-12,199.99,199.99,192.41,196.99,2399,0
2026-01-13,196.99,197.48,196.29,197.15,1025,0
2026-01-14,198.0,198.0,196.87,197.8,388,0
2026-01-16,197.79,199.75,197.79,198.43,990,0
2026-01-19,198.0,199.73,198.0,199.47,1743,0
2026-01-20,198.0,198.05,194.58,195.53,1903,0
2026-01-21,195.51,195.84,193.18,194.57,3219,0
2026-01-22,195.94,196.9,195.36,196.9,573,0
2026-01-23,197.67,197.67,194.94,195.72,232,0
2026-01-27,196.7,199.9,194.39,196.46,2251,0
2026-01-28,197.44,199.11,196.72,198.76,254,0
