date,open,high,low,close,volume,oi
2025-04-23,99.61,100.3,98.34,99.69,70779,0
2025-04-24,99.69,100.29,99.67,100.15,121230,0
2025-04-25,100.6,100.69,97.0,97.63,207447,0
2025-04-28,98.12,99.89,97.05,99.47,63215,0
2025-04-29,100.71,100.75,99.02,99.22,43778,0
2025-04-30,99.05,100.0,97.74,98.11,32632,0
2025-05-02,98.6,99.89,97.88,98.52,104727,0
2025-05-05,98.03,100.19,97.83,99.63,62169,0
2025-05-06,99.06,100.42,96.71,97.05,87920,0
2025-05-07,96.97,98.49,95.71,97.86,75196,0
2025-05-08,99.07,99.07,95.42,96.21,37074,0
2025-05-09,94.91,96.8,94.42,96.66,137010,0
2025-05-12,98.9,99.75,97.32,99.27,90602,0
2025-05-13,99.76,100.43,98.01,98.89,34390,0
2025-05-14,98.89,100.44,98.01,99.96,67434,0
2025-05-15,99.47,101.05,99.47,100.79,104759,0
2025-05-16,101.02,101.75,100.76,101.45,67688,0
2025-05-19,101.95,102.25,100.9,101.77,66260,0
2025-05-20,101.77,102.97,100.65,100.84,140259,0
2025-05-21,101.0,101.76,100.01,101.54,60746,0
2025-05-22,102.53,102.53,100.07,100.88,46806,0
2025-05-23,100.88,101.74,100.55,101.4,43982,0
2025-05-26,101.07,102.65,101.07,102.11,89923,0
2025-05-27,102.62,102.62,101.16,101.94,56309,0
2025-05-28,101.93,102.49,101.44,102.25,53647,0
2025-05-29,102.76,103.0,101.5,102.28,103145,0
2025-05-30,102.39,102.84,101.27,102.19,46007,0
2025-06-02,102.19,102.86,101.65,102.63,90773,0
2025-06-03,105.19,105.19,101.51,102.37,185655,0
2025-06-04,101.86,104.48,101.7,102.57,63369,0
2025-06-05,102.57,103.5,101.55,102.26,53189,0
2025-06-06,102.26,103.32,101.45,103.07,120609,0
2025-06-09,103.07,104.7,103.07,104.42,151761,0
2025-06-10,107.03,107.03,104.2,104.51,80136,0
2025-06-11,105.18,105.9,104.26,105.27,319663,0
2025-06-12,104.25,106.09,103.0,103.35,102678,0
2025-06-13,103.0,103.25,100.36,102.47,119279,0
2025-06-16,99.9,105.03,99.9,102.56,80462,0
2025-06-17,103.6,103.6,101.74,102.0,38899,0
2025-06-18,101.71,103.04,101.18,101.69,65833,0
2025-06-19,101.69,101.78,99.88,100.32,77084,0
2025-06-20,100.33,102.0,99.52,101.42,61746,0
2025-06-23,100.07,102.82,99.26,101.59,55490,0
2025-06-24,101.6,103.89,100.78,102.58,82565,0
2025-06-25,102.59,103.49,102.1,102.49,38196,0
2025-06-26,100.88,104.28,100.88,104.07,67558,0
2025-06-27,101.46,105.2,101.46,104.79,84418,0
2025-06-30,102.17,105.98,102.17,105.64,139486,0
