date,open,high,low,close,volume,oi
2025-04-23,129380,129380,126650,127980,6770,0
2025-04-24,128000,130470,127555,129920,11841,0
2025-04-25,130500,130700,127400,128655,7468,0
2025-04-28,128500,130375,128495,130225,4740,0
2025-04-29,130750,133200,130700,132805,7993,0
2025-04-30,132950,135600,132000,134505,11000,0
2025-05-02,134800,135740,133900,135200,8417,0
2025-05-05,135310,137845,135310,136120,7072,0
2025-05-06,136800,137270,134500,134990,5771,0
2025-05-07,131500,141500,131500,140420,27052,0
2025-05-08,140750,143275,138350,138760,15480,0
2025-05-09,137415,138295,135600,137675,9582,0
2025-05-12,140400,141095,139570,139925,5916,0
2025-05-13,140100,141070,139000,140425,6054,0
2025-05-14,140425,141380,140425,141070,6640,0
2025-05-15,141500,141875,140865,141140,5969,0
2025-05-16,141765,142460,140000,140265,9730,0
2025-05-19,139410,140655,139410,140145,6621,0
2025-05-20,140100,141150,139485,140240,8983,0
2025-05-21,140800,142500,140500,142285,7110,0
2025-05-22,142400,143140,141500,142345,5201,0
2025-05-23,142250,143955,141830,143670,5635,0
2025-05-26,144000,147435,143705,146625,15301,0
2025-05-27,146625,146795,143620,143985,9952,0
2025-05-28,144800,144800,141555,142785,14908,0
2025-05-29,143100,144430,140015,140905,14872,0
2025-05-30,141690,141845,137165,138865,13777,0
2025-06-02,138400,141400,137010,140750,13350,0
2025-06-03,140760,141900,137450,138080,12154,0
2025-06-04,138770,139000,135800,136105,10461,0
2025-06-05,136800,140900,136535,140360,15753,0
2025-06-06,140700,140700,138185,139530,6901,0
2025-06-09,139540,141335,138210,138595,6140,0
2025-06-10,139400,139400,136555,137850,9402,0
2025-06-11,138000,139450,136500,136880,5607,0
2025-06-12,137430,137770,135500,136385,8399,0
2025-06-13,135795,138000,135000,137620,5875,0
2025-06-16,136800,137445,135900,136145,4147,0
2025-06-17,136300,137030,136005,136350,2551,0
2025-06-18,136100,138500,136100,137950,4151,0
2025-06-19,137750,138650,137060,138180,3680,0
2025-06-20,138510,138875,132740,134430,24690,0
2025-06-23,134430,135995,134400,135555,3479,0
2025-06-24,136500,137125,135830,136610,4694,0
2025-06-25,136910,139595,136600,139255,5814,0
2025-06-26,139305,143000,138625,142515,11171,0
2025-06-27,142600,145700,141700,143215,20472,0
2025-06-30,144000,145100,141695,142360,6320,0
2025-07-01,143000,143695,141690,142500,5748,0
2025-07-02,142800,145680,142800,145210,7394,0
2025-07-03,145400,148075,143720,144920,7751,0
2025-07-04,145500,146000,143500,143965,4175,0
2025-07-07,144660,144660,142200,143135,3844,0
2025-07-08,143005,145555,142210,144945,4391,0
2025-07-09,144945,151900,144000,150715,24541,0
2025-07-10,150100,150700,147000,148280,9580,0
2025-07-11,148280,148880,146200,148240,7148,0
2025-07-14,148240,150600,147005,148845,11768,0
2025-07-15,149530,151300,148270,150785,9826,0
2025-07-16,150200,153000,150200,152470,7865,0
2025-07-17,152100,152470,150005,150535,6478,0
2025-07-18,150535,151500,147500,148060,8078,0
2025-07-21,148400,149000,146550,148405,6592,0
2025-07-22,148500,150900,147860,148170,6764,0
2025-07-23,148600,150300,148600,149915,3588,0
2025-07-24,149915,152190,149900,150880,7838,0
2025-07-25,150800,151250,148425,149210,4591,0
2025-07-28,149500,150770,147205,147805,4668,0
2025-07-29,148300,150220,148015,149355,4513,0
2025-07-30,149960,150290,148600,150025,3136,0
2025-07-31,149050,149495,147200,147845,6737,0
2025-08-01,148400,149180,145050,145905,6369,0
2025-08-04,145900,147195,143995,144285,6882,0
2025-08-05,144600,146280,144200,145845,3962,0
2025-08-06,147000,147385,145700,146385,4222,0
2025-08-07,145500,146130,143500,144265,4325,0
