date,open,high,low,close,volume,oi
2025-04-23,262.99,262.99,257.66,259.68,1993,0
2025-04-24,261.69,261.69,258.43,259.69,1986,0
2025-04-25,259.7,261.28,255.58,257.0,1966,0
2025-04-28,259.99,260.55,255.53,259.76,1709,0
2025-04-29,259.76,262.0,257.78,260.76,1077,0
2025-04-30,262.06,262.2,259.12,259.71,12192,0
2025-05-02,259.51,263.89,259.04,261.0,3080,0
2025-05-05,263.89,263.89,259.61,261.42,3009,0
2025-05-06,262.72,263.35,260.1,260.34,6069,0
2025-05-07,261.64,261.64,256.1,261.47,6127,0
2025-05-08,261.48,262.13,258.12,259.53,9000,0
2025-05-09,258.39,258.95,255.18,257.55,5360,0
2025-05-12,262.75,267.21,260.6,266.77,6933,0
2025-05-13,267.99,270.81,263.05,263.76,26006,0
2025-05-14,261.92,267.29,261.92,263.6,1722,0
2025-05-15,263.6,269.0,262.82,268.66,4893,0
2025-05-16,266.68,276.13,266.1,268.16,64005,0
2025-05-19,269.5,270.89,267.03,267.62,3414,0
2025-05-20,268.75,268.75,264.12,265.01,4363,0
2025-05-21,262.5,267.6,262.5,265.22,1433,0
2025-05-22,264.87,267.26,262.04,263.3,2668,0
2025-05-23,264.61,267.28,264.05,265.53,1386,0
2025-05-26,268.48,269.0,263.3,268.49,3178,0
2025-05-27,269.83,270.79,265.68,267.69,2336,0
2025-05-28,267.69,267.76,264.6,265.45,3328,0
2025-05-29,267.26,267.64,265.0,266.51,2292,0
2025-05-30,264.33,267.63,264.32,265.99,1445,0
2025-06-02,268.5,268.51,263.61,265.2,4658,0
2025-06-03,267.96,268.0,264.51,266.53,4117,0
2025-06-04,270.0,270.83,263.0,264.7,11610,0
2025-06-05,264.71,266.95,264.58,265.3,9829,0
2025-06-06,271.93,271.93,264.15,268.09,3408,0
2025-06-09,270.99,270.99,268.09,269.62,6870,0
2025-06-10,270.98,270.98,268.39,268.91,5137,0
2025-06-11,270.25,270.5,268.9,270.06,3234,0
2025-06-12,271.94,271.94,263.67,266.68,1684,0
2025-06-13,266.66,266.9,261.0,265.14,2712,0
2025-06-16,258.51,268.45,258.51,268.39,2325,0
2025-06-17,269.73,270.37,266.01,267.24,1817,0
2025-06-18,269.66,269.66,265.55,266.05,474,0
2025-06-19,268.48,268.49,265.1,266.12,1022,0
2025-06-20,266.12,269.88,265.42,268.87,4259,0
2025-06-23,275.59,275.59,265.0,267.89,3656,0
2025-06-24,271.12,271.2,267.95,268.42,6425,0
2025-06-25,268.42,270.69,268.42,270.29,904,0
2025-06-26,268.01,273.89,268.0,273.58,3149,0
2025-06-27,272.22,275.99,271.11,275.1,1468,0
2025-06-30,276.47,276.5,273.55,274.72,3959,0
2025-07-01,281.58,281.58,272.64,274.44,1298,0
2025-07-02,274.44,276.29,272.24,273.56,1770,0
2025-07-03,272.2,276.4,272.2,273.38,1141,0
2025-07-04,271.16,274.69,271.16,273.24,1216,0
2025-07-07,274.6,274.99,272.96,273.03,813,0
2025-07-08,266.2,275.42,266.2,273.78,2292,0
2025-07-09,276.4,276.4,273.01,273.65,2834,0
2025-07-10,275.99,276.0,272.17,272.51,995,0
2025-07-11,273.79,273.8,269.9,270.66,1483,0
2025-07-14,268.0,273.0,268.0,270.41,2511,0
2025-07-15,271.76,271.76,269.63,271.61,753,0
2025-07-16,269.69,271.61,269.69,270.31,1900,0
2025-07-17,277.06,277.06,269.01,270.32,877,0
2025-07-18,277.07,277.07,269.0,269.66,1774,0
2025-07-21,271.85,271.85,268.7,270.48,2699,0
2025-07-22,270.02,271.83,269.03,269.25,1074,0
2025-07-23,262.51,272.0,262.51,270.82,516,0
2025-07-24,271.0,271.0,269.06,269.66,1596,0
2025-07-25,269.0,269.62,267.62,268.1,1405,0
2025-07-28,269.44,269.44,266.0,266.57,1431,0
2025-07-29,264.01,268.98,264.01,266.92,2228,0
2025-07-30,266.87,268.26,265.59,268.02,976,0
2025-07-31,261.31,268.87,261.31,266.86,1114,0
2025-08-01,266.77,267.78,263.81,264.87,1394,0
2025-08-04,267.4,267.4,263.2,265.17,10938,0
2025-08-05,265.16,266.14,264.55,266.05,1775,0
2025-08-06,264.36,266.52,264.23,265.66,753,0
2025-08-07,273.63,273.63,262.88,264.35,2104,0
2025-08-08,264.35,265.07,263.0,263.69,958,0
2025-08-11,270.28,270.28,262.34,264.63,1329,0
2025-08-12,263.01,266.98,263.01,264.79,685,0
2025-08-13,266.11,266.5,264.71,265.63,682,0
2025-08-14,267.69,267.7,263.55,265.6,530,0
2025-08-18,266.0,270.0,266.0,269.37,1686,0
2025-08-19,269.38,269.89,268.54,268.64,857,0
2025-08-20,269.99,270.91,268.2,270.84,2368,0
2025-08-21,272.19,272.19,269.01,271.12,905,0
2025-08-22,269.99,270.1,268.0,269.43,465,0
2025-08-25,269.44,272.45,268.0,268.54,918,0
2025-08-26,269.88,269.88,266.55,267.0,768,0
2025-08-28,264.56,268.9,264.55,265.24,4955,0
2025-08-29,271.87,271.87,263.3,264.07,5682,0
2025-09-01,266.49,266.49,264.08,265.8,1415,0
2025-09-02,268.25,268.25,263.1,265.45,2976,0
2025-09-03,265.46,266.44,264.53,265.47,951,0
2025-09-04,267.0,268.63,265.94,266.01,834,0
2025-09-05,268.48,268.48,266.11,266.62,1186,0
2025-09-08,265.0,268.74,265.0,267.43,1603,0
2025-09-09,266.0,268.98,266.0,267.88,1104,0
2025-09-10,266.0,270.0,266.0,269.14,966,0
2025-09-11,270.79,270.9,267.29,268.96,2098,0
2025-09-12,268.01,271.23,268.0,270.39,2141,0
2025-09-15,272.39,272.39,269.81,270.1,1584,0
2025-09-16,270.1,271.99,268.75,271.55,2050,0
2025-09-17,270.25,274.0,270.25,273.56,1039,0
2025-09-18,274.92,275.0,272.72,273.45,2963,0
2025-09-19,272.45,273.95,272.21,272.65,954,0
2025-09-22,273.99,273.99,269.56,271.25,1429,0
2025-09-23,273.29,273.29,271.0,271.08,699,0
2025-09-24,271.08,272.89,269.45,269.72,2510,0
2025-09-25,262.97,271.27,262.97,268.51,9661,0
2025-09-26,268.52,268.53,264.97,265.63,2919,0
2025-09-29,258.98,268.99,258.98,266.32,1473,0
2025-09-30,267.65,278.13,264.5,273.82,3611,0
2025-10-01,271.97,272.69,266.37,271.58,5389,0
2025-10-03,269.01,275.9,267.5,271.05,11210,0
2025-10-06,271.47,273.97,268.56,270.06,4705,0
2025-10-07,271.41,271.41,270.31,271.29,846,0
2025-10-08,270.99,271.99,268.64,269.94,3626,0
