date,open,high,low,close,volume,oi
2025-04-23,260.55,261.98,259.0,261.44,27202,0
2025-04-24,261.01,262.4,260.03,260.6,20430,0
2025-04-25,261.9,262.37,255.52,257.63,40149,0
2025-04-28,258.91,261.71,256.16,261.06,28142,0
2025-04-29,268.89,268.89,259.01,260.83,106018,0
2025-04-30,260.59,262.1,258.62,259.74,25454,0
2025-05-02,263.78,263.78,259.74,260.79,17853,0
2025-05-05,262.09,262.88,261.28,262.31,40696,0
2025-05-06,263.77,263.77,260.0,260.23,32608,0
2025-05-07,259.51,261.88,259.12,261.69,31109,0
2025-05-08,262.19,262.19,258.0,258.59,17680,0
2025-05-09,257.06,258.5,254.8,256.43,44004,0
2025-05-12,261.5,267.0,257.86,266.09,80482,0
2025-05-13,266.79,270.41,262.8,264.28,71969,0
2025-05-14,265.01,265.99,263.8,265.09,31977,0
2025-05-15,266.25,268.69,263.0,268.14,72587,0
2025-05-16,268.56,268.99,267.57,268.41,75631,0
2025-05-19,268.41,269.69,267.55,268.4,26633,0
2025-05-20,269.57,269.83,265.41,265.77,52771,0
2025-05-21,267.13,267.92,265.0,266.31,166360,0
2025-05-22,266.0,266.73,263.02,264.67,39863,0
2025-05-23,265.25,267.91,264.71,267.16,89732,0
2025-05-26,268.49,269.91,267.01,268.5,19305,0
2025-05-27,269.2,269.2,265.8,266.65,33056,0
2025-05-28,267.2,269.2,266.02,266.86,15681,0
2025-05-29,268.19,268.91,265.5,267.06,23024,0
2025-05-30,267.06,268.07,265.65,266.26,28509,0
2025-06-02,266.58,266.65,264.42,266.11,29153,0
2025-06-03,266.83,266.83,264.0,264.72,19937,0
2025-06-04,265.41,266.0,264.2,265.45,13117,0
2025-06-05,265.44,267.9,265.08,266.52,28215,0
2025-06-06,266.57,270.0,265.94,269.32,68252,0
2025-06-09,276.05,276.05,269.0,270.61,92092,0
2025-06-10,271.0,272.39,270.23,271.21,21844,0
2025-06-11,271.22,272.0,270.57,270.99,24430,0
2025-06-12,271.9,271.9,267.46,268.57,21947,0
2025-06-13,266.91,268.01,263.89,266.62,42241,0
2025-06-16,273.28,273.28,266.0,268.63,26502,0
2025-06-17,269.25,269.55,267.0,267.55,28422,0
2025-06-18,268.23,273.39,266.19,268.41,25891,0
2025-06-19,268.07,268.07,263.1,266.19,40530,0
2025-06-20,264.87,270.73,264.81,270.3,150238,0
2025-06-23,271.0,271.0,265.63,269.32,22275,0
2025-06-24,276.05,276.05,268.94,271.67,23758,0
2025-06-25,278.46,278.46,269.33,271.48,20452,0
2025-06-26,272.58,274.9,271.11,274.04,169013,0
2025-06-27,280.89,280.89,274.5,276.48,41366,0
2025-06-30,276.48,277.46,273.07,275.07,28400,0
2025-07-01,276.44,276.98,274.68,275.02,33260,0
2025-07-02,276.39,276.72,272.57,274.35,15963,0
2025-07-03,274.36,275.82,273.33,273.57,20395,0
2025-07-04,281.78,281.78,273.0,274.68,46709,0
2025-07-07,275.79,275.79,273.74,274.27,13838,0
2025-07-08,274.48,275.22,273.95,274.88,13657,0
2025-07-09,274.87,275.6,273.91,274.67,25796,0
2025-07-10,282.91,282.91,273.16,273.9,12904,0
2025-07-11,273.28,273.79,271.2,271.94,22798,0
2025-07-14,271.93,272.31,269.51,271.38,37625,0
2025-07-15,272.0,273.19,270.43,272.81,320048,0
2025-07-16,272.81,273.24,271.12,273.07,25134,0
2025-07-17,273.07,273.31,271.57,272.03,8528,0
2025-07-18,273.39,273.39,269.45,270.79,21770,0
2025-07-21,270.4,271.52,268.68,271.0,16170,0
2025-07-22,271.04,273.24,271.01,271.42,18561,0
2025-07-23,271.58,272.98,270.55,272.02,29683,0
2025-07-24,265.21,273.17,265.21,270.64,37963,0
2025-07-25,271.0,271.32,268.2,268.92,25418,0
2025-07-28,270.33,270.89,266.28,267.12,46680,0
2025-07-29,267.0,268.71,264.11,267.0,20956,0
2025-07-30,270.01,270.01,268.23,269.3,28357,0
2025-07-31,269.29,270.0,263.03,267.82,20670,0
2025-08-01,268.6,268.6,265.0,265.96,14070,0
2025-08-04,265.96,267.64,265.56,266.91,24777,0
2025-08-05,274.92,274.92,265.5,265.99,14590,0
2025-08-06,265.99,266.94,264.78,265.27,60053,0
2025-08-07,263.67,267.0,262.72,265.75,33970,0
2025-08-08,268.93,268.93,262.9,263.68,23512,0
2025-08-11,263.64,266.23,262.59,265.66,16249,0
2025-08-12,265.65,267.23,264.75,264.96,10960,0
2025-08-13,267.21,267.6,265.59,266.93,13566,0
2025-08-14,266.92,268.08,265.81,267.08,13487,0
2025-08-18,270.99,271.0,268.9,269.67,17841,0
2025-08-19,269.9,271.81,268.98,271.02,37105,0
2025-08-20,269.67,271.9,269.67,270.8,60693,0
2025-08-21,273.13,273.18,270.9,271.27,35335,0
2025-08-22,271.0,271.8,269.0,269.38,11617,0
2025-08-25,269.38,273.0,266.57,270.91,9706,0
2025-08-26,270.91,270.91,267.7,267.88,21005,0
2025-08-28,267.88,269.22,264.8,265.49,60875,0
2025-08-29,264.22,266.84,264.22,264.83,25435,0
2025-09-01,266.04,274.51,265.1,267.26,42796,0
2025-09-02,267.27,269.01,264.69,266.65,91861,0
2025-09-03,273.31,273.31,265.64,267.66,14599,0
2025-09-04,270.64,270.77,267.81,268.29,12965,0
2025-09-05,268.79,271.12,267.0,269.16,17646,0
2025-09-08,261.09,271.04,261.09,268.9,12659,0
2025-09-09,270.29,270.29,268.0,269.74,9586,0
2025-09-10,271.23,271.23,270.0,270.61,11230,0
2025-09-11,271.0,271.48,270.0,270.73,9690,0
2025-09-12,271.3,272.16,270.89,271.8,27958,0
2025-09-15,270.71,273.13,270.71,272.33,14617,0
2025-09-16,272.89,273.35,271.8,273.11,10360,0
2025-09-17,273.16,274.73,272.97,274.39,14336,0
2025-09-18,275.76,276.44,274.28,275.07,31684,0
2025-09-19,276.44,276.83,274.01,274.47,39883,0
2025-09-22,281.33,281.33,272.44,273.45,30117,0
2025-09-23,273.98,274.82,272.65,273.74,5763,0
2025-09-24,272.84,274.28,271.23,272.3,28179,0
2025-09-25,271.09,272.66,270.0,270.29,58427,0
2025-09-26,270.29,270.96,267.0,267.69,22707,0
2025-09-29,267.69,269.5,266.87,267.93,37507,0
2025-09-30,269.12,269.3,263.53,267.02,804361,0
2025-10-01,268.05,269.5,266.82,268.9,15036,0
2025-10-03,275.62,275.62,268.0,270.26,24457,0
2025-10-06,270.25,272.94,269.48,271.33,22079,0
2025-10-07,271.33,272.99,271.01,271.73,75438,0
2025-10-08,271.72,273.03,270.6,271.35,14754,0
2025-10-09,271.03,272.8,270.6,272.3,18089,0
2025-10-10,272.3,274.11,272.3,273.77,27097,0
2025-10-13,273.3,273.55,272.0,272.69,9782,0
2025-10-14,272.68,274.09,270.76,272.19,9562,0
2025-10-15,273.55,274.2,271.16,273.95,30670,0
2025-10-16,274.05,276.91,274.05,276.66,22430,0
2025-10-17,276.66,278.58,275.37,277.54,96542,0
2025-10-20,278.06,280.93,277.54,279.28,28452,0
2025-10-21,279.31,281.34,276.49,280.19,24627,0
2025-10-23,271.78,290.0,271.78,281.0,103312,0
2025-10-24,280.99,281.0,278.0,279.31,22091,0
2025-10-27,279.32,281.28,277.85,281.15,117719,0
2025-10-28,281.15,282.21,278.9,280.42,18714,0
2025-10-29,280.41,282.33,280.05,281.17,111520,0
2025-10-30,281.99,281.99,279.5,280.4,31952,0
2025-10-31,280.57,281.17,278.8,279.07,10240,0
2025-11-03,280.46,281.2,278.08,279.92,58411,0
2025-11-04,286.91,286.91,276.85,277.74,78860,0
2025-11-06,278.86,278.87,276.13,276.59,17263,0
2025-11-07,274.65,277.21,272.12,275.65,41825,0
2025-11-10,282.54,282.54,276.19,277.24,12154,0
2025-11-11,278.19,288.0,275.8,281.38,28886,0
2025-11-12,282.78,282.78,277.1,280.32,16404,0
2025-11-13,280.65,281.71,279.23,280.14,18076,0
2025-11-14,280.0,281.0,279.0,280.29,10395,0
2025-11-17,280.11,281.9,280.0,281.11,18350,0
2025-11-18,281.11,281.59,279.6,280.57,24578,0
