date,open,high,low,close,volume,oi
2025-04-23,27.56,28.04,27.23,27.64,145553,0
2025-04-24,27.54,27.77,27.32,27.45,103246,0
2025-04-25,27.44,27.6,26.89,27.11,240059,0
2025-04-28,28.02,28.02,26.6,27.41,251438,0
2025-04-29,27.41,27.6,27.31,27.44,119814,0
2025-04-30,27.44,27.51,27.25,27.43,155746,0
2025-05-02,27.16,27.67,27.0,27.4,319142,0
2025-05-05,27.4,27.64,27.13,27.56,257711,0
2025-05-06,28.39,28.39,27.02,27.38,162705,0
2025-05-07,27.35,27.45,26.8,27.39,151317,0
2025-05-08,27.52,27.6,26.92,27.17,100911,0
2025-05-09,26.99,28.39,26.63,27.23,358298,0
2025-05-12,28.05,28.18,27.25,27.96,528760,0
2025-05-13,28.8,28.8,27.64,27.7,161184,0
2025-05-14,27.83,27.9,27.65,27.78,155733,0
2025-05-15,27.79,28.24,27.65,28.17,421496,0
2025-05-16,28.31,28.5,28.01,28.23,373884,0
2025-05-19,28.24,28.37,28.09,28.18,171997,0
2025-05-20,28.18,28.33,27.83,27.87,264079,0
2025-05-21,27.86,28.13,27.7,28.01,204855,0
2025-05-22,28.85,28.85,27.67,27.82,208644,0
2025-05-23,27.72,28.14,27.72,28.07,145596,0
2025-05-26,28.67,28.67,28.01,28.22,178030,0
2025-05-27,28.36,28.58,27.93,28.18,220098,0
2025-05-28,29.03,29.03,27.99,28.02,118564,0
2025-05-29,28.23,28.23,27.94,28.07,103152,0
2025-05-30,28.1,28.21,27.89,28.02,154199,0
2025-06-02,28.04,28.04,27.8,27.99,223106,0
2025-06-03,27.29,28.24,27.29,27.86,220497,0
2025-06-04,27.99,28.0,27.81,27.88,114957,0
2025-06-05,28.01,28.19,27.86,28.05,120770,0
2025-06-06,28.16,28.37,27.97,28.32,220989,0
2025-06-09,28.65,28.65,28.0,28.58,718613,0
2025-06-10,28.65,28.65,28.11,28.55,113974,0
2025-06-11,27.83,29.41,27.83,28.52,679652,0
2025-06-12,28.63,28.65,28.15,28.25,111293,0
2025-06-13,29.1,29.1,27.66,28.08,371553,0
2025-06-16,28.1,28.48,27.35,28.23,129881,0
2025-06-17,28.37,28.37,28.1,28.17,135467,0
2025-06-18,28.01,28.25,28.01,28.07,76915,0
2025-06-19,27.36,28.67,27.36,27.99,59438,0
2025-06-20,27.99,28.38,27.77,28.31,224397,0
2025-06-23,29.16,29.16,27.84,28.23,132283,0
2025-06-24,28.0,28.67,28.0,28.36,227811,0
2025-06-25,28.36,28.67,28.16,28.52,127866,0
2025-06-26,29.38,29.38,28.26,28.86,213652,0
2025-06-27,29.42,29.42,28.51,28.96,83209,0
2025-06-30,29.79,29.79,28.67,28.93,109502,0
2025-07-01,28.99,29.1,28.79,28.93,68932,0
2025-07-02,29.07,29.1,28.75,28.85,111552,0
2025-07-03,28.27,29.07,28.27,28.77,67865,0
2025-07-04,29.48,29.48,28.68,28.83,93403,0
2025-07-07,29.55,29.55,28.2,28.85,77448,0
2025-07-08,29.72,29.72,28.3,28.89,247525,0
2025-07-09,29.04,29.05,28.69,28.88,63160,0
2025-07-10,29.75,29.75,28.79,28.83,1870318,0
2025-07-11,29.69,29.69,28.53,28.59,100046,0
2025-07-14,29.45,29.45,28.4,28.56,110532,0
2025-07-15,27.84,28.82,27.84,28.69,84738,0
2025-07-16,30.0,30.0,28.55,28.71,63161,0
2025-07-17,28.87,28.87,28.52,28.59,58015,0
2025-07-18,28.57,28.73,28.39,28.44,62611,0
2025-07-21,28.73,28.73,28.31,28.56,99083,0
2025-07-22,28.5,28.79,28.48,28.55,60537,0
2025-07-23,28.53,28.64,28.49,28.61,81143,0
2025-07-24,28.6,28.64,28.43,28.55,60065,0
2025-07-25,28.36,28.58,28.25,28.28,2616922,0
2025-07-28,29.13,29.13,28.01,28.08,90381,0
2025-07-29,28.55,28.6,27.95,28.19,156661,0
2025-07-30,28.19,28.34,28.17,28.25,33159,0
2025-07-31,29.1,29.1,27.76,28.13,103971,0
2025-08-01,28.03,28.13,27.91,27.96,102410,0
2025-08-04,28.45,28.8,27.86,28.12,107904,0
2025-08-05,27.45,28.49,27.45,28.01,163423,0
2025-08-06,28.06,28.11,27.88,27.98,82538,0
2025-08-07,27.77,28.04,27.7,28.01,181542,0
2025-08-08,28.4,28.4,27.17,27.74,110315,0
2025-08-11,28.57,28.57,27.6,28.01,104813,0
2025-08-12,28.71,28.71,27.86,27.93,113279,0
2025-08-13,27.37,28.12,27.37,28.07,52253,0
2025-08-14,28.07,28.2,27.99,28.03,33241,0
2025-08-18,28.87,28.87,28.22,28.31,122219,0
2025-08-19,28.47,28.47,28.27,28.41,62610,0
2025-08-20,28.4,28.63,28.27,28.51,1783535,0
2025-08-21,28.53,28.72,28.23,28.47,63509,0
2025-08-22,28.46,28.68,28.31,28.37,78610,0
2025-08-25,29.22,29.49,27.7,28.47,82590,0
2025-08-26,28.42,28.46,28.12,28.19,1747695,0
