date,open,high,low,close,volume,oi
2025-04-23,251.01,252.1,249.41,251.72,10573,0
2025-04-24,259.27,259.27,248.75,250.94,7084,0
2025-04-25,252.19,252.19,246.94,248.77,29358,0
2025-04-28,250.02,252.0,248.93,251.7,18310,0
2025-04-29,252.95,253.07,251.0,251.44,54493,0
2025-04-30,251.21,252.26,250.85,251.75,11367,0
2025-05-02,253.0,254.71,250.97,251.61,25039,0
2025-05-05,252.86,255.19,251.62,252.76,44597,0
2025-05-06,254.02,254.02,251.5,252.03,22077,0
2025-05-07,247.76,253.29,245.73,252.41,17668,0
2025-05-08,252.41,252.86,250.0,250.88,13951,0
2025-05-09,248.49,249.75,247.51,248.91,48728,0
2025-05-12,254.13,258.69,253.64,257.82,52126,0
2025-05-13,259.1,259.1,254.02,255.03,21657,0
2025-05-14,256.3,256.84,254.01,254.98,20933,0
2025-05-15,256.25,260.15,253.56,258.99,36154,0
2025-05-16,259.0,259.93,258.18,259.11,17350,0
2025-05-19,260.4,260.4,257.74,258.07,15966,0
2025-05-20,259.36,259.36,255.65,255.82,14063,0
2025-05-21,257.09,258.71,253.41,256.85,8370,0
2025-05-22,258.13,258.13,253.7,255.37,8859,0
2025-05-23,255.37,257.99,255.37,257.18,7322,0
2025-05-26,257.18,259.83,257.17,258.68,8967,0
2025-05-27,259.97,259.97,256.2,256.88,10290,0
2025-05-28,255.6,258.93,255.6,256.53,7542,0
2025-05-29,257.81,258.16,256.17,257.01,4426,0
2025-05-30,257.02,258.3,256.17,256.59,4020,0
2025-06-02,256.59,258.47,254.0,256.36,7925,0
2025-06-03,257.64,258.06,254.68,255.05,11663,0
2025-06-04,256.32,256.32,254.79,255.83,8297,0
2025-06-05,248.16,258.76,248.16,257.25,12365,0
2025-06-06,258.54,260.05,256.1,259.29,14348,0
2025-06-09,260.58,261.08,259.0,260.16,20217,0
2025-06-10,261.46,261.51,259.89,260.68,5317,0
2025-06-11,261.98,262.03,259.46,261.1,10494,0
2025-06-12,267.62,267.62,257.31,258.07,31974,0
2025-06-13,264.52,264.52,252.5,256.96,32850,0
2025-06-16,258.24,259.0,256.95,258.63,9601,0
2025-06-17,258.63,258.89,257.33,258.09,8234,0
2025-06-18,259.38,259.38,257.0,257.69,6343,0
2025-06-19,264.13,264.13,256.48,257.01,4863,0
2025-06-20,257.0,260.56,254.74,260.08,14248,0
2025-06-23,260.05,260.05,255.67,259.19,14642,0
2025-06-24,260.49,262.89,259.5,259.78,11126,0
2025-06-25,260.67,262.11,260.67,261.8,23278,0
2025-06-26,263.1,265.0,261.95,264.65,22632,0
2025-06-27,271.26,271.26,264.65,266.28,12093,0
2025-06-30,267.61,267.61,264.71,265.11,13968,0
2025-07-01,265.23,266.27,265.05,265.56,5723,0
2025-07-02,266.89,266.89,263.82,264.74,45228,0
2025-07-03,266.07,266.07,263.8,264.04,88099,0
2025-07-04,265.37,265.37,263.01,264.42,6208,0
2025-07-07,265.75,265.75,263.97,264.44,19714,0
2025-07-08,265.26,265.6,264.14,264.91,54633,0
2025-07-09,266.24,266.24,264.47,265.04,7791,0
2025-07-10,266.37,266.37,263.5,263.76,21041,0
2025-07-11,257.16,263.77,257.16,262.03,27502,0
2025-07-14,254.17,262.51,254.17,261.28,20543,0
2025-07-15,267.81,267.81,260.86,262.61,5716,0
2025-07-16,262.83,263.24,260.98,262.59,9581,0
2025-07-17,263.91,263.91,261.52,261.72,5338,0
2025-07-18,262.07,267.5,259.22,261.63,13101,0
