date,open,high,low,close,volume,oi
2025-01-20,259.77,261.88,259.41,261.29,4871545,0
2025-01-21,262.29,262.47,257.34,257.91,8501767,0
2025-01-22,259.8,259.8,257.18,258.85,5660999,0
2025-01-23,259.0,260.32,257.68,259.51,3506635,0
2025-01-24,260.3,260.95,257.7,258.19,5458441,0
2025-01-27,257.49,257.68,255.14,255.69,10984113,0
2025-01-28,257.0,259.14,255.95,257.33,6575668,0
2025-01-29,258.5,259.5,257.2,259.38,4481256,0
2025-01-30,259.05,260.98,259.0,260.22,6330889,0
2025-01-31,261.0,263.17,259.7,263.0,5527550,0
2025-02-01,261.01,264.7,261.0,262.13,9097872,0
2025-02-03,261.65,261.65,260.0,261.47,4023172,0
2025-02-04,263.0,265.22,261.49,265.05,7392693,0
2025-02-05,265.95,265.95,265.0,265.25,3446888,0
2025-02-06,265.2,267.99,263.85,264.37,3291441,0
2025-02-07,265.5,265.5,262.6,263.75,4565941,0
2025-02-10,265.99,265.99,261.2,261.9,6225361,0
2025-02-11,262.99,262.99,257.52,258.55,9321702,0
2025-02-12,259.75,259.75,255.6,258.27,7929756,0
2025-02-13,259.99,260.49,257.73,258.17,5078676,0
2025-02-14,259.99,259.99,255.35,256.95,7111034,0
2025-02-17,257.95,257.95,255.01,257.11,7379260,0
2025-02-18,256.28,257.7,255.4,256.84,3917336,0
2025-02-19,257.99,258.44,255.62,256.89,5189115,0
2025-02-20,257.99,257.99,255.75,256.85,4075280,0
2025-02-21,257.99,257.99,254.8,255.53,6288816,0
2025-02-24,255.2,255.2,252.5,252.87,9201091,0
2025-02-25,252.98,253.58,252.31,252.75,3549369,0
2025-02-27,253.8,253.8,252.06,252.56,3567646,0
2025-02-28,252.95,252.95,248.08,248.45,19632154,0
2025-03-03,255.9,255.9,246.64,248.05,8303131,0
2025-03-04,247.74,247.78,246.08,247.49,7023813,0
2025-03-05,248.7,251.0,246.3,250.48,7030334,0
2025-03-06,252.9,252.9,249.43,252.75,7479954,0
2025-03-07,252.7,253.74,251.7,252.84,4241305,0
2025-03-10,252.0,254.95,251.4,251.75,5408616,0
2025-03-11,251.99,252.4,249.91,252.08,4474243,0
2025-03-12,253.99,253.99,250.35,251.74,3851048,0
2025-03-13,252.9,252.9,250.8,251.06,3161426,0
2025-03-17,251.06,253.0,250.1,252.18,3872869,0
2025-03-18,254.89,256.0,252.66,255.82,7134763,0
2025-03-19,256.8,256.94,255.48,256.7,3869286,0
2025-03-20,258.99,259.6,256.7,259.32,8219907,0
2025-03-21,260.0,261.59,258.58,261.09,9249804,0
2025-03-24,261.62,265.31,261.01,264.9,9310805,0
2025-03-25,266.5,266.82,256.95,264.73,12909271,0
2025-03-26,264.1,265.5,262.52,262.9,5258667,0
2025-03-27,263.28,264.27,262.1,263.73,3874025,0
2025-03-28,263.53,264.48,262.51,263.21,8641606,0
2025-04-01,262.38,263.67,259.38,259.6,12629562,0
2025-04-02,260.7,261.85,259.11,261.64,9509451,0
2025-04-03,260.9,261.1,259.03,260.46,6186200,0
2025-04-04,260.48,260.58,256.48,257.16,9233464,0
2025-04-07,264.85,264.85,231.3,249.1,34654934,0
2025-04-08,256.55,256.55,249.76,252.72,9860513,0
2025-04-09,251.72,252.68,250.62,251.03,7144236,0
2025-04-11,255.99,256.9,251.23,255.97,10802170,0
