date,open,high,low,close,volume,oi
2025-04-23,245.21,246.16,244.07,245.92,3579,0
2025-04-24,244.91,246.01,244.67,245.25,808,0
2025-04-25,245.65,246.61,240.87,243.13,4749,0
2025-04-28,243.76,246.46,243.07,245.68,3211,0
2025-04-29,246.95,247.37,245.28,245.62,1990,0
2025-04-30,245.16,246.39,244.88,245.31,1538,0
2025-05-02,246.5,248.52,245.0,245.86,10553,0
2025-05-05,245.87,249.39,245.87,247.14,4217,0
2025-05-06,248.37,248.37,245.72,246.17,6480,0
2025-05-07,245.92,246.74,245.27,246.49,4171,0
2025-05-08,247.09,247.09,245.02,245.57,8277,0
2025-05-09,244.26,245.44,242.12,243.38,5229,0
2025-05-12,248.81,252.0,248.08,251.97,2790,0
2025-05-13,251.97,251.98,248.64,249.09,69908,0
2025-05-14,249.87,250.5,248.57,249.21,130992,0
2025-05-15,249.21,253.72,248.4,253.19,35238,0
2025-05-16,254.0,254.0,252.38,252.84,1437,0
2025-05-19,254.1,254.1,251.94,252.16,10866,0
2025-05-20,253.42,253.42,249.97,250.28,3557,0
2025-05-21,250.73,252.54,249.91,251.0,855,0
2025-05-22,252.25,252.25,248.0,249.23,3049,0
2025-05-23,249.23,252.24,249.23,251.11,2300,0
2025-05-26,254.88,254.88,252.11,252.73,3246,0
2025-05-27,251.12,252.93,250.2,251.26,7425,0
2025-05-28,251.12,251.66,250.28,251.0,11847,0
2025-05-29,252.24,252.24,250.16,251.25,12372,0
2025-05-30,251.97,251.97,250.17,250.44,951,0
2025-06-02,251.69,251.69,248.57,250.15,2750,0
2025-06-03,251.4,251.4,248.07,249.09,8425,0
2025-06-04,250.34,250.34,248.37,249.91,1600,0
2025-06-05,250.0,252.0,249.97,250.62,12773,0
2025-06-06,250.73,254.0,250.39,253.49,1407,0
2025-06-09,254.76,254.85,253.92,254.57,2277,0
2025-06-10,255.85,255.85,254.2,254.92,2405,0
2025-06-11,254.93,256.19,254.39,255.45,1518,0
2025-06-12,255.37,255.61,252.49,252.73,7085,0
2025-06-13,252.31,252.31,249.4,250.99,3869,0
2025-06-16,254.32,254.32,250.56,253.46,2728,0
2025-06-17,253.46,253.46,251.62,251.8,1742,0
2025-06-18,252.54,253.24,251.25,251.67,384,0
2025-06-19,250.97,252.71,250.9,251.33,532,0
2025-06-20,252.58,254.52,251.33,254.3,3816,0
2025-06-23,252.02,253.99,251.78,253.87,4332,0
2025-06-24,255.63,256.5,254.17,254.33,5702,0
2025-06-25,255.5,256.0,255.12,255.71,2021,0
2025-06-26,256.98,259.24,255.71,258.65,10141,0
2025-06-27,259.94,260.0,258.67,259.66,4165,0
2025-06-30,260.95,260.95,258.72,258.97,2021,0
2025-07-01,261.38,261.38,258.89,259.85,1044788,0
2025-07-02,261.14,261.14,258.08,258.58,2371,0
2025-07-03,259.87,259.87,258.2,258.35,983,0
2025-07-04,258.44,258.97,256.95,258.78,2463,0
2025-07-07,260.07,260.07,257.88,258.83,528,0
2025-07-08,265.3,265.3,255.3,258.99,1723,0
2025-07-09,260.28,260.28,258.45,259.0,414,0
2025-07-10,260.29,260.29,257.28,257.86,526,0
2025-07-11,251.41,259.14,251.41,256.0,4380,0
2025-07-14,257.28,257.28,254.21,254.85,2296,0
2025-07-15,256.12,256.9,255.0,255.74,1715,0
2025-07-16,258.0,258.0,255.04,256.48,1148,0
2025-07-17,256.82,256.82,255.11,255.64,2220,0
2025-07-18,255.38,255.38,253.2,254.21,1286,0
2025-07-21,255.48,255.56,252.6,255.39,3819,0
2025-07-22,256.66,256.66,254.53,255.25,718,0
2025-07-23,256.52,257.0,255.01,256.98,1028,0
2025-07-24,256.73,256.73,254.84,255.33,1339,0
2025-07-25,251.6,254.53,251.6,253.15,5319,0
2025-07-28,252.72,253.65,250.69,250.94,5003,0
2025-07-29,251.29,252.62,250.7,252.58,1487,0
2025-07-30,252.36,253.69,252.1,252.83,2862,0
2025-07-31,251.52,254.0,250.87,252.67,6688,0
2025-08-01,246.35,254.6,246.35,250.72,6445,0
2025-08-04,251.97,252.16,249.94,251.82,1975,0
2025-08-05,251.69,251.72,250.55,251.0,2671,0
2025-08-06,251.37,251.37,249.8,250.65,855,0
2025-08-07,251.9,251.9,248.15,250.92,2504,0
2025-08-08,252.17,252.17,248.14,248.45,3592,0
2025-08-11,248.58,250.69,248.45,250.4,1749,0
2025-08-12,250.44,251.95,249.42,249.75,1576,0
2025-08-13,250.99,251.33,250.0,250.76,574,0
2025-08-14,251.33,251.78,250.7,251.36,759,0
2025-08-18,253.43,254.93,253.42,253.54,4694,0
2025-08-19,253.54,254.57,253.31,254.54,1066,0
2025-08-20,254.9,256.0,254.1,255.86,695,0
2025-08-21,257.13,257.13,255.22,255.68,2470,0
2025-08-22,255.68,255.9,253.13,253.85,2658,0
2025-08-25,256.99,256.99,253.4,254.93,884,0
2025-08-26,253.61,253.61,251.74,252.33,14005,0
2025-08-28,250.88,252.08,249.8,250.21,2096,0
