date,open,high,low,close,volume,oi
2025-04-23,20.47,20.5,20.23,20.47,330406,0
2025-04-24,20.67,20.67,20.4,20.5,156305,0
2025-04-25,20.9,20.9,20.08,20.27,203641,0
2025-04-28,20.37,20.5,20.17,20.43,154861,0
2025-04-29,20.43,20.72,20.36,20.49,88816,0
2025-04-30,20.6,20.69,20.31,20.4,92923,0
2025-05-02,20.71,20.71,20.21,20.28,328720,0
2025-05-05,20.69,20.69,20.28,20.53,140187,0
2025-05-06,20.53,21.27,20.32,20.4,123751,0
2025-05-07,20.59,20.59,20.18,20.41,156123,0
2025-05-08,20.51,20.7,20.13,20.27,98422,0
2025-05-09,20.27,21.0,19.95,20.29,133313,0
2025-05-12,20.51,20.9,20.41,20.83,279913,0
2025-05-13,20.71,20.89,20.61,20.82,89861,0
2025-05-14,20.82,20.94,20.71,20.87,148859,0
2025-05-15,20.86,21.23,20.68,21.17,279931,0
2025-05-16,21.17,21.4,20.9,21.36,239815,0
2025-05-19,21.59,21.59,21.11,21.37,143249,0
2025-05-20,21.34,21.54,21.05,21.13,147881,0
2025-05-21,21.38,21.38,21.06,21.28,266314,0
2025-05-22,21.49,21.49,20.95,21.08,350088,0
2025-05-23,21.0,21.28,21.0,21.22,146765,0
2025-05-26,21.19,21.44,21.16,21.39,125814,0
2025-05-27,21.38,21.42,20.9,21.34,68664,0
2025-05-28,21.44,21.64,21.16,21.24,123225,0
2025-05-29,21.35,21.45,21.24,21.3,52433,0
2025-05-30,21.58,21.59,21.19,21.21,60114,0
2025-06-02,21.31,21.4,21.01,21.18,107917,0
2025-06-03,21.38,21.39,21.0,21.11,101979,0
2025-06-04,21.21,21.22,21.02,21.14,96067,0
2025-06-05,21.14,21.22,21.11,21.18,76044,0
2025-06-06,21.26,21.55,21.11,21.31,166151,0
2025-06-09,21.31,21.58,21.26,21.51,190678,0
2025-06-10,21.61,21.69,21.41,21.57,228328,0
2025-06-11,21.66,21.71,21.51,21.67,132697,0
2025-06-12,21.67,21.98,21.32,21.39,115403,0
2025-06-13,21.34,21.34,21.0,21.27,95890,0
2025-06-16,21.8,21.8,21.17,21.45,347821,0
2025-06-17,21.86,21.86,21.33,21.47,392133,0
2025-06-18,21.57,21.57,21.29,21.34,389703,0
2025-06-19,20.7,21.89,20.7,21.19,251086,0
2025-06-20,21.2,21.38,21.15,21.31,43119,0
2025-06-23,21.47,21.8,20.4,21.3,34172,0
2025-06-24,21.73,21.73,21.16,21.34,71496,0
2025-06-25,21.37,21.55,21.35,21.44,89960,0
2025-06-26,21.43,21.75,21.43,21.61,114855,0
2025-06-27,21.76,21.76,21.59,21.7,100636,0
2025-06-30,21.77,21.78,21.53,21.67,66832,0
2025-07-01,21.12,21.77,21.12,21.61,89871,0
2025-07-02,21.06,21.79,20.29,21.64,56513,0
2025-07-03,21.68,21.77,21.61,21.63,338841,0
2025-07-04,21.08,21.75,21.08,21.73,85446,0
2025-07-07,21.73,21.87,21.65,21.76,89201,0
2025-07-08,21.76,21.9,21.69,21.81,1041784,0
2025-07-09,21.97,21.97,21.7,21.76,78949,0
2025-07-10,21.86,21.86,21.62,21.67,87629,0
2025-07-11,21.67,21.74,21.4,21.51,35077,0
2025-07-14,21.61,21.63,21.4,21.49,42699,0
2025-07-15,21.59,21.7,21.43,21.61,61869,0
2025-07-16,22.15,22.15,21.6,21.62,33104,0
2025-07-17,21.72,21.72,21.56,21.59,30922,0
2025-07-18,21.59,21.81,21.41,21.49,32742,0
2025-07-21,21.49,22.17,21.28,21.51,55954,0
2025-07-22,21.6,22.04,21.31,21.47,49264,0
2025-07-23,21.4,21.57,21.34,21.48,83898,0
2025-07-24,21.56,21.56,21.16,21.2,146625,0
2025-07-25,21.57,21.57,20.86,20.91,191086,0
2025-07-28,21.21,21.47,20.72,20.83,110127,0
2025-07-29,20.84,21.13,20.73,20.93,78660,0
2025-07-30,21.03,21.08,20.8,20.97,89552,0
2025-07-31,21.07,21.07,20.75,20.93,69424,0
2025-08-01,21.03,21.17,20.72,20.81,47816,0
2025-08-04,21.33,21.33,20.4,20.99,109248,0
2025-08-05,21.03,21.19,20.86,21.02,36883,0
2025-08-06,21.12,21.12,20.79,20.9,72055,0
2025-08-07,21.0,21.03,20.7,20.98,33110,0
2025-08-08,20.93,21.35,20.79,20.85,38776,0
2025-08-11,20.6,21.74,20.12,20.91,65799,0
2025-08-12,21.02,21.07,20.85,20.86,36925,0
2025-08-13,20.85,21.35,20.75,21.09,40615,0
2025-08-14,21.24,21.34,20.9,20.93,67351,0
2025-08-18,21.45,21.53,20.39,21.09,92366,0
2025-08-19,20.56,21.35,20.13,21.28,45312,0
2025-08-20,21.38,21.52,21.2,21.49,78801,0
2025-08-21,21.57,21.57,21.4,21.47,51966,0
2025-08-22,21.57,21.89,21.21,21.45,44707,0
2025-08-25,21.45,21.96,21.1,21.44,53289,0
2025-08-26,21.43,21.52,21.24,21.29,51502,0
2025-08-28,21.39,21.39,21.07,21.14,71778,0
2025-08-29,21.15,21.89,21.09,21.47,27456,0
2025-09-01,21.59,21.6,21.13,21.44,55871,0
2025-09-02,21.54,21.6,21.31,21.55,51095,0
2025-09-03,22.05,22.05,21.02,21.62,62590,0
2025-09-04,21.69,21.9,21.61,21.73,296946,0
2025-09-05,21.18,21.93,21.18,21.53,81013,0
2025-09-08,21.63,21.8,21.41,21.47,40209,0
2025-09-09,21.57,21.65,21.46,21.58,45463,0
2025-09-10,21.59,21.87,21.58,21.81,217998,0
2025-09-11,21.88,22.02,21.73,21.9,134464,0
2025-09-12,21.89,21.91,21.74,21.85,55919,0
2025-09-15,21.71,22.05,21.4,21.81,62719,0
2025-09-16,22.0,22.0,21.73,21.88,31861,0
2025-09-17,22.08,22.08,21.86,21.94,57593,0
2025-09-18,22.04,22.07,21.94,21.98,85771,0
2025-09-19,22.04,22.05,21.9,21.95,144411,0
2025-09-22,22.05,22.05,21.36,21.79,68820,0
2025-09-23,21.52,22.21,21.02,21.65,54456,0
2025-09-24,21.75,21.75,21.45,21.54,59189,0
2025-09-25,21.8,21.8,21.35,21.4,104478,0
2025-09-26,21.4,21.6,21.13,21.22,55435,0
2025-09-29,21.32,21.38,21.02,21.11,42059,0
2025-09-30,21.11,21.74,21.0,21.18,26515,0
2025-10-01,20.65,21.74,20.65,21.24,49122,0
2025-10-03,21.58,21.58,21.15,21.33,61178,0
2025-10-06,21.33,21.52,21.25,21.41,180022,0
2025-10-07,21.41,21.82,21.28,21.39,179888,0
2025-10-08,21.39,21.63,21.33,21.35,53510,0
2025-10-09,21.45,21.61,21.35,21.53,22214,0
2025-10-10,21.63,21.77,21.46,21.6,60180,0
2025-10-13,21.7,21.7,21.17,21.57,58429,0
2025-10-14,21.56,21.63,21.33,21.4,81234,0
