date,open,high,low,close,volume,oi
2025-04-23,14.6,14.6,14.4,14.55,540530,0
2025-04-24,14.6,14.6,14.49,14.5,225580,0
2025-04-25,14.59,14.64,14.38,14.42,148920,0
2025-04-28,14.6,14.64,14.43,14.61,398590,0
2025-04-29,14.64,14.66,14.54,14.6,76230,0
2025-04-30,14.5,14.61,14.46,14.49,184370,0
2025-05-02,14.65,14.7,14.45,14.5,298180,0
2025-05-05,14.59,14.8,14.57,14.64,366720,0
2025-05-06,14.63,14.79,14.5,14.56,155300,0
2025-05-07,14.55,14.7,14.16,14.54,459850,0
2025-05-08,14.5,14.63,14.49,14.51,99890,0
2025-05-09,14.49,14.5,13.91,14.39,639210,0
2025-05-12,14.57,16.13,14.57,14.89,2793690,0
2025-05-13,15.18,15.18,14.73,14.77,345370,0
2025-05-14,14.8,14.87,14.72,14.78,93960,0
2025-05-15,14.78,15.08,14.7,15.02,223640,0
2025-05-16,15.12,15.12,14.82,15.0,195280,0
2025-05-19,15.1,15.1,14.94,14.98,139360,0
2025-05-20,14.98,15.1,14.83,14.88,312090,0
2025-05-21,14.95,15.1,14.88,14.99,428620,0
2025-05-22,14.85,14.85,14.68,14.75,211770,0
2025-05-23,14.78,14.95,14.76,14.88,98650,0
2025-05-26,14.72,15.1,14.72,14.97,341550,0
2025-05-27,15.05,15.17,14.72,14.92,86530,0
2025-05-28,14.76,14.95,14.66,14.82,170810,0
2025-05-29,15.0,15.0,14.8,14.88,128000,0
2025-05-30,15.1,15.1,14.79,14.83,152180,0
2025-06-02,14.99,15.0,14.72,14.79,335840,0
2025-06-03,14.83,14.83,14.66,14.72,311970,0
2025-06-04,14.72,14.82,14.66,14.71,169050,0
2025-06-05,14.71,14.84,14.7,14.76,205240,0
2025-06-06,14.76,14.9,14.71,14.84,88270,0
2025-06-09,14.66,15.03,14.66,14.92,109250,0
2025-06-10,15.0,15.04,14.94,15.01,135010,0
2025-06-11,15.1,15.1,14.99,15.08,332700,0
2025-06-12,14.95,15.1,14.78,14.88,378810,0
2025-06-13,14.9,15.0,14.7,14.85,153100,0
2025-06-16,14.78,14.98,14.78,14.94,193840,0
2025-06-17,15.02,15.02,14.93,14.94,88340,0
2025-06-18,14.94,15.05,14.88,14.9,166710,0
2025-06-19,14.62,15.0,14.62,14.81,221960,0
2025-06-20,14.97,14.97,14.84,14.94,49620,0
2025-06-23,14.95,14.98,14.76,14.84,148370,0
2025-06-24,14.84,15.1,14.78,14.8,299720,0
2025-06-25,14.9,14.97,14.86,14.93,59050,0
2025-06-26,15.01,15.05,14.94,15.0,81400,0
2025-06-27,15.0,15.12,14.87,15.07,117410,0
2025-06-30,15.13,15.13,14.97,15.0,119690,0
2025-07-01,15.08,15.1,14.94,14.98,155140,0
2025-07-02,15.1,15.1,14.92,14.98,111860,0
2025-07-03,15.01,15.06,14.92,14.97,1014630,0
2025-07-04,15.4,15.4,14.9,15.01,117900,0
2025-07-07,15.01,15.1,14.96,15.0,90720,0
2025-07-08,15.07,15.07,14.93,15.0,333910,0
2025-07-09,14.98,15.03,14.95,14.97,30480,0
2025-07-10,14.97,15.04,14.87,14.9,262250,0
2025-07-11,14.93,14.93,14.8,14.81,158250,0
2025-07-14,14.81,14.93,14.72,14.78,107580,0
2025-07-15,14.78,14.87,14.72,14.83,65810,0
2025-07-16,14.98,14.98,14.77,14.87,81440,0
2025-07-17,14.95,14.95,14.75,14.79,86720,0
2025-07-18,14.79,14.95,14.72,14.8,73840,0
2025-07-21,14.82,14.86,14.76,14.79,308780,0
