date,open,high,low,close,volume,oi
2025-04-23,145.51,146.95,145.05,146.72,28000,0
2025-04-24,146.73,147.32,146.0,146.35,21525,0
2025-04-25,147.99,148.0,144.18,145.17,21137,0
2025-04-28,145.0,146.75,144.22,146.5,20280,0
2025-04-29,147.23,147.39,145.0,146.04,9009,0
2025-04-30,147.91,147.92,145.0,146.02,7335,0
2025-05-02,147.67,147.67,145.51,146.28,17469,0
2025-05-05,150.0,150.0,146.1,146.46,13788,0
2025-05-06,147.0,148.96,145.49,145.67,16155,0
2025-05-07,145.67,149.38,144.51,146.04,21712,0
2025-05-08,146.4,146.63,145.0,145.26,6763,0
2025-05-09,144.25,145.5,143.48,144.82,14729,0
2025-05-12,149.16,150.92,146.0,150.43,47727,0
2025-05-13,151.2,151.2,147.87,148.23,32607,0
2025-05-14,148.24,149.4,147.8,148.38,20525,0
2025-05-15,151.39,151.4,147.5,150.71,16866,0
2025-05-16,151.46,151.48,147.3,150.97,25643,0
2025-05-19,152.66,152.66,149.97,150.35,18033,0
2025-05-20,150.36,151.24,148.71,148.98,65134,0
2025-05-21,148.79,150.54,148.79,149.38,135728,0
2025-05-22,150.12,151.48,146.77,147.85,16189,0
2025-05-23,147.85,149.9,147.61,149.46,171519,0
2025-05-26,150.2,151.67,149.87,150.41,22479,0
2025-05-27,153.0,153.0,147.91,149.81,17337,0
2025-05-28,147.95,150.69,147.21,148.86,7141,0
2025-05-29,149.0,149.99,148.32,148.89,47508,0
2025-05-30,149.59,149.65,148.31,148.86,9719,0
2025-06-02,149.69,149.69,146.84,148.19,35933,0
2025-06-03,149.69,150.18,146.85,147.67,26507,0
2025-06-04,148.41,148.41,147.0,147.63,19420,0
2025-06-05,147.96,148.85,147.51,148.21,28311,0
2025-06-06,149.8,149.8,147.1,148.94,23369,0
2025-06-09,148.2,150.69,148.0,150.11,28972,0
2025-06-10,150.01,151.0,149.9,150.85,26916,0
2025-06-11,150.31,151.88,150.31,151.25,13750,0
2025-06-12,152.19,152.19,149.71,149.93,9463,0
2025-06-13,146.18,149.88,145.29,148.87,23622,0
2025-06-16,149.99,150.55,148.71,150.32,15814,0
2025-06-17,151.07,151.97,149.51,149.83,26087,0
2025-06-18,149.83,150.58,149.14,149.21,10617,0
2025-06-19,146.6,150.97,146.6,148.97,286972,0
2025-06-20,147.01,150.67,147.0,150.33,7823,0
2025-06-23,152.2,152.2,148.0,149.05,55174,0
2025-06-24,149.79,150.18,148.5,148.88,22659,0
2025-06-25,149.5,150.0,149.01,149.73,17489,0
2025-06-26,150.47,151.19,149.52,150.68,20161,0
2025-06-27,150.7,151.5,149.78,151.24,19955,0
2025-06-30,152.65,152.69,150.36,151.04,22336,0
2025-07-01,152.67,152.67,150.11,150.62,1292781,0
2025-07-02,150.61,151.61,149.83,150.28,21624,0
2025-07-03,149.01,151.49,149.01,150.56,36871,0
2025-07-04,152.1,152.1,149.8,151.05,69523,0
2025-07-07,151.99,151.99,150.4,150.72,17873,0
2025-07-08,150.69,150.85,150.11,150.46,21358,0
