date,open,high,low,close,volume,oi
2025-04-23,237.2,241.05,233.55,240.5,16555874,0
2025-04-24,238.4,239.7,236.5,237.8,6538518,0
2025-04-25,237.45,239.05,233.05,234.9,15616265,0
2025-04-28,234.6,240.25,233.05,239.0,7669983,0
2025-04-29,239.6,240.4,233.75,234.3,8030552,0
2025-04-30,234.15,235.95,231.0,233.1,9822483,0
2025-05-02,229.85,234.85,227.95,232.15,12347590,0
2025-05-05,228.85,230.0,223.65,228.15,20086323,0
2025-05-06,229.95,231.75,225.05,226.05,11350559,0
2025-05-07,221.55,228.95,221.3,227.6,16689539,0
2025-05-08,226.65,228.25,220.65,222.4,15026122,0
2025-05-09,218.45,224.35,217.85,224.1,11184507,0
2025-05-12,227.95,233.25,227.05,232.7,11374237,0
2025-05-13,232.8,233.9,229.15,230.0,9336026,0
2025-05-14,230.0,235.45,230.0,234.65,8234859,0
2025-05-15,233.6,237.35,231.05,236.15,16812750,0
2025-05-16,235.6,237.8,234.8,235.8,8030229,0
2025-05-19,236.5,237.9,233.55,235.15,8043270,0
2025-05-20,235.35,241.0,235.35,237.7,13183059,0
2025-05-21,239.85,240.25,236.3,237.15,7158307,0
2025-05-22,237.15,238.9,228.5,230.5,18502235,0
2025-05-23,231.25,233.35,229.0,232.9,8725218,0
2025-05-26,233.95,235.65,233.45,234.55,7159571,0
2025-05-27,235.4,235.4,231.65,233.2,9712093,0
2025-05-28,233.3,233.95,230.15,231.4,7385958,0
2025-05-29,232.3,233.25,230.2,231.8,12938112,0
2025-05-30,231.8,233.85,227.85,228.3,10108840,0
2025-06-02,227.95,228.95,226.65,227.25,6278145,0
2025-06-03,229.35,229.9,225.65,226.3,9515918,0
2025-06-04,226.95,227.45,224.55,227.0,6733580,0
2025-06-05,227.0,228.5,225.25,226.75,8941808,0
2025-06-06,226.75,229.3,226.5,228.9,5985346,0
2025-06-09,230.55,232.8,229.35,231.55,7719525,0
2025-06-10,232.9,233.65,231.35,233.35,7659657,0
2025-06-11,233.15,238.8,232.25,235.85,20842417,0
2025-06-12,239.85,243.35,235.3,236.4,35613271,0
2025-06-13,243.7,244.1,237.55,239.85,39320377,0
