date,open,high,low,close,volume,oi
2025-04-23,81.44,81.44,79.05,80.2,271817,0
2025-04-24,80.15,81.29,79.85,80.23,100106,0
2025-04-25,81.19,81.19,79.58,79.85,28043,0
2025-04-28,79.87,79.99,78.56,78.82,107197,0
2025-04-29,79.47,80.11,79.4,79.95,195744,0
2025-04-30,80.49,80.49,78.8,78.8,68263,0
2025-05-02,78.7,78.7,76.8,78.39,234918,0
2025-05-05,78.39,81.54,77.91,79.61,173057,0
2025-05-06,80.98,82.0,79.65,81.6,385263,0
2025-05-07,81.05,82.6,80.96,81.15,174886,0
2025-05-08,81.34,82.47,79.95,80.85,184136,0
2025-05-09,81.07,81.07,79.82,80.56,13952,0
2025-05-12,80.56,82.17,77.6,77.83,151366,0
2025-05-13,77.84,79.24,77.83,78.82,68714,0
2025-05-14,78.6,78.6,77.81,78.38,103029,0
2025-05-15,77.81,77.81,76.11,76.95,76364,0
2025-05-16,78.49,78.57,77.45,77.84,86116,0
2025-05-19,77.51,79.4,77.5,78.2,60255,0
2025-05-20,78.2,78.26,77.32,78.15,85851,0
2025-05-21,79.73,79.73,78.85,79.25,63396,0
2025-05-22,79.64,80.22,79.54,79.64,39691,0
2025-05-23,79.64,79.76,79.32,79.37,44525,0
2025-05-26,80.08,80.09,79.38,79.45,283923,0
2025-05-27,80.19,80.19,79.22,79.28,131902,0
2025-05-28,79.6,79.95,79.39,79.82,35364,0
2025-05-29,79.35,79.35,78.82,78.88,157391,0
2025-05-30,78.84,79.77,78.34,79.3,39039,0
2025-06-02,80.16,80.64,79.49,80.45,323669,0
2025-06-03,82.46,82.46,80.55,80.8,244209,0
2025-06-04,79.03,81.68,78.78,81.24,127986,0
2025-06-05,83.27,83.27,81.1,81.51,98591,0
2025-06-06,81.98,81.98,80.8,81.08,220743,0
2025-06-09,79.71,81.13,79.05,80.33,221038,0
2025-06-10,80.33,80.82,79.86,80.45,108348,0
2025-06-11,80.98,80.98,80.23,80.59,51099,0
2025-06-12,80.81,81.42,80.81,81.1,69829,0
2025-06-13,83.12,83.12,81.67,83.02,262632,0
2025-06-16,83.96,83.99,82.76,82.9,203307,0
2025-06-17,82.79,82.79,81.91,82.39,143657,0
2025-06-18,82.51,82.95,82.38,82.65,171936,0
2025-06-19,82.99,83.59,81.65,82.57,102743,0
2025-06-20,82.58,82.7,81.88,82.11,329375,0
2025-06-23,82.02,83.27,82.02,82.49,129211,0
2025-06-24,82.11,82.19,80.81,80.84,198414,0
2025-06-25,80.85,81.02,80.82,80.89,128346,0
2025-06-26,82.91,82.91,80.61,80.91,54055,0
2025-06-27,80.75,80.75,79.65,79.7,91020,0
2025-06-30,79.98,79.99,79.09,79.75,87524,0
2025-07-01,80.4,80.9,80.32,80.8,177718,0
2025-07-02,82.82,83.99,80.12,81.0,154169,0
2025-07-03,80.42,81.38,80.42,80.75,186985,0
2025-07-04,80.75,81.15,80.6,80.67,26399,0
2025-07-07,80.65,80.79,80.01,80.45,190238,0
2025-07-08,80.46,81.19,78.43,80.68,224979,0
2025-07-09,80.67,80.68,79.77,79.85,76088,0
2025-07-10,80.0,81.05,80.0,80.57,18759,0
2025-07-11,80.97,81.28,80.84,81.0,113026,0
2025-07-14,83.02,83.02,81.08,81.89,92776,0
2025-07-15,83.93,83.93,81.41,81.52,91291,0
2025-07-16,81.83,81.83,80.9,81.24,103735,0
2025-07-17,81.69,81.69,80.83,81.04,93863,0
2025-07-18,81.1,81.62,80.64,81.55,37071,0
2025-07-21,81.56,82.18,81.28,82.11,114102,0
2025-07-22,82.15,83.98,82.14,82.58,13764,0
2025-07-23,82.97,83.64,82.97,83.59,310344,0
2025-07-24,83.57,83.57,82.15,82.22,13872,0
2025-07-25,82.59,82.59,81.82,81.95,57049,0
2025-07-28,82.82,82.82,81.56,81.8,230505,0
2025-07-29,81.5,81.85,81.2,81.71,70586,0
2025-07-30,81.71,82.86,81.71,82.4,76774,0
2025-07-31,83.98,83.98,81.6,82.09,276988,0
2025-08-01,82.08,83.1,81.4,81.68,417030,0
2025-08-04,83.31,83.69,82.78,83.18,233715,0
2025-08-05,85.68,85.68,83.35,83.35,36658,0
2025-08-06,84.3,84.3,83.25,83.25,49396,0
2025-08-07,81.16,84.18,81.16,83.84,74859,0
2025-08-08,85.93,85.93,83.86,84.08,73037,0
2025-08-11,83.86,84.13,82.92,83.05,126005,0
2025-08-12,83.28,84.25,82.7,82.79,15568,0
2025-08-13,83.18,83.47,82.8,83.0,285178,0
2025-08-14,80.92,83.34,80.92,82.91,33917,0
2025-08-18,83.47,83.7,82.5,82.75,151081,0
2025-08-19,82.6,82.75,82.0,82.15,29802,0
2025-08-20,81.7,82.09,80.09,81.84,46213,0
2025-08-21,81.84,82.78,81.84,82.33,101221,0
2025-08-22,82.5,82.78,82.28,82.53,49324,0
2025-08-25,82.53,83.49,82.53,83.35,52656,0
2025-08-26,83.98,84.1,83.2,83.6,44709,0
2025-08-28,83.61,84.49,83.61,84.23,97062,0
2025-08-29,84.51,85.24,84.5,85.13,149458,0
2025-09-01,85.93,87.79,85.93,86.64,271907,0
2025-09-02,86.72,87.19,86.41,86.58,316193,0
2025-09-03,87.64,87.95,87.05,87.94,248791,0
2025-09-04,88.37,88.54,87.49,88.05,163376,0
2025-09-05,90.69,90.69,88.41,88.68,99638,0
2025-09-08,90.89,90.89,88.9,89.97,460708,0
2025-09-09,90.42,91.46,90.27,91.23,226195,0
2025-09-10,91.66,91.67,90.54,90.85,336579,0
2025-09-11,90.78,91.43,90.32,90.58,209425,0
2025-09-12,92.84,92.84,90.64,91.15,101433,0
2025-09-15,93.42,93.42,90.8,90.98,435642,0
2025-09-16,93.25,93.25,91.43,92.14,317086,0
2025-09-17,94.44,94.44,90.93,91.13,128250,0
2025-09-18,91.13,91.56,90.62,91.53,172924,0
2025-09-19,91.53,91.87,91.11,91.26,236735,0
2025-09-22,91.26,93.25,91.26,93.08,149592,0
2025-09-23,90.75,95.18,90.75,95.0,202375,0
2025-09-24,94.94,95.98,94.17,94.65,274861,0
2025-09-25,94.98,95.3,93.65,94.25,422430,0
2025-09-26,96.6,96.6,93.71,94.09,284244,0
2025-09-29,95.99,101.3,95.0,96.4,142908,0
2025-09-30,98.81,98.81,95.66,95.71,265737,0
2025-10-01,93.31,98.12,93.31,97.68,312954,0
2025-10-03,97.55,102.46,96.61,97.84,475022,0
2025-10-06,100.28,100.3,97.94,99.15,739097,0
2025-10-07,99.89,99.96,99.15,99.73,315476,0
2025-10-08,100.78,102.73,100.23,101.93,144753,0
2025-10-09,102.66,102.83,101.51,101.75,634881,0
2025-10-10,101.49,103.03,99.28,100.5,596284,0
2025-10-13,103.01,104.6,101.13,102.75,461781,0
2025-10-14,105.31,106.37,103.56,105.0,418683,0
