date,open,high,low,close,volume,oi
2025-04-23,263.56,264.0,261.23,263.6,2660,0
2025-04-24,263.2,263.4,262.4,262.4,1430,0
2025-04-25,262.4,262.4,258.6,260.96,35170,0
2025-04-28,255.75,264.0,255.75,263.51,5570,0
2025-04-29,264.0,264.7,263.4,263.54,2880,0
2025-04-30,263.54,264.2,263.2,263.2,1020,0
2025-05-02,268.46,268.46,262.8,263.4,4060,0
2025-05-05,264.6,265.6,264.2,264.9,4520,0
2025-05-06,264.8,264.8,263.2,264.21,5260,0
2025-05-07,264.4,264.6,263.4,264.33,5800,0
2025-05-08,264.2,264.6,262.0,262.95,3200,0
2025-05-09,260.0,260.6,258.54,260.03,3520,0
2025-05-12,266.4,270.4,266.2,269.98,5330,0
2025-05-13,265.0,269.8,264.58,266.94,3210,0
2025-05-14,267.2,268.2,265.1,267.2,1280,0
2025-05-15,267.0,271.6,265.6,271.21,4110,0
2025-05-16,270.8,271.4,269.4,271.0,13240,0
2025-05-19,271.0,271.6,269.6,270.12,2220,0
2025-05-20,270.7,270.8,267.1,267.5,4270,0
2025-05-21,268.9,272.76,267.83,268.88,4060,0
2025-05-22,270.22,270.22,265.23,266.64,1800,0
2025-05-23,267.88,269.9,266.3,269.53,3330,0
2025-05-26,269.53,271.7,269.53,271.0,3990,0
2025-05-27,270.7,271.0,268.1,268.89,2500,0
2025-05-28,268.8,269.3,267.8,268.0,2640,0
2025-05-29,273.36,273.36,267.8,269.4,2510,0
2025-05-30,268.6,269.7,268.3,268.62,2640,0
2025-06-02,263.24,268.8,263.24,268.37,6590,0
2025-06-03,267.8,268.6,266.0,266.8,26210,0
2025-06-04,266.8,267.76,266.45,267.22,7090,0
2025-06-05,268.88,270.4,268.4,268.74,4140,0
2025-06-06,268.74,272.0,268.4,271.6,14520,0
2025-06-09,276.5,278.66,271.6,272.75,8080,0
2025-06-10,272.8,273.4,272.6,272.7,3980,0
2025-06-11,273.2,274.0,272.6,272.86,1300,0
2025-06-12,272.8,273.6,270.0,270.62,2690,0
2025-06-13,267.6,268.8,267.6,268.62,3480,0
2025-06-16,267.28,272.0,267.28,271.45,7410,0
2025-06-17,271.45,271.45,269.2,270.42,15110,0
2025-06-18,270.42,271.0,269.32,269.8,10370,0
2025-06-19,269.6,270.2,269.0,269.4,830,0
2025-06-20,269.4,272.4,269.4,272.38,4380,0
2025-06-23,272.2,272.2,269.8,271.3,2730,0
2025-06-24,273.97,274.92,271.8,271.91,6740,0
2025-06-25,273.2,274.4,271.99,274.28,5680,0
2025-06-26,274.6,277.6,274.6,277.53,2740,0
2025-06-27,270.59,278.8,270.59,278.48,3320,0
2025-06-30,278.48,278.8,276.34,276.63,27730,0
2025-07-01,277.8,278.4,277.4,277.89,3390,0
2025-07-02,278.4,278.47,276.2,276.4,2130,0
2025-07-03,277.2,278.0,276.3,276.38,1650,0
2025-07-04,276.6,277.2,276.0,277.02,2390,0
2025-07-07,278.4,278.4,276.6,277.64,7670,0
2025-07-08,277.2,278.2,276.8,277.84,4630,0
2025-07-09,277.5,284.85,277.09,278.46,6830,0
2025-07-10,277.8,277.8,276.4,276.57,18540,0
2025-07-11,275.2,275.4,273.4,273.8,5650,0
2025-07-14,275.17,275.56,272.4,273.0,4170,0
2025-07-15,273.6,274.6,273.4,274.0,730,0
2025-07-16,274.0,275.2,273.0,274.5,2450,0
2025-07-17,274.4,274.6,273.4,273.4,460,0
2025-07-18,273.2,273.4,271.6,272.1,3010,0
2025-07-21,272.1,273.8,271.4,273.22,4330,0
2025-07-22,273.0,274.0,272.6,273.1,4380,0
2025-07-23,273.8,275.19,272.91,275.08,1850,0
2025-07-24,274.6,274.6,272.6,272.83,1000,0
2025-07-25,271.8,273.0,270.6,270.73,3880,0
2025-07-28,269.6,271.75,269.01,269.57,8390,0
2025-07-29,268.6,271.2,267.6,270.7,11360,0
2025-07-30,270.8,271.06,270.38,270.7,380,0
2025-07-31,270.6,271.75,269.0,269.86,3080,0
2025-08-01,269.6,270.2,267.2,267.55,7420,0
2025-08-04,268.0,269.5,268.0,269.48,3640,0
2025-08-05,269.4,269.4,268.2,268.78,2830,0
2025-08-06,268.6,270.32,266.8,267.9,10050,0
2025-08-07,267.4,268.4,265.6,268.3,3670,0
2025-08-08,268.0,268.0,265.7,266.2,15990,0
2025-08-11,266.2,268.4,265.4,267.94,3270,0
2025-08-12,269.0,269.4,267.0,268.06,2530,0
2025-08-13,268.06,269.2,267.8,268.6,4550,0
2025-08-14,268.6,269.4,268.6,268.71,1720,0
2025-08-18,271.8,273.12,271.28,271.55,6530,0
2025-08-19,272.0,273.2,272.0,273.03,1980,0
2025-08-20,272.4,274.4,272.4,274.03,950,0
2025-08-21,274.03,275.2,273.8,274.29,4770,0
2025-08-22,273.2,273.2,271.7,271.99,3420,0
2025-08-25,271.63,273.8,271.6,272.8,3420,0
2025-08-26,271.64,271.64,269.6,269.67,4130,0
2025-08-28,269.0,269.6,268.0,268.47,1930,0
2025-08-29,268.0,269.06,267.0,267.02,13590,0
2025-09-01,267.02,268.88,267.02,268.8,3010,0
2025-09-02,269.2,270.25,268.4,268.51,890,0
2025-09-03,268.2,270.1,268.2,270.03,910,0
2025-09-04,272.2,272.6,270.0,270.0,4240,0
2025-09-05,271.0,271.8,269.4,270.11,6210,0
2025-09-08,270.4,272.0,270.4,271.1,8490,0
2025-09-09,271.6,272.4,271.0,271.96,5090,0
2025-09-10,272.6,273.6,272.5,272.57,4550,0
2025-09-11,273.5,273.5,272.6,272.84,2060,0
2025-09-12,273.68,274.4,273.6,273.88,1100,0
2025-09-15,273.2,274.4,273.0,273.6,3450,0
2025-09-16,274.6,275.73,274.6,275.65,3120,0
2025-09-17,276.2,277.2,276.0,276.63,1490,0
2025-09-18,278.01,278.01,277.0,277.0,1430,0
2025-09-19,277.0,277.0,276.2,276.4,2490,0
2025-09-22,276.4,276.8,274.6,275.11,4150,0
2025-09-23,275.2,275.6,274.0,274.8,5720,0
2025-09-24,274.0,274.6,273.5,273.72,1170,0
2025-09-25,273.4,274.4,271.64,271.79,5530,0
2025-09-26,270.8,271.2,269.2,269.29,4790,0
2025-09-29,269.6,270.8,268.8,268.9,6130,0
2025-09-30,269.6,270.0,268.6,268.66,1690,0
2025-10-01,269.2,271.3,269.2,271.1,3220,0
2025-10-03,270.6,271.8,270.4,271.6,3120,0
2025-10-06,272.2,274.38,272.0,274.36,11080,0
2025-10-07,274.2,275.4,273.8,274.89,15940,0
2025-10-08,274.6,275.0,273.2,273.41,4630,0
2025-10-09,273.6,275.55,273.41,275.53,6260,0
2025-10-10,275.53,276.8,275.4,276.0,2370,0
2025-10-13,275.2,276.0,274.4,275.7,2320,0
2025-10-14,276.2,276.2,273.8,274.2,1070,0
2025-10-15,275.6,276.6,275.6,276.4,790,0
2025-10-16,277.6,279.4,277.0,279.01,4680,0
2025-10-17,278.8,281.0,278.8,280.74,7760,0
2025-10-20,281.8,282.6,281.2,282.0,5500,0
2025-10-21,282.6,283.0,282.0,282.07,1610,0
2025-10-23,283.8,285.0,282.4,282.5,6190,0
2025-10-24,283.4,283.4,280.6,281.46,1950,0
2025-10-27,282.2,284.0,282.2,283.43,9730,0
2025-10-28,283.4,284.4,281.7,283.5,3030,0
2025-10-29,283.5,284.8,283.5,284.6,1770,0
2025-10-30,283.8,283.8,282.4,282.8,15180,0
2025-10-31,282.8,283.4,280.9,280.9,4190,0
2025-11-03,280.6,281.7,280.4,281.24,6760,0
2025-11-04,281.24,281.24,279.0,279.14,5090,0
2025-11-06,279.6,280.0,278.5,278.54,4770,0
2025-11-07,284.0,284.0,276.2,279.39,17460,0
2025-11-10,286.38,286.38,279.0,279.46,4980,0
2025-11-11,286.45,286.45,278.3,280.71,1730,0
2025-11-12,281.8,283.4,281.8,282.96,3170,0
2025-11-13,286.8,286.8,282.4,282.87,4770,0
2025-11-14,281.8,283.4,281.7,283.02,2330,0
2025-11-17,283.4,284.42,283.4,284.36,5400,0
2025-11-18,277.25,284.6,277.25,283.42,2220,0
2025-11-19,282.8,284.8,282.8,284.69,3310,0
2025-11-20,285.2,286.65,284.8,286.3,8420,0
2025-11-21,286.0,286.3,284.9,284.91,2820,0
2025-11-24,286.2,286.2,283.5,283.73,7330,0
2025-11-25,283.73,284.5,282.59,282.93,1380,0
2025-11-26,283.6,286.4,283.6,286.3,1750,0
2025-11-27,286.99,287.39,286.0,286.48,2030,0
2025-11-28,286.0,287.8,286.0,286.54,2290,0
2025-12-01,287.2,288.0,285.9,286.2,5900,0
2025-12-02,287.63,287.63,284.4,284.52,2410,0
2025-12-03,283.87,284.1,283.0,283.79,2650,0
2025-12-04,283.2,285.1,282.8,284.52,14730,0
2025-12-05,284.8,287.0,284.2,286.3,5810,0
2025-12-08,286.0,286.0,283.6,283.72,5660,0
2025-12-09,282.6,283.6,281.6,283.15,18910,0
2025-12-10,283.2,283.7,281.5,281.51,2920,0
2025-12-11,281.6,283.6,281.2,283.1,4240,0
2025-12-12,284.2,285.0,283.8,284.7,4870,0
2025-12-15,284.0,284.8,283.5,284.7,1290,0
2025-12-16,283.5,284.0,282.6,283.21,7320,0
2025-12-17,283.6,283.6,281.9,282.22,3540,0
2025-12-18,283.0,283.1,281.6,282.18,1060,0
2025-12-19,275.12,284.28,275.12,283.89,2860,0
2025-12-22,284.54,286.67,284.54,286.01,3620,0
2025-12-23,286.01,286.8,285.8,286.01,830,0
2025-12-24,286.6,287.16,285.4,285.83,1210,0
2025-12-26,285.4,286.2,284.0,284.71,5880,0
2025-12-29,277.59,285.6,277.59,284.23,15580,0
2025-12-30,283.4,284.2,282.4,283.8,15850,0
2025-12-31,283.8,286.6,283.8,285.6,2890,0
2026-01-01,286.0,286.8,284.8,285.8,4770,0
2026-01-02,286.2,289.5,286.2,287.25,8460,0
2026-01-05,280.07,291.19,280.07,286.9,3780,0
2026-01-06,286.4,287.2,285.8,286.8,17540,0
2026-01-07,285.94,286.4,285.0,285.9,3410,0
2026-01-08,285.4,285.4,283.2,283.22,19680,0
2026-01-09,283.6,283.6,280.2,280.77,11700,0
2026-01-12,280.6,282.8,278.8,282.51,17500,0
2026-01-13,282.0,283.0,280.01,281.32,5060,0
2026-01-14,281.2,282.2,280.3,280.42,3710,0
2026-01-16,281.2,284.2,280.01,281.52,10790,0
2026-01-19,279.81,280.5,279.4,280.28,14330,0
2026-01-20,279.8,279.8,276.0,276.73,6310,0
2026-01-21,276.0,277.0,273.2,275.44,26290,0
2026-01-22,280.99,280.99,275.2,276.6,5520,0
2026-01-23,276.8,277.2,274.2,274.52,36000,0
2026-01-27,275.89,276.33,273.4,276.22,14230,0
2026-01-28,276.22,277.4,275.4,277.24,2630,0
2026-01-29,276.2,278.6,275.6,278.01,5210,0
2026-01-30,275.6,277.6,275.6,277.25,1800,0
2026-02-01,276.0,278.6,271.0,272.24,7820,0
2026-02-02,271.6,274.8,270.8,274.5,9120,0
2026-02-03,281.0,283.42,280.26,282.12,10800,0
