date,open,high,low,close,volume,oi
2025-04-23,20.08,20.47,20.06,20.3,254613,0
2025-04-24,20.28,20.45,20.2,20.24,120904,0
2025-04-25,20.26,20.35,19.85,20.0,177344,0
2025-04-28,20.01,20.25,19.93,20.2,253156,0
2025-04-29,20.5,20.5,20.18,20.29,125615,0
2025-04-30,20.3,20.33,20.11,20.16,70745,0
2025-05-02,20.16,20.29,19.99,20.05,179276,0
2025-05-05,20.15,20.39,20.15,20.35,275048,0
2025-05-06,20.36,20.37,20.07,20.16,69307,0
2025-05-07,20.07,20.24,20.05,20.18,37342,0
2025-05-08,20.19,20.21,19.92,20.0,31709,0
2025-05-09,19.88,20.03,19.83,19.94,125788,0
2025-05-12,20.4,20.72,20.33,20.68,294626,0
2025-05-13,20.67,20.75,20.53,20.59,97778,0
2025-05-14,20.66,20.8,20.58,20.77,119141,0
2025-05-15,20.84,20.98,20.69,20.95,235404,0
2025-05-16,20.96,21.2,20.71,21.14,156761,0
2025-05-19,21.22,21.25,21.06,21.11,109122,0
2025-05-20,21.16,21.18,20.82,20.85,258271,0
2025-05-21,20.87,21.25,20.86,21.12,211115,0
2025-05-22,21.08,21.08,20.77,20.9,231504,0
2025-05-23,20.91,21.16,20.9,21.05,164636,0
2025-05-26,21.11,21.25,21.05,21.22,112410,0
2025-05-27,21.27,21.27,20.99,21.08,228671,0
2025-05-28,21.1,21.17,21.0,21.05,211043,0
2025-05-29,21.1,21.19,21.06,21.12,46972,0
2025-05-30,21.22,21.22,20.95,20.99,168072,0
2025-06-02,20.99,21.18,20.91,21.0,74604,0
2025-06-03,21.07,21.09,20.85,20.87,40413,0
2025-06-04,20.92,21.0,20.82,20.95,69835,0
2025-06-05,20.96,21.1,20.92,21.06,840315,0
2025-06-06,20.53,21.27,20.53,21.09,107818,0
2025-06-09,21.15,21.35,21.04,21.21,113726,0
2025-06-10,21.3,21.5,21.3,21.44,118025,0
2025-06-11,21.97,21.97,21.39,21.46,348987,0
2025-06-12,21.46,21.54,21.14,21.17,86562,0
2025-06-13,21.17,21.18,20.6,21.08,33456,0
2025-06-16,20.55,21.31,20.55,21.27,45528,0
2025-06-17,21.27,21.36,21.15,21.22,38073,0
2025-06-18,21.15,21.3,21.1,21.16,33685,0
2025-06-19,21.16,21.2,20.94,21.0,101640,0
2025-06-20,21.01,21.15,20.87,21.14,27494,0
2025-06-23,21.09,21.2,21.01,21.15,61928,0
2025-06-24,21.19,21.33,21.14,21.18,108422,0
2025-06-25,21.28,21.35,21.26,21.29,48424,0
2025-06-26,21.36,21.54,21.25,21.39,63837,0
2025-06-27,21.51,21.95,21.42,21.6,70196,0
2025-06-30,21.87,21.87,21.45,21.49,101335,0
2025-07-01,21.51,21.61,21.42,21.47,70357,0
2025-07-02,21.5,21.69,20.93,21.49,104009,0
2025-07-03,21.43,21.59,21.43,21.53,44147,0
2025-07-04,21.5,21.6,21.48,21.54,143150,0
2025-07-07,21.56,21.82,21.52,21.64,372361,0
2025-07-08,21.63,21.69,21.53,21.61,3089987,0
2025-07-09,21.65,21.69,21.55,21.56,422011,0
2025-07-10,22.21,22.21,21.41,21.44,73370,0
2025-07-11,21.97,21.97,21.28,21.31,36432,0
2025-07-14,21.84,21.84,21.18,21.29,61977,0
2025-07-15,21.39,21.55,21.29,21.5,117686,0
2025-07-16,21.51,21.51,21.41,21.46,61248,0
2025-07-17,21.55,21.56,21.36,21.41,42278,0
2025-07-18,21.41,21.46,21.21,21.31,32639,0
2025-07-21,21.35,21.39,21.15,21.33,347599,0
2025-07-22,21.41,21.41,21.21,21.25,243425,0
2025-07-23,21.29,21.31,21.16,21.29,46540,0
2025-07-24,21.32,21.32,20.95,21.0,113068,0
2025-07-25,20.96,21.0,20.65,20.71,135296,0
2025-07-28,20.7,20.79,20.51,20.57,120318,0
2025-07-29,20.64,20.75,20.53,20.73,239153,0
2025-07-30,20.69,20.8,20.63,20.77,38920,0
2025-07-31,20.79,20.89,20.55,20.75,2549075,0
2025-08-01,20.75,20.8,20.57,20.6,75212,0
2025-08-04,21.11,21.11,20.57,20.81,455307,0
2025-08-05,20.86,20.86,20.65,20.78,1160598,0
2025-08-06,20.88,20.88,20.62,20.66,35666,0
2025-08-07,20.66,20.77,20.52,20.72,80083,0
2025-08-08,20.77,20.81,20.58,20.63,1427460,0
2025-08-11,20.63,20.72,20.45,20.68,38985,0
2025-08-12,20.75,20.81,20.61,20.64,20889,0
2025-08-13,20.71,20.78,20.61,20.77,30152,0
2025-08-14,20.73,20.82,20.64,20.69,94605,0
2025-08-18,20.97,21.03,20.87,20.98,55671,0
2025-08-19,20.99,21.18,20.86,21.1,30757,0
2025-08-20,21.1,21.29,21.03,21.26,180144,0
2025-08-21,21.26,21.42,21.21,21.3,112552,0
2025-08-22,21.3,21.3,21.06,21.11,117664,0
2025-08-25,21.11,21.27,21.07,21.22,44025,0
2025-08-26,21.17,21.27,21.07,21.12,235183,0
2025-08-28,21.17,21.17,20.85,20.92,219486,0
2025-08-29,20.97,21.06,20.86,21.0,217265,0
2025-09-01,21.06,21.25,21.01,21.23,23260,0
