date,open,high,low,close,volume,oi
2025-04-23,376.0,377.3,365.5,373.9,5191977,0
2025-04-24,373.9,384.0,370.0,371.15,7078638,0
2025-04-25,372.5,373.0,354.9,361.2,6857970,0
2025-04-28,356.5,365.45,354.15,361.2,4768768,0
2025-04-29,362.65,366.9,359.05,360.45,3130264,0
2025-04-30,360.0,360.0,345.1,349.8,3009130,0
2025-05-02,349.8,365.65,349.7,352.2,9217850,0
2025-05-05,355.1,358.95,352.65,354.65,3179424,0
2025-05-06,355.0,356.45,339.3,341.55,3591336,0
2025-05-07,329.2,342.55,329.05,339.95,6171128,0
2025-05-08,343.25,346.2,329.0,331.45,3395213,0
2025-05-09,320.0,327.3,317.5,323.1,5304658,0
2025-05-12,338.0,362.9,337.0,359.45,13898275,0
2025-05-13,360.0,361.0,353.5,357.05,5621942,0
2025-05-14,359.0,376.8,357.5,372.8,15252942,0
2025-05-15,372.8,382.0,371.35,376.25,8996131,0
2025-05-16,380.5,417.5,378.35,409.6,45361621,0
2025-05-19,417.0,438.9,416.0,431.5,26550311,0
2025-05-20,440.0,447.8,411.3,415.05,18449682,0
2025-05-21,416.0,419.9,405.0,412.05,13428123,0
2025-05-22,405.0,420.9,401.5,404.9,10405435,0
2025-05-23,406.95,407.15,395.05,398.65,7734773,0
2025-05-26,398.2,418.5,395.25,412.05,15111176,0
2025-05-27,413.95,421.0,407.5,415.45,10198617,0
2025-05-28,419.0,424.5,414.0,416.15,11712050,0
2025-05-29,418.0,420.3,411.2,418.1,7435876,0
2025-05-30,421.0,427.4,402.3,405.55,12948296,0
2025-06-02,407.0,411.4,401.0,406.9,7238002,0
2025-06-03,408.95,413.35,402.6,403.75,6074713,0
2025-06-04,405.1,434.8,402.5,429.95,41141370,0
2025-06-05,434.0,436.9,425.0,429.6,14651361,0
2025-06-06,430.3,433.0,418.6,428.65,12394179,0
2025-06-09,432.0,442.8,429.0,431.75,14101653,0
2025-06-10,434.05,437.75,424.05,426.7,8608022,0
2025-06-11,428.45,435.7,422.65,427.8,10010848,0
2025-06-12,429.2,433.0,410.3,412.95,9928984,0
2025-06-13,401.2,412.0,400.5,407.0,7028426,0
2025-06-16,407.0,412.55,397.1,409.5,7942903,0
2025-06-17,410.0,413.45,398.9,400.65,7031078,0
2025-06-18,401.0,404.3,395.4,398.0,6046355,0
2025-06-19,397.55,400.35,380.15,381.95,8538943,0
2025-06-20,382.55,392.75,380.1,390.6,7771739,0
2025-06-23,386.45,395.25,384.45,391.4,5548703,0
2025-06-24,397.3,403.4,396.0,398.0,8104800,0
2025-06-25,400.0,404.9,397.55,399.4,4643329,0
2025-06-26,401.5,405.5,398.25,399.55,4519908,0
2025-06-27,401.55,405.5,394.0,395.05,7343095,0
2025-06-30,399.0,404.0,396.0,397.7,5938964,0
2025-07-01,399.6,401.85,393.1,395.85,3812592,0
2025-07-02,396.8,398.8,389.5,392.65,4124336,0
2025-07-03,393.9,395.25,388.6,390.65,3403586,0
2025-07-04,391.3,394.3,388.65,391.4,2929965,0
2025-07-07,393.4,395.5,388.8,389.45,4375527,0
2025-07-08,390.0,392.45,384.2,386.5,3385531,0
2025-07-09,387.8,392.2,384.1,385.1,4088303,0
2025-07-10,386.3,391.0,383.55,384.7,3357263,0
2025-07-11,384.9,385.5,379.6,381.65,3193808,0
2025-07-14,383.6,385.35,380.65,382.3,3360937,0
2025-07-15,386.0,391.45,382.0,383.15,9228521,0
2025-07-16,384.1,385.65,381.1,383.3,3200132,0
2025-07-17,384.0,384.75,381.0,381.45,1895697,0
2025-07-18,381.5,382.6,374.9,376.0,2713502,0
2025-07-21,376.35,380.0,373.1,378.2,3246863,0
2025-07-22,380.0,380.1,371.55,372.25,2494508,0
2025-07-23,373.1,375.45,367.0,373.7,4443972,0
2025-07-24,374.1,379.0,372.2,376.9,3184740,0
2025-07-25,375.9,375.9,363.55,365.6,3472092,0
2025-07-28,363.85,368.25,353.2,354.45,3438508,0
2025-07-29,354.0,362.0,352.0,359.5,4192933,0
2025-07-30,360.15,362.2,356.5,358.4,2041969,0
2025-07-31,353.0,355.3,345.0,348.15,3934940,0
2025-08-01,349.35,350.4,343.3,345.45,3149891,0
2025-08-04,346.45,354.0,344.35,353.0,3431280,0
2025-08-05,353.0,357.3,350.0,351.55,2551146,0
2025-08-06,352.0,354.45,344.5,346.0,2282901,0
2025-08-07,341.2,348.0,337.2,346.5,2924832,0
2025-08-08,346.8,346.8,335.0,336.6,2140972,0
2025-08-11,337.7,346.7,334.4,342.5,3610633,0
2025-08-12,342.75,346.5,320.3,329.45,5392512,0
2025-08-13,323.15,333.85,316.5,326.3,9107823,0
2025-08-14,329.5,333.85,322.0,324.1,5292079,0
2025-08-18,330.0,330.75,322.55,323.8,4633408,0
2025-08-19,325.0,328.5,321.5,327.75,3483785,0
2025-08-20,328.85,332.0,324.5,330.8,4059829,0
2025-08-21,330.0,334.4,327.1,328.65,5454040,0
2025-08-22,327.8,327.8,323.1,323.75,3877289,0
2025-08-25,325.45,326.95,321.0,321.65,2419995,0
2025-08-26,321.65,322.45,311.5,312.7,5319362,0
2025-08-28,316.0,318.15,307.0,308.65,7594499,0
2025-08-29,308.4,309.0,301.75,302.6,4853561,0
2025-09-01,302.95,317.5,301.6,315.7,5644181,0
2025-09-02,318.0,339.5,316.0,331.85,20277592,0
2025-09-03,332.0,337.45,328.6,334.6,9498144,0
2025-09-04,333.95,335.0,325.15,326.95,6377015,0
2025-09-05,326.7,331.05,325.05,329.4,4541584,0
2025-09-08,330.85,337.2,329.05,332.2,4123272,0
2025-09-09,333.2,335.85,329.5,332.4,3863086,0
2025-09-10,333.35,339.55,332.7,333.45,5814933,0
2025-09-11,337.8,337.9,331.6,335.15,6896258,0
2025-09-12,335.4,339.9,334.4,338.1,5594449,0
2025-09-15,340.0,355.5,339.3,347.25,18797234,0
2025-09-16,348.65,356.7,344.35,354.9,10201112,0
2025-09-17,356.0,369.85,355.6,360.8,17573057,0
2025-09-18,362.85,364.7,356.35,362.5,7379618,0
2025-09-19,361.9,367.7,361.15,363.45,6433354,0
2025-09-22,362.45,368.0,357.2,358.9,5537194,0
