date,open,high,low,close,volume,oi
2025-04-23,281.34,282.0,278.26,279.38,12952,0
2025-04-24,279.38,280.92,276.05,278.71,40145,0
2025-04-25,278.56,278.56,272.2,274.97,38346,0
2025-04-28,275.68,279.88,272.45,278.92,20010,0
2025-04-29,280.95,281.81,277.01,278.39,23144,0
2025-04-30,279.79,279.79,275.05,277.79,14968,0
2025-05-02,280.0,281.84,276.72,277.39,15019,0
2025-05-05,276.01,276.6,273.99,276.01,5798,0
2025-05-06,277.39,277.39,269.05,272.3,29672,0
2025-05-07,270.93,276.12,267.99,275.37,11219,0
2025-05-08,276.21,277.53,273.43,274.8,4902,0
2025-05-09,274.0,274.0,262.92,271.86,16834,0
2025-05-12,275.74,284.85,275.73,280.94,20562,0
2025-05-13,276.06,280.0,276.06,277.42,7089,0
2025-05-14,277.42,278.48,275.8,276.8,2977,0
2025-05-15,277.47,281.31,274.74,279.75,6291,0
2025-05-16,279.81,280.55,279.1,279.86,4123,0
2025-05-19,281.65,281.65,279.4,279.66,4385,0
2025-05-20,281.05,281.05,277.01,277.41,4881,0
2025-05-21,277.41,279.44,276.1,277.76,3387,0
2025-05-22,276.35,277.85,275.16,277.09,7390,0
2025-05-23,277.6,280.0,277.2,279.6,4634,0
2025-05-26,279.59,282.35,279.23,279.74,7569,0
2025-05-27,279.74,281.19,277.42,279.45,5720,0
2025-05-28,279.25,279.43,277.89,278.92,657,0
2025-05-29,278.65,280.85,277.36,279.82,6594,0
2025-05-30,279.22,280.36,278.22,278.79,27901,0
2025-06-02,278.25,281.27,278.25,280.27,3012,0
2025-06-03,280.58,280.68,276.32,277.19,5516,0
2025-06-04,284.11,284.11,275.95,277.7,4061,0
2025-06-05,277.45,278.48,276.2,277.23,4825,0
2025-06-06,275.94,282.93,275.71,282.09,28488,0
2025-06-09,277.0,286.0,262.12,283.75,17652,0
2025-06-10,283.76,286.26,283.31,283.99,17686,0
2025-06-11,285.4,285.4,283.01,283.9,7125,0
2025-06-12,285.99,285.99,280.02,281.76,7512,0
2025-06-13,280.0,280.0,277.62,279.25,3832,0
2025-06-16,280.65,281.73,275.05,281.0,9957,0
2025-06-17,281.0,281.99,279.54,279.67,5329,0
2025-06-18,280.46,282.0,280.04,281.17,7240,0
2025-06-19,281.38,282.0,280.24,280.36,17151,0
2025-06-20,279.49,283.41,279.48,282.57,3025,0
2025-06-23,282.57,283.0,279.93,282.2,32771,0
2025-06-24,289.25,289.25,283.97,284.61,2560,0
2025-06-25,291.72,291.72,283.18,284.41,4296,0
2025-06-26,284.79,288.57,284.25,287.48,8987,0
2025-06-27,287.49,289.7,285.15,289.01,4024,0
2025-06-30,289.02,289.13,286.11,287.29,5398,0
2025-07-01,293.7,293.7,285.43,286.64,6485,0
2025-07-02,285.76,287.69,284.26,285.06,2531,0
2025-07-03,286.41,286.41,283.73,284.28,1616,0
2025-07-04,283.23,285.64,282.35,284.61,3138,0
2025-07-07,283.34,285.64,283.33,284.44,3456,0
2025-07-08,286.43,287.55,285.5,286.27,4978,0
2025-07-09,284.84,287.35,284.76,286.63,1211,0
2025-07-10,285.2,287.95,285.2,285.59,3964,0
