date,open,high,low,close,volume,oi
2025-04-23,30.9,30.9,29.57,30.48,60064,0
2025-04-24,30.51,30.63,30.35,30.46,28721,0
2025-04-25,30.99,30.99,29.86,30.14,18822,0
2025-04-28,30.28,30.51,29.92,30.42,19620,0
2025-04-29,30.58,30.62,30.28,30.38,17233,0
2025-04-30,30.38,30.48,30.12,30.33,20075,0
2025-05-02,30.19,30.65,30.12,30.24,19443,0
2025-05-05,30.58,30.58,30.01,30.47,11804,0
2025-05-06,30.63,30.63,30.19,30.25,14654,0
2025-05-07,30.19,30.49,30.09,30.35,20521,0
2025-05-08,30.5,30.5,30.07,30.12,11528,0
2025-05-09,30.37,30.37,29.55,29.9,37557,0
2025-05-12,30.33,30.98,30.21,30.88,99680,0
2025-05-13,31.26,31.26,30.6,30.63,35303,0
2025-05-14,30.78,30.96,30.62,30.82,17932,0
2025-05-15,30.83,31.4,30.67,31.35,77740,0
2025-05-16,31.66,31.66,30.92,31.36,26197,0
2025-05-19,31.51,31.66,31.03,31.34,36089,0
2025-05-20,31.64,31.68,30.96,31.02,15916,0
2025-05-21,31.43,32.5,30.99,31.17,30019,0
2025-05-22,31.49,31.53,30.65,30.95,28495,0
2025-05-23,30.95,31.33,30.61,31.25,13833,0
2025-05-26,31.26,31.64,30.03,31.37,61226,0
2025-05-27,31.68,31.68,31.1,31.21,14834,0
2025-05-28,31.21,31.38,31.1,31.13,12277,0
2025-05-29,31.36,31.37,31.05,31.22,7624,0
2025-05-30,31.44,31.45,31.05,31.1,12912,0
2025-06-02,31.19,31.2,30.81,31.08,16867,0
2025-06-03,31.23,31.44,30.73,30.82,15127,0
2025-06-04,31.34,31.34,30.72,30.81,13796,0
2025-06-05,31.05,31.16,30.91,30.97,36305,0
2025-06-06,31.74,31.74,30.3,31.33,35278,0
2025-06-09,31.34,31.77,31.33,31.53,36204,0
2025-06-10,32.31,32.31,31.54,31.75,21264,0
2025-06-11,31.9,32.11,31.56,31.72,32542,0
2025-06-12,31.71,31.75,31.18,31.38,31579,0
2025-06-13,31.3,31.49,30.03,31.17,93356,0
2025-06-16,31.32,31.58,30.75,31.51,24822,0
2025-06-17,31.87,31.88,31.15,31.23,19220,0
2025-06-18,31.57,31.57,31.16,31.25,13906,0
2025-06-19,31.49,31.57,30.83,31.21,12764,0
2025-06-20,31.41,31.58,31.11,31.5,27381,0
2025-06-23,31.6,31.6,31.17,31.49,19302,0
2025-06-24,31.34,31.9,30.63,31.61,84848,0
2025-06-25,31.61,31.9,31.61,31.79,62527,0
2025-06-26,31.8,32.23,31.78,32.14,52989,0
2025-06-27,32.3,32.58,31.95,32.22,55116,0
2025-06-30,32.49,32.49,32.12,32.25,35560,0
2025-07-01,32.25,32.68,31.81,32.23,15532,0
2025-07-02,32.18,32.59,31.76,32.21,28755,0
2025-07-03,32.37,32.42,32.09,32.18,40736,0
2025-07-04,32.17,32.26,31.96,32.11,13987,0
2025-07-07,31.3,32.47,31.3,32.12,11119,0
2025-07-08,32.44,32.44,31.94,32.09,12893,0
2025-07-09,32.25,32.38,31.53,32.04,14444,0
2025-07-10,32.35,32.38,31.84,31.97,17640,0
2025-07-11,31.97,32.07,31.7,31.76,16185,0
2025-07-14,31.91,32.18,31.56,31.65,13637,0
2025-07-15,31.5,32.17,31.5,31.86,22208,0
2025-07-16,32.01,32.01,31.7,31.89,10741,0
2025-07-17,31.89,32.17,31.76,31.84,4536,0
2025-07-18,31.89,31.89,31.53,31.67,33775,0
2025-07-21,31.83,31.87,31.6,31.72,55711,0
2025-07-22,31.95,31.95,31.62,31.64,5868,0
2025-07-23,31.63,31.94,31.56,31.76,12480,0
2025-07-24,31.76,31.89,31.61,31.65,18066,0
2025-07-25,31.88,31.89,31.3,31.39,25766,0
2025-07-28,31.54,31.73,30.86,31.21,9484,0
2025-07-29,31.36,31.41,31.05,31.4,13471,0
2025-07-30,31.36,31.45,31.27,31.3,7324,0
2025-07-31,30.67,31.48,30.67,31.25,17716,0
2025-08-01,31.4,31.4,30.89,30.99,33456,0
2025-08-04,31.76,31.76,30.21,31.18,13731,0
2025-08-05,31.36,31.36,31.07,31.22,11362,0
2025-08-06,32.0,32.0,31.01,31.1,7664,0
2025-08-07,31.25,31.25,30.92,31.05,15153,0
2025-08-08,31.09,31.1,30.85,30.94,10752,0
2025-08-11,31.28,31.28,30.86,31.15,9308,0
2025-08-12,31.31,31.41,31.13,31.18,5241,0
2025-08-13,31.35,31.58,30.72,31.33,13211,0
2025-08-14,32.11,32.11,30.79,31.33,16218,0
2025-08-18,31.49,32.03,31.48,31.88,22945,0
2025-08-19,31.99,32.0,31.73,31.94,12339,0
2025-08-20,32.09,32.1,31.89,32.03,26256,0
2025-08-21,32.02,32.22,31.99,32.02,10879,0
2025-08-22,32.23,32.23,31.79,31.81,7854,0
2025-08-25,31.96,32.0,31.74,31.9,14703,0
2025-08-26,32.05,32.24,31.4,31.7,12393,0
2025-08-28,31.98,31.98,31.47,31.49,80892,0
2025-08-29,31.64,31.64,31.35,31.43,11969,0
2025-09-01,31.43,31.74,31.43,31.7,12482,0
2025-09-02,30.9,32.0,30.9,31.76,18125,0
2025-09-03,31.99,32.0,31.74,31.91,7171,0
2025-09-04,31.95,32.35,31.9,31.98,31094,0
2025-09-05,32.21,32.22,31.85,31.94,10960,0
2025-09-08,32.09,32.22,31.3,32.1,17560,0
2025-09-09,32.26,32.27,31.96,32.12,8611,0
2025-09-10,32.12,32.38,32.12,32.29,55052,0
2025-09-11,32.75,32.75,31.72,32.28,34238,0
2025-09-12,32.59,32.64,32.37,32.37,14421,0
2025-09-15,32.63,32.63,32.29,32.3,19911,0
2025-09-16,32.49,32.57,32.38,32.51,8086,0
2025-09-17,32.89,32.89,32.01,32.63,11858,0
2025-09-18,32.79,32.85,32.37,32.74,15336,0
2025-09-19,32.98,32.99,32.66,32.68,22745,0
2025-09-22,32.95,33.0,32.51,32.73,10565,0
2025-09-23,31.91,32.95,31.91,32.67,20602,0
2025-09-24,32.93,32.93,32.41,32.46,17336,0
2025-09-25,31.64,32.59,31.64,32.3,16663,0
2025-09-26,32.3,32.54,31.77,31.82,22127,0
