date,open,high,low,close,volume,oi
2025-04-23,95.0,96.09,94.79,95.87,63258,0
2025-04-24,96.99,97.12,96.17,96.59,175994,0
2025-04-25,97.07,99.5,96.55,97.13,131486,0
2025-04-28,96.53,96.53,94.76,95.42,92519,0
2025-04-29,95.9,96.75,95.41,96.64,95618,0
2025-04-30,96.17,96.17,93.51,93.86,295492,0
2025-05-02,94.33,94.64,93.6,93.97,202282,0
2025-05-05,92.0,95.28,91.63,93.97,179178,0
2025-05-06,94.43,96.77,94.43,95.64,367826,0
2025-05-07,95.63,95.63,94.81,95.23,77649,0
2025-05-08,95.7,95.7,93.37,94.78,236094,0
2025-05-09,94.99,96.34,94.37,95.65,100023,0
2025-05-12,98.52,98.52,93.21,93.92,151618,0
2025-05-13,96.74,96.74,94.67,96.49,309127,0
2025-05-14,95.5,96.3,94.72,95.72,94728,0
2025-05-15,94.37,95.0,93.1,93.67,238070,0
2025-05-16,96.48,96.48,94.17,94.3,73990,0
2025-05-19,94.77,95.24,94.3,95.07,325430,0
2025-05-20,95.07,95.07,94.0,94.54,286953,0
2025-05-21,96.54,96.54,95.48,96.43,311953,0
2025-05-22,97.43,97.75,96.22,96.59,226276,0
2025-05-23,96.59,97.16,96.02,96.09,66952,0
2025-05-26,96.97,97.5,95.32,96.87,150518,0
2025-05-27,97.37,97.37,96.11,96.37,91805,0
2025-05-28,96.85,97.18,96.51,96.89,57663,0
2025-05-29,96.87,97.0,96.0,96.98,108588,0
2025-05-30,96.9,96.9,95.87,96.81,74276,0
2025-06-02,96.99,97.7,96.14,97.24,107858,0
2025-06-03,98.47,99.68,98.25,99.52,281019,0
2025-06-04,102.0,102.0,99.73,100.41,110327,0
2025-06-05,100.91,103.7,100.07,102.71,171077,0
2025-06-06,103.22,105.25,103.01,104.87,230716,0
2025-06-09,107.49,107.49,104.45,105.48,316612,0
2025-06-10,106.0,106.6,105.5,106.42,242080,0
2025-06-11,103.75,106.98,103.75,105.69,253931,0
2025-06-12,106.21,106.34,103.47,104.98,549785,0
2025-06-13,107.6,107.6,105.2,106.26,694019,0
2025-06-16,108.91,108.91,105.6,106.08,256196,0
2025-06-17,106.08,106.85,105.39,106.67,244623,0
2025-06-18,108.3,109.01,107.57,108.97,904203,0
2025-06-19,109.8,109.8,106.16,106.74,336966,0
2025-06-20,105.51,106.49,104.0,105.91,365031,0
2025-06-23,105.0,106.61,105.0,106.45,374306,0
2025-06-24,106.0,106.0,104.64,105.36,205689,0
2025-06-25,105.37,105.94,104.06,104.62,289603,0
2025-06-26,105.53,107.6,105.16,106.93,329235,0
2025-06-27,107.46,107.46,103.8,104.7,288863,0
2025-06-30,104.69,105.5,104.18,105.05,259329,0
2025-07-01,105.58,106.45,104.76,106.26,373637,0
2025-07-02,108.91,108.91,104.54,105.29,443569,0
2025-07-03,105.81,107.74,105.42,106.95,399663,0
2025-07-04,107.48,107.49,106.0,106.43,246777,0
2025-07-07,109.09,109.09,105.7,106.5,366865,0
2025-07-08,107.04,107.47,106.5,106.87,750343,0
2025-07-09,107.28,107.28,105.9,106.38,11279161,0
2025-07-10,106.69,106.69,105.7,106.28,392850,0
2025-07-11,108.42,109.5,107.29,109.38,369506,0
2025-07-14,112.66,112.94,111.05,112.78,423031,0
2025-07-15,116.16,116.16,110.16,110.93,445588,0
2025-07-16,110.37,110.6,109.7,110.44,590045,0
2025-07-17,110.64,110.64,109.53,109.81,504162,0
2025-07-18,110.06,112.0,110.05,111.89,559449,0
2025-07-21,115.25,115.25,111.0,112.05,524707,0
2025-07-22,114.85,114.85,112.49,112.9,627106,0
2025-07-23,114.02,115.2,113.56,114.81,1344086,0
2025-07-24,114.5,115.01,113.09,113.62,947280,0
2025-07-25,114.18,114.27,113.25,113.61,389687,0
2025-07-28,115.0,117.02,111.12,111.92,752112,0
2025-07-29,115.28,115.28,111.38,112.19,660911,0
2025-07-30,112.52,112.65,112.04,112.5,500085,0
2025-07-31,110.5,110.51,109.44,109.61,1118714,0
2025-08-01,109.61,109.61,108.01,108.4,463516,0
2025-08-04,105.15,110.97,105.15,110.82,770692,0
2025-08-05,111.77,111.77,110.84,111.34,515040,0
2025-08-06,114.12,114.12,111.67,111.88,430754,0
2025-08-07,111.0,113.6,111.0,113.43,331734,0
2025-08-08,113.98,114.08,112.0,113.7,406014,0
2025-08-11,113.13,113.14,111.48,112.23,802497,0
2025-08-12,112.47,112.48,111.75,111.93,593414,0
2025-08-13,112.49,114.05,112.49,113.98,462860,0
2025-08-14,117.4,117.4,113.22,113.49,471956,0
2025-08-18,113.0,113.44,112.45,112.81,481095,0
2025-08-19,112.24,112.24,111.68,112.13,428981,0
2025-08-20,110.17,110.17,109.32,109.64,632486,0
2025-08-21,111.38,111.91,111.31,111.75,453287,0
2025-08-22,114.54,114.54,112.15,112.61,488361,0
2025-08-25,113.67,115.2,113.66,114.82,386390,0
2025-08-26,114.82,116.26,114.35,114.56,593999,0
2025-08-28,115.7,115.7,114.84,115.58,551459,0
2025-08-29,115.97,116.5,115.55,116.32,550338,0
2025-09-01,120.46,124.2,120.0,121.51,1051311,0
2025-09-02,122.37,122.38,120.3,120.9,904163,0
2025-09-03,124.53,129.8,120.8,121.92,772485,0
2025-09-04,122.8,122.8,120.73,121.9,1826850,0
2025-09-05,121.63,122.43,121.63,122.19,725749,0
2025-09-08,122.85,124.15,121.4,123.37,851519,0
2025-09-09,126.45,126.45,123.26,123.91,998627,0
2025-09-10,123.78,123.89,119.73,122.38,2264503,0
2025-09-11,123.38,126.05,121.54,122.62,1020739,0
2025-09-12,124.99,126.7,124.7,126.61,725847,0
2025-09-15,126.66,128.01,125.5,126.36,2140009,0
2025-09-16,128.4,128.4,126.91,127.44,2806921,0
2025-09-17,127.24,127.24,124.25,124.43,1959161,0
2025-09-18,124.97,126.18,124.0,125.98,1927111,0
2025-09-19,128.3,128.3,126.2,126.72,1121377,0
2025-09-22,130.1,132.0,129.74,131.51,1580850,0
2025-09-23,132.41,133.17,131.55,132.9,3606280,0
2025-09-24,133.2,133.6,132.69,133.02,1979194,0
2025-09-25,133.05,141.3,132.12,135.89,1934970,0
2025-09-26,135.6,136.61,134.85,136.33,3874611,0
2025-09-29,140.96,142.99,140.95,142.37,3151373,0
2025-09-30,143.37,144.99,139.5,140.95,4214963,0
2025-10-01,145.18,145.7,141.15,143.21,6312362,0
2025-10-03,142.55,143.59,140.95,143.11,3598824,0
2025-10-06,146.68,147.55,145.02,146.93,3939074,0
2025-10-07,145.5,147.54,144.69,146.92,4256461,0
2025-10-08,146.98,155.01,146.93,154.02,3519521,0
