date,open,high,low,close,volume,oi
2025-04-23,868.64,874.9,863.91,870.74,1111,0
2025-04-24,870.76,872.48,866.57,868.33,633,0
2025-04-25,868.0,872.15,855.0,861.66,853,0
2025-04-28,861.66,875.0,861.66,872.98,2303,0
2025-04-29,872.98,879.81,871.4,875.7,1474,0
2025-04-30,875.4,877.4,871.24,874.44,2520,0
2025-05-02,866.1,885.01,866.1,875.99,2478,0
2025-05-05,882.98,885.9,874.72,880.72,1465,0
2025-05-06,879.5,880.41,874.82,879.83,1963,0
2025-05-07,880.0,881.6,873.16,878.08,893,0
2025-05-08,879.39,881.9,873.02,874.73,873,0
2025-05-09,870.1,871.0,862.0,866.8,1448,0
2025-05-12,886.98,899.51,877.65,895.48,5140,0
2025-05-13,885.02,895.0,881.45,884.93,3802,0
2025-05-14,889.35,891.05,880.21,883.73,1978,0
2025-05-15,883.6,900.26,881.75,899.92,3644,0
2025-05-16,904.41,907.0,894.99,897.78,7164,0
2025-05-19,897.78,904.2,888.1,894.16,6006,0
2025-05-20,901.7,901.7,884.0,886.34,894,0
2025-05-21,893.1,893.1,879.69,890.47,1093,0
2025-05-22,885.85,885.92,878.95,883.55,1409,0
2025-05-23,889.8,893.0,877.7,892.05,940,0
2025-05-26,899.98,900.0,886.87,894.59,1396,0
2025-05-27,899.98,899.98,884.09,891.24,2215,0
2025-05-28,898.44,898.44,885.0,889.34,702,0
2025-05-29,898.23,898.23,885.0,889.47,635,0
2025-05-30,886.44,895.47,885.21,888.67,423,0
2025-06-02,895.0,895.24,882.0,889.63,1072,0
2025-06-03,896.3,896.3,881.51,883.2,1348,0
2025-06-04,889.82,891.0,882.34,884.96,1386,0
2025-06-05,884.96,895.0,884.96,889.58,357,0
2025-06-06,892.63,898.0,887.03,897.13,585,0
2025-06-09,901.61,903.8,895.06,899.69,1468,0
2025-06-10,908.47,908.47,896.51,901.55,831,0
2025-06-11,894.7,907.3,894.7,899.62,380,0
2025-06-12,905.3,906.98,889.86,894.54,1070,0
2025-06-13,891.9,891.9,882.04,887.42,2713,0
2025-06-16,894.98,895.33,884.5,893.24,1170,0
2025-06-17,893.07,897.85,888.58,893.34,737,0
2025-06-18,895.6,899.9,886.18,887.8,3927,0
2025-06-19,880.25,893.98,880.25,888.42,530,0
2025-06-20,894.25,900.0,894.25,899.88,1202,0
2025-06-23,900.0,900.0,890.5,896.46,4606,0
2025-06-24,905.42,907.0,895.5,898.59,25904,0
2025-06-25,900.36,904.8,899.63,902.23,999,0
2025-06-26,905.0,915.0,905.0,913.93,2108,0
2025-06-27,913.34,939.7,908.45,922.35,1646,0
2025-06-30,923.8,923.82,915.0,918.47,4364,0
2025-07-01,915.0,926.48,911.5,917.56,1713,0
2025-07-02,917.9,918.29,909.24,915.45,796,0
2025-07-03,923.48,923.48,909.09,912.1,1890,0
2025-07-04,913.17,918.2,908.51,914.85,685,0
2025-07-07,906.1,919.8,906.1,911.92,2038,0
2025-07-08,917.93,917.93,913.02,914.92,802,0
2025-07-09,917.0,918.99,914.43,915.56,483,0
2025-07-10,922.7,922.7,910.9,912.76,1439,0
2025-07-11,915.0,915.0,901.68,905.63,940,0
2025-07-14,911.6,911.6,900.5,902.54,1669,0
2025-07-15,897.53,908.18,897.53,904.95,691,0
2025-07-16,895.1,910.98,895.1,907.93,418,0
2025-07-17,903.66,906.71,901.21,902.99,1104,0
2025-07-18,880.41,907.5,880.41,898.03,1992,0
2025-07-21,889.1,903.9,889.1,900.03,1070,0
2025-07-22,890.02,907.98,890.02,899.17,1245,0
2025-07-23,899.0,908.81,899.0,908.07,1301,0
2025-07-24,908.07,908.07,900.96,903.51,876,0
2025-07-25,907.57,907.57,890.0,893.38,2762,0
2025-07-28,893.3,898.98,887.3,888.66,1750,0
2025-07-29,881.3,894.06,881.3,893.58,1362,0
2025-07-30,887.0,900.54,887.0,895.24,873,0
2025-07-31,903.0,903.0,882.94,893.01,3826,0
2025-08-01,893.0,893.17,884.5,885.51,1242,0
2025-08-04,892.98,892.98,885.15,889.51,941,0
2025-08-05,886.74,887.87,885.0,887.03,1153,0
2025-08-06,892.9,892.9,881.82,883.97,2924,0
2025-08-07,861.87,886.9,861.87,883.65,874,0
2025-08-08,888.06,889.98,876.0,877.82,2375,0
2025-08-11,870.5,885.17,870.5,883.52,1444,0
2025-08-12,887.93,889.72,880.24,881.29,1701,0
2025-08-13,889.98,889.98,879.0,883.8,2650,0
2025-08-14,879.39,889.0,879.39,885.59,649,0
2025-08-18,894.95,898.28,886.5,890.44,992,0
2025-08-19,892.0,896.98,892.0,894.44,809,0
2025-08-20,894.44,899.4,894.44,899.27,732,0
2025-08-21,892.0,903.3,892.0,900.0,674,0
2025-08-22,898.43,900.0,892.51,895.36,730,0
2025-08-25,902.9,904.4,888.65,894.66,1007,0
2025-08-26,899.84,899.84,888.0,888.34,1347,0
2025-08-28,888.34,888.34,879.06,881.16,1450,0
2025-08-29,888.98,888.98,875.0,880.41,1357,0
