date,open,high,low,close,volume,oi
2025-04-23,81.06,81.44,80.72,81.14,9342,0
2025-04-24,81.14,81.24,80.77,80.87,3325,0
2025-04-25,81.13,81.25,79.76,80.57,123686,0
2025-04-28,80.69,81.49,80.38,81.22,14200,0
2025-04-29,81.22,81.71,81.22,81.36,16957,0
2025-04-30,81.99,81.99,81.13,81.47,6891,0
2025-05-02,81.7,82.41,81.25,81.71,29709,0
2025-05-05,82.67,82.67,81.72,82.07,7344,0
2025-05-06,82.48,82.48,81.58,81.8,11412,0
2025-05-07,82.2,82.2,80.98,81.67,12210,0
2025-05-08,82.07,82.1,81.02,81.31,24096,0
2025-05-09,80.98,81.25,80.4,80.53,22413,0
2025-05-12,82.69,83.58,82.32,83.44,20125,0
2025-05-13,83.65,83.65,82.32,82.42,16459,0
2025-05-14,82.85,82.99,82.15,82.7,14395,0
2025-05-15,83.11,83.69,82.0,83.5,83944,0
2025-05-16,83.59,83.74,83.29,83.46,6641,0
2025-05-19,83.45,83.5,83.11,83.34,10895,0
2025-05-20,83.75,84.56,82.37,82.59,29650,0
2025-05-21,83.0,83.25,82.44,82.93,7438,0
2025-05-22,82.8,82.8,81.85,82.14,21622,0
2025-05-23,82.14,83.05,82.14,82.93,11370,0
2025-05-26,83.35,83.72,83.1,83.4,29548,0
2025-05-27,84.69,84.69,82.44,82.85,30598,0
2025-05-28,82.82,82.99,82.47,82.67,7639,0
2025-05-29,83.08,83.08,82.47,82.91,20986,0
2025-05-30,83.32,83.32,82.5,82.85,10486,0
2025-06-02,82.85,82.86,82.17,82.83,15368,0
2025-06-03,83.24,83.24,82.1,82.21,24782,0
2025-06-04,82.99,82.99,82.09,82.31,2530,0
2025-06-05,82.22,83.25,82.2,83.0,12242,0
2025-06-06,82.82,83.65,82.53,83.54,27025,0
2025-06-09,84.0,84.15,83.85,83.94,11288,0
2025-06-10,84.35,84.35,83.72,83.76,10331,0
2025-06-11,83.76,84.17,83.76,84.0,14880,0
2025-06-12,83.95,84.19,82.96,83.26,19176,0
2025-06-13,84.7,84.7,82.23,82.7,19090,0
2025-06-16,83.11,83.37,82.46,83.29,15346,0
2025-06-17,85.37,85.37,82.42,83.14,4829,0
2025-06-18,83.55,83.55,82.8,82.92,4258,0
2025-06-19,83.01,83.11,82.51,82.92,4218,0
2025-06-20,83.15,83.9,82.84,83.74,15475,0
2025-06-23,83.75,83.75,82.95,83.45,6361,0
2025-06-24,84.16,84.45,83.41,83.66,35825,0
2025-06-25,84.08,84.25,83.9,84.17,10387,0
2025-06-26,84.59,85.23,84.33,85.18,32196,0
2025-06-27,85.32,85.68,85.13,85.48,22288,0
2025-06-30,85.69,85.7,85.15,85.29,14959,0
2025-07-01,85.7,85.7,85.24,85.33,5250,0
2025-07-02,85.34,85.69,84.81,85.06,8868,0
2025-07-03,85.49,85.49,84.78,84.99,5544,0
2025-07-04,85.69,85.69,84.76,85.18,10766,0
2025-07-07,85.0,85.29,84.87,85.11,8281,0
2025-07-08,85.7,85.7,84.69,85.29,4358,0
2025-07-09,85.4,85.59,85.14,85.19,3397,0
2025-07-10,85.3,85.32,84.8,84.96,4636,0
2025-07-11,85.22,85.23,84.03,84.28,16640,0
2025-07-14,85.0,85.0,83.66,83.85,27610,0
2025-07-15,84.17,84.52,83.97,84.27,14899,0
2025-07-16,84.84,84.84,84.01,84.43,3141,0
2025-07-17,84.42,84.46,84.02,84.06,8210,0
2025-07-18,86.16,86.16,83.29,83.55,22321,0
2025-07-21,84.36,84.36,83.29,83.8,7999,0
2025-07-22,83.3,84.49,83.29,83.97,3599,0
2025-07-23,83.97,84.56,83.94,84.39,23233,0
2025-07-24,84.39,84.82,83.83,83.97,4788,0
2025-07-25,84.33,84.34,82.93,83.29,16070,0
2025-07-28,83.92,83.93,82.53,82.71,12597,0
2025-07-29,83.43,83.43,82.45,83.09,10225,0
2025-07-30,83.09,83.37,83.06,83.26,3330,0
2025-07-31,83.29,83.55,82.53,83.0,14922,0
2025-08-01,82.85,83.14,82.31,82.4,13417,0
2025-08-04,80.34,83.25,80.34,82.84,35914,0
2025-08-05,82.68,82.7,82.39,82.6,10027,0
2025-08-06,80.53,82.67,80.53,82.28,13530,0
2025-08-07,82.18,82.52,81.62,82.29,22590,0
2025-08-08,82.7,82.7,81.42,81.83,9209,0
2025-08-11,82.24,82.41,81.44,82.35,9232,0
2025-08-12,82.35,82.74,82.0,82.07,3345,0
2025-08-13,82.34,82.55,82.07,82.47,2641,0
2025-08-14,82.48,83.27,82.26,82.62,9753,0
2025-08-18,83.76,83.76,83.1,83.44,27333,0
2025-08-19,83.85,83.85,83.2,83.56,8843,0
