date,open,high,low,close,volume,oi
2025-04-23,896.0,907.02,896.0,904.76,10259,0
2025-04-24,906.67,910.9,898.0,899.91,11601,0
2025-04-25,904.4,904.4,887.0,894.4,15365,0
2025-04-28,898.87,907.0,897.3,904.69,16009,0
2025-04-29,908.41,910.98,901.73,905.03,10941,0
2025-04-30,908.52,908.6,904.0,906.96,10291,0
2025-05-02,910.44,915.95,905.0,908.77,19138,0
2025-05-05,914.85,914.85,908.77,911.89,16523,0
2025-05-06,914.99,914.99,906.46,909.27,9716,0
2025-05-07,908.99,914.19,902.54,910.85,7779,0
2025-05-08,909.33,914.97,906.0,908.29,7361,0
2025-05-09,901.4,904.96,894.7,898.3,27896,0
2025-05-12,908.49,932.62,906.44,930.23,35975,0
2025-05-13,928.05,938.0,915.0,916.78,14908,0
2025-05-14,920.0,922.07,912.73,918.44,6930,0
2025-05-15,923.03,933.0,911.37,931.29,16251,0
2025-05-16,935.94,937.1,922.61,931.76,5283,0
2025-05-19,931.76,933.03,925.37,926.42,13873,0
2025-05-20,931.97,932.62,917.8,918.73,8256,0
2025-05-21,918.75,927.91,918.0,922.48,7042,0
2025-05-22,922.1,926.25,911.01,913.89,13532,0
2025-05-23,915.0,927.09,914.09,922.86,6762,0
2025-05-26,928.67,932.77,927.15,929.09,6897,0
2025-05-27,931.44,936.52,918.85,923.29,32157,0
2025-05-28,926.94,926.94,919.06,921.73,9817,0
2025-05-29,926.33,926.89,919.0,922.68,11281,0
2025-05-30,922.69,926.2,920.41,922.71,7144,0
2025-06-02,924.01,924.01,914.5,921.42,11519,0
2025-06-03,944.45,944.45,912.85,914.38,24567,0
2025-06-04,918.95,919.86,914.41,917.1,7314,0
2025-06-05,921.68,927.9,920.89,923.68,9152,0
2025-06-06,927.26,933.92,920.05,932.54,11293,0
2025-06-09,939.27,939.3,932.7,933.71,8004,0
2025-06-10,939.67,939.67,932.1,932.61,5725,0
2025-06-11,934.42,937.79,933.07,934.33,2792,0
2025-06-12,938.79,938.79,924.21,925.9,8743,0
2025-06-13,925.9,925.9,908.33,918.94,13173,0
2025-06-16,925.0,928.31,917.01,926.55,12615,0
2025-06-17,926.56,927.29,922.67,923.81,7917,0
2025-06-18,946.9,946.9,922.5,923.26,3660,0
2025-06-19,926.6,926.66,918.63,922.93,4995,0
2025-06-20,924.73,938.34,923.5,935.45,15455,0
2025-06-23,931.89,933.26,923.35,928.99,19920,0
2025-06-24,934.39,940.54,928.84,929.61,33360,0
2025-06-25,939.67,939.67,934.0,937.38,4125,0
2025-06-26,937.37,951.57,937.37,947.82,23360,0
2025-06-27,952.55,958.31,947.82,956.62,9008,0
2025-06-30,957.0,962.71,948.04,950.21,11179,0
2025-07-01,955.14,955.14,949.0,950.36,5594,0
2025-07-02,950.37,953.99,944.36,948.52,6650,0
2025-07-03,953.52,953.52,945.0,947.13,3708,0
2025-07-04,948.33,950.55,943.8,948.9,15875,0
2025-07-07,952.12,954.3,946.0,949.43,6986,0
2025-07-08,951.85,954.0,947.01,952.54,5732,0
2025-07-09,952.54,954.26,948.3,951.01,7857,0
2025-07-10,974.78,974.78,944.51,947.28,5000,0
2025-07-11,947.25,947.25,932.7,938.17,13224,0
2025-07-14,938.17,942.88,933.1,936.81,7348,0
2025-07-15,960.23,960.23,936.0,940.57,5055,0
2025-07-16,939.75,942.98,935.78,940.52,3353,0
2025-07-17,944.1,944.1,935.0,936.61,5556,0
2025-07-18,936.0,939.72,926.92,932.0,14165,0
2025-07-21,932.0,938.15,928.76,936.38,9417,0
2025-07-22,942.8,942.8,934.5,936.88,2594,0
2025-07-23,941.64,942.0,934.91,940.05,1946,0
2025-07-24,940.06,941.03,933.47,936.46,3578,0
2025-07-25,934.48,935.8,924.6,927.65,5783,0
2025-07-28,950.84,950.84,920.01,922.46,6271,0
2025-07-29,922.5,931.09,917.84,927.03,4143,0
2025-07-30,903.85,930.58,903.85,928.72,2902,0
