date,open,high,low,close,volume,oi
2025-04-23,83.54,84.27,82.26,82.84,2443192,0
2025-04-24,85.33,85.33,82.61,82.96,2553341,0
2025-04-25,82.63,83.4,80.0,82.52,2573279,0
2025-04-28,82.5,82.54,81.5,81.63,1805933,0
2025-04-29,83.2,83.2,82.14,82.43,903232,0
2025-04-30,82.99,82.99,81.15,81.51,3385261,0
2025-05-02,81.25,81.46,80.03,81.09,2929668,0
2025-05-05,82.24,82.71,80.81,82.48,3172804,0
2025-05-06,84.95,84.95,83.1,84.12,3765912,0
2025-05-07,84.6,84.6,83.55,83.98,6061019,0
2025-05-08,84.01,84.58,82.4,83.44,2498881,0
2025-05-09,83.4,83.63,82.51,83.47,3035954,0
2025-05-12,82.32,82.47,80.2,80.55,3005434,0
2025-05-13,82.97,82.97,80.45,81.57,3472310,0
2025-05-14,81.5,81.5,80.6,81.08,2179701,0
2025-05-15,83.51,83.51,78.75,79.41,3389699,0
2025-05-16,80.26,80.8,80.01,80.14,1148292,0
2025-05-19,82.54,82.54,80.19,80.76,1338721,0
2025-05-20,80.99,80.99,80.0,80.63,9830667,0
2025-05-21,81.2,82.35,81.2,81.96,1942068,0
2025-05-22,82.8,82.8,82.1,82.28,1380680,0
2025-05-23,96.0,96.0,81.9,82.03,1771195,0
2025-05-26,83.33,83.33,81.9,82.17,1579267,0
2025-05-27,84.64,84.64,81.82,81.94,1841617,0
2025-05-28,84.4,84.4,81.97,82.53,1339775,0
2025-05-29,82.25,82.25,81.38,81.58,1574631,0
2025-05-30,81.99,82.1,81.59,82.02,1274339,0
2025-06-02,82.02,83.15,82.02,83.04,2657100,0
2025-06-03,83.23,84.93,83.23,83.43,1379853,0
2025-06-04,85.51,85.51,81.34,83.82,1905983,0
2025-06-05,84.79,84.79,83.66,84.29,2138656,0
2025-06-06,86.39,86.39,82.18,83.71,2066531,0
2025-06-09,85.8,85.8,82.01,82.93,3981335,0
2025-06-10,80.85,83.14,80.85,83.08,3351995,0
2025-06-11,85.15,85.15,81.0,83.23,2234257,0
2025-06-12,81.14,84.8,81.14,83.87,1742753,0
2025-06-13,81.77,86.39,81.77,85.59,4093496,0
2025-06-16,87.72,87.72,85.37,85.64,3517145,0
2025-06-17,87.78,87.98,84.7,85.07,4181346,0
2025-06-18,86.07,86.07,84.33,85.31,2576638,0
2025-06-19,87.44,87.44,84.6,85.32,4988044,0
2025-06-20,87.45,87.45,82.76,84.82,2035494,0
2025-06-23,86.94,86.94,84.83,85.25,3524191,0
2025-06-24,87.38,87.38,83.33,83.43,4705871,0
2025-06-25,85.51,85.93,83.41,83.54,2513977,0
2025-06-26,84.63,85.62,83.4,83.65,1724346,0
2025-06-27,85.74,85.74,82.09,82.26,3703638,0
2025-06-30,82.26,82.63,79.79,82.41,2819165,0
2025-07-01,83.99,83.99,82.36,83.63,2310627,0
2025-07-02,86.14,86.14,81.53,83.65,2539260,0
2025-07-03,81.55,85.74,81.55,83.49,4355796,0
2025-07-04,83.9,85.99,83.14,83.35,2345326,0
2025-07-07,81.26,85.43,81.26,83.09,2738151,0
2025-07-08,83.5,83.69,83.17,83.3,1867752,0
2025-07-09,83.55,83.55,82.38,82.49,2158210,0
2025-07-10,83.75,83.75,82.49,83.29,2202539,0
2025-07-11,81.2,85.37,81.2,83.67,1822315,0
2025-07-14,84.99,84.99,84.04,84.5,2015699,0
2025-07-15,86.61,86.61,83.5,84.19,2047004,0
2025-07-16,83.95,83.95,83.52,83.79,1221545,0
2025-07-17,86.3,86.3,83.49,83.64,1013677,0
2025-07-18,81.54,84.99,81.54,84.32,1103012,0
2025-07-21,85.2,85.2,82.21,84.73,2172074,0
2025-07-22,86.5,86.5,82.61,85.34,2046074,0
2025-07-23,85.53,86.99,85.53,86.41,3547876,0
2025-07-24,86.37,86.37,84.71,84.8,2156859,0
2025-07-25,85.63,85.63,84.46,84.61,3477521,0
2025-07-28,85.17,85.17,84.0,84.47,1995242,0
2025-07-29,86.58,86.58,84.01,84.39,2451236,0
2025-07-30,86.49,86.49,84.5,85.04,1720633,0
2025-07-31,85.03,85.03,82.91,84.7,2476659,0
2025-08-01,85.07,85.07,84.03,84.38,3008441,0
2025-08-04,86.48,86.93,85.39,85.89,4025764,0
2025-08-05,87.63,87.63,85.91,86.15,2866932,0
2025-08-06,86.0,86.7,85.9,86.01,2296354,0
2025-08-07,87.95,87.95,83.85,86.55,3107208,0
2025-08-08,86.8,87.35,84.38,86.97,2714543,0
2025-08-11,86.7,88.67,85.65,85.78,2964738,0
2025-08-12,85.5,85.8,85.0,85.5,4044922,0
