date,open,high,low,close,volume,oi
2025-04-23,257.1,257.26,254.76,256.47,6360959,0
2025-04-24,256.46,257.12,255.51,256.22,575210,0
2025-04-25,257.2,257.51,252.01,253.92,2997705,0
2025-04-28,254.05,257.2,253.51,256.98,2858817,0
2025-04-29,257.84,258.34,256.29,257.05,1534086,0
2025-04-30,258.3,258.3,249.34,257.06,977471,0
2025-05-02,257.8,260.0,256.02,257.23,824044,0
2025-05-05,264.95,264.95,257.3,258.9,1284021,0
2025-05-06,259.75,259.75,257.01,257.75,1268614,0
2025-05-07,257.5,258.59,253.67,257.92,5767423,0
2025-05-08,258.44,258.44,255.18,256.04,3889429,0
2025-05-09,254.79,255.28,250.25,253.5,5261769,0
2025-05-12,254.9,263.88,254.9,263.63,2969858,0
2025-05-13,263.6,263.88,259.88,260.2,727629,0
2025-05-14,268.01,268.01,259.58,261.22,336898,0
2025-05-15,262.1,265.32,259.59,264.8,3137923,0
2025-05-16,272.74,272.74,264.2,264.43,1218880,0
2025-05-19,263.01,265.29,263.0,263.59,2071235,0
2025-05-20,264.98,264.98,260.77,260.93,1686884,0
2025-05-21,261.74,263.89,260.75,262.41,496667,0
2025-05-22,262.38,262.38,259.4,260.75,602648,0
2025-05-23,261.47,263.94,260.3,263.13,307022,0
2025-05-26,264.15,265.5,263.13,264.52,482116,0
2025-05-27,264.51,265.42,261.81,263.27,451174,0
2025-05-28,263.79,263.97,262.1,262.47,286732,0
2025-05-29,263.69,263.93,261.85,263.34,333554,0
2025-05-30,263.85,264.0,262.51,262.82,348885,0
2025-06-02,263.29,263.6,260.76,262.57,916483,0
2025-06-03,263.89,263.89,256.0,260.66,738267,0
2025-06-04,267.17,267.17,260.15,261.3,367596,0
2025-06-05,262.47,263.97,261.3,262.95,331746,0
2025-06-06,263.45,265.5,262.0,265.08,674095,0
2025-06-09,260.0,268.68,258.45,265.99,413343,0
2025-06-10,272.63,272.63,265.55,265.98,443500,0
2025-06-11,272.62,272.62,265.51,266.51,450110,0
2025-06-12,265.51,266.99,263.05,263.77,1995480,0
2025-06-13,262.3,263.5,259.88,261.84,2863817,0
2025-06-16,268.38,268.38,261.0,264.31,2832975,0
2025-06-17,257.7,267.0,257.7,263.33,347008,0
2025-06-18,259.0,264.38,259.0,263.02,334611,0
2025-06-19,256.44,264.99,256.44,262.66,506770,0
2025-06-20,262.66,266.31,262.34,266.07,5364843,0
2025-06-23,263.0,265.84,262.0,265.05,547708,0
2025-06-24,268.0,269.0,262.1,265.98,1146273,0
2025-06-25,262.5,270.5,262.2,267.68,469582,0
2025-06-26,260.98,271.0,260.98,270.67,528040,0
2025-06-27,267.0,274.0,267.0,272.38,662022,0
2025-06-30,272.38,275.0,265.57,271.2,573981,0
2025-07-01,274.0,274.0,270.71,271.97,396274,0
2025-07-02,271.97,272.97,266.36,270.34,484598,0
2025-07-03,268.0,272.39,268.0,270.4,316013,0
2025-07-04,273.6,277.16,269.01,270.96,354541,0
2025-07-07,274.0,274.0,269.98,270.65,542759,0
2025-07-08,267.0,273.0,267.0,271.43,1583980,0
2025-07-09,274.0,274.0,269.91,271.07,249814,0
2025-07-10,272.68,272.68,269.32,270.02,368417,0
2025-07-11,274.3,276.77,267.5,267.9,555532,0
2025-07-14,267.25,268.84,266.23,267.29,356422,0
2025-07-15,267.99,268.8,267.14,268.24,570482,0
2025-07-16,269.88,269.88,266.76,268.28,344202,0
2025-07-17,266.36,269.78,266.36,267.53,226682,0
2025-07-18,265.65,268.99,265.5,266.18,388320,0
2025-07-21,264.5,267.32,264.01,266.76,383366,0
2025-07-22,271.0,271.0,266.51,267.07,236024,0
2025-07-23,266.05,268.39,266.05,268.2,611142,0
2025-07-24,268.2,268.81,266.7,266.92,475916,0
2025-07-25,266.9,266.9,264.5,264.84,733940,0
2025-07-28,265.0,265.8,262.84,263.17,571682,0
2025-07-29,271.07,271.07,262.51,264.51,315018,0
2025-07-30,262.1,265.6,257.89,264.84,293874,0
2025-07-31,263.64,265.86,262.01,264.08,1037069,0
2025-08-01,266.5,267.0,261.75,262.17,656728,0
2025-08-04,263.75,263.91,261.94,263.76,451007,0
2025-08-05,261.01,264.15,261.01,262.68,651269,0
2025-08-06,270.56,270.56,261.57,262.13,327010,0
2025-08-07,260.51,264.78,259.76,262.21,1033019,0
2025-08-08,263.49,263.49,259.6,259.98,300411,0
2025-08-11,267.78,267.78,259.5,262.11,375260,0
2025-08-12,261.26,263.45,261.25,261.5,288555,0
2025-08-13,262.99,263.25,261.75,262.92,287675,0
2025-08-14,261.25,264.25,261.25,263.12,158562,0
2025-08-18,266.0,266.9,263.12,265.67,555865,0
2025-08-19,265.0,266.95,264.05,266.48,443578,0
2025-08-20,266.5,267.38,265.13,267.07,383774,0
2025-08-21,268.45,268.45,267.16,267.53,261666,0
2025-08-22,274.21,274.21,265.1,265.44,352575,0
2025-08-25,272.0,272.0,261.1,266.32,494420,0
2025-08-26,272.97,272.97,263.66,263.99,621731,0
2025-08-28,262.37,264.6,261.51,261.81,751515,0
2025-08-29,263.48,263.48,260.55,260.99,578880,0
2025-09-01,267.51,267.51,260.99,263.04,357932,0
2025-09-02,268.88,268.88,261.8,262.59,283388,0
