date,open,high,low,close,volume,oi
2025-04-23,566.11,574.97,560.38,562.09,308726,0
2025-04-24,563.33,563.8,557.09,561.01,48029,0
2025-04-25,561.06,562.69,550.5,555.06,445666,0
2025-04-28,560.05,564.53,554.79,562.87,28914,0
2025-04-29,564.94,568.94,561.52,562.15,177958,0
2025-04-30,561.35,563.72,558.32,559.95,33776,0
2025-05-02,560.91,566.0,558.4,559.61,225848,0
2025-05-05,558.99,561.29,556.38,557.92,59058,0
2025-05-06,564.96,565.88,549.63,551.04,134203,0
2025-05-07,550.0,555.66,548.29,554.46,558714,0
2025-05-08,555.99,557.47,548.62,552.15,196973,0
2025-05-09,544.86,548.91,543.38,544.78,564845,0
2025-05-12,556.07,564.54,556.01,562.24,1026048,0
2025-05-13,564.42,564.42,558.16,558.81,20931,0
2025-05-14,563.8,563.8,553.95,557.17,278825,0
2025-05-15,562.16,563.64,553.1,562.34,53514,0
2025-05-16,563.11,564.6,561.28,563.27,267060,0
2025-05-19,562.59,566.9,562.59,563.67,17848,0
2025-05-20,564.0,565.82,558.0,558.26,422331,0
2025-05-21,558.25,563.05,557.0,560.2,315158,0
2025-05-22,563.0,563.0,555.34,558.98,315843,0
2025-05-23,562.99,564.0,552.88,563.41,43565,0
2025-05-26,566.23,568.29,562.63,565.36,20151,0
2025-05-27,565.36,567.56,560.0,563.55,36797,0
2025-05-28,563.0,564.78,562.01,564.16,141516,0
2025-05-29,564.01,566.96,561.2,565.31,18908,0
2025-05-30,565.4,567.88,563.56,567.32,50624,0
2025-06-02,567.31,569.46,563.58,568.93,14489,0
2025-06-03,568.01,570.0,564.26,565.51,342149,0
2025-06-04,562.01,567.0,562.01,566.34,7767,0
2025-06-05,566.33,569.29,565.75,567.66,323743,0
2025-06-06,567.66,577.23,565.01,576.64,167023,0
2025-06-09,576.63,581.99,576.07,578.7,41580,0
2025-06-10,584.42,584.43,575.8,576.2,142379,0
2025-06-11,579.94,579.95,574.09,574.84,36695,0
2025-06-12,574.84,576.33,569.78,570.51,20453,0
