date,open,high,low,close,volume,oi
2025-04-23,503.59,506.85,499.27,505.7,4818,0
2025-04-24,507.01,509.99,503.28,505.3,5623,0
2025-04-25,505.3,508.53,498.01,503.12,22701,0
2025-04-28,498.96,506.23,497.34,505.62,8750,0
2025-04-29,508.0,510.0,502.73,504.75,3723,0
2025-04-30,504.74,507.0,500.0,501.56,2752,0
2025-05-02,502.76,506.17,498.04,499.69,5093,0
2025-05-05,502.18,505.99,499.69,503.77,6381,0
2025-05-06,502.92,504.04,500.86,502.53,2394,0
2025-05-07,500.25,500.89,492.6,497.67,9319,0
2025-05-08,495.25,502.0,495.25,495.89,5332,0
2025-05-09,491.27,495.0,487.43,492.43,3881,0
2025-05-12,495.05,513.0,494.32,509.59,5172,0
2025-05-13,511.77,512.55,503.02,504.13,9776,0
2025-05-14,504.0,510.0,501.97,506.53,10552,0
2025-05-15,508.41,517.0,503.0,514.02,6434,0
2025-05-16,516.59,525.0,509.08,515.36,8506,0
2025-05-19,516.06,516.06,508.55,511.65,20356,0
2025-05-20,513.87,513.87,505.15,506.09,22413,0
2025-05-21,508.41,512.0,506.98,509.57,6456,0
2025-05-22,509.0,510.85,500.83,503.77,16279,0
2025-05-23,503.77,509.08,501.78,507.7,4379,0
2025-05-26,510.11,515.0,507.77,511.38,6159,0
2025-05-27,511.36,512.74,506.04,508.52,8325,0
2025-05-28,508.52,511.37,503.1,505.14,6983,0
2025-05-29,507.66,508.7,504.85,507.55,5311,0
2025-05-30,509.71,514.51,502.0,504.0,7258,0
2025-06-02,504.0,515.0,498.78,502.61,15818,0
2025-06-03,505.12,508.31,497.5,498.61,13944,0
2025-06-04,511.07,511.07,497.43,498.86,9031,0
2025-06-05,501.16,505.0,498.33,501.81,4744,0
2025-06-06,501.81,507.56,499.31,505.07,7290,0
2025-06-09,507.59,507.97,502.0,506.64,9984,0
2025-06-10,509.93,511.86,506.64,510.21,6738,0
2025-06-11,510.21,512.95,508.92,511.96,7444,0
2025-06-12,512.45,514.78,505.9,507.85,9011,0
2025-06-13,503.24,507.7,498.8,507.16,5564,0
