date,open,high,low,close,volume,oi
2025-04-23,30910,31135,30280,30365,27170,0
2025-04-24,30535,30850,30260,30705,55566,0
2025-04-25,30990,30990,29955,30540,26946,0
2025-04-28,30540,30830,30330,30400,22491,0
2025-04-29,30780,30780,29690,30025,25432,0
2025-04-30,30190,30430,29540,29710,22258,0
2025-05-02,29710,29825,28980,29335,21183,0
2025-05-05,29340,29625,29335,29470,14607,0
2025-05-06,29620,29925,29370,29485,28266,0
2025-05-07,29035,29620,29035,29570,11379,0
2025-05-08,29695,29750,29100,29410,44201,0
2025-05-09,29075,29580,28720,29230,24760,0
2025-05-12,29610,30240,29610,30135,13032,0
2025-05-13,30210,30445,29650,30145,39445,0
2025-05-14,30295,30910,30110,30620,98120,0
2025-05-15,30990,31835,30895,31400,172193,0
2025-05-16,31400,31720,31005,31615,34222,0
2025-05-19,31615,31650,31190,31600,28500,0
2025-05-20,31310,31920,31310,31525,29706,0
2025-05-21,31500,31800,31385,31490,31519,0
2025-05-22,31490,31650,31305,31410,34673,0
2025-05-23,31430,31820,31390,31495,19027,0
2025-05-26,31495,31695,31000,31100,15503,0
2025-05-27,31330,31330,30760,30950,37923,0
2025-05-28,31230,31230,29825,29895,34686,0
2025-05-29,29900,30020,29615,29915,50069,0
2025-05-30,29950,30075,29480,29595,65782,0
2025-06-02,29785,29785,29190,29410,25260,0
2025-06-03,29400,29635,29250,29375,26184,0
2025-06-04,29350,29700,29215,29440,16028,0
2025-06-05,29460,29615,29340,29515,27504,0
2025-06-06,29695,29840,29450,29600,28546,0
2025-06-09,29700,29890,29345,29825,26404,0
2025-06-10,30000,30145,29735,29825,22926,0
2025-06-11,29950,30200,29655,29830,35659,0
2025-06-12,29985,30045,29530,29690,36013,0
2025-06-13,29590,29695,29240,29610,16460,0
2025-06-16,29700,29905,29545,29805,19409,0
2025-06-17,29850,29900,29505,29620,17595,0
2025-06-18,29780,29780,29225,29305,13011,0
2025-06-19,29470,29470,29095,29310,15605,0
2025-06-20,29420,29555,28590,28875,296684,0
2025-06-23,28755,28915,28450,28565,35494,0
2025-06-24,28735,28770,28355,28505,79141,0
2025-06-25,28645,29185,28475,29075,92269,0
2025-06-26,29130,30150,29130,30105,98924,0
2025-06-27,30005,31280,30000,31030,218128,0
2025-06-30,30895,31125,30595,31030,42009,0
2025-07-01,31105,31650,31105,31185,46618,0
2025-07-02,31435,31700,31030,31640,20945,0
2025-07-03,31640,31885,31340,31420,26592,0
2025-07-04,31550,31575,31175,31315,12514,0
2025-07-07,31315,31385,30825,31105,15768,0
2025-07-08,31270,31350,30955,31300,27148,0
2025-07-09,31260,31675,31150,31615,25101,0
2025-07-10,31610,31660,30970,31175,31524,0
2025-07-11,31330,31570,31060,31210,26485,0
2025-07-14,31210,31470,30895,31100,24794,0
2025-07-15,31150,31195,30830,31080,13064,0
2025-07-16,31190,31190,30600,30955,15939,0
2025-07-17,31000,31000,30700,30845,10121,0
2025-07-18,30895,31090,30725,30790,21051,0
2025-07-21,30900,31595,30880,31535,48993,0
2025-07-22,31535,32490,31500,32345,59832,0
2025-07-23,32490,32490,31555,32115,34639,0
2025-07-24,32115,32270,31665,31745,20833,0
2025-07-25,31745,31745,30770,30950,16681,0
2025-07-28,31080,31505,30455,30695,27460,0
2025-07-29,30695,30710,30110,30410,20699,0
2025-07-30,30500,30780,30225,30590,18682,0
2025-07-31,30400,31020,30390,30810,15010,0
2025-08-01,30990,31035,30540,30675,29448,0
2025-08-04,30725,31110,30120,30645,91108,0
2025-08-05,30880,30880,30000,30205,38269,0
2025-08-06,30300,30675,30100,30570,45369,0
2025-08-07,30300,30710,30180,30655,13398,0
2025-08-08,30560,30935,30330,30415,14155,0
2025-08-11,30435,30845,30350,30640,18515,0
2025-08-12,30640,30700,30355,30410,19839,0
2025-08-13,30450,30735,30250,30410,47546,0
2025-08-14,30610,30610,30230,30400,34703,0
2025-08-18,31000,31920,30755,31340,40018,0
2025-08-19,31495,31600,30640,30905,44452,0
2025-08-20,31025,31225,30620,30690,29464,0
2025-08-21,30790,30950,30400,30605,12148,0
2025-08-22,30800,30800,29910,30005,23082,0
2025-08-25,30150,30380,29940,30015,36110,0
2025-08-26,30000,30500,29680,30110,27970,0
2025-08-28,30150,30155,29630,29675,32689,0
2025-08-29,29795,29930,29210,29275,63260,0
2025-09-01,29350,29975,29305,29870,37442,0
2025-09-02,29900,30155,29745,29995,23155,0
2025-09-03,30100,30275,29880,29940,23539,0
2025-09-04,30380,30750,29845,29945,25439,0
2025-09-05,30100,30100,29670,30040,16653,0
2025-09-08,30000,30655,29995,30485,12239,0
2025-09-09,30500,30660,30115,30190,22879,0
2025-09-10,30300,30520,29750,29890,34161,0
2025-09-11,29925,30100,29625,29830,20878,0
2025-09-12,29850,29935,29500,29580,21104,0
2025-09-15,29800,29800,29230,29275,25565,0
2025-09-16,29500,29900,29430,29575,40795,0
2025-09-17,29780,30190,29540,29685,47492,0
2025-09-18,29880,30025,29650,29960,36221,0
2025-09-19,30145,30145,29685,29880,62728,0
2025-09-22,30000,30000,29650,29705,42575,0
