date,open,high,low,close,volume,oi
2025-04-23,96.47,97.54,96.14,97.23,214980,0
2025-04-24,100.15,100.85,97.98,98.43,321791,0
2025-04-25,98.87,98.88,97.92,98.61,369188,0
2025-04-28,97.98,97.98,95.61,97.04,350500,0
2025-04-29,97.66,98.7,97.12,98.5,369056,0
2025-04-30,99.0,101.46,95.25,95.62,1086729,0
2025-05-02,98.49,98.49,95.1,95.35,496902,0
2025-05-05,96.73,96.73,94.3,95.26,281582,0
2025-05-06,95.99,97.2,95.99,96.78,676156,0
2025-05-07,99.68,99.68,96.36,96.55,121085,0
2025-05-08,96.56,96.83,95.1,96.42,299295,0
2025-05-09,96.42,97.96,96.26,96.99,321817,0
2025-05-12,96.49,98.0,94.59,95.35,321166,0
2025-05-13,96.61,98.2,96.61,97.85,2336152,0
2025-05-14,98.75,98.75,96.56,97.2,218456,0
2025-05-15,96.01,96.01,94.75,95.54,844315,0
2025-05-16,96.88,96.88,95.54,96.12,212438,0
2025-05-19,96.13,97.88,94.55,96.79,403381,0
2025-05-20,96.8,96.8,95.11,96.01,421147,0
2025-05-21,96.83,98.45,96.83,98.2,671126,0
2025-05-22,98.8,99.3,98.55,98.73,565638,0
2025-05-23,98.6,98.95,97.9,97.98,183892,0
2025-05-26,98.84,98.87,98.01,98.3,156840,0
2025-05-27,98.77,98.77,97.68,97.76,128269,0
2025-05-28,98.25,98.79,98.2,98.61,108454,0
2025-05-29,98.49,98.68,98.11,98.57,269882,0
2025-05-30,98.49,98.56,97.49,98.17,203539,0
2025-06-02,98.5,101.29,97.67,98.39,239536,0
2025-06-03,98.64,100.98,98.64,100.88,520147,0
2025-06-04,101.61,102.1,101.21,102.0,438902,0
2025-06-05,104.0,105.49,101.86,104.86,713911,0
2025-06-06,108.01,108.01,105.51,106.44,3086217,0
2025-06-09,109.63,109.99,106.01,107.06,2839496,0
2025-06-10,109.73,110.27,107.38,107.97,510612,0
2025-06-11,107.98,108.2,106.51,107.19,1460719,0
2025-06-12,107.72,107.79,105.2,106.24,580049,0
2025-06-13,108.89,108.89,106.7,108.03,453371,0
2025-06-16,110.98,110.98,107.37,107.94,416254,0
2025-06-17,108.49,108.49,106.68,108.29,366530,0
2025-06-18,111.54,111.54,109.18,110.67,796819,0
2025-06-19,110.99,110.99,107.86,108.51,541411,0
2025-06-20,108.51,108.51,106.19,107.52,579812,0
2025-06-23,110.2,110.2,106.4,107.99,492640,0
2025-06-24,107.99,109.3,106.52,106.96,454197,0
2025-06-25,106.97,106.97,106.03,106.08,182817,0
2025-06-26,108.73,108.73,106.84,108.06,265957,0
2025-06-27,104.82,107.87,104.82,105.96,424837,0
2025-06-30,108.93,109.14,105.27,106.76,537216,0
2025-07-01,107.99,109.96,106.57,107.84,425345,0
2025-07-02,109.3,109.3,106.3,107.0,270164,0
2025-07-03,107.32,108.94,107.26,107.99,389104,0
2025-07-04,107.0,108.48,106.75,108.24,213539,0
2025-07-07,109.4,109.5,107.33,108.1,252343,0
2025-07-08,108.12,108.89,107.26,108.39,637867,0
2025-07-09,111.09,111.09,107.62,108.14,991542,0
2025-07-10,107.98,108.29,107.46,108.03,697268,0
2025-07-11,108.9,111.0,108.8,110.9,481810,0
2025-07-14,108.12,114.84,108.12,114.71,737986,0
2025-07-15,112.75,113.07,111.95,112.76,531912,0
2025-07-16,112.76,112.76,111.51,112.44,1605747,0
2025-07-17,112.65,112.65,111.58,111.84,557922,0
2025-07-18,109.04,113.7,109.04,113.59,521996,0
2025-07-21,113.58,114.55,112.87,113.9,373772,0
2025-07-22,114.01,115.14,114.01,114.93,628517,0
2025-07-23,117.8,117.8,115.5,116.57,819528,0
2025-07-24,119.48,119.48,115.0,115.47,425818,0
2025-07-25,115.97,115.97,115.05,115.37,472772,0
2025-07-28,113.99,114.09,113.44,113.72,622581,0
2025-07-29,113.69,114.16,113.2,114.08,486224,0
2025-07-30,116.93,116.93,113.99,114.37,525962,0
2025-07-31,114.4,114.4,111.09,111.33,1115215,0
2025-08-01,114.11,114.11,109.82,110.14,781584,0
2025-08-04,112.89,112.89,110.66,112.57,532553,0
2025-08-05,113.19,113.69,112.66,113.21,493959,0
2025-08-06,116.04,116.04,113.5,113.76,466674,0
2025-08-07,114.49,115.5,114.33,115.33,792659,0
2025-08-08,118.21,118.21,115.03,115.77,414486,0
2025-08-11,115.99,115.99,113.45,114.28,1435849,0
2025-08-12,114.83,114.83,113.6,113.98,413800,0
2025-08-13,114.5,115.95,114.5,115.9,408365,0
2025-08-14,118.79,118.79,115.12,115.49,246430,0
2025-08-18,115.49,115.49,114.12,114.65,590706,0
2025-08-19,114.5,114.5,113.63,114.18,459832,0
2025-08-20,117.03,117.03,111.2,111.49,2473950,0
2025-08-21,113.99,114.15,112.82,113.5,359107,0
2025-08-22,114.44,114.83,114.03,114.55,441541,0
2025-08-25,111.68,117.41,111.68,116.71,785718,0
2025-08-26,119.62,119.62,116.01,116.48,596854,0
2025-08-28,116.48,117.89,116.46,117.56,444576,0
2025-08-29,117.76,118.5,117.27,118.29,1092319,0
2025-09-01,122.01,123.8,121.44,123.01,3196477,0
2025-09-02,123.34,124.33,121.95,122.93,1287704,0
2025-09-03,123.84,123.84,122.95,123.63,950290,0
2025-09-04,126.72,126.72,122.66,123.99,752131,0
2025-09-05,123.98,125.39,123.6,124.74,724847,0
2025-09-08,127.85,127.85,123.85,125.11,1165819,0
2025-09-09,128.23,128.86,124.2,126.22,1231381,0
2025-09-10,129.37,129.37,124.76,124.94,1610995,0
2025-09-11,126.0,126.0,124.21,125.04,984870,0
2025-09-12,125.94,128.9,125.94,128.79,1475462,0
2025-09-15,132.0,132.0,127.92,128.42,1082704,0
2025-09-16,130.7,130.7,128.61,129.88,1228423,0
2025-09-17,133.12,133.12,127.11,127.52,1414519,0
2025-09-18,128.79,128.79,126.55,128.27,1021335,0
2025-09-19,128.99,130.24,128.34,129.05,827108,0
2025-09-22,131.9,133.97,131.51,133.5,1198042,0
2025-09-23,136.83,136.83,133.99,135.61,2167533,0
2025-09-24,133.2,139.68,133.2,135.31,1551170,0
2025-09-25,138.69,138.69,134.11,137.7,1248407,0
2025-09-26,141.14,141.14,137.45,138.72,2154062,0
2025-09-29,142.88,148.0,142.37,146.34,2499048,0
2025-09-30,147.8,149.15,141.66,142.71,4376624,0
2025-10-01,146.99,147.88,143.5,146.02,1947124,0
2025-10-03,149.67,150.4,144.37,145.83,3036136,0
2025-10-06,149.97,150.1,147.01,149.67,2368615,0
2025-10-07,150.19,150.55,147.51,149.72,2908998,0
2025-10-08,149.72,163.15,149.45,158.43,5069745,0
2025-10-09,158.43,173.26,157.99,164.63,6429524,0
2025-10-10,164.0,166.67,157.12,160.24,4638866,0
2025-10-13,164.24,170.5,160.24,169.87,4818921,0
2025-10-14,174.11,189.9,172.11,183.01,11802979,0
2025-10-15,185.79,191.65,171.65,176.08,7078720,0
2025-10-16,171.94,181.8,162.51,164.15,7224812,0
2025-10-17,162.7,170.0,162.5,166.5,3631913,0
2025-10-20,166.5,167.4,151.0,153.64,4969264,0
2025-10-21,153.64,154.99,143.64,151.07,1573660,0
2025-10-23,141.35,147.99,136.33,144.9,6602585,0
2025-10-24,148.52,148.52,142.0,142.57,2603552,0
2025-10-27,142.0,146.95,141.4,143.88,2904543,0
2025-10-28,143.88,143.88,137.01,137.46,3323206,0
2025-10-29,141.58,147.0,139.44,146.79,4083291,0
2025-10-30,151.19,151.19,143.41,146.22,1710993,0
2025-10-31,146.99,149.93,146.87,148.65,1706674,0
2025-11-03,153.11,154.73,147.12,148.75,1377552,0
2025-11-04,148.19,148.19,145.25,146.16,1241287,0
2025-11-06,146.38,148.15,146.38,147.94,894597,0
2025-11-07,147.78,148.49,146.86,148.12,560951,0
2025-11-10,151.83,151.84,148.95,151.11,1202536,0
2025-11-11,151.65,155.0,151.65,154.4,1363061,0
2025-11-12,155.53,157.0,154.07,156.84,1142727,0
2025-11-13,158.84,164.5,158.83,163.83,2174610,0
2025-11-14,163.75,163.75,158.82,159.66,1541275,0
2025-11-17,158.65,158.65,151.98,155.3,1526450,0
2025-11-18,153.99,153.99,150.3,152.67,2018895,0
2025-11-19,154.46,157.98,153.65,156.54,1661321,0
2025-11-20,155.9,155.99,153.0,154.28,907976,0
2025-11-21,151.97,152.74,150.05,151.13,1257318,0
2025-11-24,151.99,153.89,151.99,153.2,917845,0
2025-11-25,155.0,156.65,155.0,155.6,1108404,0
2025-11-26,156.98,158.1,156.98,157.96,767831,0
2025-11-27,163.0,163.65,157.5,161.95,2100342,0
2025-11-28,165.99,165.99,162.44,163.64,1589179,0
2025-12-01,170.01,173.5,170.01,172.84,3997415,0
2025-12-02,174.4,177.16,171.71,172.53,2497800,0
2025-12-03,172.45,178.73,172.44,176.74,2495789,0
2025-12-04,177.74,177.77,172.79,174.4,1875233,0
2025-12-05,174.88,177.9,173.91,177.37,1643748,0
2025-12-08,177.99,178.51,176.48,178.32,1282554,0
2025-12-09,178.32,186.43,175.24,178.62,1547738,0
2025-12-10,183.08,185.99,179.2,182.82,2251095,0
2025-12-11,187.39,187.39,183.6,186.38,1712602,0
2025-12-12,190.32,193.8,189.51,191.77,2214816,0
2025-12-15,191.77,193.36,187.8,192.86,2387038,0
2025-12-16,192.85,192.95,189.51,192.74,2192169,0
2025-12-17,197.65,201.39,197.65,199.63,3815666,0
2025-12-18,200.3,204.64,200.3,201.03,3727588,0
2025-12-19,206.05,206.05,197.12,200.86,3094857,0
2025-12-22,205.88,209.81,205.88,209.03,2741459,0
2025-12-23,210.31,211.98,210.0,210.35,2623544,0
2025-12-24,218.11,221.0,216.11,218.73,3494906,0
2025-12-26,224.2,229.99,224.2,228.7,4794360,0
2025-12-29,236.61,251.99,180.2,226.16,17273296,0
2025-12-30,224.99,232.84,219.78,231.74,7752801,0
2025-12-31,237.53,237.53,223.01,226.46,6373790,0
2026-01-01,220.79,228.0,220.79,223.75,3469806,0
