date,open,high,low,close,volume,oi
2025-03-17,96.74,96.84,96.23,96.48,8680598,0
2025-03-18,96.98,97.53,96.76,97.42,7306407,0
2025-03-19,97.65,97.74,96.21,96.41,13398538,0
2025-03-20,96.78,96.78,95.5,95.84,6212394,0
2025-03-21,95.18,95.18,94.02,94.18,7024520,0
2025-03-24,94.25,94.75,94.07,94.18,6467169,0
2025-03-25,94.18,94.68,94.01,94.57,4811065,0
2025-03-26,95.34,96.04,95.33,95.74,5683235,0
2025-03-27,96.8,96.8,95.73,95.9,4508669,0
2025-03-28,97.02,97.95,97.01,97.6,8137584,0
2025-04-01,97.95,97.95,96.4,96.72,9561986,0
2025-04-02,96.7,97.01,95.76,96.85,7893352,0
2025-04-03,95.38,95.69,93.03,93.29,17528343,0
2025-04-04,90.48,90.64,89.06,89.72,21349588,0
2025-04-07,86.02,87.35,77.55,87.03,16614717,0
2025-04-08,87.75,87.75,86.61,87.44,8320739,0
2025-04-09,87.23,88.14,86.48,87.97,9151698,0
2025-04-11,89.73,90.58,89.16,90.37,8079694,0
2025-04-15,91.81,93.42,91.81,92.22,6931954,0
2025-04-16,92.5,94.02,92.18,93.8,10131037,0
2025-04-17,92.99,93.07,91.97,92.16,8422078,0
2025-04-21,92.71,93.99,92.71,93.0,12119152,0
2025-04-22,93.14,93.4,91.9,92.35,11921821,0
2025-04-23,92.98,93.77,92.42,93.54,9307481,0
2025-04-24,94.21,94.96,94.21,94.65,7320869,0
2025-04-25,94.97,94.97,94.08,94.65,10525954,0
2025-04-28,94.95,94.95,92.77,93.16,12948986,0
2025-04-29,93.01,94.8,93.01,94.67,12888237,0
2025-04-30,93.88,93.88,91.4,91.62,25111094,0
2025-05-02,91.62,92.67,91.29,91.67,9963230,0
2025-05-05,91.08,91.56,90.47,91.41,7669295,0
2025-05-06,92.63,93.22,92.62,93.02,7160924,0
2025-05-07,93.29,93.39,92.61,92.78,5607365,0
2025-05-08,92.76,92.91,91.32,92.59,6922532,0
2025-05-09,92.59,93.22,92.34,93.03,5463663,0
2025-05-12,92.88,93.22,90.86,91.44,9818744,0
2025-05-13,93.45,94.14,92.52,93.91,9045601,0
