date,open,high,low,close,volume,oi
2025-04-23,43.81,43.82,42.9,43.51,1679671,0
2025-04-24,43.73,43.87,43.45,43.53,856804,0
2025-04-25,43.22,43.9,41.87,42.33,4062713,0
2025-04-28,42.39,42.86,42.1,42.74,1545211,0
2025-04-29,44.02,44.02,42.75,42.88,958504,0
2025-04-30,43.19,43.19,42.05,42.2,1236482,0
2025-05-02,43.47,43.47,41.81,42.12,1182177,0
2025-05-05,43.26,43.26,42.06,42.65,3422810,0
2025-05-06,42.88,42.97,41.5,41.73,1684471,0
2025-05-07,41.74,42.26,40.88,42.15,1092135,0
2025-05-08,42.28,42.6,41.3,41.53,1543242,0
2025-05-09,41.53,41.53,40.6,41.21,1896351,0
2025-05-12,41.57,43.08,41.57,43.0,1600444,0
2025-05-13,42.98,43.3,42.7,43.21,1398374,0
2025-05-14,43.2,43.91,43.2,43.79,1125146,0
2025-05-15,43.78,44.9,43.72,44.39,1863844,0
2025-05-16,44.4,44.85,44.06,44.81,2073902,0
2025-05-19,44.98,45.25,44.51,45.16,2731690,0
2025-05-20,45.16,45.5,44.53,44.64,1782191,0
2025-05-21,44.8,45.15,44.63,44.97,1086019,0
2025-05-22,45.0,45.18,44.65,44.8,753455,0
2025-05-23,44.9,45.16,44.66,45.06,606194,0
2025-05-26,45.28,45.44,45.11,45.31,729041,0
2025-05-27,45.32,45.4,45.06,45.27,789727,0
2025-05-28,45.49,45.54,45.28,45.45,797034,0
2025-05-29,45.69,45.9,45.52,45.78,792344,0
2025-05-30,45.8,46.05,45.7,45.92,1792711,0
2025-06-02,46.14,46.33,45.55,46.27,1946123,0
2025-06-03,46.27,46.65,46.18,46.26,2134648,0
2025-06-04,46.36,46.65,46.12,46.6,1322168,0
2025-06-05,46.69,47.19,46.65,47.07,1957451,0
2025-06-06,47.44,47.5,47.12,47.41,1404276,0
2025-06-09,47.42,49.5,47.42,48.2,2001378,0
2025-06-10,47.94,48.52,47.82,48.11,1873927,0
2025-06-11,49.31,49.31,47.5,47.89,1262428,0
2025-06-12,48.28,48.28,47.1,47.19,1594931,0
2025-06-13,46.01,47.21,45.8,47.11,2227793,0
2025-06-16,47.2,47.79,46.5,47.56,2215565,0
2025-06-17,48.05,48.05,47.25,47.35,2708021,0
2025-06-18,47.36,47.49,46.93,47.1,939822,0
2025-06-19,47.1,47.31,46.07,46.21,2182508,0
2025-06-20,46.73,47.14,46.0,46.56,965128,0
2025-06-23,47.96,48.05,46.08,46.93,3017609,0
2025-06-24,46.5,47.54,46.5,47.2,4544172,0
2025-06-25,46.68,47.97,46.68,47.92,1555884,0
2025-06-26,49.11,49.11,47.81,48.08,1931504,0
2025-06-27,49.28,49.28,48.17,48.34,1244532,0
2025-06-30,48.73,48.77,48.23,48.48,3277604,0
2025-07-01,49.4,49.4,48.06,48.21,1343542,0
2025-07-02,48.81,48.81,47.81,47.96,896083,0
2025-07-03,48.43,48.44,48.0,48.21,561165,0
2025-07-04,49.1,49.1,47.6,48.2,820832,0
2025-07-07,48.48,48.75,47.89,48.07,1004611,0
2025-07-08,48.12,48.25,47.48,47.74,1954383,0
2025-07-09,47.76,48.18,47.56,48.1,463045,0
2025-07-10,48.9,48.9,47.8,47.99,674526,0
2025-07-11,47.68,48.09,47.5,47.62,778393,0
2025-07-14,47.93,48.1,47.38,48.06,1306996,0
2025-07-15,47.81,48.62,47.81,48.47,1527289,0
2025-07-16,48.48,48.71,48.4,48.57,879050,0
2025-07-17,47.35,48.8,47.35,48.52,616937,0
2025-07-18,49.37,49.37,48.12,48.36,652769,0
2025-07-21,48.0,48.98,47.51,48.23,719494,0
2025-07-22,48.73,48.73,48.13,48.16,352741,0
2025-07-23,48.9,48.9,47.84,48.08,818965,0
2025-07-24,47.91,48.31,47.46,47.55,1160593,0
2025-07-25,47.69,47.69,46.46,46.54,5599701,0
2025-07-28,46.93,46.94,45.78,45.88,7164423,0
2025-07-29,46.6,46.6,45.55,46.3,1235992,0
2025-07-30,46.29,46.55,46.16,46.2,613609,0
2025-07-31,46.19,46.29,45.31,45.79,1374213,0
2025-08-01,46.4,46.4,44.73,44.95,8298540,0
2025-08-04,44.95,45.52,44.73,45.42,1097109,0
2025-08-05,45.48,45.72,45.29,45.41,978029,0
2025-08-06,45.73,45.73,44.8,45.03,1189673,0
2025-08-07,45.53,45.7,44.25,44.87,5038438,0
2025-08-08,44.99,45.0,44.1,44.3,1882575,0
2025-08-11,44.3,44.48,43.96,44.38,1481458,0
2025-08-12,45.0,45.0,44.17,44.4,612271,0
2025-08-13,45.2,45.2,44.39,44.69,561526,0
2025-08-14,45.4,45.4,44.37,44.46,980269,0
2025-08-18,45.25,45.25,44.71,44.98,1158205,0
2025-08-19,45.6,45.6,44.81,45.31,766597,0
2025-08-20,44.65,45.9,44.65,45.6,798212,0
2025-08-21,46.2,46.2,45.5,45.54,741982,0
2025-08-22,44.9,45.93,44.9,45.4,806243,0
2025-08-25,45.3,45.96,45.3,45.53,771103,0
2025-08-26,46.2,46.2,44.51,44.63,1735410,0
2025-08-28,44.9,44.91,44.08,44.16,1826749,0
2025-08-29,44.16,44.8,43.91,44.08,1220354,0
2025-09-01,44.11,45.0,44.11,44.91,1204968,0
2025-09-02,44.91,45.36,44.86,45.12,822840,0
2025-09-03,45.6,45.6,44.93,45.36,1033633,0
2025-09-04,45.9,46.0,45.01,45.06,1125844,0
2025-09-05,45.6,45.6,44.87,45.11,597014,0
2025-09-08,45.6,45.6,44.65,45.03,1173252,0
2025-09-09,45.23,45.35,44.97,45.19,1952408,0
2025-09-10,45.7,45.8,45.11,45.69,1467165,0
2025-09-11,45.22,46.2,45.22,45.63,1421626,0
2025-09-12,46.1,46.1,45.56,45.79,888644,0
2025-09-15,46.3,46.3,45.56,46.1,989806,0
2025-09-16,45.6,46.72,45.6,46.62,1092793,0
2025-09-17,46.62,46.98,46.59,46.82,1137161,0
2025-09-18,46.82,47.08,46.7,46.8,3326124,0
2025-09-19,46.8,47.0,46.77,46.95,722772,0
2025-09-22,47.14,47.14,46.55,46.63,859960,0
2025-09-23,46.63,46.87,46.11,46.23,1027230,0
2025-09-24,47.38,47.38,45.84,45.9,646711,0
2025-09-25,45.85,46.05,45.54,45.64,1199287,0
2025-09-26,45.64,45.68,44.52,44.64,3260081,0
2025-09-29,43.52,45.43,43.52,44.55,2885755,0
2025-09-30,44.94,44.94,44.28,44.58,3252885,0
2025-10-01,44.82,45.1,44.5,45.05,985508,0
2025-10-03,46.4,46.4,44.97,45.44,1195425,0
2025-10-06,45.66,45.71,45.24,45.45,1497106,0
2025-10-07,45.6,45.74,45.37,45.44,780189,0
