date,open,high,low,close,volume,oi
2025-04-23,86.55,88.37,85.83,86.72,8629,0
2025-04-24,87.19,87.19,86.53,86.96,2093,0
2025-04-25,87.4,87.4,84.01,84.75,5975,0
2025-04-28,85.17,85.49,84.55,85.45,3549,0
2025-04-29,85.02,86.1,85.02,85.3,4925,0
2025-04-30,85.3,85.61,84.63,84.97,1315,0
2025-05-02,84.96,85.98,84.12,84.79,1419,0
2025-05-05,85.69,86.29,85.28,85.8,2039,0
2025-05-06,86.23,86.23,83.78,83.89,3839,0
2025-05-07,83.05,84.9,82.35,84.74,2721,0
2025-05-08,85.79,85.8,82.39,83.08,3588,0
2025-05-09,83.3,83.61,81.1,82.92,3472,0
2025-05-12,84.96,86.39,84.53,86.08,16322,0
2025-05-13,86.12,86.6,85.71,86.19,3462,0
2025-05-14,85.98,89.07,85.98,87.58,5667,0
2025-05-15,86.22,87.97,85.41,87.46,3712,0
2025-05-16,87.9,88.17,87.71,88.08,1476,0
2025-05-19,88.52,89.09,86.32,88.52,6159,0
2025-05-20,87.19,89.29,86.99,87.2,4182,0
2025-05-21,87.2,88.69,86.36,87.73,1783,0
2025-05-22,87.73,88.52,86.55,87.28,1495,0
2025-05-23,87.28,88.42,85.1,87.53,2784,0
2025-05-26,87.54,88.9,87.53,88.36,5705,0
2025-05-27,91.45,91.45,87.95,88.47,2965,0
2025-05-28,88.47,88.91,87.87,88.29,2164,0
2025-05-29,87.27,89.48,87.14,88.17,4765,0
2025-05-30,88.12,88.49,87.68,88.22,3664,0
2025-06-02,88.22,89.08,87.87,88.67,4802,0
2025-06-03,89.9,89.9,87.91,88.11,8438,0
2025-06-04,88.55,90.5,87.55,88.75,2231,0
2025-06-05,86.97,89.34,86.97,88.62,3933,0
2025-06-06,90.83,90.83,88.17,89.67,5605,0
2025-06-09,88.07,91.18,88.07,91.13,17347,0
2025-06-10,92.04,92.19,89.79,90.84,16778,0
2025-06-11,91.77,91.77,90.61,90.91,12303,0
2025-06-12,90.9,90.91,89.48,89.66,6382,0
2025-06-13,89.59,89.59,88.25,88.93,5906,0
2025-06-16,87.08,89.51,87.08,89.4,5100,0
2025-06-17,88.54,89.8,88.11,89.08,3960,0
2025-06-18,91.3,91.3,88.25,89.12,2165,0
2025-06-19,89.11,89.35,87.4,87.47,4771,0
2025-06-20,88.89,88.89,86.99,88.55,2907,0
