date,open,high,low,close,volume,oi
2025-04-23,36.49,38.74,36.49,37.51,78226,0
2025-04-24,37.8,37.81,37.14,37.22,42590,0
2025-04-25,37.89,37.89,37.08,37.45,17019,0
2025-04-28,37.89,37.98,37.08,37.51,22428,0
2025-04-29,37.81,38.28,37.33,37.92,41856,0
2025-04-30,37.96,38.05,37.56,37.76,61329,0
2025-05-02,37.94,38.5,37.71,37.88,8347,0
2025-05-05,37.7,38.65,37.7,37.97,26365,0
2025-05-06,38.73,38.73,37.74,37.81,10601,0
2025-05-07,36.87,38.02,36.87,37.81,28769,0
2025-05-08,38.28,38.28,37.73,37.91,27422,0
2025-05-09,38.09,38.09,36.91,37.78,16378,0
2025-05-12,38.13,40.4,38.12,40.29,91081,0
2025-05-13,40.09,40.33,39.43,39.48,60443,0
2025-05-14,39.48,41.57,39.48,40.01,77187,0
2025-05-15,40.47,41.0,39.64,40.56,24319,0
2025-05-16,40.97,40.98,39.86,40.11,49041,0
2025-05-19,40.47,40.47,39.58,39.63,29887,0
2025-05-20,39.97,40.06,39.25,39.34,1701416,0
2025-05-21,39.58,39.79,39.31,39.59,608920,0
2025-05-22,40.0,40.0,38.96,39.19,21430,0
2025-05-23,39.89,39.97,38.62,39.55,29608,0
2025-05-26,40.34,40.74,39.12,39.98,2733830,0
2025-05-27,40.49,40.49,39.42,39.69,13543,0
2025-05-28,39.89,40.17,39.5,39.57,3284,0
2025-05-29,40.21,40.34,39.69,39.87,10388,0
2025-05-30,40.26,40.27,39.29,39.44,227545,0
2025-06-02,39.87,39.87,39.1,39.48,14768,0
2025-06-03,39.49,39.99,39.0,39.08,35837,0
2025-06-04,39.47,39.48,39.01,39.22,21818,0
2025-06-05,39.68,39.76,39.19,39.36,14218,0
2025-06-06,39.78,39.78,39.05,39.65,16747,0
2025-06-09,39.65,40.3,39.23,40.09,14095,0
2025-06-10,40.39,40.88,40.1,40.61,38386,0
2025-06-11,41.02,41.21,40.55,41.09,22922,0
2025-06-12,40.3,41.2,40.3,40.89,31127,0
2025-06-13,40.77,41.03,40.13,40.91,25161,0
2025-06-16,41.93,41.93,40.56,41.55,1819785,0
2025-06-17,41.99,41.99,41.26,41.67,191625,0
2025-06-18,42.5,42.5,41.41,41.48,192422,0
2025-06-19,40.44,42.31,40.44,40.98,17923,0
2025-06-20,40.34,41.38,40.34,41.28,14804,0
2025-06-23,42.3,42.3,40.23,40.85,36857,0
2025-06-24,40.63,41.38,40.63,40.73,18047,0
2025-06-25,40.9,41.58,40.84,41.46,13648,0
2025-06-26,42.49,42.49,41.1,41.37,14580,0
2025-06-27,42.2,42.2,41.08,41.25,21813,0
2025-06-30,41.78,41.78,40.94,41.29,32622,0
2025-07-01,40.25,42.3,40.25,41.15,20362,0
2025-07-02,40.92,41.97,40.92,41.29,14345,0
2025-07-03,41.73,41.74,41.12,41.19,4909,0
2025-07-04,41.97,41.97,40.96,41.48,7733,0
2025-07-07,40.44,42.31,40.44,41.22,40110,0
2025-07-08,41.21,41.68,41.01,41.43,8773,0
2025-07-09,42.3,42.3,41.0,41.12,15284,0
2025-07-10,41.87,41.87,40.55,40.88,28263,0
2025-07-11,40.78,40.78,40.01,40.1,48030,0
2025-07-14,40.9,40.9,39.35,39.5,2408694,0
2025-07-15,40.29,40.3,39.3,39.79,4378396,0
2025-07-16,39.97,40.15,39.72,40.05,20281,0
2025-07-17,40.85,40.85,39.46,39.53,34429,0
2025-07-18,40.28,40.28,39.31,39.56,26523,0
2025-07-21,40.35,40.35,39.14,39.47,52953,0
2025-07-22,39.51,39.52,39.22,39.26,44542,0
2025-07-23,39.43,39.51,39.02,39.37,41909,0
2025-07-24,40.35,40.35,38.45,38.51,58659,0
2025-07-25,38.5,38.79,37.9,37.96,48964,0
2025-07-28,38.9,38.9,37.44,37.69,221968,0
2025-07-29,37.69,38.19,37.35,37.76,73367,0
2025-07-30,38.28,38.28,37.54,37.81,129994,0
2025-07-31,37.98,37.98,37.25,37.63,62825,0
2025-08-01,37.97,38.57,36.95,37.13,82176,0
2025-08-04,38.05,38.05,36.74,37.56,54031,0
2025-08-05,38.27,38.27,37.14,37.36,19830,0
2025-08-06,37.67,37.67,36.64,36.73,54573,0
2025-08-07,36.98,37.06,36.54,37.0,14073,0
2025-08-08,37.75,37.75,36.55,36.68,21178,0
2025-08-11,37.59,37.59,36.42,36.87,11731,0
2025-08-12,37.62,37.65,36.25,36.89,29581,0
2025-08-13,37.81,37.81,36.84,37.02,2510191,0
2025-08-14,37.37,37.57,37.04,37.12,10566,0
2025-08-18,37.15,37.88,36.8,36.97,33389,0
2025-08-19,37.46,37.47,36.79,37.11,42318,0
2025-08-20,37.47,38.14,37.05,37.99,56544,0
2025-08-21,38.46,38.46,37.75,37.97,25581,0
2025-08-22,37.92,38.2,37.66,37.67,76486,0
2025-08-25,38.41,38.78,37.86,38.59,76119,0
