date,open,high,low,close,volume,oi
2025-04-23,437.85,455.45,436.05,454.35,33973236,0
2025-04-24,454.5,462.0,454.5,460.15,22036646,0
2025-04-25,460.15,463.35,448.55,451.15,19182345,0
2025-04-28,450.5,461.0,449.3,460.0,14877987,0
2025-04-29,462.3,470.2,455.5,458.25,19977758,0
2025-04-30,459.25,459.25,441.4,443.55,28301989,0
2025-05-02,441.35,455.35,437.6,448.9,19087477,0
2025-05-05,456.45,459.0,451.55,455.5,12880879,0
2025-05-06,455.5,456.6,444.45,446.3,18472297,0
2025-05-07,442.0,469.9,441.45,468.4,44140187,0
2025-05-08,481.95,485.05,466.25,470.15,42578749,0
2025-05-09,459.55,489.5,458.55,487.8,58363516,0
2025-05-12,501.25,504.0,489.65,496.25,29242728,0
2025-05-13,496.25,499.85,484.2,487.25,23421499,0
2025-05-14,475.05,487.45,472.3,481.25,45759486,0
2025-05-15,481.1,502.45,479.3,501.3,41589074,0
2025-05-16,502.6,510.85,499.55,503.1,29965889,0
2025-05-19,504.0,508.2,501.25,502.25,15192764,0
2025-05-20,502.6,507.95,493.65,494.95,21020345,0
2025-05-21,495.05,502.25,494.35,500.4,13069858,0
2025-05-22,499.15,499.15,489.3,493.95,14592333,0
2025-05-23,494.85,496.95,492.3,494.5,11496248,0
2025-05-26,497.1,508.1,496.55,501.9,18906901,0
2025-05-27,501.9,502.15,492.4,493.3,17753270,0
2025-05-28,495.7,497.1,493.1,494.3,10993409,0
2025-05-29,498.8,501.7,495.7,498.8,12837941,0
2025-05-30,498.8,501.6,490.55,495.4,21109544,0
2025-06-02,493.65,495.05,487.05,489.95,14106677,0
2025-06-03,492.3,494.6,483.55,484.6,13306622,0
2025-06-04,483.2,492.6,480.85,488.25,16395051,0
2025-06-05,490.75,491.9,484.7,488.95,14819655,0
2025-06-06,488.85,492.9,482.8,489.5,17394065,0
2025-06-09,492.3,499.85,490.95,494.2,14379685,0
2025-06-10,496.4,505.9,492.5,504.15,27816836,0
2025-06-11,506.0,512.25,502.7,507.0,18339514,0
2025-06-12,507.4,507.9,489.7,492.5,18279086,0
2025-06-13,481.95,492.25,480.8,490.25,15274693,0
2025-06-16,489.5,491.6,463.35,472.75,45383198,0
2025-06-17,472.4,472.4,462.65,464.55,24855293,0
2025-06-18,462.55,467.75,459.9,461.45,18236877,0
2025-06-19,461.45,465.65,459.0,462.9,15824940,0
2025-06-20,463.65,467.35,461.35,465.55,16548252,0
2025-06-23,461.3,465.45,458.6,462.15,14910098,0
2025-06-24,466.8,472.65,462.65,463.8,22309294,0
2025-06-25,465.45,467.5,463.65,464.4,15186661,0
2025-06-26,466.1,470.75,464.35,470.05,14676711,0
2025-06-27,471.6,476.05,470.25,472.95,10454653,0
2025-06-30,474.3,476.35,471.6,473.7,10109085,0
2025-07-01,475.8,477.7,468.45,470.8,9972511,0
2025-07-02,470.8,476.75,468.65,474.05,11668866,0
2025-07-03,477.7,479.85,474.05,475.35,14042282,0
2025-07-04,475.75,477.05,472.55,474.4,7179231,0
2025-07-07,474.4,476.4,470.5,474.25,7884126,0
2025-07-08,477.15,479.85,473.35,477.25,11061622,0
2025-07-09,474.35,478.85,474.05,477.0,7957609,0
2025-07-10,476.45,479.7,471.6,478.9,11233063,0
2025-07-11,477.1,480.85,466.15,469.4,12027095,0
2025-07-14,468.85,468.85,462.65,464.4,11254250,0
2025-07-15,465.45,472.3,464.25,471.2,10227606,0
2025-07-16,471.2,471.2,465.65,467.5,9069289,0
2025-07-17,467.5,472.95,466.9,469.35,9583362,0
2025-07-18,470.4,472.3,466.8,468.35,8073596,0
2025-07-21,468.5,474.05,462.15,473.3,9777580,0
2025-07-22,473.7,474.25,462.9,463.65,11255656,0
2025-07-23,465.9,477.2,465.6,475.15,21003237,0
2025-07-24,476.9,486.45,476.65,482.3,22073589,0
2025-07-25,482.65,483.65,471.4,473.25,10561683,0
2025-07-28,475.55,482.3,469.15,470.2,11312591,0
2025-07-29,469.5,477.8,468.6,476.7,9062995,0
2025-07-30,475.05,475.05,458.0,460.25,27484577,0
2025-07-31,454.3,463.65,449.15,458.5,27194934,0
2025-08-01,459.9,459.9,445.45,446.75,18222470,0
2025-08-04,447.55,452.2,444.75,450.0,11668674,0
2025-08-05,451.6,453.65,447.9,450.7,9752803,0
2025-08-06,450.95,453.05,447.8,449.5,9311301,0
2025-08-07,447.5,448.7,437.55,445.1,19767487,0
2025-08-08,446.1,449.55,433.75,436.3,14734137,0
2025-08-11,438.0,450.95,431.75,450.1,25091347,0
2025-08-12,448.3,455.05,448.1,450.35,16285003,0
2025-08-13,452.5,459.25,452.1,457.0,10976844,0
2025-08-14,458.55,458.9,452.85,457.6,9078424,0
2025-08-18,466.1,471.6,463.3,465.45,20662562,0
2025-08-19,465.95,484.25,463.45,482.1,28235855,0
2025-08-20,482.1,482.5,474.4,474.8,14597151,0
2025-08-21,477.8,478.45,471.6,471.9,12247807,0
2025-08-22,472.25,476.1,467.2,468.4,9338735,0
2025-08-25,470.75,474.3,468.4,472.85,9338143,0
2025-08-26,472.85,472.95,467.0,469.3,10888357,0
2025-08-28,468.1,468.8,459.8,465.05,13748796,0
2025-08-29,465.05,468.95,459.9,460.6,11912735,0
2025-09-01,462.2,476.1,461.65,475.15,11103773,0
2025-09-02,475.15,478.25,469.3,471.2,11408417,0
2025-09-03,473.7,477.45,471.6,476.5,8852422,0
2025-09-04,486.0,486.3,472.1,473.35,19519854,0
2025-09-05,475.7,480.15,470.3,476.25,9721098,0
2025-09-08,478.5,497.1,477.85,495.4,29819941,0
2025-09-09,496.5,497.25,491.25,492.65,13667181,0
2025-09-10,494.1,495.7,483.8,488.2,15052279,0
2025-09-11,488.95,490.2,485.1,486.0,8032874,0
2025-09-12,487.45,494.95,487.0,492.45,11986081,0
2025-09-15,492.5,497.05,489.9,490.85,8725526,0
2025-09-16,492.3,495.5,485.4,491.05,14184087,0
2025-09-17,492.3,497.75,491.8,495.15,17243940,0
2025-09-18,497.1,499.35,487.2,489.65,17718749,0
2025-09-19,491.25,491.25,485.35,487.1,17614118,0
2025-09-22,488.15,490.2,478.4,479.35,14072038,0
2025-09-23,483.2,487.3,479.9,482.9,17290731,0
2025-09-24,482.3,484.2,469.05,470.2,19247954,0
2025-09-25,461.25,464.75,451.15,457.35,35857101,0
2025-09-26,458.55,468.4,456.05,463.3,22920023,0
2025-09-29,470.95,471.6,461.3,463.0,18902652,0
2025-09-30,462.65,470.6,459.0,468.3,21788828,0
2025-10-01,468.85,495.7,467.65,494.6,43810036,0
2025-10-03,494.7,509.3,492.3,493.05,40358635,0
2025-10-06,494.35,494.7,484.65,490.65,15008446,0
2025-10-07,490.65,490.85,480.0,480.6,19025938,0
2025-10-08,478.45,483.35,467.5,469.25,24065326,0
2025-10-09,471.35,471.6,460.45,468.95,23533555,0
2025-10-10,471.5,474.1,459.15,467.45,23340459,0
2025-10-13,467.5,467.75,453.1,454.95,48349527,0
2025-10-14,400.0,421.55,376.3,395.45,52267874,0
2025-10-15,403.0,403.0,388.0,390.85,26953559,0
2025-10-16,395.45,400.45,389.55,396.8,21983752,0
2025-10-17,396.8,402.5,392.25,396.6,16564547,0
2025-10-20,400.05,403.4,396.6,399.75,10471672,0
2025-10-21,402.8,403.4,400.05,401.85,3449156,0
2025-10-23,407.5,408.9,403.6,405.85,14126009,0
2025-10-24,406.95,408.5,401.0,403.3,6311744,0
2025-10-27,404.0,411.4,403.65,410.05,10699376,0
2025-10-28,411.3,414.15,408.55,411.5,10332279,0
2025-10-29,412.5,415.0,407.05,411.35,8485023,0
2025-10-30,412.7,419.0,408.1,412.45,8783965,0
2025-10-31,414.05,417.5,409.05,410.0,8012169,0
2025-11-03,414.0,417.85,410.1,417.0,8952229,0
2025-11-04,417.4,417.5,405.1,406.5,8889004,0
2025-11-06,407.15,409.7,405.4,407.85,6862359,0
2025-11-07,406.7,407.2,401.45,405.7,6930046,0
2025-11-10,406.0,412.95,406.0,410.45,7913640,0
2025-11-11,412.55,413.7,402.65,407.6,8120946,0
2025-11-12,407.6,411.4,401.9,402.15,12940220,0
2025-11-13,404.0,404.0,397.4,397.95,13165727,0
2025-11-14,397.95,399.6,387.3,391.2,21834856,0
2025-11-17,380.0,380.0,363.0,372.7,32393346,0
2025-11-18,373.1,374.0,369.15,371.3,17484757,0
