date,open,high,low,close,volume,oi
2025-04-23,86.03,87.75,85.63,87.61,111484,0
2025-04-24,87.6,87.89,87.02,87.52,63718,0
2025-04-25,88.39,88.39,85.5,86.24,32964,0
2025-04-28,86.24,86.74,84.66,86.39,29370,0
2025-04-29,87.29,87.83,86.18,86.96,18380,0
2025-04-30,87.84,87.94,85.96,86.93,18712,0
2025-05-02,87.35,87.75,85.23,86.39,123545,0
2025-05-05,87.87,87.87,85.57,87.56,14919,0
2025-05-06,88.49,88.49,85.91,86.19,43857,0
2025-05-07,86.62,87.5,85.0,86.98,63901,0
2025-05-08,86.24,87.98,85.3,85.69,25681,0
2025-05-09,85.63,87.98,84.41,85.53,24720,0
2025-05-12,86.26,90.2,86.26,89.87,135680,0
2025-05-13,90.31,90.88,88.67,88.98,105668,0
2025-05-14,89.43,90.02,88.75,89.44,35397,0
2025-05-15,90.43,91.25,89.47,91.05,65523,0
2025-05-16,91.04,92.28,89.34,91.01,73683,0
2025-05-19,91.46,92.01,89.52,89.81,97706,0
2025-05-20,89.81,90.98,87.23,88.12,104054,0
2025-05-21,88.83,89.86,88.31,89.59,43869,0
2025-05-22,89.14,89.98,88.66,89.11,36205,0
2025-05-23,88.66,90.46,88.66,89.93,53711,0
2025-05-26,90.37,91.5,89.93,90.25,30060,0
2025-05-27,88.91,91.24,88.86,89.59,1289668,0
2025-05-28,89.59,91.39,89.33,89.55,16478,0
2025-05-29,89.55,90.88,89.55,90.45,24945,0
2025-05-30,91.44,91.44,89.64,90.15,44099,0
2025-06-02,89.7,91.44,88.33,89.5,78653,0
2025-06-03,89.06,91.47,89.0,89.23,70355,0
2025-06-04,89.67,90.53,89.26,90.28,45646,0
2025-06-05,90.28,91.83,90.26,91.54,66501,0
2025-06-06,91.99,92.38,91.25,92.1,37551,0
2025-06-09,89.79,93.18,89.79,92.81,108754,0
2025-06-10,92.82,93.72,91.31,93.4,59168,0
2025-06-11,93.86,93.94,91.91,93.65,89079,0
2025-06-12,93.59,93.64,92.25,92.58,124672,0
2025-06-13,92.38,92.9,87.63,92.05,136834,0
2025-06-16,92.51,93.81,90.86,93.52,75122,0
2025-06-17,95.85,95.85,93.05,93.51,54955,0
2025-06-18,93.97,93.97,92.55,93.11,33781,0
2025-06-19,92.74,93.57,91.8,92.02,20545,0
2025-06-20,89.71,93.77,89.71,93.47,52994,0
2025-06-23,93.47,93.5,91.61,92.98,98429,0
2025-06-24,93.45,94.69,92.89,93.1,53948,0
2025-06-25,93.12,94.43,93.12,94.07,45385,0
2025-06-26,93.61,94.93,93.61,94.67,39997,0
2025-06-27,95.15,96.29,94.5,94.62,75911,0
2025-06-30,94.5,97.6,91.6,94.82,72925,0
2025-07-01,97.19,97.19,94.11,94.3,59659,0
2025-07-02,94.39,95.39,94.3,94.73,22587,0
2025-07-03,94.26,95.64,94.26,94.51,103580,0
2025-07-04,95.44,95.88,94.24,94.57,110339,0
2025-07-07,94.57,94.99,93.85,93.96,46621,0
2025-07-08,93.5,94.85,93.5,94.38,21727,0
2025-07-09,94.85,94.85,93.98,94.14,54569,0
2025-07-10,94.6,94.6,93.45,93.86,52199,0
2025-07-11,94.32,94.32,92.03,92.64,69423,0
2025-07-14,93.1,93.19,90.83,92.82,369369,0
2025-07-15,95.14,95.14,92.11,93.26,42157,0
2025-07-16,93.72,94.24,93.01,93.56,48951,0
2025-07-17,93.68,93.82,92.39,92.61,67718,0
2025-07-18,94.92,94.92,91.64,92.28,26993,0
2025-07-21,92.01,93.5,91.36,92.74,31820,0
2025-07-22,93.69,94.3,92.75,93.8,79487,0
2025-07-23,94.26,94.54,93.62,94.24,44128,0
2025-07-24,94.53,94.53,93.26,93.64,36697,0
2025-07-25,93.79,94.5,92.05,92.24,61174,0
2025-07-28,93.74,95.01,91.15,91.54,27892,0
2025-07-29,92.0,92.15,90.6,91.73,40456,0
2025-07-30,92.18,93.14,91.26,92.06,42621,0
2025-07-31,91.0,92.29,90.92,91.88,42632,0
2025-08-01,92.33,92.89,90.03,90.35,49428,0
2025-08-04,90.21,91.45,89.61,90.98,81341,0
2025-08-05,88.7,92.19,88.7,90.33,57985,0
2025-08-06,90.78,91.49,89.23,89.39,78717,0
2025-08-07,89.39,90.99,89.08,90.34,50199,0
2025-08-08,90.33,90.33,89.11,89.33,19711,0
2025-08-11,89.77,90.51,88.7,90.05,26090,0
2025-08-12,90.51,90.99,89.33,90.17,107996,0
2025-08-13,90.63,91.51,90.17,91.35,37389,0
2025-08-14,93.63,93.63,90.41,91.67,44240,0
2025-08-18,90.1,93.88,90.1,91.54,40945,0
2025-08-19,91.55,92.92,91.5,92.67,22728,0
2025-08-20,93.0,94.75,92.2,94.56,102471,0
2025-08-21,94.75,97.38,93.12,94.32,47383,0
2025-08-22,91.96,94.92,91.96,94.04,10583,0
2025-08-25,94.51,95.35,94.04,95.21,77724,0
2025-08-26,95.35,95.35,93.03,93.73,55200,0
2025-08-28,93.74,94.89,92.32,92.61,32884,0
2025-08-29,92.61,93.59,91.6,91.89,20651,0
2025-09-01,89.59,93.49,89.59,93.32,24497,0
2025-09-02,93.32,94.15,92.79,93.45,30198,0
2025-09-03,93.91,93.99,92.85,93.53,23892,0
2025-09-04,93.54,95.01,92.52,92.74,95746,0
2025-09-05,93.2,93.59,92.23,92.5,94355,0
2025-09-08,92.5,93.59,92.15,92.3,104600,0
2025-09-09,92.31,93.14,92.15,92.79,39127,0
2025-09-10,93.26,94.5,92.32,94.12,87654,0
2025-09-11,94.31,94.59,93.91,94.42,22428,0
2025-09-12,94.89,95.18,94.01,94.33,96787,0
2025-09-15,94.8,94.85,93.83,94.51,36578,0
2025-09-16,92.14,95.2,92.14,95.06,44611,0
2025-09-17,95.53,95.86,95.0,95.46,78911,0
2025-09-18,95.85,96.26,94.72,96.17,63016,0
2025-09-19,96.92,96.92,95.29,96.04,36246,0
2025-09-22,95.95,95.95,94.24,95.03,56501,0
2025-09-23,95.03,95.69,93.77,94.12,47159,0
2025-09-24,94.6,95.79,93.08,93.24,63679,0
2025-09-25,93.71,95.19,92.31,92.61,42639,0
2025-09-26,92.62,93.09,90.0,90.4,107454,0
2025-09-29,91.39,93.98,90.18,92.7,77271,0
2025-09-30,92.7,93.9,90.61,93.35,53004,0
2025-10-01,93.67,93.67,90.01,90.99,197916,0
2025-10-03,91.55,93.0,90.65,91.42,112424,0
2025-10-06,93.4,93.4,91.06,92.93,47432,0
2025-10-07,93.39,93.98,91.25,93.82,56016,0
2025-10-08,93.82,94.67,93.73,94.32,44981,0
2025-10-09,94.79,95.42,94.32,95.07,42497,0
2025-10-10,95.57,97.3,94.62,95.29,32685,0
2025-10-13,95.73,95.73,93.86,94.71,84524,0
2025-10-14,95.18,95.66,94.07,94.27,20197,0
2025-10-15,94.74,95.67,94.21,95.28,93529,0
2025-10-16,95.66,96.3,94.81,95.74,60280,0
2025-10-17,96.9,96.9,94.6,94.82,32680,0
2025-10-20,95.3,96.49,94.24,95.02,20799,0
2025-10-21,95.5,97.97,94.7,95.3,9378,0
2025-10-23,95.3,97.0,95.3,96.27,91969,0
2025-10-24,96.75,96.75,95.31,95.89,67124,0
2025-10-27,95.89,97.5,95.52,97.22,73217,0
2025-10-28,97.35,97.6,95.98,97.02,76858,0
2025-10-29,97.5,97.6,96.68,97.03,29786,0
2025-10-30,97.51,97.87,96.3,96.79,22321,0
2025-10-31,96.79,97.49,96.0,96.17,16386,0
2025-11-03,96.02,97.6,95.2,96.26,51520,0
2025-11-04,96.74,96.98,95.38,95.68,32525,0
2025-11-06,96.15,96.19,93.7,94.95,28277,0
2025-11-07,94.94,94.94,93.58,94.44,22575,0
2025-11-10,94.44,95.89,94.11,95.4,70744,0
2025-11-11,97.78,97.78,95.04,96.28,43541,0
2025-11-12,96.89,97.75,96.49,97.66,83683,0
2025-11-13,94.73,98.14,94.73,96.95,47334,0
2025-11-14,97.43,97.43,95.79,96.44,21974,0
2025-11-17,96.45,97.78,96.25,97.71,45523,0
2025-11-18,97.99,97.99,96.58,96.83,16763,0
2025-11-19,96.93,99.0,96.93,98.49,86127,0
2025-11-20,96.93,99.31,96.93,98.5,35340,0
2025-11-21,98.49,98.49,97.25,97.43,44661,0
2025-11-24,97.91,99.3,97.38,97.56,35380,0
2025-11-25,97.85,97.99,96.8,97.42,24201,0
2025-11-26,97.9,98.2,97.0,98.12,41716,0
2025-11-27,98.41,98.61,97.52,97.88,26265,0
2025-11-28,97.4,98.99,97.4,97.95,30211,0
2025-12-01,98.43,99.0,96.68,98.76,55175,0
2025-12-02,99.25,99.49,96.81,98.69,33701,0
2025-12-03,98.89,99.11,98.37,98.73,20623,0
2025-12-04,99.22,99.82,98.22,99.69,64288,0
2025-12-05,100.5,100.5,99.65,100.27,59414,0
2025-12-08,101.0,101.0,98.5,99.16,91515,0
2025-12-09,100.64,100.64,97.88,98.83,30293,0
2025-12-10,101.3,101.3,97.65,97.93,184119,0
2025-12-11,99.5,99.5,97.42,98.79,43757,0
2025-12-12,101.25,101.25,97.42,99.76,44242,0
2025-12-15,101.25,101.8,98.91,99.6,75988,0
2025-12-16,101.09,101.09,97.82,98.07,43087,0
2025-12-17,99.54,99.54,97.68,97.82,13502,0
2025-12-18,99.28,99.8,97.73,98.85,28982,0
2025-12-19,100.33,100.33,98.81,99.56,112085,0
2025-12-22,101.05,101.49,98.82,100.75,72429,0
2025-12-23,103.26,103.26,99.9,100.8,33854,0
2025-12-24,102.31,102.31,100.0,100.21,54575,0
2025-12-26,101.71,101.84,99.23,99.42,38193,0
2025-12-29,100.91,101.38,98.85,98.91,39596,0
2025-12-30,100.39,100.89,98.07,98.58,35568,0
2025-12-31,100.05,100.05,97.86,98.02,66858,0
2026-01-01,98.51,99.0,98.25,98.87,103258,0
2026-01-02,100.8,100.8,97.3,99.13,113335,0
2026-01-05,99.72,100.96,97.67,98.25,80952,0
2026-01-06,98.25,98.5,97.55,97.91,74141,0
2026-01-07,98.01,99.16,97.3,98.9,73319,0
2026-01-08,99.39,100.15,97.06,97.4,59674,0
2026-01-09,97.51,98.29,96.67,97.08,86860,0
2026-01-12,99.1,99.1,95.38,96.56,83686,0
2026-01-13,96.57,98.54,96.4,97.16,52340,0
2026-01-14,99.58,99.58,96.37,96.7,31914,0
2026-01-16,97.19,98.43,97.18,97.71,59802,0
2026-01-19,95.7,99.5,95.7,97.22,23952,0
2026-01-20,100.14,100.14,95.0,95.42,116769,0
2026-01-21,95.45,95.97,93.19,95.07,129621,0
2026-01-22,96.97,96.97,95.05,95.69,41548,0
2026-01-23,97.7,97.7,93.65,94.14,50591,0
2026-01-27,94.61,95.9,93.0,93.62,31861,0
2026-01-28,94.81,95.48,93.66,94.85,46689,0
2026-01-29,95.32,96.5,93.71,94.59,34222,0
2026-01-30,93.95,95.07,93.01,94.13,53645,0
2026-02-01,94.6,95.24,91.21,93.78,49562,0
2026-02-02,96.12,96.12,92.03,93.49,59493,0
2026-02-03,95.64,98.8,94.53,94.88,99842,0
2026-02-04,95.36,95.8,91.7,92.84,182114,0
2026-02-05,92.83,94.39,91.54,92.14,47426,0
2026-02-06,92.16,93.68,90.78,91.58,51335,0
2026-02-09,91.58,93.79,91.58,92.67,43982,0
2026-02-10,93.13,93.76,92.4,93.33,49195,0
2026-02-11,93.8,93.89,92.29,92.53,54925,0
2026-02-12,92.37,92.38,89.5,89.81,204228,0
2026-02-13,89.5,89.78,86.85,88.2,147665,0
2026-02-16,88.21,88.84,87.71,88.17,83945,0
2026-02-17,88.69,90.02,88.14,88.7,89127,0
2026-02-18,88.97,90.39,87.5,88.31,68472,0
2026-02-19,89.96,89.96,86.56,86.9,75655,0
2026-02-20,86.56,89.07,86.0,86.45,97105,0
2026-02-23,87.49,87.49,85.46,85.84,75829,0
2026-02-24,87.98,87.98,81.85,82.5,422328,0
2026-02-25,84.98,84.98,82.49,82.82,135085,0
2026-02-26,83.6,83.89,82.54,83.01,75433,0
2026-02-27,85.08,85.08,82.01,82.37,97896,0
2026-03-02,82.99,82.99,80.01,80.83,175994,0
2026-03-04,80.83,81.89,79.92,80.65,92834,0
2026-03-05,80.76,81.43,79.51,80.2,191552,0
2026-03-06,80.6,81.0,78.25,79.76,111116,0
2026-03-09,79.5,80.69,77.64,79.43,138764,0
2026-03-10,80.76,80.76,79.04,79.56,66186,0
2026-03-11,79.56,80.19,78.21,78.45,102262,0
2026-03-12,78.84,78.84,77.01,77.97,179843,0
2026-03-13,77.5,77.8,76.13,76.6,245725,0
2026-03-16,76.99,77.19,75.04,76.79,169608,0
2026-03-17,77.72,77.72,76.05,77.27,79451,0
2026-03-18,78.17,79.98,77.82,79.72,104947,0
2026-03-19,78.5,79.16,76.6,77.1,72305,0
2026-03-20,77.5,78.5,77.49,77.85,74631,0
2026-03-23,78.51,78.51,76.3,76.66,145626,0
2026-03-24,76.89,78.57,76.71,78.35,187487,0
2026-03-25,80.3,80.39,78.31,78.7,93701,0
2026-03-27,78.48,78.75,77.45,77.56,116236,0
2026-03-30,78.33,78.33,74.5,74.95,109350,0
2026-04-01,76.09,78.99,75.32,78.53,32240,0
2026-04-02,77.98,80.08,75.72,79.26,114851,0
2026-04-06,79.0,80.76,78.02,79.07,59942,0
2026-04-07,79.47,81.09,78.28,80.15,125990,0
2026-04-08,81.1,82.08,80.67,81.89,95083,0
2026-04-09,81.91,82.39,80.88,81.92,90639,0
2026-04-10,82.4,82.99,80.9,81.3,101995,0
2026-04-13,83.33,83.33,79.76,80.46,91815,0
2026-04-15,80.74,82.99,80.62,82.63,68583,0
2026-04-16,82.99,83.87,81.1,83.54,89285,0
2026-04-17,83.54,84.6,82.81,84.2,84938,0
2026-04-20,84.34,84.85,83.11,83.78,69188,0
2026-04-21,83.8,84.18,83.41,83.99,48662,0
2026-04-22,82.55,84.99,82.15,82.69,99958,0
2026-04-23,82.71,83.87,81.95,82.14,140959,0
2026-04-24,82.21,82.44,79.51,80.51,128032,0
2026-04-27,81.38,82.48,80.0,80.99,64719,0
2026-04-28,81.87,82.44,80.36,80.54,79457,0
2026-04-29,81.27,81.6,80.8,81.11,66472,0
2026-04-30,81.6,81.6,80.15,80.75,112583,0
2026-05-04,81.56,82.64,79.96,80.33,136894,0
2026-05-05,80.67,81.0,80.12,80.32,42519,0
2026-05-06,80.97,82.5,80.48,81.64,61340,0
2026-05-07,80.1,82.99,80.1,81.71,73597,0
2026-05-08,82.11,82.46,81.51,82.09,47731,0
2026-05-11,83.8,83.8,81.0,81.25,137741,0
2026-05-12,83.28,83.28,78.48,78.73,129583,0
2026-05-13,78.73,79.97,78.01,78.66,48282,0
2026-05-14,79.05,79.05,77.81,78.83,104326,0
2026-05-15,79.24,79.95,78.65,79.17,135038,0
2026-05-18,79.9,80.95,78.01,79.95,76948,0
2026-05-19,79.95,81.94,79.95,81.38,96195,0
2026-05-20,81.78,81.94,81.02,81.6,39408,0
2026-05-21,81.99,83.64,81.03,81.33,173081,0
2026-05-22,81.34,81.62,80.6,81.09,72662,0
2026-05-25,81.0,82.0,80.6,81.42,104540,0
2026-05-26,82.0,83.0,81.09,81.83,36341,0
2026-05-27,83.7,83.7,80.6,82.02,22231,0
2026-05-29,82.2,82.8,80.6,81.73,72287,0
2026-06-01,82.0,82.75,81.1,82.0,61077,0
2026-06-02,82.41,83.88,80.5,83.63,160509,0
2026-06-03,83.18,84.3,80.75,81.36,73298,0
2026-06-04,79.32,82.99,79.32,81.48,17377,0
2026-06-05,81.88,82.84,80.76,81.1,37185,0
2026-06-08,79.07,81.0,79.0,79.78,161583,0
2026-06-09,79.18,80.54,79.15,79.95,26708,0
2026-06-10,80.34,80.34,79.0,79.18,58481,0
2026-06-11,79.31,79.31,77.64,78.18,72748,0
2026-06-12,78.18,80.0,77.7,79.59,26372,0
2026-06-15,80.0,81.18,78.88,80.62,41009,0
2026-06-16,82.2,82.5,80.2,81.43,45741,0
2026-06-17,82.5,82.9,81.02,82.39,60941,0
2026-06-18,82.55,82.7,81.7,82.43,62891,0
2026-06-19,82.4,82.89,80.0,81.47,104324,0
2026-06-22,81.47,82.8,81.46,81.93,33412,0
2026-06-23,83.2,83.2,80.78,80.79,96361,0
2026-06-24,81.2,82.41,80.25,81.13,38941,0
2026-06-25,81.6,81.8,80.5,80.76,287464,0
2026-06-29,82.77,82.77,80.0,80.01,155208,0
