date,open,high,low,close,volume,oi
2025-04-23,10.52,10.52,10.18,10.27,602089,0
2025-04-24,10.38,10.38,10.22,10.25,422550,0
2025-04-25,10.56,10.56,10.06,10.13,905250,0
2025-04-28,10.25,10.29,10.05,10.26,346536,0
2025-04-29,10.35,10.36,10.24,10.28,455554,0
2025-04-30,10.54,10.54,10.2,10.23,538367,0
2025-05-02,10.54,10.55,10.16,10.28,684213,0
2025-05-05,10.59,10.59,10.28,10.3,265219,0
2025-05-06,10.61,10.61,10.21,10.22,464473,0
2025-05-07,10.3,10.3,10.01,10.26,390795,0
2025-05-08,10.47,10.47,10.11,10.17,574048,0
2025-05-09,10.48,10.48,9.91,10.09,313040,0
2025-05-12,10.39,10.48,10.15,10.45,1093131,0
2025-05-13,10.66,10.66,10.36,10.39,635833,0
2025-05-14,10.39,10.56,10.31,10.41,335285,0
2025-05-15,10.21,10.57,10.21,10.54,2121434,0
2025-05-16,10.59,10.61,10.42,10.55,502360,0
2025-05-19,10.66,10.66,10.42,10.55,261605,0
2025-05-20,10.87,10.87,10.41,10.44,268224,0
2025-05-21,10.75,10.75,10.42,10.51,813239,0
2025-05-22,10.52,10.55,10.4,10.44,279212,0
2025-05-23,10.58,10.99,10.44,10.51,235384,0
2025-05-26,10.65,10.68,10.4,10.56,541909,0
2025-05-27,10.88,10.88,10.48,10.52,436457,0
2025-05-28,10.84,10.99,10.49,10.53,293308,0
2025-05-29,10.85,10.85,10.47,10.56,588647,0
2025-05-30,10.88,10.99,10.48,10.53,698774,0
2025-06-02,10.85,10.99,10.43,10.51,1322279,0
2025-06-03,10.24,10.83,10.24,10.44,695476,0
2025-06-04,10.75,10.75,10.4,10.49,216748,0
2025-06-05,10.8,10.8,10.4,10.54,713622,0
2025-06-06,10.86,10.86,10.48,10.59,960970,0
2025-06-09,10.91,10.91,10.27,10.65,504459,0
2025-06-10,10.9,10.9,10.66,10.69,459336,0
2025-06-11,11.01,11.01,10.64,10.7,462895,0
2025-06-12,11.02,11.02,10.38,10.6,516155,0
2025-06-13,10.85,10.85,10.37,10.53,1028423,0
2025-06-16,10.75,10.91,10.48,10.59,438987,0
2025-06-17,10.91,10.91,10.55,10.57,458875,0
2025-06-18,10.85,10.89,10.49,10.55,360732,0
2025-06-19,10.87,10.87,10.46,10.49,318749,0
2025-06-20,10.22,10.8,10.22,10.6,265846,0
2025-06-23,10.92,10.97,10.45,10.59,507232,0
2025-06-24,10.85,10.85,10.58,10.62,1051270,0
2025-06-25,10.94,10.94,10.54,10.68,488305,0
2025-06-26,11.0,11.0,10.66,10.79,756537,0
2025-06-27,11.11,11.11,10.66,10.84,443741,0
2025-06-30,11.18,11.2,10.81,10.86,661737,0
2025-07-01,11.19,11.19,10.82,10.88,441983,0
2025-07-02,11.21,11.21,10.81,10.84,1029838,0
2025-07-03,11.17,11.17,10.8,10.82,411250,0
2025-07-04,11.14,11.14,10.75,10.84,412146,0
2025-07-07,11.17,11.2,10.76,10.84,636126,0
2025-07-08,11.17,11.17,10.8,10.86,275552,0
2025-07-09,11.19,11.19,10.79,10.79,659852,0
2025-07-10,10.97,11.11,10.78,10.81,442058,0
2025-07-11,11.13,11.13,10.71,10.72,372564,0
