date,open,high,low,close,volume,oi
2025-04-23,12040,12040,11826,11949,267717,0
2025-04-24,11877,12188,11870,12159,339743,0
2025-04-25,12149,12304,11860,12237,412558,0
2025-04-28,12232,12339,12001,12114,516745,0
2025-04-29,12201,12222,11800,11869,516495,0
2025-04-30,11869,11925,11500,11641,630392,0
2025-05-02,11641,11750,11481,11644,255248,0
2025-05-05,11702,11728,11652,11670,145699,0
2025-05-06,11699,11729,11544,11693,273048,0
2025-05-07,11651,11700,11553,11658,217460,0
2025-05-08,11601,11740,11539,11631,388912,0
2025-05-09,11480,11558,11313,11364,200270,0
2025-05-12,11590,11767,11565,11736,182795,0
2025-05-13,11700,11748,11566,11661,307678,0
2025-05-14,11676,11741,11624,11672,179337,0
2025-05-15,11672,11932,11643,11894,371371,0
2025-05-16,11950,11990,11857,11905,209706,0
2025-05-19,11904,11991,11880,11929,128237,0
2025-05-20,11969,11980,11669,11697,158934,0
2025-05-21,11697,11910,11634,11666,173017,0
2025-05-22,11666,11700,11517,11680,175370,0
2025-05-23,11727,11875,11661,11746,181463,0
2025-05-26,11800,11884,11645,11689,198003,0
2025-05-27,11676,11722,11375,11421,478345,0
2025-05-28,11455,11470,11200,11238,201200,0
2025-05-29,11249,11337,11151,11269,350206,0
2025-05-30,11265,11310,11170,11210,394181,0
2025-06-02,11180,11219,11019,11195,314936,0
2025-06-03,11280,11292,11000,11035,349615,0
2025-06-04,11040,11055,10920,11033,345047,0
2025-06-05,11038,11180,11003,11159,191183,0
2025-06-06,11180,11311,11120,11253,143723,0
2025-06-09,11260,11318,11166,11260,209231,0
2025-06-10,11410,11484,11335,11391,279918,0
2025-06-11,11380,11518,11340,11464,237747,0
2025-06-12,11475,11505,11280,11323,262530,0
2025-06-13,11111,11250,11018,11224,181355,0
2025-06-16,11270,11518,11197,11495,401104,0
2025-06-17,11500,11509,11360,11383,121415,0
2025-06-18,11383,11479,11343,11406,156816,0
2025-06-19,11400,11485,11353,11420,157757,0
2025-06-20,11420,11525,11370,11458,629895,0
2025-06-23,11401,11490,11321,11449,304907,0
2025-06-24,11559,11824,11514,11579,735700,0
