date,open,high,low,close,volume,oi
2025-04-23,210.0,211.85,207.25,211.1,16608377,0
2025-04-24,211.1,217.6,210.25,212.15,25945763,0
2025-04-25,213.45,214.95,206.7,208.65,21409387,0
2025-04-28,209.0,210.85,206.45,210.05,13116042,0
2025-04-29,211.0,212.75,209.2,210.15,13478132,0
2025-04-30,211.15,213.65,208.8,211.6,25807212,0
2025-05-02,212.55,213.45,208.5,209.55,30739064,0
2025-05-05,209.85,212.25,209.5,211.75,14235398,0
2025-05-06,212.05,214.35,206.6,207.45,15176713,0
2025-05-07,203.3,211.0,202.9,210.0,16824982,0
2025-05-08,209.5,210.95,204.45,205.5,19763968,0
2025-05-09,202.4,206.35,201.2,205.9,13605253,0
2025-05-12,212.0,221.25,210.95,220.1,32133955,0
2025-05-13,220.1,222.25,218.35,219.8,14914334,0
2025-05-14,221.35,225.7,219.95,223.45,21752836,0
2025-05-15,224.5,226.35,222.3,224.05,13580990,0
2025-05-16,224.05,224.5,221.95,222.7,10557241,0
2025-05-19,223.15,225.6,222.45,223.15,8993206,0
2025-05-20,225.9,226.95,219.1,219.8,11847660,0
2025-05-21,220.25,221.7,217.9,221.0,10146949,0
2025-05-22,221.6,221.85,217.8,219.65,10517961,0
2025-05-23,219.8,223.4,218.65,222.15,8993825,0
2025-05-26,224.15,225.85,223.25,224.9,8411322,0
2025-05-27,225.15,228.35,224.1,226.15,13407081,0
2025-05-28,226.5,226.9,224.1,225.55,10314687,0
2025-05-29,227.15,230.95,224.65,228.0,16314489,0
2025-05-30,228.6,228.65,219.6,219.85,26274648,0
2025-06-02,219.0,219.55,215.0,218.3,17210823,0
2025-06-03,220.1,222.25,217.8,219.1,12520730,0
2025-06-04,219.1,221.25,217.25,220.55,9070319,0
2025-06-05,221.1,223.3,218.85,221.7,11228531,0
2025-06-06,222.5,226.9,221.4,226.2,20014557,0
2025-06-09,228.4,232.9,227.7,231.15,17161983,0
2025-06-10,232.15,236.1,231.75,233.0,15353931,0
2025-06-11,234.5,238.85,233.3,236.9,29873298,0
2025-06-12,237.5,238.2,231.2,232.45,14442540,0
2025-06-13,227.35,234.05,225.45,231.25,12736323,0
2025-06-16,234.2,235.75,230.55,234.15,15779416,0
2025-06-17,234.2,235.15,231.1,231.7,10741282,0
2025-06-18,234.2,236.15,228.85,230.45,30288124,0
2025-06-19,230.45,230.85,220.5,221.85,23976734,0
2025-06-20,221.3,226.9,220.95,225.7,21958890,0
2025-06-23,224.1,227.9,223.15,227.1,13967528,0
2025-06-24,226.65,228.1,224.4,225.05,12133048,0
2025-06-25,226.15,226.15,221.85,223.1,12093951,0
2025-06-26,223.6,230.7,222.7,229.95,19893196,0
2025-06-27,231.9,237.75,231.7,234.1,45426398,0
2025-06-30,235.25,236.2,230.65,232.65,12354880,0
2025-07-01,233.25,237.4,230.35,235.2,21886353,0
2025-07-02,235.8,239.75,233.65,236.95,22700566,0
2025-07-03,236.25,238.45,230.7,231.35,32993631,0
2025-07-04,232.7,234.05,229.75,231.75,8515376,0
2025-07-07,231.7,232.0,228.65,229.3,8594631,0
2025-07-08,229.1,231.3,228.3,230.35,7865815,0
2025-07-09,232.7,232.95,212.35,222.5,74155205,0
2025-07-10,221.4,223.5,218.7,221.7,25366627,0
2025-07-11,221.1,225.25,220.4,223.5,16702036,0
2025-07-14,222.4,227.4,221.75,226.25,10721018,0
2025-07-15,227.15,227.8,224.7,227.15,10333997,0
2025-07-16,227.15,227.4,224.45,225.85,6790659,0
2025-07-17,225.85,227.05,223.85,224.3,5184667,0
2025-07-18,224.3,226.55,223.9,225.05,6533666,0
2025-07-21,227.95,230.45,226.5,229.1,12232691,0
2025-07-22,229.1,230.55,227.2,227.45,5486474,0
2025-07-23,227.6,230.75,227.4,230.0,5826684,0
2025-07-24,229.7,230.85,226.25,227.85,9258980,0
2025-07-25,227.15,227.65,223.4,223.9,4740540,0
2025-07-28,223.9,224.0,219.45,221.1,7331916,0
2025-07-29,220.6,222.85,218.8,221.85,5798564,0
2025-07-30,222.35,222.45,218.9,219.4,5628276,0
2025-07-31,216.55,219.3,214.05,214.9,14830211,0
2025-08-01,214.6,217.6,213.2,214.25,8198334,0
2025-08-04,214.25,218.75,213.15,217.8,6945687,0
2025-08-05,218.3,221.65,217.4,221.3,10896395,0
2025-08-06,222.05,223.4,220.8,222.4,7722650,0
2025-08-07,220.85,221.95,217.05,221.0,7839360,0
2025-08-08,221.0,222.05,217.25,217.8,4578686,0
2025-08-11,218.05,219.45,215.4,217.1,9836815,0
2025-08-12,217.05,220.7,216.6,218.7,9391276,0
2025-08-13,220.0,224.8,219.65,221.5,11320835,0
2025-08-14,221.8,221.95,216.1,217.15,10735514,0
2025-08-18,222.1,222.1,218.6,221.2,8978590,0
2025-08-19,223.15,227.7,222.2,227.25,22927672,0
2025-08-20,227.7,228.55,221.0,224.9,37783024,0
2025-08-21,224.95,226.65,223.7,225.6,15483012,0
2025-08-22,228.0,228.2,224.0,224.25,31940667,0
2025-08-25,225.6,227.9,224.15,227.3,25875162,0
2025-08-26,227.7,227.9,222.95,224.1,20378208,0
2025-08-28,224.1,224.95,220.4,222.2,13289758,0
2025-08-29,222.2,224.3,219.85,220.15,14736153,0
2025-09-01,221.3,227.65,221.3,225.6,14936413,0
2025-09-02,226.1,227.85,221.6,225.9,12267259,0
2025-09-03,226.75,231.2,226.4,230.0,19206333,0
2025-09-04,233.45,233.45,227.65,228.05,14531390,0
2025-09-05,228.2,233.85,228.0,233.15,15815458,0
2025-09-08,230.8,231.3,226.8,227.35,22708881,0
2025-09-09,227.7,229.2,226.1,226.55,12189500,0
2025-09-10,227.7,229.0,226.1,227.0,10540191,0
2025-09-11,227.2,230.2,226.6,229.1,13306426,0
2025-09-12,230.3,238.15,229.8,236.0,30261620,0
2025-09-15,238.15,242.25,236.95,237.85,26754881,0
2025-09-16,239.2,242.55,238.15,241.45,18486396,0
2025-09-17,243.4,246.5,232.4,238.75,52749420,0
2025-09-18,238.75,240.2,236.9,238.5,14791367,0
2025-09-19,239.7,240.0,236.65,238.45,19956013,0
2025-09-22,238.15,242.1,237.95,239.95,13132803,0
2025-09-23,239.95,240.7,236.7,239.3,12426955,0
2025-09-24,239.15,240.25,233.95,234.7,16029992,0
2025-09-25,236.05,242.85,235.25,241.65,24019038,0
2025-09-26,241.95,242.75,232.95,234.45,19625413,0
2025-09-29,236.05,239.5,234.3,236.7,22369072,0
2025-09-30,239.4,245.05,237.6,243.8,31557333,0
2025-10-01,245.25,245.9,240.0,243.3,14863826,0
2025-10-03,243.3,251.2,243.1,246.5,40895762,0
2025-10-06,248.6,250.2,244.5,246.4,17277174,0
2025-10-07,248.6,249.4,246.15,246.95,11333309,0
2025-10-08,247.0,250.15,243.7,247.4,19409528,0
2025-10-09,247.55,253.85,244.6,253.45,30953529,0
2025-10-10,252.8,253.85,247.95,252.4,25013343,0
2025-10-13,250.95,251.55,248.45,250.85,15881809,0
2025-10-14,253.25,256.0,248.5,251.25,27095087,0
2025-10-15,251.25,253.6,249.25,252.85,14462204,0
2025-10-16,253.85,253.85,248.6,250.75,9743485,0
2025-10-17,250.2,251.8,244.7,248.1,11111993,0
2025-10-20,249.15,250.45,247.05,248.05,7662907,0
2025-10-21,249.9,250.15,248.35,248.95,1607807,0
2025-10-23,249.7,253.75,248.45,252.95,21388027,0
2025-10-24,256.45,262.25,255.05,259.4,49194314,0
2025-10-27,262.2,264.8,260.25,264.45,26005062,0
2025-10-28,264.8,266.8,261.5,263.0,20789316,0
2025-10-29,263.8,274.45,263.8,270.2,47971874,0
2025-10-30,268.5,269.5,263.35,265.35,14213669,0
2025-10-31,265.35,265.55,257.1,258.3,25286969,0
2025-11-03,262.75,269.3,261.9,268.5,31509782,0
2025-11-04,267.45,270.9,264.35,265.95,17225529,0
2025-11-06,266.95,269.25,263.05,264.3,13825037,0
2025-11-07,262.2,270.75,260.4,269.6,17632884,0
2025-11-10,272.7,275.6,271.25,271.95,17899667,0
2025-11-11,272.2,274.75,269.85,274.2,13102289,0
2025-11-12,274.8,276.8,271.1,272.5,15318887,0
2025-11-13,275.85,280.3,274.35,277.2,27672414,0
2025-11-14,276.35,278.1,272.95,274.95,12955390,0
2025-11-17,275.8,276.35,271.85,272.6,8741442,0
2025-11-18,273.05,273.1,266.0,267.3,15131789,0
2025-11-19,266.4,269.45,265.65,267.9,7660577,0
2025-11-20,270.05,271.65,266.5,266.8,10959796,0
2025-11-21,266.95,267.45,258.85,259.8,15329370,0
2025-11-24,260.75,263.55,258.45,259.15,19815462,0
2025-11-25,259.4,265.3,259.4,264.15,14631824,0
2025-11-26,265.85,270.6,264.9,270.25,14859516,0
2025-11-27,271.5,274.15,270.8,271.7,11422350,0
2025-11-28,271.85,277.8,271.45,275.3,19087017,0
2025-12-01,280.0,281.4,277.4,279.15,19639857,0
2025-12-02,277.85,282.6,277.45,281.8,18133139,0
2025-12-03,283.15,283.2,276.75,278.85,17544575,0
2025-12-04,279.85,284.2,276.5,277.2,28154092,0
2025-12-05,276.8,278.15,271.0,274.5,28292470,0
2025-12-08,274.4,276.0,266.5,267.6,14518046,0
2025-12-09,266.9,270.9,262.95,270.15,14510501,0
2025-12-10,271.8,277.8,270.15,274.35,28110049,0
2025-12-11,276.35,279.75,274.85,276.9,21256019,0
2025-12-12,280.0,286.05,280.0,284.5,35592502,0
2025-12-15,283.15,288.8,282.3,287.55,26537877,0
2025-12-16,286.8,299.85,285.35,298.1,64981753,0
2025-12-17,303.55,303.8,296.3,298.25,57975930,0
2025-12-18,298.2,305.15,295.2,303.15,28213599,0
2025-12-19,304.6,305.35,299.1,304.4,32008095,0
2025-12-22,308.8,311.15,304.35,306.55,30953516,0
2025-12-23,306.7,309.2,306.0,306.9,15172777,0
2025-12-24,308.8,313.95,307.35,313.05,29971270,0
2025-12-26,316.0,318.15,312.45,314.55,23155318,0
2025-12-29,318.75,322.4,309.0,310.45,48835682,0
2025-12-30,310.75,317.7,309.4,316.95,26899466,0
2025-12-31,319.25,319.3,313.7,316.35,17052397,0
2026-01-01,315.6,317.65,312.85,315.45,8121008,0
2026-01-02,316.25,323.7,315.9,322.9,17682881,0
2026-01-05,324.75,326.85,319.1,322.25,15926852,0
2026-01-06,323.55,328.65,323.45,325.4,20673130,0
2026-01-07,327.6,329.7,323.6,325.65,19455208,0
2026-01-08,324.0,324.05,311.4,315.85,34394468,0
2026-01-09,315.6,322.05,315.25,319.2,20709318,0
2026-01-12,324.45,329.05,321.8,328.35,25919573,0
2026-01-13,330.3,336.3,329.25,333.5,33921160,0
2026-01-14,338.65,355.6,336.1,353.7,87427997,0
2026-01-16,353.7,359.05,347.7,357.35,53006791,0
2026-01-19,358.5,360.1,352.5,353.2,32000090,0
2026-01-20,353.8,359.3,350.25,351.6,34726525,0
2026-01-21,351.6,354.8,344.9,354.15,31541555,0
2026-01-22,355.9,363.25,347.95,355.2,36900124,0
2026-01-23,358.55,365.85,356.65,358.1,40954022,0
2026-01-27,364.85,370.25,363.55,369.25,35665632,0
2026-01-28,372.2,388.35,371.65,385.8,50908367,0
2026-01-29,390.05,402.9,388.9,401.1,57872529,0
2026-01-30,395.15,395.15,353.35,356.7,104372085,0
2026-02-01,332.35,352.7,321.05,342.9,90440575,0
2026-02-02,341.95,353.05,334.5,345.8,68299228,0
2026-02-03,363.75,366.4,342.05,353.65,40359689,0
2026-02-04,355.9,363.2,354.65,360.0,25447192,0
2026-02-05,345.45,348.2,337.15,342.95,34837679,0
2026-02-06,336.55,352.45,335.1,351.25,32224691,0
2026-02-09,356.95,359.1,351.15,355.8,20833212,0
2026-02-10,359.05,362.6,354.85,361.2,20262170,0
2026-02-11,363.75,369.0,360.9,367.0,21296112,0
2026-02-12,367.0,371.1,365.35,367.8,16689543,0
2026-02-13,358.55,358.55,346.8,352.6,30317203,0
2026-02-16,350.15,356.65,348.2,355.8,12203426,0
2026-02-17,355.8,355.9,345.6,349.75,19239962,0
2026-02-18,350.7,355.3,349.8,354.85,15098455,0
2026-02-19,357.7,360.5,352.65,353.9,15501468,0
2026-02-20,353.65,357.7,352.0,357.2,13129114,0
2026-02-23,363.75,364.15,350.85,356.55,20562321,0
2026-02-24,355.15,365.8,353.8,363.8,20501733,0
2026-02-25,369.75,383.3,369.75,380.95,45216904,0
2026-02-26,383.7,386.45,379.55,386.0,26409927,0
2026-02-27,384.6,384.6,374.25,376.0,23966109,0
2026-03-02,363.75,382.6,363.75,378.6,25351086,0
2026-03-04,371.65,376.2,362.15,366.9,28027659,0
2026-03-05,369.75,386.2,369.5,372.25,42210189,0
2026-03-06,372.7,381.7,367.25,377.35,25733215,0
2026-03-09,371.1,373.3,365.35,371.3,19307365,0
2026-03-10,376.85,378.9,368.0,377.9,28564195,0
2026-03-11,380.85,389.15,374.25,377.65,30389776,0
2026-03-12,382.2,382.25,368.75,376.65,19450741,0
2026-03-13,373.95,374.5,358.25,360.9,29455109,0
2026-03-16,360.1,365.05,354.45,358.85,21230996,0
2026-03-17,361.0,367.6,355.05,366.05,18315361,0
2026-03-18,366.4,366.4,353.05,355.4,21451567,0
2026-03-19,349.1,360.45,345.65,348.25,26443563,0
2026-03-20,350.7,360.2,347.75,351.85,49661882,0
2026-03-23,345.45,345.9,331.95,338.0,42032203,0
2026-03-24,347.55,347.55,336.85,341.05,27296257,0
2026-03-25,345.95,352.65,344.9,350.5,24697072,0
2026-03-27,343.05,348.95,339.2,339.9,32911821,0
2026-03-30,341.75,355.2,340.35,342.7,46728146,0
2026-04-01,347.55,360.9,347.1,354.45,32015060,0
2026-04-02,350.65,360.95,341.7,359.9,30600403,0
2026-04-06,359.95,370.8,359.45,361.15,24862492,0
2026-04-07,366.4,376.3,362.7,373.3,40028471,0
2026-04-08,384.2,384.7,375.45,377.6,31322543,0
2026-04-09,379.45,386.8,378.05,385.75,29643695,0
2026-04-10,387.3,390.7,383.0,390.0,29296901,0
2026-04-13,384.7,394.95,384.2,393.9,24046791,0
2026-04-15,393.6,401.95,387.9,400.95,44163938,0
2026-04-16,404.05,412.35,403.15,409.75,28947856,0
2026-04-17,409.75,414.1,404.25,412.2,18979776,0
2026-04-20,409.8,409.8,402.05,403.55,20164668,0
2026-04-21,414.4,416.1,399.45,401.35,58392495,0
2026-04-22,402.85,405.05,395.45,396.2,27239621,0
2026-04-23,397.15,397.15,383.7,385.0,33351632,0
2026-04-24,384.65,384.65,370.35,377.35,36419583,0
2026-04-27,379.05,390.75,377.15,388.6,42704792,0
2026-04-28,391.0,396.7,381.4,386.95,72560742,0
2026-04-29,389.95,408.25,383.25,404.9,104582985,0
2026-04-30,289.5,292.0,268.7,271.55,73870853,0
2026-05-04,277.0,296.0,274.95,294.65,86297119,0
2026-05-05,296.95,305.9,292.0,303.9,69612545,0
2026-05-06,310.0,318.0,308.6,316.4,75050951,0
2026-05-07,319.9,322.75,303.6,305.4,64690914,0
2026-05-08,305.65,306.4,295.9,296.45,32681575,0
2026-05-11,296.6,301.55,294.2,298.4,25738983,0
2026-05-12,298.1,309.9,298.1,305.05,47596105,0
2026-05-13,311.95,325.5,308.8,323.35,72680545,0
2026-05-14,329.0,340.65,325.1,338.9,77635934,0
2026-05-15,338.9,338.9,325.0,331.05,56392805,0
2026-05-18,323.9,329.35,320.65,327.0,21115770,0
2026-05-19,325.4,339.0,325.4,337.65,35074019,0
2026-05-20,332.55,339.45,331.45,333.75,21015658,0
2026-05-21,338.0,338.25,328.9,329.75,14507403,0
2026-05-22,331.0,333.6,327.0,329.95,14086715,0
2026-05-25,333.0,335.4,330.5,332.5,11129217,0
2026-05-26,332.5,348.5,332.15,344.9,39844071,0
2026-05-27,347.4,357.95,345.9,354.7,26959207,0
2026-05-29,359.95,360.0,350.0,352.6,32684449,0
2026-06-01,355.1,356.65,335.05,337.15,21598323,0
2026-06-02,336.45,343.5,328.2,333.55,30249461,0
2026-06-03,333.55,334.0,325.0,328.2,20194365,0
2026-06-04,328.2,330.8,325.0,327.5,13730888,0
2026-06-05,329.6,329.7,312.35,315.6,20824974,0
2026-06-08,311.0,314.8,301.65,304.25,14491919,0
2026-06-09,305.0,309.8,303.25,306.25,12416474,0
2026-06-10,306.3,306.4,296.4,299.3,13610674,0
2026-06-11,295.05,310.0,292.8,304.9,21784565,0
2026-06-12,314.0,314.0,303.7,309.65,18636477,0
2026-06-15,313.15,318.45,300.4,302.5,28394765,0
2026-06-16,302.5,304.3,295.6,299.95,21934302,0
2026-06-17,299.0,308.2,297.3,306.5,17292581,0
2026-06-18,307.0,309.0,302.75,306.0,12373677,0
2026-06-19,302.4,304.9,299.5,300.8,15040336,0
2026-06-22,300.8,306.8,300.8,305.85,13551008,0
2026-06-23,294.5,294.5,279.0,281.7,174644055,0
2026-06-24,280.95,284.35,278.15,282.55,21011503,0
2026-06-25,279.0,279.0,271.4,273.45,39094966,0
2026-06-29,270.5,287.4,270.5,284.55,57647547,0
2026-06-30,283.9,283.9,278.05,280.75,17134140,0
2026-07-01,280.75,281.0,274.65,275.55,15467108,0
2026-07-02,277.0,279.75,275.25,276.1,11185934,0
2026-07-03,279.0,282.8,278.8,280.4,12313780,0
2026-07-06,281.95,282.85,278.55,282.0,9188601,0
2026-07-07,282.0,282.35,274.1,275.05,13028080,0
2026-07-08,273.6,278.8,270.65,272.3,20776930,0
2026-07-09,273.25,274.7,270.8,271.35,10018324,0
2026-07-10,273.8,276.75,272.2,272.55,11889321,0
2026-07-13,271.0,271.25,268.1,269.65,9688301,0
