date,open,high,low,close,volume,oi
2025-01-20,50.72,51.02,47.12,47.63,9604069,0
2025-01-27,47.45,48.93,44.05,47.58,13267475,0
2025-02-03,47.47,48.16,45.75,47.02,8568865,0
2025-02-10,47.47,47.47,42.48,43.05,13927489,0
2025-02-17,43.5,44.64,41.75,43.86,10997879,0
2025-02-24,43.59,43.8,40.25,40.94,9113026,0
2025-03-03,40.94,42.97,39.55,42.64,10375092,0
2025-03-10,42.66,42.97,40.8,41.37,5497247,0
2025-03-17,42.6,45.18,41.02,45.01,9880534,0
2025-03-24,45.1,46.61,44.05,44.35,10509471,0
2025-04-01,44.35,44.8,42.71,42.94,8301139,0
2025-04-07,43.28,43.4,39.0,43.07,11761859,0
2025-04-15,43.94,45.25,43.34,45.06,6378010,0
2025-04-21,45.29,47.32,44.77,45.09,10759071,0
2025-04-28,45.08,46.58,44.67,45.35,5881562,0
2025-05-05,46.71,46.71,43.52,44.7,6604931,0
2025-05-12,45.42,48.42,45.41,48.3,10202393,0
2025-05-19,48.28,48.74,47.47,48.21,8295087,0
2025-05-26,48.22,49.3,48.02,49.22,5416935,0
2025-06-02,49.2,51.25,48.37,51.1,8489312,0
2025-06-09,50.59,52.62,48.9,49.79,9645480,0
2025-06-16,50.29,51.29,48.99,50.08,7589516,0
2025-06-23,51.33,51.9,49.41,51.47,8802651,0
2025-06-30,52.75,52.94,50.32,51.36,5827221,0
2025-07-07,51.39,51.77,50.0,50.12,4885332,0
2025-07-14,50.62,51.58,49.5,50.36,4135357,0
2025-07-21,49.85,51.24,49.44,49.99,5298727,0
2025-07-28,49.74,50.69,48.64,49.45,5045256,0
2025-08-04,49.93,50.35,47.66,47.86,6154005,0
2025-08-11,48.25,48.62,47.07,48.23,3638230,0
2025-08-18,48.39,49.89,47.82,49.19,6231141,0
2025-08-25,49.48,49.48,47.1,47.18,4861327,0
2025-09-01,48.35,49.47,47.1,48.58,5169617,0
2025-09-08,48.58,50.21,48.22,49.24,3714796,0
2025-09-15,48.0,50.47,47.3,49.74,4788451,0
2025-09-22,50.04,50.04,47.35,47.45,5702809,0
2025-09-29,46.26,49.95,46.26,47.68,6661910,0
2025-10-06,47.68,49.0,47.54,48.85,8571545,0
2025-10-13,48.85,49.46,48.42,49.18,6279648,0
2025-10-20,49.42,49.85,48.11,48.82,3415751,0
2025-10-27,49.0,49.49,48.63,48.75,12258249,0
2025-11-03,49.23,49.61,47.92,49.17,3569100,0
2025-11-10,50.39,50.39,48.92,49.76,4255354,0
2025-11-17,49.87,50.21,49.38,49.42,3889495,0
2025-11-24,49.45,50.17,48.27,50.04,4698399,0
2025-12-01,50.12,50.28,48.61,48.95,6018933,0
2025-12-08,49.01,49.33,47.0,48.51,6376181,0
2025-12-15,48.51,48.7,46.31,48.51,3809707,0
2025-12-22,48.5,49.23,47.67,48.52,3310435,0
2025-12-29,48.52,48.87,46.99,48.45,5865328,0
2026-01-05,48.46,49.0,47.2,47.34,5388515,0
2026-01-12,46.15,48.06,46.15,47.82,4761189,0
2026-01-19,46.62,47.83,46.4,46.8,2608977,0
